classifier_adj_1000.csv
Model: google-bert/bert-base-chinese, Accuracy: 0.93200, Average Perplexity (Good Sentences): -26.44044, Average Perplexity (Bad Sentences): -52.40068
0: good sentence 0, PPL: -22.35608
1: bad sentence 0, PPL: -43.63030
2: good sentence 1, PPL: -41.97924
3: bad sentence 1, PPL: -87.82258
4: good sentence 2, PPL: -28.51735
5: bad sentence 2, PPL: -33.28043
6: good sentence 3, PPL: -66.72908
7: bad sentence 3, PPL: -74.34713
8: good sentence 4, PPL: -12.14176
9: bad sentence 4, PPL: -16.43707
10: good sentence 5, PPL: -48.10296
11: bad sentence 5, PPL: -61.52712
12: good sentence 6, PPL: -28.13362
13: bad sentence 6, PPL: -48.16044
14: good sentence 7, PPL: -3.10157
15: bad sentence 7, PPL: -5.65054
16: good sentence 8, PPL: -9.80495
17: bad sentence 8, PPL: -20.27921
18: good sentence 9, PPL: -11.35098
19: bad sentence 9, PPL: -17.76527
20: good sentence 10, PPL: -27.55749
21: bad sentence 10, PPL: -35.16855
22: good sentence 11, PPL: -36.09767
23: bad sentence 11, PPL: -116.30013
24: good sentence 12, PPL: -18.65358
25: bad sentence 12, PPL: -43.86187
26: good sentence 13, PPL: -14.79981
27: bad sentence 13, PPL: -25.65257
28: good sentence 14, PPL: -32.71312
29: bad sentence 14, PPL: -45.51966
30: good sentence 15, PPL: -8.67010
31: bad sentence 15, PPL: -19.35527
32: good sentence 16, PPL: -10.69623
33: bad sentence 16, PPL: -41.45891
34: good sentence 17, PPL: -20.84608
35: bad sentence 17, PPL: -42.20942
36: good sentence 18, PPL: -29.05202
37: bad sentence 18, PPL: -49.74923
38: good sentence 19, PPL: -44.28822
39: bad sentence 19, PPL: -94.62590
40: good sentence 20, PPL: -102.60767
41: bad sentence 20, PPL: -241.61586
42: good sentence 21, PPL: -22.52240
43: bad sentence 21, PPL: -37.89780
44: good sentence 22, PPL: -6.90729
45: bad sentence 22, PPL: -10.49684
46: good sentence 23, PPL: -7.12993
47: bad sentence 23, PPL: -20.74504
48: good sentence 24, PPL: -32.39404
49: bad sentence 24, PPL: -38.51799
50: good sentence 25, PPL: -9.49120
51: bad sentence 25, PPL: -41.33816
52: good sentence 26, PPL: -9.60623
53: bad sentence 26, PPL: -28.18752
54: good sentence 27, PPL: -26.04175
55: bad sentence 27, PPL: -41.27655
56: good sentence 28, PPL: -35.60088
57: bad sentence 28, PPL: -53.04281
58: good sentence 29, PPL: -14.16921
59: bad sentence 29, PPL: -23.98717
60: good sentence 30, PPL: -33.78163
61: bad sentence 30, PPL: -92.41281
62: good sentence 31, PPL: -9.69571
63: bad sentence 31, PPL: -34.52767
64: good sentence 32, PPL: -11.63137
65: bad sentence 32, PPL: -37.67874
66: good sentence 33, PPL: -9.26054
67: bad sentence 33, PPL: -16.23036
68: good sentence 34, PPL: -4.78642
69: bad sentence 34, PPL: -10.07170
70: good sentence 35, PPL: -23.81261
71: bad sentence 35, PPL: -18.85297
72: good sentence 36, PPL: -61.54013
73: bad sentence 36, PPL: -114.78161
74: good sentence 37, PPL: -10.15147
75: bad sentence 37, PPL: -18.99933
76: good sentence 38, PPL: -6.01515
77: bad sentence 38, PPL: -9.61673
78: good sentence 39, PPL: -8.88824
79: bad sentence 39, PPL: -34.26340
80: good sentence 40, PPL: -7.29681
81: bad sentence 40, PPL: -16.80489
82: good sentence 41, PPL: -51.15150
83: bad sentence 41, PPL: -112.14854
84: good sentence 42, PPL: -27.76436
85: bad sentence 42, PPL: -76.84900
86: good sentence 43, PPL: -25.63158
87: bad sentence 43, PPL: -36.88370
88: good sentence 44, PPL: -8.38735
89: bad sentence 44, PPL: -25.82889
90: good sentence 45, PPL: -18.94564
91: bad sentence 45, PPL: -158.49997
92: good sentence 46, PPL: -22.51226
93: bad sentence 46, PPL: -32.59420
94: good sentence 47, PPL: -19.86374
95: bad sentence 47, PPL: -66.62773
96: good sentence 48, PPL: -33.81534
97: bad sentence 48, PPL: -34.84154
98: good sentence 49, PPL: -6.13042
99: bad sentence 49, PPL: -9.21789
100: good sentence 50, PPL: -90.99455
101: bad sentence 50, PPL: -213.94309
102: good sentence 51, PPL: -49.72772
103: bad sentence 51, PPL: -265.44275
104: good sentence 52, PPL: -13.39579
