Anaphor
	self_male
Model: nghuyong/ernie-3.0-base-zh, Accuracy: 70.70000, Average Perplexity (Good Sentences): -37.13725, Average Perplexity (Bad Sentences): -41.43463
0: good sentence 0, PPL: -20.48716
1: bad sentence 0, PPL: -21.10137
2: good sentence 1, PPL: -20.64221
3: bad sentence 1, PPL: -13.97337
4: good sentence 2, PPL: -46.30988
5: bad sentence 2, PPL: -46.22190
6: good sentence 3, PPL: -100.08068
7: bad sentence 3, PPL: -93.23311
8: good sentence 4, PPL: -55.33527
9: bad sentence 4, PPL: -60.36331
10: good sentence 5, PPL: -39.89213
11: bad sentence 5, PPL: -26.94431
12: good sentence 6, PPL: -8.05991
13: bad sentence 6, PPL: -9.42561
14: good sentence 7, PPL: -18.17775
15: bad sentence 7, PPL: -25.67347
16: good sentence 8, PPL: -211.36205
17: bad sentence 8, PPL: -218.34839
18: good sentence 9, PPL: -15.13339
19: bad sentence 9, PPL: -12.50364
20: good sentence 10, PPL: -66.75186
21: bad sentence 10, PPL: -78.23503
22: good sentence 11, PPL: -10.97292
23: bad sentence 11, PPL: -18.85542
24: good sentence 12, PPL: -46.58569
25: bad sentence 12, PPL: -54.65900
26: good sentence 13, PPL: -90.03832
27: bad sentence 13, PPL: -82.78342
28: good sentence 14, PPL: -73.30661
29: bad sentence 14, PPL: -79.52784
30: good sentence 15, PPL: -9.64485
31: bad sentence 15, PPL: -9.29561
32: good sentence 16, PPL: -8.90690
33: bad sentence 16, PPL: -10.84368
34: good sentence 17, PPL: -279.70443
35: bad sentence 17, PPL: -238.14783
36: good sentence 18, PPL: -14.05074
37: bad sentence 18, PPL: -15.21510
38: good sentence 19, PPL: -34.11528
39: bad sentence 19, PPL: -47.22436
40: good sentence 20, PPL: -5.11009
41: bad sentence 20, PPL: -6.48932
42: good sentence 21, PPL: -128.67231
43: bad sentence 21, PPL: -151.24253
44: good sentence 22, PPL: -7.22192
45: bad sentence 22, PPL: -7.19495
46: good sentence 23, PPL: -68.46135
47: bad sentence 23, PPL: -95.32810
48: good sentence 24, PPL: -31.51196
49: bad sentence 24, PPL: -39.29336
50: good sentence 25, PPL: -160.45786
