Anaphor
	pp_male
Model: Qwen/Qwen-14B, Accuracy: 79.80000, Average Perplexity (Good Sentences): -492.25000, Average Perplexity (Bad Sentences): -566.50000
0: good sentence 0, PPL: -330.50000
1: bad sentence 0, PPL: -328.00000
2: good sentence 1, PPL: -409.75000
3: bad sentence 1, PPL: -462.50000
4: good sentence 2, PPL: -1084.00000
5: bad sentence 2, PPL: -1101.00000
6: good sentence 3, PPL: -705.50000
7: bad sentence 3, PPL: -790.00000
8: good sentence 4, PPL: -987.00000
9: bad sentence 4, PPL: -971.50000
10: good sentence 5, PPL: -227.25000
11: bad sentence 5, PPL: -280.50000
12: good sentence 6, PPL: -598.50000
13: bad sentence 6, PPL: -620.00000
14: good sentence 7, PPL: -979.00000
15: bad sentence 7, PPL: -1088.00000
16: good sentence 8, PPL: -86.93750
17: bad sentence 8, PPL: -93.62500
18: good sentence 9, PPL: -490.50000
19: bad sentence 9, PPL: -518.00000
20: good sentence 10, PPL: -215.12500
21: bad sentence 10, PPL: -247.62500
22: good sentence 11, PPL: -323.00000
23: bad sentence 11, PPL: -364.50000
24: good sentence 12, PPL: -1067.00000
25: bad sentence 12, PPL: -1177.00000
26: good sentence 13, PPL: -3124.00000
27: bad sentence 13, PPL: -3248.00000
28: good sentence 14, PPL: -330.50000
29: bad sentence 14, PPL: -353.25000
30: good sentence 15, PPL: -634.50000
31: bad sentence 15, PPL: -534.50000
32: good sentence 16, PPL: -310.50000
33: bad sentence 16, PPL: -345.00000
34: good sentence 17, PPL: -808.50000
35: bad sentence 17, PPL: -1084.00000
36: good sentence 18, PPL: -1075.00000
37: bad sentence 18, PPL: -1084.00000
38: good sentence 19, PPL: -660.00000
39: bad sentence 19, PPL: -697.00000
40: good sentence 20, PPL: -236.25000
41: bad sentence 20, PPL: -276.25000
42: good sentence 21, PPL: -287.25000
43: bad sentence 21, PPL: -314.25000
44: good sentence 22, PPL: -346.50000
45: bad sentence 22, PPL: -364.50000
46: good sentence 23, PPL: -1302.00000
47: bad sentence 23, PPL: -1370.00000
48: good sentence 24, PPL: -413.00000
49: bad sentence 24, PPL: -508.00000
50: good sentence 25, PPL: -222.75000
51: bad sentence 25, PPL: -237.12500
52: good sentence 26, PPL: -443.00000
53: bad sentence 26, PPL: -610.50000
54: good sentence 27, PPL: -464.25000
55: bad sentence 27, PPL: -464.25000
56: good sentence 28, PPL: -1659.00000
57: bad sentence 28, PPL: -1565.00000
58: good sentence 29, PPL: -295.25000
59: bad sentence 29, PPL: -254.50000
60: good sentence 30, PPL: -173.50000
61: bad sentence 30, PPL: -151.87500
62: good sentence 31, PPL: -354.75000
63: bad sentence 31, PPL: -409.75000
64: good sentence 32, PPL: -225.37500
65: bad sentence 32, PPL: -260.50000
66: good sentence 33, PPL: -347.75000
67: bad sentence 33, PPL: -307.00000
68: good sentence 34, PPL: -154.87500
69: bad sentence 34, PPL: -136.75000
70: good sentence 35, PPL: -808.50000
71: bad sentence 35, PPL: -960.00000
72: good sentence 36, PPL: -1759.00000
73: bad sentence 36, PPL: -1947.00000
74: good sentence 37, PPL: -812.00000
75: bad sentence 37, PPL: -920.00000
76: good sentence 38, PPL: -364.50000
77: bad sentence 38, PPL: -395.75000
78: good sentence 39, PPL: -498.25000
79: bad sentence 39, PPL: -528.00000
80: good sentence 40, PPL: -796.00000
81: bad sentence 40, PPL: -805.50000
82: good sentence 41, PPL: -179.00000
83: bad sentence 41, PPL: -220.25000
84: good sentence 42, PPL: -1172.00000
85: bad sentence 42, PPL: -1059.00000
86: good sentence 43, PPL: -596.00000
87: bad sentence 43, PPL: -541.00000
88: good sentence 44, PPL: -647.00000
89: bad sentence 44, PPL: -751.00000
90: good sentence 45, PPL: -953.00000
91: bad sentence 45, PPL: -1022.00000
92: good sentence 46, PPL: -532.50000
93: bad sentence 46, PPL: -580.00000
94: good sentence 47, PPL: -1633.00000
95: bad sentence 47, PPL: -1602.00000
96: good sentence 48, PPL: -1177.00000
97: bad sentence 48, PPL: -1140.00000
98: good sentence 49, PPL: -273.00000
99: bad sentence 49, PPL: -289.50000
100: good sentence 50, PPL: -587.00000
101: bad sentence 50, PPL: -700.00000
102: good sentence 51, PPL: -1787.00000
103: bad sentence 51, PPL: -1902.00000
104: good sentence 52, PPL: -427.75000
105: bad sentence 52, PPL: -460.75000
106: good sentence 53, PPL: -603.50000
107: bad sentence 53, PPL: -681.00000
108: good sentence 54, PPL: -895.00000
109: bad sentence 54, PPL: -824.50000
110: good sentence 55, PPL: -374.50000
111: bad sentence 55, PPL: -443.00000
112: good sentence 56, PPL: -297.50000
113: bad sentence 56, PPL: -323.00000
114: good sentence 57, PPL: -409.75000
115: bad sentence 57, PPL: -434.50000
116: good sentence 58, PPL: -338.50000
117: bad sentence 58, PPL: -341.00000
118: good sentence 59, PPL: -941.50000
119: bad sentence 59, PPL: -1145.00000
120: good sentence 60, PPL: -1110.00000
121: bad sentence 60, PPL: -1195.00000
122: good sentence 61, PPL: -1136.00000
123: bad sentence 61, PPL: -1349.00000
124: good sentence 62, PPL: -350.50000
125: bad sentence 62, PPL: -394.00000
126: good sentence 63, PPL: -443.00000
127: bad sentence 63, PPL: -547.00000
128: good sentence 64, PPL: -490.50000
129: bad sentence 64, PPL: -536.50000
130: good sentence 65, PPL: -429.50000
131: bad sentence 65, PPL: -528.00000
132: good sentence 66, PPL: -610.50000
133: bad sentence 66, PPL: -748.00000
134: good sentence 67, PPL: -337.00000
135: bad sentence 67, PPL: -406.50000
136: good sentence 68, PPL: -112.93750
137: bad sentence 68, PPL: -112.93750
138: good sentence 69, PPL: -549.50000
139: bad sentence 69, PPL: -610.50000
140: good sentence 70, PPL: -326.75000
141: bad sentence 70, PPL: -361.75000
142: good sentence 71, PPL: -512.00000
143: bad sentence 71, PPL: -598.50000
144: good sentence 72, PPL: -571.00000
145: bad sentence 72, PPL: -818.00000
146: good sentence 73, PPL: -416.25000
147: bad sentence 73, PPL: -455.25000
148: good sentence 74, PPL: -514.00000
149: bad sentence 74, PPL: -564.50000
150: good sentence 75, PPL: -1381.00000
151: bad sentence 75, PPL: -1994.00000
152: good sentence 76, PPL: -736.00000
153: bad sentence 76, PPL: -874.50000
154: good sentence 77, PPL: -697.00000
155: bad sentence 77, PPL: -881.00000
156: good sentence 78, PPL: -270.75000
157: bad sentence 78, PPL: -285.00000
158: good sentence 79, PPL: -1540.00000
159: bad sentence 79, PPL: -1925.00000
160: good sentence 80, PPL: -1223.00000
161: bad sentence 80, PPL: -1292.00000
162: good sentence 81, PPL: -647.00000
163: bad sentence 81, PPL: -660.00000
164: good sentence 82, PPL: -564.50000
165: bad sentence 82, PPL: -562.50000
166: good sentence 83, PPL: -325.50000
167: bad sentence 83, PPL: -203.62500
168: good sentence 84, PPL: -193.62500
169: bad sentence 84, PPL: -189.87500
170: good sentence 85, PPL: -419.50000
171: bad sentence 85, PPL: -400.25000
172: good sentence 86, PPL: -214.25000
173: bad sentence 86, PPL: -230.75000
174: good sentence 87, PPL: -790.00000
175: bad sentence 87, PPL: -1088.00000
176: good sentence 88, PPL: -320.50000
177: bad sentence 88, PPL: -341.00000
178: good sentence 89, PPL: -291.75000
179: bad sentence 89, PPL: -299.75000
180: good sentence 90, PPL: -421.25000
181: bad sentence 90, PPL: -451.75000
182: good sentence 91, PPL: -615.00000
183: bad sentence 91, PPL: -730.50000
184: good sentence 92, PPL: -280.50000
185: bad sentence 92, PPL: -314.25000
186: good sentence 93, PPL: -249.50000
187: bad sentence 93, PPL: -274.00000
188: good sentence 94, PPL: -1787.00000
189: bad sentence 94, PPL: -1633.00000
190: good sentence 95, PPL: -343.75000
191: bad sentence 95, PPL: -357.50000
192: good sentence 96, PPL: -240.00000
193: bad sentence 96, PPL: -255.37500
194: good sentence 97, PPL: -532.50000
195: bad sentence 97, PPL: -578.00000
196: good sentence 98, PPL: -787.00000
197: bad sentence 98, PPL: -793.00000
198: good sentence 99, PPL: -488.50000
199: bad sentence 99, PPL: -450.00000
200: good sentence 100, PPL: -711.00000
201: bad sentence 100, PPL: -821.50000
202: good sentence 101, PPL: -482.75000
203: bad sentence 101, PPL: -629.50000
204: good sentence 102, PPL: -1010.50000
205: bad sentence 102, PPL: -1075.00000
206: good sentence 103, PPL: -920.00000
207: bad sentence 103, PPL: -983.00000
208: good sentence 104, PPL: -299.75000
209: bad sentence 104, PPL: -316.75000
210: good sentence 105, PPL: -211.00000
211: bad sentence 105, PPL: -225.37500
212: good sentence 106, PPL: -736.00000
213: bad sentence 106, PPL: -691.50000
214: good sentence 107, PPL: -151.37500
215: bad sentence 107, PPL: -142.75000
216: good sentence 108, PPL: -1292.00000
217: bad sentence 108, PPL: -1447.00000
218: good sentence 109, PPL: -589.50000
219: bad sentence 109, PPL: -670.50000
220: good sentence 110, PPL: -295.25000
221: bad sentence 110, PPL: -334.50000
222: good sentence 111, PPL: -446.50000
223: bad sentence 111, PPL: -538.50000
224: good sentence 112, PPL: -269.75000
225: bad sentence 112, PPL: -316.75000
226: good sentence 113, PPL: -323.00000
227: bad sentence 113, PPL: -347.75000
228: good sentence 114, PPL: -239.00000
229: bad sentence 114, PPL: -260.50000
230: good sentence 115, PPL: -214.25000
231: bad sentence 115, PPL: -233.50000
232: good sentence 116, PPL: -395.75000
233: bad sentence 116, PPL: -508.00000
234: good sentence 117, PPL: -367.25000
235: bad sentence 117, PPL: -411.50000
236: good sentence 118, PPL: -371.75000
237: bad sentence 118, PPL: -391.00000
238: good sentence 119, PPL: -639.50000
239: bad sentence 119, PPL: -777.50000
240: good sentence 120, PPL: -1659.00000
241: bad sentence 120, PPL: -1602.00000
242: good sentence 121, PPL: -434.50000
243: bad sentence 121, PPL: -560.00000
244: good sentence 122, PPL: -881.00000
245: bad sentence 122, PPL: -874.50000
246: good sentence 123, PPL: -536.50000
247: bad sentence 123, PPL: -768.50000
248: good sentence 124, PPL: -246.62500
249: bad sentence 124, PPL: -258.50000
250: good sentence 125, PPL: -288.25000
251: bad sentence 125, PPL: -334.50000
252: good sentence 126, PPL: -468.00000
253: bad sentence 126, PPL: -564.50000
254: good sentence 127, PPL: -608.00000
255: bad sentence 127, PPL: -655.00000
256: good sentence 128, PPL: -753.50000
257: bad sentence 128, PPL: -799.00000
258: good sentence 129, PPL: -575.50000
259: bad sentence 129, PPL: -632.00000
260: good sentence 130, PPL: -587.00000
261: bad sentence 130, PPL: -708.00000
262: good sentence 131, PPL: -1067.00000
263: bad sentence 131, PPL: -1425.00000
264: good sentence 132, PPL: -490.50000
265: bad sentence 132, PPL: -580.00000
266: good sentence 133, PPL: -263.50000
267: bad sentence 133, PPL: -254.50000
268: good sentence 134, PPL: -571.00000
269: bad sentence 134, PPL: -580.00000
270: good sentence 135, PPL: -382.00000
271: bad sentence 135, PPL: -388.00000
272: good sentence 136, PPL: -320.50000
273: bad sentence 136, PPL: -319.25000
274: good sentence 137, PPL: -964.00000
275: bad sentence 137, PPL: -994.50000
276: good sentence 138, PPL: -934.50000
277: bad sentence 138, PPL: -1006.50000
278: good sentence 139, PPL: -301.00000
279: bad sentence 139, PPL: -367.25000
280: good sentence 140, PPL: -847.50000
281: bad sentence 140, PPL: -949.00000
282: good sentence 141, PPL: -562.50000
283: bad sentence 141, PPL: -615.00000
284: good sentence 142, PPL: -127.93750
285: bad sentence 142, PPL: -162.37500
286: good sentence 143, PPL: -303.25000
287: bad sentence 143, PPL: -405.00000
288: good sentence 144, PPL: -264.50000
289: bad sentence 144, PPL: -295.25000
290: good sentence 145, PPL: -1243.00000
291: bad sentence 145, PPL: -1553.00000
292: good sentence 146, PPL: -459.00000
