Aspect
	zai_no_le
Model: nghuyong/ernie-3.0-base-zh, Accuracy: 64.80000, Average Perplexity (Good Sentences): -31.15079, Average Perplexity (Bad Sentences): -38.95099
0: good sentence 0, PPL: -15.10613
1: bad sentence 0, PPL: -34.93018
2: good sentence 1, PPL: -7.66439
3: bad sentence 1, PPL: -21.97514
4: good sentence 2, PPL: -56.66102
5: bad sentence 2, PPL: -37.44108
6: good sentence 3, PPL: -57.24405
7: bad sentence 3, PPL: -112.47771
8: good sentence 4, PPL: -6.08776
9: bad sentence 4, PPL: -5.73294
10: good sentence 5, PPL: -297.39670
11: bad sentence 5, PPL: -118.66967
12: good sentence 6, PPL: -39.77069
13: bad sentence 6, PPL: -44.11597
14: good sentence 7, PPL: -61.06062
15: bad sentence 7, PPL: -39.58756
16: good sentence 8, PPL: -15.99287
17: bad sentence 8, PPL: -19.65912
18: good sentence 9, PPL: -7.87111
19: bad sentence 9, PPL: -16.20417
20: good sentence 10, PPL: -119.00898
21: bad sentence 10, PPL: -136.63255
22: good sentence 11, PPL: -21.01659
23: bad sentence 11, PPL: -44.23625
24: good sentence 12, PPL: -119.82577
25: bad sentence 12, PPL: -184.94556
26: good sentence 13, PPL: -52.28577
27: bad sentence 13, PPL: -108.06588
28: good sentence 14, PPL: -10.44405
29: bad sentence 14, PPL: -38.37065
30: good sentence 15, PPL: -50.22041
31: bad sentence 15, PPL: -41.18260
32: good sentence 16, PPL: -18.42490
33: bad sentence 16, PPL: -59.13790
34: good sentence 17, PPL: -28.09388
35: bad sentence 17, PPL: -47.55663
36: good sentence 18, PPL: -6.25698
37: bad sentence 18, PPL: -6.31882
38: good sentence 19, PPL: -21.98575
39: bad sentence 19, PPL: -25.64244
40: good sentence 20, PPL: -48.77990
41: bad sentence 20, PPL: -86.67663
42: good sentence 21, PPL: -90.05481
43: bad sentence 21, PPL: -225.47329
44: good sentence 22, PPL: -20.32850
45: bad sentence 22, PPL: -47.77262
46: good sentence 23, PPL: -35.01741
47: bad sentence 23, PPL: -99.29703
48: good sentence 24, PPL: -108.73903
49: bad sentence 24, PPL: -31.83996
50: good sentence 25, PPL: -49.99032
51: bad sentence 25, PPL: -120.11574
52: good sentence 26, PPL: -4.53010
53: bad sentence 26, PPL: -10.68975
54: good sentence 27, PPL: -404.03253
55: bad sentence 27, PPL: -478.98749
56: good sentence 28, PPL: -27.16656
57: bad sentence 28, PPL: -67.41226
58: good sentence 29, PPL: -26.27662
59: bad sentence 29, PPL: -28.88027
60: good sentence 30, PPL: -14.85836
61: bad sentence 30, PPL: -27.34682
62: good sentence 31, PPL: -22.88030
63: bad sentence 31, PPL: -66.82028
64: good sentence 32, PPL: -93.68220
65: bad sentence 32, PPL: -57.67713
66: good sentence 33, PPL: -3.08914
67: bad sentence 33, PPL: -4.18470
68: good sentence 34, PPL: -21.59197
69: bad sentence 34, PPL: -25.76716
70: good sentence 35, PPL: -113.88872
