Aspect
	temporal_le
Model: 01-ai/Yi-6B, Accuracy: 70.50000, Average Perplexity (Good Sentences): -607.56616, Average Perplexity (Bad Sentences): -790.46075
0: good sentence 0, PPL: -3095.02710
1: bad sentence 0, PPL: -2216.41260
2: good sentence 1, PPL: -644.12738
3: bad sentence 1, PPL: -1760.96558
4: good sentence 2, PPL: -139.10590
5: bad sentence 2, PPL: -206.55652
6: good sentence 3, PPL: -1255.64502
7: bad sentence 3, PPL: -777.54926
8: good sentence 4, PPL: -387.11935
9: bad sentence 4, PPL: -694.65149
10: good sentence 5, PPL: -368.55072
11: bad sentence 5, PPL: -328.95309
12: good sentence 6, PPL: -1495.41516
13: bad sentence 6, PPL: -3020.57275
14: good sentence 7, PPL: -1613.85754
15: bad sentence 7, PPL: -1005.24756
16: good sentence 8, PPL: -614.51599
17: bad sentence 8, PPL: -790.17657
18: good sentence 9, PPL: -48.63084
19: bad sentence 9, PPL: -54.72268
20: good sentence 10, PPL: -324.60855
21: bad sentence 10, PPL: -596.97784
22: good sentence 11, PPL: -874.39471
23: bad sentence 11, PPL: -1349.27173
24: good sentence 12, PPL: -246.41666
25: bad sentence 12, PPL: -366.41541
26: good sentence 13, PPL: -195.42703
27: bad sentence 13, PPL: -161.96178
28: good sentence 14, PPL: -680.20367
29: bad sentence 14, PPL: -548.36078
30: good sentence 15, PPL: -97.87593
31: bad sentence 15, PPL: -145.18394
32: good sentence 16, PPL: -372.58652
33: bad sentence 16, PPL: -565.47797
34: good sentence 17, PPL: -618.54211
35: bad sentence 17, PPL: -1654.55798
36: good sentence 18, PPL: -237.25699
37: bad sentence 18, PPL: -496.84003
38: good sentence 19, PPL: -782.26782
39: bad sentence 19, PPL: -751.03510
40: good sentence 20, PPL: -756.36340
41: bad sentence 20, PPL: -984.14355
42: good sentence 21, PPL: -231.06123
43: bad sentence 21, PPL: -266.44540
44: good sentence 22, PPL: -533.56256
45: bad sentence 22, PPL: -563.32385
46: good sentence 23, PPL: -3429.81860
47: bad sentence 23, PPL: -1579.27222
48: good sentence 24, PPL: -931.07513
49: bad sentence 24, PPL: -1139.94995
50: good sentence 25, PPL: -382.73245
51: bad sentence 25, PPL: -662.82025
52: good sentence 26, PPL: -942.49554
53: bad sentence 26, PPL: -915.93927
54: good sentence 27, PPL: -1468.12781
55: bad sentence 27, PPL: -1667.33374
56: good sentence 28, PPL: -1081.17285
57: bad sentence 28, PPL: -1879.38000
58: good sentence 29, PPL: -639.19214
59: bad sentence 29, PPL: -1002.81836
60: good sentence 30, PPL: -1000.45557
61: bad sentence 30, PPL: -1653.36328
62: good sentence 31, PPL: -1139.40820
63: bad sentence 31, PPL: -1605.60681
64: good sentence 32, PPL: -815.03674
65: bad sentence 32, PPL: -666.64386
66: good sentence 33, PPL: -278.38406
67: bad sentence 33, PPL: -235.55898
68: good sentence 34, PPL: -763.76917
69: bad sentence 34, PPL: -1925.50586
70: good sentence 35, PPL: -434.32660
71: bad sentence 35, PPL: -980.66956
72: good sentence 36, PPL: -553.53564
73: bad sentence 36, PPL: -483.14941
74: good sentence 37, PPL: -278.83414
75: bad sentence 37, PPL: -322.08856
76: good sentence 38, PPL: -225.55743
77: bad sentence 38, PPL: -234.03119
78: good sentence 39, PPL: -260.26996
79: bad sentence 39, PPL: -1016.05243
80: good sentence 40, PPL: -1468.46179
81: bad sentence 40, PPL: -1790.44873
82: good sentence 41, PPL: -210.81264
83: bad sentence 41, PPL: -283.06772
84: good sentence 42, PPL: -563.20618
85: bad sentence 42, PPL: -565.74384
86: good sentence 43, PPL: -2019.45752
87: bad sentence 43, PPL: -1646.76196
88: good sentence 44, PPL: -543.73804
89: bad sentence 44, PPL: -412.97025
90: good sentence 45, PPL: -479.83755
91: bad sentence 45, PPL: -867.44287
92: good sentence 46, PPL: -971.01245
93: bad sentence 46, PPL: -1350.58484
94: good sentence 47, PPL: -73.34071
95: bad sentence 47, PPL: -98.00506
96: good sentence 48, PPL: -424.43640
97: bad sentence 48, PPL: -803.04346
98: good sentence 49, PPL: -751.72766
99: bad sentence 49, PPL: -1092.25525
100: good sentence 50, PPL: -942.65961
101: bad sentence 50, PPL: -855.00983
102: good sentence 51, PPL: -236.07925
103: bad sentence 51, PPL: -128.88101
104: good sentence 52, PPL: -1979.61426
105: bad sentence 52, PPL: -1830.07654
106: good sentence 53, PPL: -616.12506
107: bad sentence 53, PPL: -510.76541
108: good sentence 54, PPL: -945.14185
109: bad sentence 54, PPL: -858.13275
110: good sentence 55, PPL: -369.30472
111: bad sentence 55, PPL: -983.40424
112: good sentence 56, PPL: -446.18082
113: bad sentence 56, PPL: -1135.73047
114: good sentence 57, PPL: -381.32669
115: bad sentence 57, PPL: -329.57278
116: good sentence 58, PPL: -6981.03271
117: bad sentence 58, PPL: -3819.02808
118: good sentence 59, PPL: -127.53217
119: bad sentence 59, PPL: -260.33139
120: good sentence 60, PPL: -1591.13049
121: bad sentence 60, PPL: -3143.35889
122: good sentence 61, PPL: -787.45941
123: bad sentence 61, PPL: -728.79993
124: good sentence 62, PPL: -633.37408
125: bad sentence 62, PPL: -723.00006
126: good sentence 63, PPL: -470.95038
127: bad sentence 63, PPL: -432.79239
128: good sentence 64, PPL: -625.86938
129: bad sentence 64, PPL: -774.08258
130: good sentence 65, PPL: -3203.73608
131: bad sentence 65, PPL: -3252.91235
132: good sentence 66, PPL: -225.07513
133: bad sentence 66, PPL: -548.41095
134: good sentence 67, PPL: -289.99969
135: bad sentence 67, PPL: -872.26501
136: good sentence 68, PPL: -117.92442
137: bad sentence 68, PPL: -309.69916
138: good sentence 69, PPL: -1112.07373
139: bad sentence 69, PPL: -1022.86346
140: good sentence 70, PPL: -361.84979
141: bad sentence 70, PPL: -354.08109
142: good sentence 71, PPL: -1283.98145
143: bad sentence 71, PPL: -1497.20325
144: good sentence 72, PPL: -2165.61475
145: bad sentence 72, PPL: -1417.90149
146: good sentence 73, PPL: -497.68442
147: bad sentence 73, PPL: -769.78369
148: good sentence 74, PPL: -257.20670
149: bad sentence 74, PPL: -353.98453
150: good sentence 75, PPL: -481.21579
151: bad sentence 75, PPL: -425.48425
152: good sentence 76, PPL: -1468.48083
153: bad sentence 76, PPL: -2058.44946
154: good sentence 77, PPL: -299.96384
155: bad sentence 77, PPL: -670.27148
