Aspect
	zai_no_le
Model: google-bert/bert-base-chinese, Accuracy: 85.20000, Average Perplexity (Good Sentences): -9.20059, Average Perplexity (Bad Sentences): -16.47483
0: good sentence 0, PPL: -2.51177
1: bad sentence 0, PPL: -7.42937
2: good sentence 1, PPL: -4.15755
3: bad sentence 1, PPL: -13.63381
4: good sentence 2, PPL: -4.57252
5: bad sentence 2, PPL: -5.55465
6: good sentence 3, PPL: -15.87240
7: bad sentence 3, PPL: -36.49073
8: good sentence 4, PPL: -4.58353
9: bad sentence 4, PPL: -5.88047
10: good sentence 5, PPL: -28.19248
11: bad sentence 5, PPL: -51.38760
12: good sentence 6, PPL: -5.17110
13: bad sentence 6, PPL: -9.52325
14: good sentence 7, PPL: -7.59569
15: bad sentence 7, PPL: -20.46733
16: good sentence 8, PPL: -3.72873
17: bad sentence 8, PPL: -8.63781
18: good sentence 9, PPL: -3.33007
19: bad sentence 9, PPL: -5.09840
20: good sentence 10, PPL: -20.38334
21: bad sentence 10, PPL: -37.92038
22: good sentence 11, PPL: -5.17396
23: bad sentence 11, PPL: -9.20298
24: good sentence 12, PPL: -28.93329
25: bad sentence 12, PPL: -78.35760
26: good sentence 13, PPL: -6.90265
27: bad sentence 13, PPL: -18.54422
28: good sentence 14, PPL: -6.30364
29: bad sentence 14, PPL: -24.89941
30: good sentence 15, PPL: -55.13327
31: bad sentence 15, PPL: -81.32915
32: good sentence 16, PPL: -4.65169
33: bad sentence 16, PPL: -14.54548
34: good sentence 17, PPL: -5.63910
35: bad sentence 17, PPL: -9.60401
36: good sentence 18, PPL: -2.49357
37: bad sentence 18, PPL: -3.42480
38: good sentence 19, PPL: -3.59382
39: bad sentence 19, PPL: -9.21518
40: good sentence 20, PPL: -13.07743
41: bad sentence 20, PPL: -56.23332
42: good sentence 21, PPL: -15.19787
43: bad sentence 21, PPL: -32.85757
44: good sentence 22, PPL: -24.64881
45: bad sentence 22, PPL: -40.81522
46: good sentence 23, PPL: -22.94551
47: bad sentence 23, PPL: -48.57467
48: good sentence 24, PPL: -3.79451
49: bad sentence 24, PPL: -3.61442
50: good sentence 25, PPL: -13.21913
51: bad sentence 25, PPL: -54.40256
52: good sentence 26, PPL: -1.78386
53: bad sentence 26, PPL: -5.65312
54: good sentence 27, PPL: -43.51701
55: bad sentence 27, PPL: -130.33292
56: good sentence 28, PPL: -5.57259
57: bad sentence 28, PPL: -11.32361
58: good sentence 29, PPL: -7.40877
59: bad sentence 29, PPL: -28.37364
60: good sentence 30, PPL: -4.98710
61: bad sentence 30, PPL: -13.87580
62: good sentence 31, PPL: -5.97281
63: bad sentence 31, PPL: -30.98336
64: good sentence 32, PPL: -10.94199
65: bad sentence 32, PPL: -13.61718
66: good sentence 33, PPL: -2.38781
67: bad sentence 33, PPL: -4.67207
68: good sentence 34, PPL: -13.23981
69: bad sentence 34, PPL: -11.36857
70: good sentence 35, PPL: -2.81522
71: bad sentence 35, PPL: -3.61722
72: good sentence 36, PPL: -3.82469
73: bad sentence 36, PPL: -5.80454
74: good sentence 37, PPL: -51.86129
75: bad sentence 37, PPL: -35.96206
76: good sentence 38, PPL: -4.81574
77: bad sentence 38, PPL: -22.34091
78: good sentence 39, PPL: -29.11034
