Classifier-Noun
	dem_cl_swap
Model: google-bert/bert-base-chinese, Accuracy: 99.80000, Average Perplexity (Good Sentences): -4.96410, Average Perplexity (Bad Sentences): -41.86970
0: good sentence 0, PPL: -1.29772
1: bad sentence 0, PPL: -3.40912
2: good sentence 1, PPL: -20.14951
3: bad sentence 1, PPL: -51.97992
4: good sentence 2, PPL: -1.74632
5: bad sentence 2, PPL: -9.54632
6: good sentence 3, PPL: -3.79926
7: bad sentence 3, PPL: -51.31731
8: good sentence 4, PPL: -6.10225
9: bad sentence 4, PPL: -34.55436
10: good sentence 5, PPL: -1.70635
11: bad sentence 5, PPL: -6.06976
12: good sentence 6, PPL: -4.07381
13: bad sentence 6, PPL: -12.39424
14: good sentence 7, PPL: -8.84982
15: bad sentence 7, PPL: -63.77465
16: good sentence 8, PPL: -5.32226
17: bad sentence 8, PPL: -7.91022
18: good sentence 9, PPL: -6.61309
19: bad sentence 9, PPL: -112.45749
20: good sentence 10, PPL: -1.68173
21: bad sentence 10, PPL: -9.54133
22: good sentence 11, PPL: -6.20511
23: bad sentence 11, PPL: -74.81345
24: good sentence 12, PPL: -1.55181
25: bad sentence 12, PPL: -142.67054
26: good sentence 13, PPL: -23.07880
27: bad sentence 13, PPL: -133.18572
28: good sentence 14, PPL: -6.22089
29: bad sentence 14, PPL: -226.98775
30: good sentence 15, PPL: -2.95681
31: bad sentence 15, PPL: -59.22080
32: good sentence 16, PPL: -5.24405
33: bad sentence 16, PPL: -13.25712
34: good sentence 17, PPL: -48.72384
35: bad sentence 17, PPL: -1424.87296
36: good sentence 18, PPL: -1.83991
37: bad sentence 18, PPL: -36.65290
38: good sentence 19, PPL: -2.94523
39: bad sentence 19, PPL: -36.01840
40: good sentence 20, PPL: -1.85131
41: bad sentence 20, PPL: -6.99038
42: good sentence 21, PPL: -1.74042
43: bad sentence 21, PPL: -8.36056
44: good sentence 22, PPL: -3.15840
45: bad sentence 22, PPL: -7.30160
46: good sentence 23, PPL: -2.16933
47: bad sentence 23, PPL: -24.39905
48: good sentence 24, PPL: -3.55280
49: bad sentence 24, PPL: -18.95979
50: good sentence 25, PPL: -1.14969
51: bad sentence 25, PPL: -10.13697
52: good sentence 26, PPL: -6.54179
53: bad sentence 26, PPL: -38.25104
54: good sentence 27, PPL: -7.37325
55: bad sentence 27, PPL: -28.12711
56: good sentence 28, PPL: -2.18367
57: bad sentence 28, PPL: -40.13591
58: good sentence 29, PPL: -3.47009
59: bad sentence 29, PPL: -10.26604
60: good sentence 30, PPL: -6.39679
61: bad sentence 30, PPL: -216.47820
62: good sentence 31, PPL: -6.75018
63: bad sentence 31, PPL: -27.34984
64: good sentence 32, PPL: -5.09844
65: bad sentence 32, PPL: -35.87514
66: good sentence 33, PPL: -1.19421
67: bad sentence 33, PPL: -9.54128
68: good sentence 34, PPL: -32.19047
69: bad sentence 34, PPL: -307.15444
70: good sentence 35, PPL: -2.69374
71: bad sentence 35, PPL: -13.28650
72: good sentence 36, PPL: -21.26200
73: bad sentence 36, PPL: -310.04972
74: good sentence 37, PPL: -9.35203
75: bad sentence 37, PPL: -29.04840
76: good sentence 38, PPL: -17.72154
77: bad sentence 38, PPL: -97.76281
78: good sentence 39, PPL: -2.63843
79: bad sentence 39, PPL: -10.40268
80: good sentence 40, PPL: -11.31213
81: bad sentence 40, PPL: -95.97403
82: good sentence 41, PPL: -10.59211
83: bad sentence 41, PPL: -52.49081
84: good sentence 42, PPL: -1.84300
85: bad sentence 42, PPL: -32.99260
86: good sentence 43, PPL: -1.73719
87: bad sentence 43, PPL: -8.63008
88: good sentence 44, PPL: -3.32448
89: bad sentence 44, PPL: -48.79764
90: good sentence 45, PPL: -53.46901
91: bad sentence 45, PPL: -165.68626
92: good sentence 46, PPL: -11.19999
93: bad sentence 46, PPL: -715.97014
94: good sentence 47, PPL: -5.81371
95: bad sentence 47, PPL: -13.57519
96: good sentence 48, PPL: -3.38564
97: bad sentence 48, PPL: -9.56368
98: good sentence 49, PPL: -15.62111
99: bad sentence 49, PPL: -315.34885
100: good sentence 50, PPL: -33.31519
101: bad sentence 50, PPL: -418.83689
102: good sentence 51, PPL: -5.12724
103: bad sentence 51, PPL: -145.69277
104: good sentence 52, PPL: -6.97579
105: bad sentence 52, PPL: -11.08844
106: good sentence 53, PPL: -82.88055
107: bad sentence 53, PPL: -400.63186
108: good sentence 54, PPL: -22.94405
109: bad sentence 54, PPL: -55.40438
110: good sentence 55, PPL: -3.81291
111: bad sentence 55, PPL: -89.35621
112: good sentence 56, PPL: -4.23369
113: bad sentence 56, PPL: -39.42659
114: good sentence 57, PPL: -4.24766
115: bad sentence 57, PPL: -79.46087
116: good sentence 58, PPL: -17.06716
117: bad sentence 58, PPL: -100.85831
118: good sentence 59, PPL: -5.26775
119: bad sentence 59, PPL: -68.77639
120: good sentence 60, PPL: -2.22494
121: bad sentence 60, PPL: -37.59484
122: good sentence 61, PPL: -8.75530
123: bad sentence 61, PPL: -60.02685
124: good sentence 62, PPL: -12.66593
125: bad sentence 62, PPL: -382.00392
126: good sentence 63, PPL: -1.76812
127: bad sentence 63, PPL: -10.79996
128: good sentence 64, PPL: -3.07376
129: bad sentence 64, PPL: -85.27309
130: good sentence 65, PPL: -2.79975
131: bad sentence 65, PPL: -66.20759
132: good sentence 66, PPL: -4.78124
133: bad sentence 66, PPL: -16.96236
134: good sentence 67, PPL: -3.89591
135: bad sentence 67, PPL: -40.12547
136: good sentence 68, PPL: -2.58733
137: bad sentence 68, PPL: -21.94120
138: good sentence 69, PPL: -3.76086
139: bad sentence 69, PPL: -345.55833
140: good sentence 70, PPL: -73.77757
141: bad sentence 70, PPL: -73.77757
142: good sentence 71, PPL: -4.21664
143: bad sentence 71, PPL: -58.95829
144: good sentence 72, PPL: -24.23789
145: bad sentence 72, PPL: -59.25631
146: good sentence 73, PPL: -5.48477
147: bad sentence 73, PPL: -24.12145
148: good sentence 74, PPL: -30.59373
149: bad sentence 74, PPL: -133.96026
150: good sentence 75, PPL: -5.25374
151: bad sentence 75, PPL: -24.89271
152: good sentence 76, PPL: -12.65169
153: bad sentence 76, PPL: -254.45486
154: good sentence 77, PPL: -1.58052
155: bad sentence 77, PPL: -8.31585
156: good sentence 78, PPL: -8.61324
157: bad sentence 78, PPL: -70.73800
158: good sentence 79, PPL: -10.30027
159: bad sentence 79, PPL: -150.79799
160: good sentence 80, PPL: -1.06707
161: bad sentence 80, PPL: -8.66614
162: good sentence 81, PPL: -24.89002
163: bad sentence 81, PPL: -347.80322
164: good sentence 82, PPL: -3.39027
165: bad sentence 82, PPL: -25.63772
166: good sentence 83, PPL: -2.56105
167: bad sentence 83, PPL: -7.12357
168: good sentence 84, PPL: -3.18102
169: bad sentence 84, PPL: -6.16533
170: good sentence 85, PPL: -7.60112
171: bad sentence 85, PPL: -86.68086
172: good sentence 86, PPL: -20.48770
173: bad sentence 86, PPL: -162.70974
174: good sentence 87, PPL: -6.58138
175: bad sentence 87, PPL: -12.82610
176: good sentence 88, PPL: -32.36299
177: bad sentence 88, PPL: -304.17002
178: good sentence 89, PPL: -1.67858
179: bad sentence 89, PPL: -12.48173
180: good sentence 90, PPL: -4.10315
181: bad sentence 90, PPL: -13.48175
182: good sentence 91, PPL: -2.66110
183: bad sentence 91, PPL: -14.71454
184: good sentence 92, PPL: -5.63182
185: bad sentence 92, PPL: -12.33818
186: good sentence 93, PPL: -1720.27804
187: bad sentence 93, PPL: -714.63524
188: good sentence 94, PPL: -9.12445
189: bad sentence 94, PPL: -89.62823
190: good sentence 95, PPL: -14.50433
191: bad sentence 95, PPL: -142.90225
192: good sentence 96, PPL: -51.52853
193: bad sentence 96, PPL: -542.22720
194: good sentence 97, PPL: -3.57080
195: bad sentence 97, PPL: -54.12950
196: good sentence 98, PPL: -21.78820
197: bad sentence 98, PPL: -130.86769
198: good sentence 99, PPL: -2.05752
199: bad sentence 99, PPL: -19.56793
200: good sentence 100, PPL: -4.95021
201: bad sentence 100, PPL: -44.05411
202: good sentence 101, PPL: -2.76751
203: bad sentence 101, PPL: -28.30830
204: good sentence 102, PPL: -43.72708
205: bad sentence 102, PPL: -3681.96001
206: good sentence 103, PPL: -1.27718
207: bad sentence 103, PPL: -4.90136
208: good sentence 104, PPL: -4.26365
209: bad sentence 104, PPL: -9.44600
210: good sentence 105, PPL: -6.08610
211: bad sentence 105, PPL: -33.74707
212: good sentence 106, PPL: -1.18045
213: bad sentence 106, PPL: -6.97550
214: good sentence 107, PPL: -2.83119
215: bad sentence 107, PPL: -12.20611
216: good sentence 108, PPL: -46.32865
217: bad sentence 108, PPL: -193.37325
218: good sentence 109, PPL: -2.08160
219: bad sentence 109, PPL: -13.62185
220: good sentence 110, PPL: -3.32096
221: bad sentence 110, PPL: -21.20450
222: good sentence 111, PPL: -4.22956
223: bad sentence 111, PPL: -16.62812
224: good sentence 112, PPL: -3.40061
225: bad sentence 112, PPL: -100.63325
226: good sentence 113, PPL: -19.63630
227: bad sentence 113, PPL: -586.96154
228: good sentence 114, PPL: -12.92925
229: bad sentence 114, PPL: -25.31656
230: good sentence 115, PPL: -4.69685
231: bad sentence 115, PPL: -37.46531
232: good sentence 116, PPL: -17.90947
233: bad sentence 116, PPL: -262.20578
234: good sentence 117, PPL: -2.37138
235: bad sentence 117, PPL: -10.95598
236: good sentence 118, PPL: -2.42018
237: bad sentence 118, PPL: -156.09562
238: good sentence 119, PPL: -3.18967
239: bad sentence 119, PPL: -33.77411
240: good sentence 120, PPL: -2.99413
241: bad sentence 120, PPL: -11.05592
242: good sentence 121, PPL: -1.07889
243: bad sentence 121, PPL: -9.71627
244: good sentence 122, PPL: -6.20483
245: bad sentence 122, PPL: -42.13206
246: good sentence 123, PPL: -6.67217
247: bad sentence 123, PPL: -26.00689
248: good sentence 124, PPL: -2.21700
249: bad sentence 124, PPL: -11.16279
250: good sentence 125, PPL: -2.37204
251: bad sentence 125, PPL: -10.23829
252: good sentence 126, PPL: -543.48263
253: bad sentence 126, PPL: -1059.71198
254: good sentence 127, PPL: -100.01268
255: bad sentence 127, PPL: -374.17012
256: good sentence 128, PPL: -2.11145
257: bad sentence 128, PPL: -6.61117
258: good sentence 129, PPL: -2.43582
259: bad sentence 129, PPL: -25.67537
260: good sentence 130, PPL: -7.76944
261: bad sentence 130, PPL: -37.44826
262: good sentence 131, PPL: -4.20884
263: bad sentence 131, PPL: -49.25292
264: good sentence 132, PPL: -1.91724
265: bad sentence 132, PPL: -19.65997
266: good sentence 133, PPL: -6.10082
267: bad sentence 133, PPL: -26.24564
268: good sentence 134, PPL: -2.36355
269: bad sentence 134, PPL: -8.58393
270: good sentence 135, PPL: -3.58956
271: bad sentence 135, PPL: -35.56211
272: good sentence 136, PPL: -2.89021
273: bad sentence 136, PPL: -37.10920
274: good sentence 137, PPL: -11.04495
275: bad sentence 137, PPL: -542.28563
276: good sentence 138, PPL: -2.25529
277: bad sentence 138, PPL: -79.70312
278: good sentence 139, PPL: -30.78689
279: bad sentence 139, PPL: -224.45498
280: good sentence 140, PPL: -8.74999
281: bad sentence 140, PPL: -120.30677
282: good sentence 141, PPL: -22.01511
283: bad sentence 141, PPL: -800.13847
284: good sentence 142, PPL: -5.47555
285: bad sentence 142, PPL: -235.87212
286: good sentence 143, PPL: -4.10983
287: bad sentence 143, PPL: -36.62137
288: good sentence 144, PPL: -2.83907
289: bad sentence 144, PPL: -15.53802
290: good sentence 145, PPL: -9.47371
291: bad sentence 145, PPL: -245.61661
292: good sentence 146, PPL: -2.27563
293: bad sentence 146, PPL: -6.38992
294: good sentence 147, PPL: -3.99507
295: bad sentence 147, PPL: -34.82313
296: good sentence 148, PPL: -3.62262
297: bad sentence 148, PPL: -85.97144
298: good sentence 149, PPL: -1.78061
299: bad sentence 149, PPL: -54.23178
300: good sentence 150, PPL: -23.08722
301: bad sentence 150, PPL: -119.85608
302: good sentence 151, PPL: -9.22032
303: bad sentence 151, PPL: -46.47569
304: good sentence 152, PPL: -4.67360
305: bad sentence 152, PPL: -24.68049
306: good sentence 153, PPL: -1.13213
307: bad sentence 153, PPL: -9.36165
308: good sentence 154, PPL: -5.27800
309: bad sentence 154, PPL: -26.27807
310: good sentence 155, PPL: -18.30362
311: bad sentence 155, PPL: -91.20017
312: good sentence 156, PPL: -3.30377
313: bad sentence 156, PPL: -62.15354
314: good sentence 157, PPL: -11.44956
315: bad sentence 157, PPL: -348.27271
316: good sentence 158, PPL: -2.37011
317: bad sentence 158, PPL: -10.88890
318: good sentence 159, PPL: -4.78888
319: bad sentence 159, PPL: -18.87312
320: good sentence 160, PPL: -10.92030
321: bad sentence 160, PPL: -36.24933
322: good sentence 161, PPL: -23.88090
323: bad sentence 161, PPL: -44.32202
324: good sentence 162, PPL: -2.39206
325: bad sentence 162, PPL: -48.46156
326: good sentence 163, PPL: -1.27031
327: bad sentence 163, PPL: -22.40699
328: good sentence 164, PPL: -53.26927
329: bad sentence 164, PPL: -4940.70420
330: good sentence 165, PPL: -7.32986
331: bad sentence 165, PPL: -13.74240
332: good sentence 166, PPL: -14.96081
333: bad sentence 166, PPL: -85.83931
334: good sentence 167, PPL: -1.46185
335: bad sentence 167, PPL: -111.44734
336: good sentence 168, PPL: -2.26119
337: bad sentence 168, PPL: -87.89091
338: good sentence 169, PPL: -2.15901
339: bad sentence 169, PPL: -25.60458
340: good sentence 170, PPL: -8.00513
341: bad sentence 170, PPL: -423.75219
342: good sentence 171, PPL: -24.11406
343: bad sentence 171, PPL: -499.77645
344: good sentence 172, PPL: -4.87402
345: bad sentence 172, PPL: -51.77508
346: good sentence 173, PPL: -1.55004
347: bad sentence 173, PPL: -12.21409
348: good sentence 174, PPL: -1.61587
349: bad sentence 174, PPL: -54.51922
350: good sentence 175, PPL: -16.36784
351: bad sentence 175, PPL: -230.44867
352: good sentence 176, PPL: -8.32783
353: bad sentence 176, PPL: -41.45376
354: good sentence 177, PPL: -1.82648
355: bad sentence 177, PPL: -19.59672
356: good sentence 178, PPL: -10.26382
357: bad sentence 178, PPL: -95.60104
358: good sentence 179, PPL: -22.48503
359: bad sentence 179, PPL: -146.10233
360: good sentence 180, PPL: -1.97787
361: bad sentence 180, PPL: -30.74641
362: good sentence 181, PPL: -1.30333
363: bad sentence 181, PPL: -6.34178
364: good sentence 182, PPL: -2.62775
365: bad sentence 182, PPL: -871.99069
366: good sentence 183, PPL: -1.99620
367: bad sentence 183, PPL: -13.05207
368: good sentence 184, PPL: -24.12485
369: bad sentence 184, PPL: -1430.41338
370: good sentence 185, PPL: -9.99830
371: bad sentence 185, PPL: -93.05537
372: good sentence 186, PPL: -2.88519
373: bad sentence 186, PPL: -28.32053
374: good sentence 187, PPL: -1.22975
375: bad sentence 187, PPL: -5.88433
376: good sentence 188, PPL: -3.58977
377: bad sentence 188, PPL: -115.19366
378: good sentence 189, PPL: -8.44922
379: bad sentence 189, PPL: -52.95172
380: good sentence 190, PPL: -3.06818
381: bad sentence 190, PPL: -12.43285
382: good sentence 191, PPL: -1.06904
383: bad sentence 191, PPL: -23.16536
384: good sentence 192, PPL: -21.86405
385: bad sentence 192, PPL: -272.66976
386: good sentence 193, PPL: -1.58038
387: bad sentence 193, PPL: -4.35068
388: good sentence 194, PPL: -2.83045
389: bad sentence 194, PPL: -23.21517
390: good sentence 195, PPL: -3.00741
391: bad sentence 195, PPL: -26.26647
392: good sentence 196, PPL: -1.68877
393: bad sentence 196, PPL: -16.95845
394: good sentence 197, PPL: -3.49250
395: bad sentence 197, PPL: -57.98721
396: good sentence 198, PPL: -10.86805
397: bad sentence 198, PPL: -44.84250
398: good sentence 199, PPL: -7.11944
399: bad sentence 199, PPL: -162.27413
400: good sentence 200, PPL: -11.31344
401: bad sentence 200, PPL: -45.90284
402: good sentence 201, PPL: -2.76131
403: bad sentence 201, PPL: -20.98940
404: good sentence 202, PPL: -2.62059
405: bad sentence 202, PPL: -11.15441
406: good sentence 203, PPL: -16.57721
407: bad sentence 203, PPL: -37.98651
408: good sentence 204, PPL: -2.40106
409: bad sentence 204, PPL: -258.73756
410: good sentence 205, PPL: -358.75254
411: bad sentence 205, PPL: -5221.07843
412: good sentence 206, PPL: -1.04883
413: bad sentence 206, PPL: -5.67847
414: good sentence 207, PPL: -2.76786
415: bad sentence 207, PPL: -10.78973
416: good sentence 208, PPL: -9.04695
417: bad sentence 208, PPL: -28.87682
418: good sentence 209, PPL: -71.72865
419: bad sentence 209, PPL: -676.84328
420: good sentence 210, PPL: -13.11672
421: bad sentence 210, PPL: -31.18145
422: good sentence 211, PPL: -28.22490
423: bad sentence 211, PPL: -946.71530
424: good sentence 212, PPL: -20.21483
425: bad sentence 212, PPL: -72.20147
426: good sentence 213, PPL: -1.28327
427: bad sentence 213, PPL: -27.00505
428: good sentence 214, PPL: -3.06514
429: bad sentence 214, PPL: -9.87925
430: good sentence 215, PPL: -2.87405
431: bad sentence 215, PPL: -10.79311
432: good sentence 216, PPL: -2.51014
433: bad sentence 216, PPL: -19.10063
434: good sentence 217, PPL: -5.50150
435: bad sentence 217, PPL: -158.14649
436: good sentence 218, PPL: -3.97637
437: bad sentence 218, PPL: -61.61669
438: good sentence 219, PPL: -2.64057
439: bad sentence 219, PPL: -4.99860
440: good sentence 220, PPL: -2.62638
441: bad sentence 220, PPL: -79.93268
442: good sentence 221, PPL: -3.22490
443: bad sentence 221, PPL: -8.05074
444: good sentence 222, PPL: -3.08001
445: bad sentence 222, PPL: -16.85676
446: good sentence 223, PPL: -3.03417
447: bad sentence 223, PPL: -20.59071
448: good sentence 224, PPL: -60.63609
449: bad sentence 224, PPL: -160.71343
450: good sentence 225, PPL: -9.63489
451: bad sentence 225, PPL: -65.76215
452: good sentence 226, PPL: -1.07227
453: bad sentence 226, PPL: -7.15975
454: good sentence 227, PPL: -3.59203
455: bad sentence 227, PPL: -95.59804
456: good sentence 228, PPL: -1.63165
457: bad sentence 228, PPL: -12.53812
458: good sentence 229, PPL: -3.36658
459: bad sentence 229, PPL: -13.28961
460: good sentence 230, PPL: -239.01755
461: bad sentence 230, PPL: -6609.31606
462: good sentence 231, PPL: -8.21936
463: bad sentence 231, PPL: -24.51592
464: good sentence 232, PPL: -2.96373
465: bad sentence 232, PPL: -30.31329
466: good sentence 233, PPL: -3.85300
467: bad sentence 233, PPL: -268.58750
468: good sentence 234, PPL: -3.38162
469: bad sentence 234, PPL: -37.96455
470: good sentence 235, PPL: -17.10302
471: bad sentence 235, PPL: -118.46545
472: good sentence 236, PPL: -13.87242
473: bad sentence 236, PPL: -110.30739
