PolarityItem
	even_wh
Model: google-bert/bert-base-chinese, Accuracy: 52.40000, Average Perplexity (Good Sentences): -3.17850, Average Perplexity (Bad Sentences): -3.14029
0: good sentence 0, PPL: -1.90389
1: bad sentence 0, PPL: -2.04823
2: good sentence 1, PPL: -9.46534
3: bad sentence 1, PPL: -4.41737
4: good sentence 2, PPL: -21.99402
5: bad sentence 2, PPL: -11.61640
6: good sentence 3, PPL: -2.50938
7: bad sentence 3, PPL: -2.17838
8: good sentence 4, PPL: -13.73403
9: bad sentence 4, PPL: -11.98007
10: good sentence 5, PPL: -2.22050
11: bad sentence 5, PPL: -1.75701
12: good sentence 6, PPL: -1.64416
13: bad sentence 6, PPL: -1.91107
14: good sentence 7, PPL: -2.96236
15: bad sentence 7, PPL: -4.26034
16: good sentence 8, PPL: -4.03004
17: bad sentence 8, PPL: -2.84375
18: good sentence 9, PPL: -2.35972
19: bad sentence 9, PPL: -2.56500
20: good sentence 10, PPL: -2.55703
21: bad sentence 10, PPL: -4.10219
22: good sentence 11, PPL: -3.29979
23: bad sentence 11, PPL: -3.29074
24: good sentence 12, PPL: -1.21022
25: bad sentence 12, PPL: -1.30624
26: good sentence 13, PPL: -3.89748
27: bad sentence 13, PPL: -4.34908
28: good sentence 14, PPL: -1.61232
29: bad sentence 14, PPL: -1.29547
30: good sentence 15, PPL: -1.33076
31: bad sentence 15, PPL: -1.45162
32: good sentence 16, PPL: -1.50728
33: bad sentence 16, PPL: -2.22338
34: good sentence 17, PPL: -1.83510
35: bad sentence 17, PPL: -1.92477
36: good sentence 18, PPL: -1.80599
37: bad sentence 18, PPL: -1.81892
38: good sentence 19, PPL: -3.38620
39: bad sentence 19, PPL: -3.21953
40: good sentence 20, PPL: -3.70111
41: bad sentence 20, PPL: -2.88609
42: good sentence 21, PPL: -1.77414
43: bad sentence 21, PPL: -1.82033
44: good sentence 22, PPL: -2.02230
45: bad sentence 22, PPL: -2.25920
46: good sentence 23, PPL: -1.86091
47: bad sentence 23, PPL: -1.67411
48: good sentence 24, PPL: -3.18006
49: bad sentence 24, PPL: -4.54923
50: good sentence 25, PPL: -2.61059
51: bad sentence 25, PPL: -3.36174
52: good sentence 26, PPL: -4.20253
53: bad sentence 26, PPL: -3.27608
54: good sentence 27, PPL: -8.50401
55: bad sentence 27, PPL: -9.61932
56: good sentence 28, PPL: -2.84582
57: bad sentence 28, PPL: -3.13464
58: good sentence 29, PPL: -2.15778
59: bad sentence 29, PPL: -2.31729
60: good sentence 30, PPL: -2.02213
61: bad sentence 30, PPL: -1.74185
62: good sentence 31, PPL: -5.41487
63: bad sentence 31, PPL: -5.81386
64: good sentence 32, PPL: -3.52835
65: bad sentence 32, PPL: -3.35662
66: good sentence 33, PPL: -3.82074
67: bad sentence 33, PPL: -3.63679
68: good sentence 34, PPL: -2.43338
69: bad sentence 34, PPL: -2.55640
70: good sentence 35, PPL: -3.25248
71: bad sentence 35, PPL: -5.44363
72: good sentence 36, PPL: -2.68454
73: bad sentence 36, PPL: -6.66858
74: good sentence 37, PPL: -1.34490
75: bad sentence 37, PPL: -1.69926
76: good sentence 38, PPL: -3.11783
77: bad sentence 38, PPL: -3.06301
78: good sentence 39, PPL: -4.60353
79: bad sentence 39, PPL: -4.33172
80: good sentence 40, PPL: -1.96711
81: bad sentence 40, PPL: -2.17507
82: good sentence 41, PPL: -4.19929
83: bad sentence 41, PPL: -3.62996
84: good sentence 42, PPL: -3.83627
85: bad sentence 42, PPL: -2.36463
86: good sentence 43, PPL: -2.98497
87: bad sentence 43, PPL: -2.77882
88: good sentence 44, PPL: -2.60353
89: bad sentence 44, PPL: -3.50141
90: good sentence 45, PPL: -7.46235
91: bad sentence 45, PPL: -8.03484
92: good sentence 46, PPL: -3.51874
93: bad sentence 46, PPL: -4.83033
94: good sentence 47, PPL: -4.16188
95: bad sentence 47, PPL: -3.84256
96: good sentence 48, PPL: -4.84934
97: bad sentence 48, PPL: -9.19114
98: good sentence 49, PPL: -1.90086
99: bad sentence 49, PPL: -1.82950
100: good sentence 50, PPL: -2.19159
101: bad sentence 50, PPL: -3.39604
102: good sentence 51, PPL: -4.86262
103: bad sentence 51, PPL: -3.92450
104: good sentence 52, PPL: -2.78070
105: bad sentence 52, PPL: -2.73655
106: good sentence 53, PPL: -5.76406
107: bad sentence 53, PPL: -4.39760
108: good sentence 54, PPL: -12.71643
109: bad sentence 54, PPL: -26.07730
110: good sentence 55, PPL: -1.75334
111: bad sentence 55, PPL: -1.78527
112: good sentence 56, PPL: -3.49644
113: bad sentence 56, PPL: -5.45037
114: good sentence 57, PPL: -2.81988
115: bad sentence 57, PPL: -2.79942
116: good sentence 58, PPL: -3.60539
117: bad sentence 58, PPL: -2.74156
118: good sentence 59, PPL: -2.50083
119: bad sentence 59, PPL: -2.60968
120: good sentence 60, PPL: -2.46404
121: bad sentence 60, PPL: -2.28524
122: good sentence 61, PPL: -3.10383
123: bad sentence 61, PPL: -3.54326
124: good sentence 62, PPL: -5.23992
125: bad sentence 62, PPL: -1.96297
126: good sentence 63, PPL: -6.11497
127: bad sentence 63, PPL: -4.21427
128: good sentence 64, PPL: -3.46913
129: bad sentence 64, PPL: -3.49239
130: good sentence 65, PPL: -4.71556
131: bad sentence 65, PPL: -6.94545
132: good sentence 66, PPL: -1.29630
133: bad sentence 66, PPL: -1.42274
134: good sentence 67, PPL: -3.21143
135: bad sentence 67, PPL: -3.43604
136: good sentence 68, PPL: -9.91220
137: bad sentence 68, PPL: -4.17753
138: good sentence 69, PPL: -4.58412
139: bad sentence 69, PPL: -4.77002
140: good sentence 70, PPL: -2.36549
141: bad sentence 70, PPL: -2.41563
142: good sentence 71, PPL: -3.05125
143: bad sentence 71, PPL: -3.54752
144: good sentence 72, PPL: -4.10489
145: bad sentence 72, PPL: -3.81933
146: good sentence 73, PPL: -2.89399
147: bad sentence 73, PPL: -3.10062
148: good sentence 74, PPL: -3.44467
149: bad sentence 74, PPL: -2.51553
150: good sentence 75, PPL: -1.48193
151: bad sentence 75, PPL: -1.46332
152: good sentence 76, PPL: -3.84199
153: bad sentence 76, PPL: -3.07493
154: good sentence 77, PPL: -4.39575
155: bad sentence 77, PPL: -7.83125
156: good sentence 78, PPL: -3.98330
157: bad sentence 78, PPL: -5.16531
158: good sentence 79, PPL: -4.25867
159: bad sentence 79, PPL: -2.85534
160: good sentence 80, PPL: -1.68179
161: bad sentence 80, PPL: -2.12144
162: good sentence 81, PPL: -1.39621
163: bad sentence 81, PPL: -1.32501
164: good sentence 82, PPL: -2.22156
165: bad sentence 82, PPL: -2.44154
166: good sentence 83, PPL: -2.52651
167: bad sentence 83, PPL: -2.47312
168: good sentence 84, PPL: -2.97454
169: bad sentence 84, PPL: -3.74104
170: good sentence 85, PPL: -6.95951
171: bad sentence 85, PPL: -7.27481
172: good sentence 86, PPL: -3.32961
173: bad sentence 86, PPL: -4.71418
174: good sentence 87, PPL: -2.47401
175: bad sentence 87, PPL: -3.02830
176: good sentence 88, PPL: -3.35191
177: bad sentence 88, PPL: -4.43039
178: good sentence 89, PPL: -3.30518
179: bad sentence 89, PPL: -2.61607
180: good sentence 90, PPL: -3.92233
181: bad sentence 90, PPL: -4.77932
182: good sentence 91, PPL: -2.35293
183: bad sentence 91, PPL: -2.57547
184: good sentence 92, PPL: -1.73581
185: bad sentence 92, PPL: -2.05991
186: good sentence 93, PPL: -2.90194
187: bad sentence 93, PPL: -1.63695
188: good sentence 94, PPL: -3.62268
189: bad sentence 94, PPL: -5.03075
190: good sentence 95, PPL: -2.65428
191: bad sentence 95, PPL: -1.21722
192: good sentence 96, PPL: -6.03267
193: bad sentence 96, PPL: -7.44186
194: good sentence 97, PPL: -1.17509
195: bad sentence 97, PPL: -1.48061
196: good sentence 98, PPL: -1.29070
197: bad sentence 98, PPL: -1.28852
198: good sentence 99, PPL: -1.98785
199: bad sentence 99, PPL: -1.36531
200: good sentence 100, PPL: -3.78660
201: bad sentence 100, PPL: -4.56598
202: good sentence 101, PPL: -2.15956
203: bad sentence 101, PPL: -1.68148
