RelativeClause
	rc_resumptive_noun
Model: TsinghuaAI/CPM-Generate, Accuracy: 82.10000, Average Perplexity (Good Sentences): -8137.31982, Average Perplexity (Bad Sentences): -9909.34766
0: good sentence 0, PPL: -6091.36963
1: bad sentence 0, PPL: -5543.50000
2: good sentence 1, PPL: -7342.57178
3: bad sentence 1, PPL: -8156.40234
4: good sentence 2, PPL: -4167.82959
5: bad sentence 2, PPL: -3769.34058
6: good sentence 3, PPL: -31094.36328
7: bad sentence 3, PPL: -34805.71094
8: good sentence 4, PPL: -2436.89502
9: bad sentence 4, PPL: -3372.43457
10: good sentence 5, PPL: -13448.20996
11: bad sentence 5, PPL: -21597.77734
12: good sentence 6, PPL: -5676.55713
13: bad sentence 6, PPL: -6774.79199
14: good sentence 7, PPL: -8772.67578
15: bad sentence 7, PPL: -6008.43848
16: good sentence 8, PPL: -32820.74609
17: bad sentence 8, PPL: -36672.05859
18: good sentence 9, PPL: -9294.93750
19: bad sentence 9, PPL: -12134.13770
20: good sentence 10, PPL: -4537.37109
21: bad sentence 10, PPL: -4369.08936
22: good sentence 11, PPL: -7287.77344
23: bad sentence 11, PPL: -7151.43066
24: good sentence 12, PPL: -9369.03613
25: bad sentence 12, PPL: -9663.90625
26: good sentence 13, PPL: -17254.64258
27: bad sentence 13, PPL: -23622.49805
28: good sentence 14, PPL: -5805.57812
29: bad sentence 14, PPL: -9810.01660
30: good sentence 15, PPL: -10453.76855
31: bad sentence 15, PPL: -11139.81836
32: good sentence 16, PPL: -13654.46680
33: bad sentence 16, PPL: -18846.20117
34: good sentence 17, PPL: -7563.22656
35: bad sentence 17, PPL: -12330.14844
36: good sentence 18, PPL: -13291.90137
37: bad sentence 18, PPL: -14896.84668
38: good sentence 19, PPL: -6111.68896
39: bad sentence 19, PPL: -8643.96973
40: good sentence 20, PPL: -13348.20117
41: bad sentence 20, PPL: -18431.06055
42: good sentence 21, PPL: -13460.51562
43: bad sentence 21, PPL: -17160.18359
44: good sentence 22, PPL: -14817.12012
45: bad sentence 22, PPL: -12030.16016
46: good sentence 23, PPL: -11932.93262
47: bad sentence 23, PPL: -17598.63477
48: good sentence 24, PPL: -8685.46777
49: bad sentence 24, PPL: -11757.71484
50: good sentence 25, PPL: -15580.88379
51: bad sentence 25, PPL: -26209.88867
52: good sentence 26, PPL: -15667.39453
53: bad sentence 26, PPL: -23105.49609
54: good sentence 27, PPL: -4278.70801
55: bad sentence 27, PPL: -4731.47070
56: good sentence 28, PPL: -7353.76367
57: bad sentence 28, PPL: -6651.60400
58: good sentence 29, PPL: -5245.83350
59: bad sentence 29, PPL: -5928.93701
60: good sentence 30, PPL: -6569.92334
61: bad sentence 30, PPL: -11456.58691
62: good sentence 31, PPL: -6161.10400
63: bad sentence 31, PPL: -4983.00879
64: good sentence 32, PPL: -11111.20215
65: bad sentence 32, PPL: -18760.82422
66: good sentence 33, PPL: -7522.76270
67: bad sentence 33, PPL: -12713.63086
68: good sentence 34, PPL: -5405.93701
69: bad sentence 34, PPL: -5375.52246
70: good sentence 35, PPL: -5404.31299
71: bad sentence 35, PPL: -6162.69678
72: good sentence 36, PPL: -12121.33398
73: bad sentence 36, PPL: -22559.13086
74: good sentence 37, PPL: -7217.25977
75: bad sentence 37, PPL: -8239.19434
76: good sentence 38, PPL: -10487.43066
77: bad sentence 38, PPL: -13305.35840
78: good sentence 39, PPL: -5595.08838
79: bad sentence 39, PPL: -6476.70801
80: good sentence 40, PPL: -8778.72754
81: bad sentence 40, PPL: -12696.48535
82: good sentence 41, PPL: -8252.32715
83: bad sentence 41, PPL: -11041.79102
84: good sentence 42, PPL: -8697.33691
85: bad sentence 42, PPL: -11928.05176
86: good sentence 43, PPL: -10986.14258
87: bad sentence 43, PPL: -17741.63672
88: good sentence 44, PPL: -20788.61133
89: bad sentence 44, PPL: -27313.00977
90: good sentence 45, PPL: -12392.83008
91: bad sentence 45, PPL: -18988.10938
