Anaphor
	baseline_female
Model: google-bert/bert-base-chinese, Accuracy: 86.70000, Average Perplexity (Good Sentences): -6.52945, Average Perplexity (Bad Sentences): -7.55560
0: good sentence 0, PPL: -7.42648
1: bad sentence 0, PPL: -7.94962
2: good sentence 1, PPL: -3.09393
3: bad sentence 1, PPL: -2.84740
4: good sentence 2, PPL: -2.81156
5: bad sentence 2, PPL: -2.87380
6: good sentence 3, PPL: -6.16289
7: bad sentence 3, PPL: -7.89690
8: good sentence 4, PPL: -7.43531
9: bad sentence 4, PPL: -8.47531
10: good sentence 5, PPL: -2.80209
11: bad sentence 5, PPL: -3.47229
12: good sentence 6, PPL: -1.52427
13: bad sentence 6, PPL: -1.72196
14: good sentence 7, PPL: -2.59960
15: bad sentence 7, PPL: -3.03567
16: good sentence 8, PPL: -40.28276
17: bad sentence 8, PPL: -51.05799
18: good sentence 9, PPL: -3.24266
19: bad sentence 9, PPL: -3.58755
20: good sentence 10, PPL: -41.26586
21: bad sentence 10, PPL: -45.56795
22: good sentence 11, PPL: -3.04642
23: bad sentence 11, PPL: -4.77965
24: good sentence 12, PPL: -9.64761
25: bad sentence 12, PPL: -13.78939
26: good sentence 13, PPL: -4.91166
27: bad sentence 13, PPL: -5.34194
28: good sentence 14, PPL: -8.57494
29: bad sentence 14, PPL: -10.74047
30: good sentence 15, PPL: -2.10064
31: bad sentence 15, PPL: -2.37681
32: good sentence 16, PPL: -1.88733
33: bad sentence 16, PPL: -1.85915
34: good sentence 17, PPL: -15.12727
35: bad sentence 17, PPL: -24.69026
36: good sentence 18, PPL: -1.63779
37: bad sentence 18, PPL: -1.76082
38: good sentence 19, PPL: -3.08405
39: bad sentence 19, PPL: -3.74423
40: good sentence 20, PPL: -1.86678
41: bad sentence 20, PPL: -2.13146
42: good sentence 21, PPL: -11.23554
43: bad sentence 21, PPL: -12.72117
44: good sentence 22, PPL: -1.46340
45: bad sentence 22, PPL: -1.40651
46: good sentence 23, PPL: -8.53143
47: bad sentence 23, PPL: -10.76073
48: good sentence 24, PPL: -12.01250
49: bad sentence 24, PPL: -14.55077
50: good sentence 25, PPL: -3.42569
51: bad sentence 25, PPL: -3.96444
52: good sentence 26, PPL: -14.37266
53: bad sentence 26, PPL: -16.37708
54: good sentence 27, PPL: -7.87021
55: bad sentence 27, PPL: -8.15538
56: good sentence 28, PPL: -5.65093
57: bad sentence 28, PPL: -5.63708
58: good sentence 29, PPL: -7.10169
59: bad sentence 29, PPL: -8.24293
60: good sentence 30, PPL: -1.58928
61: bad sentence 30, PPL: -1.69676
62: good sentence 31, PPL: -6.78315
63: bad sentence 31, PPL: -7.50857
64: good sentence 32, PPL: -20.86574
65: bad sentence 32, PPL: -24.09192
66: good sentence 33, PPL: -3.60843
67: bad sentence 33, PPL: -3.72616
68: good sentence 34, PPL: -8.56355
69: bad sentence 34, PPL: -10.93022
70: good sentence 35, PPL: -2.53068
71: bad sentence 35, PPL: -3.41472
72: good sentence 36, PPL: -2.72717
73: bad sentence 36, PPL: -3.14455
74: good sentence 37, PPL: -40.93162
75: bad sentence 37, PPL: -54.97770
76: good sentence 38, PPL: -80.42687
77: bad sentence 38, PPL: -101.39977
78: good sentence 39, PPL: -2.51614
79: bad sentence 39, PPL: -2.95598
80: good sentence 40, PPL: -24.81156
81: bad sentence 40, PPL: -33.35610
82: good sentence 41, PPL: -5.38194
83: bad sentence 41, PPL: -5.63572
84: good sentence 42, PPL: -1.68224
85: bad sentence 42, PPL: -1.57170
86: good sentence 43, PPL: -2.23951
87: bad sentence 43, PPL: -2.14287
88: good sentence 44, PPL: -5.79759
89: bad sentence 44, PPL: -6.35700
90: good sentence 45, PPL: -14.49491
91: bad sentence 45, PPL: -14.79664
92: good sentence 46, PPL: -2.31229
93: bad sentence 46, PPL: -2.67595
94: good sentence 47, PPL: -3.85157
95: bad sentence 47, PPL: -3.98151
96: good sentence 48, PPL: -4.03630
97: bad sentence 48, PPL: -6.58866
98: good sentence 49, PPL: -2.49036
99: bad sentence 49, PPL: -2.56198
100: good sentence 50, PPL: -2.66030
101: bad sentence 50, PPL: -3.33926
102: good sentence 51, PPL: -1.70769
103: bad sentence 51, PPL: -2.37929
104: good sentence 52, PPL: -1.60576
105: bad sentence 52, PPL: -1.57806
106: good sentence 53, PPL: -2.25834
107: bad sentence 53, PPL: -2.19354
108: good sentence 54, PPL: -21.31279
109: bad sentence 54, PPL: -22.29504
110: good sentence 55, PPL: -1.96072
111: bad sentence 55, PPL: -2.08730
112: good sentence 56, PPL: -3.28533
113: bad sentence 56, PPL: -3.45147
114: good sentence 57, PPL: -7.57836
115: bad sentence 57, PPL: -9.06675
116: good sentence 58, PPL: -7.24145
117: bad sentence 58, PPL: -7.83345
118: good sentence 59, PPL: -13.40981
119: bad sentence 59, PPL: -13.54022
120: good sentence 60, PPL: -2.45920
121: bad sentence 60, PPL: -2.49066
122: good sentence 61, PPL: -3.43387
123: bad sentence 61, PPL: -3.68636
124: good sentence 62, PPL: -4.74019
125: bad sentence 62, PPL: -6.94381
126: good sentence 63, PPL: -7.33117
127: bad sentence 63, PPL: -8.64215
128: good sentence 64, PPL: -4.51045
129: bad sentence 64, PPL: -4.78962
130: good sentence 65, PPL: -2.25413
131: bad sentence 65, PPL: -2.60631
132: good sentence 66, PPL: -33.73064
133: bad sentence 66, PPL: -36.79029
134: good sentence 67, PPL: -3.72707
135: bad sentence 67, PPL: -4.23789
136: good sentence 68, PPL: -12.12569
137: bad sentence 68, PPL: -18.51237
138: good sentence 69, PPL: -3.47742
139: bad sentence 69, PPL: -4.24880
140: good sentence 70, PPL: -1.95439
141: bad sentence 70, PPL: -2.60826
142: good sentence 71, PPL: -27.01225
143: bad sentence 71, PPL: -28.61711
144: good sentence 72, PPL: -2.90930
145: bad sentence 72, PPL: -4.05191
146: good sentence 73, PPL: -4.70106
147: bad sentence 73, PPL: -5.49587
148: good sentence 74, PPL: -2.78458
149: bad sentence 74, PPL: -2.91152
150: good sentence 75, PPL: -2.70550
151: bad sentence 75, PPL: -3.10703
152: good sentence 76, PPL: -4.82732
153: bad sentence 76, PPL: -5.26707
154: good sentence 77, PPL: -5.14460
155: bad sentence 77, PPL: -5.10452
156: good sentence 78, PPL: -3.12618
157: bad sentence 78, PPL: -3.98360
158: good sentence 79, PPL: -1.72768
159: bad sentence 79, PPL: -1.98560
160: good sentence 80, PPL: -1.60012
161: bad sentence 80, PPL: -1.89526
162: good sentence 81, PPL: -62.58311
163: bad sentence 81, PPL: -95.69997
164: good sentence 82, PPL: -2.18954
165: bad sentence 82, PPL: -2.22357
166: good sentence 83, PPL: -1.61360
167: bad sentence 83, PPL: -1.89907
168: good sentence 84, PPL: -33.65142
169: bad sentence 84, PPL: -36.17268
170: good sentence 85, PPL: -2.01289
171: bad sentence 85, PPL: -2.44314
172: good sentence 86, PPL: -3.58406
173: bad sentence 86, PPL: -4.31511
174: good sentence 87, PPL: -5.79529
175: bad sentence 87, PPL: -6.32162
176: good sentence 88, PPL: -1.88463
177: bad sentence 88, PPL: -2.26960
178: good sentence 89, PPL: -5.81915
179: bad sentence 89, PPL: -7.38335
180: good sentence 90, PPL: -6.57814
181: bad sentence 90, PPL: -8.97573
182: good sentence 91, PPL: -10.38309
183: bad sentence 91, PPL: -11.45521
184: good sentence 92, PPL: -56.02868
185: bad sentence 92, PPL: -98.11989
186: good sentence 93, PPL: -2.94949
187: bad sentence 93, PPL: -3.30640
188: good sentence 94, PPL: -2.61086
189: bad sentence 94, PPL: -3.11628
190: good sentence 95, PPL: -4.03012
191: bad sentence 95, PPL: -4.54654
192: good sentence 96, PPL: -4.78071
193: bad sentence 96, PPL: -5.39828
194: good sentence 97, PPL: -48.83710
195: bad sentence 97, PPL: -77.85185
196: good sentence 98, PPL: -3.03516
197: bad sentence 98, PPL: -3.15682
198: good sentence 99, PPL: -6.07427
199: bad sentence 99, PPL: -6.09892
200: good sentence 100, PPL: -10.04644
201: bad sentence 100, PPL: -9.52881
202: good sentence 101, PPL: -8.24577
203: bad sentence 101, PPL: -8.91136
204: good sentence 102, PPL: -11.97495
205: bad sentence 102, PPL: -13.11563
206: good sentence 103, PPL: -4.50162
207: bad sentence 103, PPL: -5.81188
208: good sentence 104, PPL: -10.47225
209: bad sentence 104, PPL: -10.64151
210: good sentence 105, PPL: -4.80707
211: bad sentence 105, PPL: -4.69649
212: good sentence 106, PPL: -2.21467
213: bad sentence 106, PPL: -2.26854
214: good sentence 107, PPL: -8.28867
215: bad sentence 107, PPL: -8.77716
216: good sentence 108, PPL: -1.66978
217: bad sentence 108, PPL: -1.94112
218: good sentence 109, PPL: -42.59306
219: bad sentence 109, PPL: -44.09822
220: good sentence 110, PPL: -7.79642
221: bad sentence 110, PPL: -9.82072
222: good sentence 111, PPL: -28.69923
223: bad sentence 111, PPL: -29.45666
224: good sentence 112, PPL: -8.32341
225: bad sentence 112, PPL: -10.06240
226: good sentence 113, PPL: -2.74376
227: bad sentence 113, PPL: -3.13469
228: good sentence 114, PPL: -2.14290
229: bad sentence 114, PPL: -2.31184
230: good sentence 115, PPL: -2.75899
231: bad sentence 115, PPL: -3.14496
232: good sentence 116, PPL: -2.92687
233: bad sentence 116, PPL: -2.98897
234: good sentence 117, PPL: -8.99333
235: bad sentence 117, PPL: -11.00915
236: good sentence 118, PPL: -3.62734
237: bad sentence 118, PPL: -3.93449
238: good sentence 119, PPL: -2.35380
239: bad sentence 119, PPL: -2.59154
240: good sentence 120, PPL: -4.63557
241: bad sentence 120, PPL: -5.60906
242: good sentence 121, PPL: -19.57169
243: bad sentence 121, PPL: -30.34634
244: good sentence 122, PPL: -6.67630
245: bad sentence 122, PPL: -6.35251
246: good sentence 123, PPL: -4.05639
247: bad sentence 123, PPL: -3.90652
248: good sentence 124, PPL: -2.94024
249: bad sentence 124, PPL: -3.81631
250: good sentence 125, PPL: -10.59595
251: bad sentence 125, PPL: -13.89366
252: good sentence 126, PPL: -2.19249
253: bad sentence 126, PPL: -2.34107
254: good sentence 127, PPL: -2.54448
255: bad sentence 127, PPL: -2.80283
256: good sentence 128, PPL: -20.25284
257: bad sentence 128, PPL: -20.12714
258: good sentence 129, PPL: -43.14893
259: bad sentence 129, PPL: -67.33598
260: good sentence 130, PPL: -3.49907
261: bad sentence 130, PPL: -3.76606
262: good sentence 131, PPL: -13.48546
263: bad sentence 131, PPL: -17.66902
264: good sentence 132, PPL: -3.14196
265: bad sentence 132, PPL: -3.82598
266: good sentence 133, PPL: -7.55124
267: bad sentence 133, PPL: -8.99197
268: good sentence 134, PPL: -3.22162
269: bad sentence 134, PPL: -3.79444
270: good sentence 135, PPL: -4.68514
271: bad sentence 135, PPL: -5.46826
272: good sentence 136, PPL: -11.22652
273: bad sentence 136, PPL: -12.56911
274: good sentence 137, PPL: -3.02177
275: bad sentence 137, PPL: -3.54577
276: good sentence 138, PPL: -2.33298
277: bad sentence 138, PPL: -3.01579
278: good sentence 139, PPL: -15.08402
279: bad sentence 139, PPL: -17.14017
280: good sentence 140, PPL: -7.68771
281: bad sentence 140, PPL: -8.95687
282: good sentence 141, PPL: -3.73156
283: bad sentence 141, PPL: -4.17456
284: good sentence 142, PPL: -1.77651
285: bad sentence 142, PPL: -2.13690
286: good sentence 143, PPL: -17.12884
287: bad sentence 143, PPL: -20.42017
288: good sentence 144, PPL: -15.66769
289: bad sentence 144, PPL: -13.56487
290: good sentence 145, PPL: -35.14024
291: bad sentence 145, PPL: -49.28939
292: good sentence 146, PPL: -3.56577
293: bad sentence 146, PPL: -3.65802
294: good sentence 147, PPL: -5.53204
295: bad sentence 147, PPL: -6.09951
296: good sentence 148, PPL: -5.15858
297: bad sentence 148, PPL: -6.91785
298: good sentence 149, PPL: -4.14289
299: bad sentence 149, PPL: -5.01318
300: good sentence 150, PPL: -30.10302
301: bad sentence 150, PPL: -37.75454
302: good sentence 151, PPL: -8.32200
303: bad sentence 151, PPL: -10.05889
304: good sentence 152, PPL: -35.18315
305: bad sentence 152, PPL: -38.15229
306: good sentence 153, PPL: -38.89732
307: bad sentence 153, PPL: -50.39575
308: good sentence 154, PPL: -4.54195
309: bad sentence 154, PPL: -5.22030
310: good sentence 155, PPL: -8.68477
311: bad sentence 155, PPL: -8.79505
312: good sentence 156, PPL: -9.84516
313: bad sentence 156, PPL: -10.79634
314: good sentence 157, PPL: -4.61232
315: bad sentence 157, PPL: -5.19974
316: good sentence 158, PPL: -2.95075
317: bad sentence 158, PPL: -3.05897
318: good sentence 159, PPL: -6.06623
319: bad sentence 159, PPL: -7.09341
320: good sentence 160, PPL: -3.99996
321: bad sentence 160, PPL: -3.51514
322: good sentence 161, PPL: -3.74317
323: bad sentence 161, PPL: -4.54285
324: good sentence 162, PPL: -6.54415
325: bad sentence 162, PPL: -6.82236
326: good sentence 163, PPL: -6.66964
327: bad sentence 163, PPL: -7.59364
328: good sentence 164, PPL: -1.56421
329: bad sentence 164, PPL: -1.81925
330: good sentence 165, PPL: -9.46555
331: bad sentence 165, PPL: -12.07274
332: good sentence 166, PPL: -1.80327
333: bad sentence 166, PPL: -2.10934
334: good sentence 167, PPL: -3.35686
335: bad sentence 167, PPL: -4.30076
336: good sentence 168, PPL: -28.42281
337: bad sentence 168, PPL: -42.09106
338: good sentence 169, PPL: -2.65950
339: bad sentence 169, PPL: -2.97128
340: good sentence 170, PPL: -3.62696
341: bad sentence 170, PPL: -4.13968
342: good sentence 171, PPL: -3.71338
343: bad sentence 171, PPL: -5.28357
344: good sentence 172, PPL: -11.58968
345: bad sentence 172, PPL: -15.11425
346: good sentence 173, PPL: -30.83566
347: bad sentence 173, PPL: -35.88796
348: good sentence 174, PPL: -15.24325
349: bad sentence 174, PPL: -14.54228
350: good sentence 175, PPL: -10.91642
351: bad sentence 175, PPL: -13.44700
352: good sentence 176, PPL: -13.11330
353: bad sentence 176, PPL: -14.99483
354: good sentence 177, PPL: -6.33736
355: bad sentence 177, PPL: -8.75409
