Classifier-Noun
	cl_comp_noun_v2
Model: google-bert/bert-base-chinese, Accuracy: 86.70000, Average Perplexity (Good Sentences): -3.64428, Average Perplexity (Bad Sentences): -7.54541
0: good sentence 0, PPL: -2.40328
1: bad sentence 0, PPL: -4.30599
2: good sentence 1, PPL: -2.21367
3: bad sentence 1, PPL: -5.97917
4: good sentence 2, PPL: -1.20277
5: bad sentence 2, PPL: -3.52107
6: good sentence 3, PPL: -1.34957
7: bad sentence 3, PPL: -4.45211
8: good sentence 4, PPL: -1.64145
9: bad sentence 4, PPL: -5.23331
10: good sentence 5, PPL: -3.20683
11: bad sentence 5, PPL: -7.82400
12: good sentence 6, PPL: -1.13239
13: bad sentence 6, PPL: -1.93475
14: good sentence 7, PPL: -1.15942
15: bad sentence 7, PPL: -3.62244
16: good sentence 8, PPL: -1.25351
17: bad sentence 8, PPL: -4.16899
18: good sentence 9, PPL: -4.80626
19: bad sentence 9, PPL: -10.54497
20: good sentence 10, PPL: -1.40584
21: bad sentence 10, PPL: -3.06703
22: good sentence 11, PPL: -1.58778
23: bad sentence 11, PPL: -4.22118
24: good sentence 12, PPL: -1.74331
25: bad sentence 12, PPL: -2.33951
26: good sentence 13, PPL: -8.91414
27: bad sentence 13, PPL: -13.48384
28: good sentence 14, PPL: -1.44977
29: bad sentence 14, PPL: -5.09434
30: good sentence 15, PPL: -2.77130
31: bad sentence 15, PPL: -5.82058
32: good sentence 16, PPL: -1.28677
33: bad sentence 16, PPL: -4.99228
34: good sentence 17, PPL: -1.47032
35: bad sentence 17, PPL: -7.29387
36: good sentence 18, PPL: -2.47545
37: bad sentence 18, PPL: -14.30385
38: good sentence 19, PPL: -3.71849
39: bad sentence 19, PPL: -7.42292
40: good sentence 20, PPL: -7.68666
41: bad sentence 20, PPL: -27.00335
42: good sentence 21, PPL: -1.62795
43: bad sentence 21, PPL: -6.46392
44: good sentence 22, PPL: -1.94817
45: bad sentence 22, PPL: -5.22934
46: good sentence 23, PPL: -1.46106
47: bad sentence 23, PPL: -2.30936
48: good sentence 24, PPL: -3.21896
49: bad sentence 24, PPL: -16.57921
50: good sentence 25, PPL: -2.17916
51: bad sentence 25, PPL: -8.00509
52: good sentence 26, PPL: -5.78598
53: bad sentence 26, PPL: -18.87497
54: good sentence 27, PPL: -2.02147
55: bad sentence 27, PPL: -3.73087
56: good sentence 28, PPL: -5.40607
57: bad sentence 28, PPL: -13.48553
58: good sentence 29, PPL: -1.23540
59: bad sentence 29, PPL: -3.17140
60: good sentence 30, PPL: -3.05020
61: bad sentence 30, PPL: -16.71100
62: good sentence 31, PPL: -2.47504
63: bad sentence 31, PPL: -3.40594
64: good sentence 32, PPL: -1.23279
65: bad sentence 32, PPL: -2.62698
66: good sentence 33, PPL: -2.97326
67: bad sentence 33, PPL: -5.23143
68: good sentence 34, PPL: -2.72218
69: bad sentence 34, PPL: -3.63820
70: good sentence 35, PPL: -2.42880
71: bad sentence 35, PPL: -5.29128
72: good sentence 36, PPL: -1.37453
73: bad sentence 36, PPL: -5.96068
74: good sentence 37, PPL: -1.16683
75: bad sentence 37, PPL: -5.71478
76: good sentence 38, PPL: -1.13546
77: bad sentence 38, PPL: -11.66431
78: good sentence 39, PPL: -1.75218
79: bad sentence 39, PPL: -10.17362
80: good sentence 40, PPL: -1.63959
81: bad sentence 40, PPL: -5.90677
82: good sentence 41, PPL: -1.09979
83: bad sentence 41, PPL: -11.65194
84: good sentence 42, PPL: -1.15512
85: bad sentence 42, PPL: -2.96766
86: good sentence 43, PPL: -2.08421
87: bad sentence 43, PPL: -2.77026
88: good sentence 44, PPL: -1.11190
89: bad sentence 44, PPL: -2.12057
90: good sentence 45, PPL: -2.01930
91: bad sentence 45, PPL: -5.15684
92: good sentence 46, PPL: -4.09612
93: bad sentence 46, PPL: -7.39908
94: good sentence 47, PPL: -6.61019
95: bad sentence 47, PPL: -36.45759
96: good sentence 48, PPL: -1.16372
97: bad sentence 48, PPL: -14.10983
98: good sentence 49, PPL: -2.12640
99: bad sentence 49, PPL: -8.20805
100: good sentence 50, PPL: -4.80667
101: bad sentence 50, PPL: -7.50306
102: good sentence 51, PPL: -1.31509
103: bad sentence 51, PPL: -5.16953
104: good sentence 52, PPL: -3.65801
105: bad sentence 52, PPL: -1.79492
106: good sentence 53, PPL: -11.29512
107: bad sentence 53, PPL: -6.73742
108: good sentence 54, PPL: -1.24926
109: bad sentence 54, PPL: -3.36174
110: good sentence 55, PPL: -1.62056
111: bad sentence 55, PPL: -11.02401
112: good sentence 56, PPL: -3.00947
113: bad sentence 56, PPL: -4.87055
114: good sentence 57, PPL: -2.82411
115: bad sentence 57, PPL: -3.63984
116: good sentence 58, PPL: -1.38192
117: bad sentence 58, PPL: -5.43889
118: good sentence 59, PPL: -1.44164
119: bad sentence 59, PPL: -4.31105
120: good sentence 60, PPL: -12.44516
121: bad sentence 60, PPL: -22.04305
122: good sentence 61, PPL: -25.33302
123: bad sentence 61, PPL: -39.53402
124: good sentence 62, PPL: -1.67622
125: bad sentence 62, PPL: -6.67057
126: good sentence 63, PPL: -5.15453
127: bad sentence 63, PPL: -9.69018
128: good sentence 64, PPL: -2.08242
129: bad sentence 64, PPL: -4.36973
130: good sentence 65, PPL: -4.42330
131: bad sentence 65, PPL: -9.06171
132: good sentence 66, PPL: -3.29620
133: bad sentence 66, PPL: -9.51409
134: good sentence 67, PPL: -1.89478
135: bad sentence 67, PPL: -3.55515
136: good sentence 68, PPL: -1.49979
137: bad sentence 68, PPL: -3.02026
138: good sentence 69, PPL: -1.86488
139: bad sentence 69, PPL: -10.35672
140: good sentence 70, PPL: -3.46940
141: bad sentence 70, PPL: -14.94579
142: good sentence 71, PPL: -1.39741
143: bad sentence 71, PPL: -2.16217
144: good sentence 72, PPL: -4.08568
145: bad sentence 72, PPL: -2.85698
146: good sentence 73, PPL: -11.22168
147: bad sentence 73, PPL: -41.63848
148: good sentence 74, PPL: -1.14663
149: bad sentence 74, PPL: -17.73726
150: good sentence 75, PPL: -2.11860
151: bad sentence 75, PPL: -12.72711
152: good sentence 76, PPL: -14.61097
153: bad sentence 76, PPL: -27.73891
154: good sentence 77, PPL: -6.84378
155: bad sentence 77, PPL: -11.76317
156: good sentence 78, PPL: -1.35932
157: bad sentence 78, PPL: -4.48945
158: good sentence 79, PPL: -1.75703
159: bad sentence 79, PPL: -4.65564
160: good sentence 80, PPL: -2.60892
161: bad sentence 80, PPL: -8.11147
162: good sentence 81, PPL: -4.79194
163: bad sentence 81, PPL: -5.56298
164: good sentence 82, PPL: -1.77081
165: bad sentence 82, PPL: -4.04895
166: good sentence 83, PPL: -6.15715
167: bad sentence 83, PPL: -48.05766
168: good sentence 84, PPL: -1.22094
169: bad sentence 84, PPL: -7.03541
170: good sentence 85, PPL: -2.80312
171: bad sentence 85, PPL: -18.10252
172: good sentence 86, PPL: -3.49820
173: bad sentence 86, PPL: -7.98799
174: good sentence 87, PPL: -1.26977
175: bad sentence 87, PPL: -5.95602
176: good sentence 88, PPL: -2.06123
177: bad sentence 88, PPL: -16.36619
178: good sentence 89, PPL: -1.63474
179: bad sentence 89, PPL: -2.32360
180: good sentence 90, PPL: -1.50960
181: bad sentence 90, PPL: -5.27895
182: good sentence 91, PPL: -1.26128
183: bad sentence 91, PPL: -3.67890
184: good sentence 92, PPL: -6.30093
185: bad sentence 92, PPL: -24.48085
186: good sentence 93, PPL: -4.26980
187: bad sentence 93, PPL: -9.53625
188: good sentence 94, PPL: -2.16293
189: bad sentence 94, PPL: -4.67103
190: good sentence 95, PPL: -4.83287
