,0,1,2,3
0,ba,ba_construction,有个学生的最好的朋友把坡卖了,1
1,ba,ba_construction,有个学生的最好的朋友被坡卖了,0
2,ba,ba_construction,王鑫把自行车扔了,1
3,ba,ba_construction,王鑫被自行车扔了,0
4,ba,ba_construction,王子豪把窗口找了,1
5,ba,ba_construction,王子豪被窗口找了,0
6,ba,ba_construction,温斯顿·丘吉尔把朱天一的书检查了,1
7,ba,ba_construction,温斯顿·丘吉尔被朱天一的书检查了,0
8,ba,ba_construction,王芳把卡车打破了,1
9,ba,ba_construction,王芳被卡车打破了,0
10,ba,ba_construction,王皓把独轮车扔了,1
11,ba,ba_construction,王皓被独轮车扔了,0
12,ba,ba_construction,这些青少年把张杰的纪录片描述了,1
13,ba,ba_construction,这些青少年被张杰的纪录片描述了,0
14,ba,ba_construction,报告把大学转移了,1
15,ba,ba_construction,报告被大学转移了,0
16,ba,ba_construction,杨玲把推车打破了,1
17,ba,ba_construction,杨玲被推车打破了,0
18,ba,ba_construction,罗西把小册子忘记了,1
19,ba,ba_construction,罗西被小册子忘记了,0
20,ba,ba_construction,那个女孩把小山描述了,1
21,ba,ba_construction,那个女孩被小山描述了,0
22,ba,ba_construction,刘霞把书拿了,1
23,ba,ba_construction,刘霞被书拿了,0
24,ba,ba_construction,那些儿童把购物中心描述了,1
25,ba,ba_construction,那些儿童被购物中心描述了,0
26,ba,ba_construction,草图把博物馆转移了,1
27,ba,ba_construction,草图被博物馆转移了,0
28,ba,ba_construction,那个参议员的前妻把博物馆摆脱了,1
29,ba,ba_construction,那个参议员的前妻被博物馆摆脱了,0
30,ba,ba_construction,张兴把围巾穿了,1
31,ba,ba_construction,张兴被围巾穿了,0
32,ba,ba_construction,张雨馨把电脑扔了,1
33,ba,ba_construction,张雨馨被电脑扔了,0
34,ba,ba_construction,王子豪的皮肤科医生把飞机找了,1
35,ba,ba_construction,王子豪的皮肤科医生被飞机找了,0
36,ba,ba_construction,这些儿童的肿瘤医师把照片卖了,1
37,ba,ba_construction,这些儿童的肿瘤医师被照片卖了,0
38,ba,ba_construction,那些人把短裙穿了,1
39,ba,ba_construction,那些人被短裙穿了,0
40,ba,ba_construction,谢天天把评论研究了,1
