Classifier-Noun
	cl_adj_comp_noun
Model: google-bert/bert-base-chinese, Accuracy: 70.70000, Average Perplexity (Good Sentences): -3.11154, Average Perplexity (Bad Sentences): -3.85487
0: good sentence 0, PPL: -5.19159
1: bad sentence 0, PPL: -6.71661
2: good sentence 1, PPL: -3.61502
3: bad sentence 1, PPL: -5.77468
4: good sentence 2, PPL: -1.62861
5: bad sentence 2, PPL: -1.80466
6: good sentence 3, PPL: -4.86438
7: bad sentence 3, PPL: -5.05465
8: good sentence 4, PPL: -2.71663
9: bad sentence 4, PPL: -4.83925
10: good sentence 5, PPL: -2.45010
11: bad sentence 5, PPL: -2.00757
12: good sentence 6, PPL: -3.74461
13: bad sentence 6, PPL: -4.50497
14: good sentence 7, PPL: -6.02302
15: bad sentence 7, PPL: -7.53963
16: good sentence 8, PPL: -1.72677
17: bad sentence 8, PPL: -3.31199
18: good sentence 9, PPL: -3.23266
19: bad sentence 9, PPL: -3.46656
20: good sentence 10, PPL: -1.59281
21: bad sentence 10, PPL: -2.96258
22: good sentence 11, PPL: -2.09346
23: bad sentence 11, PPL: -3.10521
24: good sentence 12, PPL: -2.60259
25: bad sentence 12, PPL: -1.81292
26: good sentence 13, PPL: -4.37690
27: bad sentence 13, PPL: -3.08697
28: good sentence 14, PPL: -1.39316
29: bad sentence 14, PPL: -4.54319
30: good sentence 15, PPL: -1.99573
31: bad sentence 15, PPL: -2.84219
32: good sentence 16, PPL: -2.79187
33: bad sentence 16, PPL: -2.96090
34: good sentence 17, PPL: -6.15103
35: bad sentence 17, PPL: -5.39192
36: good sentence 18, PPL: -2.67998
37: bad sentence 18, PPL: -4.78518
38: good sentence 19, PPL: -5.57642
39: bad sentence 19, PPL: -3.48071
40: good sentence 20, PPL: -3.71863
41: bad sentence 20, PPL: -4.56005
42: good sentence 21, PPL: -4.20174
43: bad sentence 21, PPL: -4.42831
44: good sentence 22, PPL: -6.97666
45: bad sentence 22, PPL: -5.44146
46: good sentence 23, PPL: -2.41812
47: bad sentence 23, PPL: -3.98384
48: good sentence 24, PPL: -3.80884
49: bad sentence 24, PPL: -2.35567
50: good sentence 25, PPL: -2.65175
51: bad sentence 25, PPL: -2.75386
52: good sentence 26, PPL: -2.27713
53: bad sentence 26, PPL: -4.24311
54: good sentence 27, PPL: -2.38106
55: bad sentence 27, PPL: -5.53808
56: good sentence 28, PPL: -2.54055
57: bad sentence 28, PPL: -6.47605
58: good sentence 29, PPL: -2.20730
59: bad sentence 29, PPL: -4.46263
60: good sentence 30, PPL: -1.83183
61: bad sentence 30, PPL: -2.79480
62: good sentence 31, PPL: -1.56981
63: bad sentence 31, PPL: -2.97220
64: good sentence 32, PPL: -1.74041
65: bad sentence 32, PPL: -2.76549
66: good sentence 33, PPL: -4.76420
67: bad sentence 33, PPL: -3.15556
68: good sentence 34, PPL: -1.72111
69: bad sentence 34, PPL: -3.01432
70: good sentence 35, PPL: -2.79051
71: bad sentence 35, PPL: -2.55395
72: good sentence 36, PPL: -1.77136
73: bad sentence 36, PPL: -1.96801
74: good sentence 37, PPL: -2.89904
75: bad sentence 37, PPL: -4.06560
76: good sentence 38, PPL: -27.88650
77: bad sentence 38, PPL: -17.30188
78: good sentence 39, PPL: -1.46250
79: bad sentence 39, PPL: -5.52721
80: good sentence 40, PPL: -1.75948
81: bad sentence 40, PPL: -3.10944
82: good sentence 41, PPL: -5.94061
83: bad sentence 41, PPL: -8.70923
84: good sentence 42, PPL: -1.81955
85: bad sentence 42, PPL: -3.54552
86: good sentence 43, PPL: -2.98137
87: bad sentence 43, PPL: -2.00629
88: good sentence 44, PPL: -3.18810
89: bad sentence 44, PPL: -2.99499
90: good sentence 45, PPL: -2.20856
91: bad sentence 45, PPL: -3.50248
92: good sentence 46, PPL: -2.02161
93: bad sentence 46, PPL: -4.73023
94: good sentence 47, PPL: -5.29851
95: bad sentence 47, PPL: -6.33253
96: good sentence 48, PPL: -2.88887
97: bad sentence 48, PPL: -3.98343
98: good sentence 49, PPL: -6.68322
99: bad sentence 49, PPL: -2.57768
100: good sentence 50, PPL: -4.09129
101: bad sentence 50, PPL: -6.65860
102: good sentence 51, PPL: -2.77565
103: bad sentence 51, PPL: -3.38048
104: good sentence 52, PPL: -1.64348
105: bad sentence 52, PPL: -3.54176
106: good sentence 53, PPL: -7.55285
107: bad sentence 53, PPL: -11.36496
108: good sentence 54, PPL: -11.98893
109: bad sentence 54, PPL: -10.88453
110: good sentence 55, PPL: -2.61169
111: bad sentence 55, PPL: -5.18470
112: good sentence 56, PPL: -3.63123
113: bad sentence 56, PPL: -2.70841
114: good sentence 57, PPL: -2.48586
115: bad sentence 57, PPL: -2.88732
116: good sentence 58, PPL: -1.77825
117: bad sentence 58, PPL: -3.73830
118: good sentence 59, PPL: -1.41467
119: bad sentence 59, PPL: -3.19344
120: good sentence 60, PPL: -4.62611
121: bad sentence 60, PPL: -4.38498
122: good sentence 61, PPL: -2.43697
123: bad sentence 61, PPL: -3.76504
124: good sentence 62, PPL: -2.67063
125: bad sentence 62, PPL: -3.56272
126: good sentence 63, PPL: -6.84083
127: bad sentence 63, PPL: -5.10218
128: good sentence 64, PPL: -1.85694
129: bad sentence 64, PPL: -3.89179
130: good sentence 65, PPL: -3.29042
131: bad sentence 65, PPL: -3.51776
132: good sentence 66, PPL: -9.89403
133: bad sentence 66, PPL: -8.31691
134: good sentence 67, PPL: -3.06936
135: bad sentence 67, PPL: -4.03973
136: good sentence 68, PPL: -4.00979
137: bad sentence 68, PPL: -4.91186
138: good sentence 69, PPL: -3.35921
139: bad sentence 69, PPL: -3.59834
140: good sentence 70, PPL: -3.94557
141: bad sentence 70, PPL: -3.38146
142: good sentence 71, PPL: -5.11154
143: bad sentence 71, PPL: -3.90203
144: good sentence 72, PPL: -1.62467
145: bad sentence 72, PPL: -2.46983
146: good sentence 73, PPL: -2.60259
147: bad sentence 73, PPL: -2.94435
148: good sentence 74, PPL: -2.77649
149: bad sentence 74, PPL: -2.87439
150: good sentence 75, PPL: -3.03189
151: bad sentence 75, PPL: -5.25811
152: good sentence 76, PPL: -2.73651
153: bad sentence 76, PPL: -3.50552
154: good sentence 77, PPL: -2.52095
155: bad sentence 77, PPL: -4.06421
156: good sentence 78, PPL: -4.32121
157: bad sentence 78, PPL: -5.78639
158: good sentence 79, PPL: -8.84841
159: bad sentence 79, PPL: -8.43054
160: good sentence 80, PPL: -2.38106
161: bad sentence 80, PPL: -2.59078
162: good sentence 81, PPL: -2.66506
163: bad sentence 81, PPL: -3.61532
164: good sentence 82, PPL: -3.43726
165: bad sentence 82, PPL: -4.95537
166: good sentence 83, PPL: -5.70118
167: bad sentence 83, PPL: -4.06626
168: good sentence 84, PPL: -2.63138
169: bad sentence 84, PPL: -5.08367
170: good sentence 85, PPL: -5.57882
171: bad sentence 85, PPL: -3.53600
172: good sentence 86, PPL: -3.40965
173: bad sentence 86, PPL: -5.75288
174: good sentence 87, PPL: -9.58532
175: bad sentence 87, PPL: -7.00179
176: good sentence 88, PPL: -4.55824
177: bad sentence 88, PPL: -3.82632
178: good sentence 89, PPL: -2.77597
179: bad sentence 89, PPL: -1.94354
180: good sentence 90, PPL: -3.35474
181: bad sentence 90, PPL: -2.84875
182: good sentence 91, PPL: -5.73554
183: bad sentence 91, PPL: -3.52907
184: good sentence 92, PPL: -2.13103
185: bad sentence 92, PPL: -4.36367
186: good sentence 93, PPL: -7.01883
187: bad sentence 93, PPL: -8.72142
188: good sentence 94, PPL: -1.45531
189: bad sentence 94, PPL: -2.29106
190: good sentence 95, PPL: -2.13868
191: bad sentence 95, PPL: -3.53782
192: good sentence 96, PPL: -1.80706
193: bad sentence 96, PPL: -3.80552
194: good sentence 97, PPL: -3.22200
195: bad sentence 97, PPL: -2.03409
196: good sentence 98, PPL: -2.48519
197: bad sentence 98, PPL: -3.76470
198: good sentence 99, PPL: -3.35441
199: bad sentence 99, PPL: -3.56156
200: good sentence 100, PPL: -3.16065
201: bad sentence 100, PPL: -2.16604
202: good sentence 101, PPL: -3.27759
203: bad sentence 101, PPL: -1.79229
204: good sentence 102, PPL: -4.36164
205: bad sentence 102, PPL: -6.80924
206: good sentence 103, PPL: -1.95677
207: bad sentence 103, PPL: -2.69132
208: good sentence 104, PPL: -2.84541
209: bad sentence 104, PPL: -2.66150
210: good sentence 105, PPL: -2.02006
