verb_complement_res_verb_1000.csv
Model: TsinghuaAI/CPM-Generate, Accuracy: 0.96700, Average Perplexity (Good Sentences): -70431.67188, Average Perplexity (Bad Sentences): -112729.96094
0: good sentence 0, PPL: -118124.66406
1: bad sentence 0, PPL: -136483.54688
2: good sentence 1, PPL: -131941.43750
3: bad sentence 1, PPL: -173103.26562
4: good sentence 2, PPL: -167006.39062
5: bad sentence 2, PPL: -256811.25000
6: good sentence 3, PPL: -183560.45312
7: bad sentence 3, PPL: -348776.62500
8: good sentence 4, PPL: -254163.26562
9: bad sentence 4, PPL: -374493.65625
10: good sentence 5, PPL: -111285.25781
11: bad sentence 5, PPL: -165185.43750
12: good sentence 6, PPL: -83530.00000
13: bad sentence 6, PPL: -180928.96875
14: good sentence 7, PPL: -95841.43750
15: bad sentence 7, PPL: -131496.00000
16: good sentence 8, PPL: -27171.93555
17: bad sentence 8, PPL: -48298.06250
18: good sentence 9, PPL: -323990.03125
19: bad sentence 9, PPL: -734475.00000
20: good sentence 10, PPL: -169038.67188
21: bad sentence 10, PPL: -358241.06250
22: good sentence 11, PPL: -34298.20312
23: bad sentence 11, PPL: -49929.76953
24: good sentence 12, PPL: -98715.21094
25: bad sentence 12, PPL: -231932.65625
26: good sentence 13, PPL: -124901.41406
27: bad sentence 13, PPL: -174029.87500
28: good sentence 14, PPL: -58537.38281
29: bad sentence 14, PPL: -161401.07812
30: good sentence 15, PPL: -17606.12109
31: bad sentence 15, PPL: -31372.50977
32: good sentence 16, PPL: -145620.70312
33: bad sentence 16, PPL: -191475.59375
34: good sentence 17, PPL: -12984.52734
35: bad sentence 17, PPL: -30828.44531
36: good sentence 18, PPL: -224662.87500
37: bad sentence 18, PPL: -367689.40625
38: good sentence 19, PPL: -279690.53125
39: bad sentence 19, PPL: -336672.12500
40: good sentence 20, PPL: -258270.89062
41: bad sentence 20, PPL: -385723.46875
42: good sentence 21, PPL: -276113.50000
43: bad sentence 21, PPL: -422093.43750
44: good sentence 22, PPL: -21578.65234
45: bad sentence 22, PPL: -29200.31445
46: good sentence 23, PPL: -130461.99219
47: bad sentence 23, PPL: -183444.95312
48: good sentence 24, PPL: -360146.34375
49: bad sentence 24, PPL: -701793.37500
50: good sentence 25, PPL: -67008.67969
51: bad sentence 25, PPL: -157648.84375
52: good sentence 26, PPL: -21090.98828
53: bad sentence 26, PPL: -23884.70703
54: good sentence 27, PPL: -54472.57812
55: bad sentence 27, PPL: -124428.24219
56: good sentence 28, PPL: -10629.65820
57: bad sentence 28, PPL: -12432.37891
58: good sentence 29, PPL: -154345.37500
59: bad sentence 29, PPL: -211449.93750
60: good sentence 30, PPL: -106567.55469
61: bad sentence 30, PPL: -153348.26562
62: good sentence 31, PPL: -133057.70312
63: bad sentence 31, PPL: -196320.31250
64: good sentence 32, PPL: -103458.96094
65: bad sentence 32, PPL: -176646.09375
66: good sentence 33, PPL: -133597.84375
67: bad sentence 33, PPL: -197552.35938
68: good sentence 34, PPL: -32143.38867
69: bad sentence 34, PPL: -54128.67578
70: good sentence 35, PPL: -80977.03125
71: bad sentence 35, PPL: -119790.94531
72: good sentence 36, PPL: -195571.53125
73: bad sentence 36, PPL: -385897.50000
74: good sentence 37, PPL: -17624.75195
75: bad sentence 37, PPL: -23000.45117
76: good sentence 38, PPL: -194698.93750
77: bad sentence 38, PPL: -499341.28125
78: good sentence 39, PPL: -74696.21875
79: bad sentence 39, PPL: -109085.67188
80: good sentence 40, PPL: -24432.42188
81: bad sentence 40, PPL: -34348.87109
82: good sentence 41, PPL: -48770.87109
83: bad sentence 41, PPL: -68584.33594
84: good sentence 42, PPL: -165221.51562
85: bad sentence 42, PPL: -171862.00000
86: good sentence 43, PPL: -266113.50000
87: bad sentence 43, PPL: -493443.81250
88: good sentence 44, PPL: -102319.85938
89: bad sentence 44, PPL: -236989.82812
90: good sentence 45, PPL: -9140.92383
91: bad sentence 45, PPL: -23601.40039
92: good sentence 46, PPL: -34077.66797
93: bad sentence 46, PPL: -44702.75391
94: good sentence 47, PPL: -34723.95312
95: bad sentence 47, PPL: -82810.19531
96: good sentence 48, PPL: -77962.46094
97: bad sentence 48, PPL: -92885.26562
98: good sentence 49, PPL: -32468.24023
99: bad sentence 49, PPL: -57447.11719
100: good sentence 50, PPL: -56334.53906
101: bad sentence 50, PPL: -115976.88281
102: good sentence 51, PPL: -246476.73438
103: bad sentence 51, PPL: -293975.68750
104: good sentence 52, PPL: -90880.19531
105: bad sentence 52, PPL: -115272.27344
106: good sentence 53, PPL: -104066.35938
107: bad sentence 53, PPL: -207207.31250
108: good sentence 54, PPL: -155906.85938
109: bad sentence 54, PPL: -216301.09375
110: good sentence 55, PPL: -283413.90625
111: bad sentence 55, PPL: -303881.31250
112: good sentence 56, PPL: -169038.67188
113: bad sentence 56, PPL: -405427.28125
114: good sentence 57, PPL: -115916.39844
115: bad sentence 57, PPL: -120223.10156
116: good sentence 58, PPL: -534430.12500
117: bad sentence 58, PPL: -598776.00000
118: good sentence 59, PPL: -103731.64062
119: bad sentence 59, PPL: -146148.54688
120: good sentence 60, PPL: -31289.17578
121: bad sentence 60, PPL: -58435.98047
122: good sentence 61, PPL: -105089.81250
123: bad sentence 61, PPL: -154547.29688
124: good sentence 62, PPL: -8805.65918
125: bad sentence 62, PPL: -18091.02344
126: good sentence 63, PPL: -7909.36230
127: bad sentence 63, PPL: -14416.94434
128: good sentence 64, PPL: -59806.97266
129: bad sentence 64, PPL: -119120.17969
130: good sentence 65, PPL: -756596.12500
131: bad sentence 65, PPL: -1070178.50000
132: good sentence 66, PPL: -135701.18750
133: bad sentence 66, PPL: -136556.98438
134: good sentence 67, PPL: -258270.89062
135: bad sentence 67, PPL: -317597.15625
136: good sentence 68, PPL: -49328.64062
137: bad sentence 68, PPL: -67225.08594
138: good sentence 69, PPL: -62032.73828
139: bad sentence 69, PPL: -124827.23438
140: good sentence 70, PPL: -50996.67578
141: bad sentence 70, PPL: -80103.79688
142: good sentence 71, PPL: -176649.62500
143: bad sentence 71, PPL: -189108.62500
144: good sentence 72, PPL: -38293.54688
145: bad sentence 72, PPL: -52387.51953
146: good sentence 73, PPL: -30059.32812
147: bad sentence 73, PPL: -41130.14062
148: good sentence 74, PPL: -17436.72070
149: bad sentence 74, PPL: -30898.79297
150: good sentence 75, PPL: -37301.28125
151: bad sentence 75, PPL: -62276.94922
152: good sentence 76, PPL: -85462.59375
153: bad sentence 76, PPL: -109696.17188
154: good sentence 77, PPL: -74322.95312
155: bad sentence 77, PPL: -116619.94531
156: good sentence 78, PPL: -85379.74219
157: bad sentence 78, PPL: -126494.05469
158: good sentence 79, PPL: -94493.33594
159: bad sentence 79, PPL: -222164.51562
160: good sentence 80, PPL: -19181.52539
161: bad sentence 80, PPL: -19216.69922
162: good sentence 81, PPL: -32277.93555
163: bad sentence 81, PPL: -41654.11719
164: good sentence 82, PPL: -48245.07812
165: bad sentence 82, PPL: -86490.85938
166: good sentence 83, PPL: -139130.45312
167: bad sentence 83, PPL: -189840.62500
168: good sentence 84, PPL: -29797.96875
169: bad sentence 84, PPL: -74288.57812
170: good sentence 85, PPL: -238453.67188
171: bad sentence 85, PPL: -342721.93750
172: good sentence 86, PPL: -36190.86328
173: bad sentence 86, PPL: -44969.57031
174: good sentence 87, PPL: -97160.11719
175: bad sentence 87, PPL: -159516.43750
176: good sentence 88, PPL: -19089.67773
177: bad sentence 88, PPL: -37840.23438
178: good sentence 89, PPL: -49348.96875
179: bad sentence 89, PPL: -94939.37500
180: good sentence 90, PPL: -51458.29688
181: bad sentence 90, PPL: -109922.16406
182: good sentence 91, PPL: -38018.59766
183: bad sentence 91, PPL: -60676.71094
184: good sentence 92, PPL: -263889.56250
185: bad sentence 92, PPL: -227250.43750
186: good sentence 93, PPL: -33462.10938
187: bad sentence 93, PPL: -71554.53125
188: good sentence 94, PPL: -47514.00391
189: bad sentence 94, PPL: -75997.21094
190: good sentence 95, PPL: -104843.85156
191: bad sentence 95, PPL: -98952.92188
192: good sentence 96, PPL: -442171.28125
193: bad sentence 96, PPL: -655712.93750
194: good sentence 97, PPL: -142600.40625
195: bad sentence 97, PPL: -276879.25000
196: good sentence 98, PPL: -12634.73828
197: bad sentence 98, PPL: -19743.54883
198: good sentence 99, PPL: -70995.65625
199: bad sentence 99, PPL: -109702.54688
200: good sentence 100, PPL: -381216.90625
201: bad sentence 100, PPL: -576909.62500
202: good sentence 101, PPL: -78901.77344
203: bad sentence 101, PPL: -130071.40625
204: good sentence 102, PPL: -32112.77930
205: bad sentence 102, PPL: -58733.99609
206: good sentence 103, PPL: -12426.47559
207: bad sentence 103, PPL: -18540.22070
208: good sentence 104, PPL: -16750.09375
209: bad sentence 104, PPL: -55950.91016
210: good sentence 105, PPL: -48086.14453
211: bad sentence 105, PPL: -67275.04688
212: good sentence 106, PPL: -34562.29688
213: bad sentence 106, PPL: -48455.98438
214: good sentence 107, PPL: -40837.04297
215: bad sentence 107, PPL: -51145.46484
216: good sentence 108, PPL: -149153.06250
217: bad sentence 108, PPL: -204973.03125
218: good sentence 109, PPL: -124901.41406
219: bad sentence 109, PPL: -175945.48438
220: good sentence 110, PPL: -110644.81250
221: bad sentence 110, PPL: -132314.17188
222: good sentence 111, PPL: -289075.40625
223: bad sentence 111, PPL: -386094.81250
224: good sentence 112, PPL: -492937.21875
225: bad sentence 112, PPL: -588077.81250
226: good sentence 113, PPL: -371987.09375
227: bad sentence 113, PPL: -418166.09375
228: good sentence 114, PPL: -150400.60938
229: bad sentence 114, PPL: -214944.14062
230: good sentence 115, PPL: -26929.80078
231: bad sentence 115, PPL: -38761.53125
232: good sentence 116, PPL: -101600.41406
233: bad sentence 116, PPL: -133412.85938
234: good sentence 117, PPL: -16291.52832
235: bad sentence 117, PPL: -17625.72656
236: good sentence 118, PPL: -32138.76172
237: bad sentence 118, PPL: -43210.65625
238: good sentence 119, PPL: -8626.32129
239: bad sentence 119, PPL: -11153.76465
240: good sentence 120, PPL: -216962.82812
241: bad sentence 120, PPL: -323467.93750
242: good sentence 121, PPL: -52075.69531
243: bad sentence 121, PPL: -71660.17188
244: good sentence 122, PPL: -76801.72656
245: bad sentence 122, PPL: -140974.29688
246: good sentence 123, PPL: -12881.58887
247: bad sentence 123, PPL: -23738.84766
248: good sentence 124, PPL: -43706.21484
249: bad sentence 124, PPL: -56526.23438
250: good sentence 125, PPL: -167963.79688
251: bad sentence 125, PPL: -192758.29688
252: good sentence 126, PPL: -44290.71094
253: bad sentence 126, PPL: -70862.79688
254: good sentence 127, PPL: -17042.90430
255: bad sentence 127, PPL: -21725.38086
256: good sentence 128, PPL: -24551.07617
257: bad sentence 128, PPL: -61453.16406
258: good sentence 129, PPL: -10079.26855
259: bad sentence 129, PPL: -19288.23242
260: good sentence 130, PPL: -84141.06250
261: bad sentence 130, PPL: -89138.04688
262: good sentence 131, PPL: -276113.50000
263: bad sentence 131, PPL: -386447.34375
264: good sentence 132, PPL: -296351.71875
265: bad sentence 132, PPL: -316489.00000
266: good sentence 133, PPL: -13417.58105
267: bad sentence 133, PPL: -18915.79492
268: good sentence 134, PPL: -59785.98828
269: bad sentence 134, PPL: -80498.65625
270: good sentence 135, PPL: -54605.00391
271: bad sentence 135, PPL: -106539.29688
272: good sentence 136, PPL: -109481.81250
273: bad sentence 136, PPL: -174432.48438
274: good sentence 137, PPL: -86439.98438
275: bad sentence 137, PPL: -101515.27344
276: good sentence 138, PPL: -254163.26562
277: bad sentence 138, PPL: -398350.75000
278: good sentence 139, PPL: -76722.73438
279: bad sentence 139, PPL: -110497.49219
280: good sentence 140, PPL: -381216.90625
281: bad sentence 140, PPL: -428100.18750
282: good sentence 141, PPL: -54427.82031
283: bad sentence 141, PPL: -92582.35938
284: good sentence 142, PPL: -230263.60938
285: bad sentence 142, PPL: -295062.96875
286: good sentence 143, PPL: -43237.61719
287: bad sentence 143, PPL: -117434.21875
288: good sentence 144, PPL: -58843.71484
289: bad sentence 144, PPL: -75790.00000
290: good sentence 145, PPL: -60106.70703
291: bad sentence 145, PPL: -69812.63281
292: good sentence 146, PPL: -19076.61133
293: bad sentence 146, PPL: -38472.10156
294: good sentence 147, PPL: -28436.59570
295: bad sentence 147, PPL: -28981.58594
296: good sentence 148, PPL: -79476.33594
297: bad sentence 148, PPL: -121882.82031
298: good sentence 149, PPL: -36223.49609
299: bad sentence 149, PPL: -40812.47266
300: good sentence 150, PPL: -5572.43555
301: bad sentence 150, PPL: -7819.91504
302: good sentence 151, PPL: -35045.22266
303: bad sentence 151, PPL: -49960.54297
304: good sentence 152, PPL: -96113.01562
305: bad sentence 152, PPL: -130630.07031
306: good sentence 153, PPL: -10746.01758
307: bad sentence 153, PPL: -23168.51562
308: good sentence 154, PPL: -86200.58594
309: bad sentence 154, PPL: -159358.92188
310: good sentence 155, PPL: -38392.16797
311: bad sentence 155, PPL: -78972.84375
312: good sentence 156, PPL: -283144.28125
313: bad sentence 156, PPL: -215435.64062
314: good sentence 157, PPL: -12230.11133
315: bad sentence 157, PPL: -25095.63672
316: good sentence 158, PPL: -9751.59766
317: bad sentence 158, PPL: -17588.75195
318: good sentence 159, PPL: -103458.96094
319: bad sentence 159, PPL: -120892.12500
320: good sentence 160, PPL: -35691.80859
321: bad sentence 160, PPL: -68234.97656
322: good sentence 161, PPL: -50801.92578
323: bad sentence 161, PPL: -80158.75000
324: good sentence 162, PPL: -22007.42188
325: bad sentence 162, PPL: -47688.82031
326: good sentence 163, PPL: -84438.32812
327: bad sentence 163, PPL: -213556.34375
328: good sentence 164, PPL: -142641.90625
329: bad sentence 164, PPL: -302727.21875
330: good sentence 165, PPL: -50499.30078
331: bad sentence 165, PPL: -59468.45703
332: good sentence 166, PPL: -65268.11328
333: bad sentence 166, PPL: -87390.87500
334: good sentence 167, PPL: -94626.25781
335: bad sentence 167, PPL: -152718.95312
336: good sentence 168, PPL: -18360.91992
337: bad sentence 168, PPL: -53471.73828
338: good sentence 169, PPL: -68887.25000
339: bad sentence 169, PPL: -100365.70312
340: good sentence 170, PPL: -109310.50781
341: bad sentence 170, PPL: -227234.20312
342: good sentence 171, PPL: -247392.32812
343: bad sentence 171, PPL: -297123.43750
344: good sentence 172, PPL: -88901.10938
345: bad sentence 172, PPL: -162921.42188
346: good sentence 173, PPL: -12149.67773
347: bad sentence 173, PPL: -35225.92969
348: good sentence 174, PPL: -46998.80078
349: bad sentence 174, PPL: -66585.25000
350: good sentence 175, PPL: -95927.30469
351: bad sentence 175, PPL: -159701.82812
352: good sentence 176, PPL: -256323.10938
353: bad sentence 176, PPL: -327494.15625
354: good sentence 177, PPL: -165925.92188
355: bad sentence 177, PPL: -309047.03125
356: good sentence 178, PPL: -61038.46484
357: bad sentence 178, PPL: -94997.78906
358: good sentence 179, PPL: -100522.03906
359: bad sentence 179, PPL: -103000.78906
360: good sentence 180, PPL: -79197.43750
361: bad sentence 180, PPL: -110723.02344
362: good sentence 181, PPL: -21484.40039
363: bad sentence 181, PPL: -50576.36719
364: good sentence 182, PPL: -24200.98438
365: bad sentence 182, PPL: -35635.62500
366: good sentence 183, PPL: -30963.53906
367: bad sentence 183, PPL: -60309.68359
368: good sentence 184, PPL: -158320.35938
369: bad sentence 184, PPL: -359271.56250
370: good sentence 185, PPL: -27577.44141
371: bad sentence 185, PPL: -46930.76562
372: good sentence 186, PPL: -59514.75391
373: bad sentence 186, PPL: -109518.57031
374: good sentence 187, PPL: -26702.75391
375: bad sentence 187, PPL: -48255.52344
376: good sentence 188, PPL: -62557.91797
377: bad sentence 188, PPL: -154726.34375
378: good sentence 189, PPL: -13873.02539
379: bad sentence 189, PPL: -17750.58984
380: good sentence 190, PPL: -101069.57031
381: bad sentence 190, PPL: -202810.23438
382: good sentence 191, PPL: -123160.05469
