Classifier-Noun
	cl_adj_comp_noun_v2
Model: google-bert/bert-base-chinese, Accuracy: 87.50000, Average Perplexity (Good Sentences): -2.99510, Average Perplexity (Bad Sentences): -4.42617
0: good sentence 0, PPL: -2.58754
1: bad sentence 0, PPL: -3.01954
2: good sentence 1, PPL: -1.78657
3: bad sentence 1, PPL: -2.82177
4: good sentence 2, PPL: -1.77470
5: bad sentence 2, PPL: -3.15875
6: good sentence 3, PPL: -1.46983
7: bad sentence 3, PPL: -2.19254
8: good sentence 4, PPL: -2.42023
9: bad sentence 4, PPL: -4.90989
10: good sentence 5, PPL: -2.44721
11: bad sentence 5, PPL: -2.61404
12: good sentence 6, PPL: -2.03801
13: bad sentence 6, PPL: -2.26713
14: good sentence 7, PPL: -1.56523
15: bad sentence 7, PPL: -2.79805
16: good sentence 8, PPL: -1.63205
17: bad sentence 8, PPL: -3.30311
18: good sentence 9, PPL: -3.04373
19: bad sentence 9, PPL: -4.42657
20: good sentence 10, PPL: -1.58132
21: bad sentence 10, PPL: -2.27548
22: good sentence 11, PPL: -1.76894
23: bad sentence 11, PPL: -2.72487
24: good sentence 12, PPL: -2.39967
25: bad sentence 12, PPL: -2.40171
26: good sentence 13, PPL: -5.08770
27: bad sentence 13, PPL: -5.76844
28: good sentence 14, PPL: -2.39533
29: bad sentence 14, PPL: -4.53171
30: good sentence 15, PPL: -2.38202
31: bad sentence 15, PPL: -4.06371
32: good sentence 16, PPL: -1.41317
33: bad sentence 16, PPL: -2.54640
34: good sentence 17, PPL: -2.46665
35: bad sentence 17, PPL: -5.11588
36: good sentence 18, PPL: -3.21390
37: bad sentence 18, PPL: -6.76870
38: good sentence 19, PPL: -2.37161
39: bad sentence 19, PPL: -3.82552
40: good sentence 20, PPL: -4.06178
41: bad sentence 20, PPL: -9.26392
42: good sentence 21, PPL: -1.95197
43: bad sentence 21, PPL: -3.50368
44: good sentence 22, PPL: -2.30115
45: bad sentence 22, PPL: -3.96422
46: good sentence 23, PPL: -1.68822
47: bad sentence 23, PPL: -2.55403
48: good sentence 24, PPL: -3.44641
49: bad sentence 24, PPL: -5.93187
50: good sentence 25, PPL: -1.90548
51: bad sentence 25, PPL: -2.52264
52: good sentence 26, PPL: -3.61870
53: bad sentence 26, PPL: -5.41344
54: good sentence 27, PPL: -2.27874
55: bad sentence 27, PPL: -3.65853
56: good sentence 28, PPL: -6.56172
57: bad sentence 28, PPL: -6.04891
58: good sentence 29, PPL: -1.64697
59: bad sentence 29, PPL: -2.39617
60: good sentence 30, PPL: -3.94737
61: bad sentence 30, PPL: -5.61099
62: good sentence 31, PPL: -3.39511
63: bad sentence 31, PPL: -4.16925
64: good sentence 32, PPL: -1.42829
65: bad sentence 32, PPL: -2.14928
66: good sentence 33, PPL: -2.84109
67: bad sentence 33, PPL: -4.33400
68: good sentence 34, PPL: -2.45826
69: bad sentence 34, PPL: -2.48419
70: good sentence 35, PPL: -2.28463
71: bad sentence 35, PPL: -3.01094
72: good sentence 36, PPL: -2.87991
73: bad sentence 36, PPL: -4.06804
74: good sentence 37, PPL: -1.42132
75: bad sentence 37, PPL: -3.37898
76: good sentence 38, PPL: -1.56380
77: bad sentence 38, PPL: -4.20393
78: good sentence 39, PPL: -1.77883
79: bad sentence 39, PPL: -3.62086
80: good sentence 40, PPL: -2.31308
81: bad sentence 40, PPL: -3.37948
82: good sentence 41, PPL: -1.41011
83: bad sentence 41, PPL: -3.67940
84: good sentence 42, PPL: -1.63475
85: bad sentence 42, PPL: -2.47772
86: good sentence 43, PPL: -2.10017
