RelativeClause
	rc_resumptive_pronoun
Model: google-bert/bert-base-chinese, Accuracy: 42.70000, Average Perplexity (Good Sentences): -5.03174, Average Perplexity (Bad Sentences): -4.93443
0: good sentence 0, PPL: -3.22240
1: bad sentence 0, PPL: -3.33718
2: good sentence 1, PPL: -8.07115
3: bad sentence 1, PPL: -6.08513
4: good sentence 2, PPL: -5.39693
5: bad sentence 2, PPL: -5.03688
6: good sentence 3, PPL: -11.64913
7: bad sentence 3, PPL: -11.76723
8: good sentence 4, PPL: -17.17761
9: bad sentence 4, PPL: -19.84670
10: good sentence 5, PPL: -2.81035
11: bad sentence 5, PPL: -2.54922
12: good sentence 6, PPL: -23.72484
13: bad sentence 6, PPL: -24.49715
14: good sentence 7, PPL: -3.86863
15: bad sentence 7, PPL: -4.10956
16: good sentence 8, PPL: -3.08635
17: bad sentence 8, PPL: -3.47099
18: good sentence 9, PPL: -5.08927
19: bad sentence 9, PPL: -4.93259
20: good sentence 10, PPL: -3.56645
21: bad sentence 10, PPL: -3.30825
22: good sentence 11, PPL: -10.15005
23: bad sentence 11, PPL: -11.40631
24: good sentence 12, PPL: -2.71660
25: bad sentence 12, PPL: -2.77218
26: good sentence 13, PPL: -3.75644
27: bad sentence 13, PPL: -3.96700
28: good sentence 14, PPL: -3.49855
29: bad sentence 14, PPL: -4.16944
30: good sentence 15, PPL: -4.11630
31: bad sentence 15, PPL: -4.69712
32: good sentence 16, PPL: -2.86360
33: bad sentence 16, PPL: -3.75925
34: good sentence 17, PPL: -2.71476
35: bad sentence 17, PPL: -2.60092
36: good sentence 18, PPL: -2.57007
37: bad sentence 18, PPL: -2.69651
38: good sentence 19, PPL: -7.94833
39: bad sentence 19, PPL: -7.05246
40: good sentence 20, PPL: -4.14201
41: bad sentence 20, PPL: -3.92600
42: good sentence 21, PPL: -5.39664
43: bad sentence 21, PPL: -4.91843
44: good sentence 22, PPL: -7.34175
45: bad sentence 22, PPL: -6.21409
46: good sentence 23, PPL: -3.00690
47: bad sentence 23, PPL: -2.73928
48: good sentence 24, PPL: -6.25818
49: bad sentence 24, PPL: -6.40890
50: good sentence 25, PPL: -2.35742
51: bad sentence 25, PPL: -2.46442
52: good sentence 26, PPL: -4.75849
53: bad sentence 26, PPL: -4.56761
54: good sentence 27, PPL: -19.36432
55: bad sentence 27, PPL: -18.59725
56: good sentence 28, PPL: -11.49413
57: bad sentence 28, PPL: -11.77262
58: good sentence 29, PPL: -6.99088
59: bad sentence 29, PPL: -6.51473
60: good sentence 30, PPL: -2.52394
61: bad sentence 30, PPL: -2.23655
62: good sentence 31, PPL: -6.31115
63: bad sentence 31, PPL: -5.48546
64: good sentence 32, PPL: -3.73155
65: bad sentence 32, PPL: -5.18324
66: good sentence 33, PPL: -3.23406
67: bad sentence 33, PPL: -3.02721
68: good sentence 34, PPL: -17.84515
69: bad sentence 34, PPL: -13.52699
70: good sentence 35, PPL: -6.75803
71: bad sentence 35, PPL: -4.95744
72: good sentence 36, PPL: -1.95104
73: bad sentence 36, PPL: -2.05712
74: good sentence 37, PPL: -2.72886
75: bad sentence 37, PPL: -2.92590
76: good sentence 38, PPL: -3.49144
77: bad sentence 38, PPL: -3.10023
78: good sentence 39, PPL: -10.17606
79: bad sentence 39, PPL: -9.01979
80: good sentence 40, PPL: -2.67090
81: bad sentence 40, PPL: -2.21906
82: good sentence 41, PPL: -5.65457
83: bad sentence 41, PPL: -5.60694
84: good sentence 42, PPL: -2.32435
85: bad sentence 42, PPL: -2.31964
86: good sentence 43, PPL: -3.58126
87: bad sentence 43, PPL: -4.20310
88: good sentence 44, PPL: -2.72169
89: bad sentence 44, PPL: -2.88296
90: good sentence 45, PPL: -9.15577
91: bad sentence 45, PPL: -7.33276
92: good sentence 46, PPL: -5.21285
93: bad sentence 46, PPL: -3.44171
94: good sentence 47, PPL: -3.86239
95: bad sentence 47, PPL: -3.80215
96: good sentence 48, PPL: -3.19151
