filler_gap_dependency_1000.csv
Model: google-bert/bert-base-chinese, Accuracy: 0.62400, Average Perplexity (Good Sentences): -26.31685, Average Perplexity (Bad Sentences): -38.86647
0: good sentence 0, PPL: -18.32120
1: bad sentence 0, PPL: -109.25286
2: good sentence 1, PPL: -37.89708
3: bad sentence 1, PPL: -163.77676
4: good sentence 2, PPL: -50.40374
5: bad sentence 2, PPL: -112.85695
6: good sentence 3, PPL: -16.25021
7: bad sentence 3, PPL: -77.29096
8: good sentence 4, PPL: -19.35176
9: bad sentence 4, PPL: -44.33106
10: good sentence 5, PPL: -39.34284
11: bad sentence 5, PPL: -25.16886
12: good sentence 6, PPL: -18.64831
13: bad sentence 6, PPL: -84.24802
14: good sentence 7, PPL: -35.25986
15: bad sentence 7, PPL: -18.38095
16: good sentence 8, PPL: -10.08384
17: bad sentence 8, PPL: -13.76494
18: good sentence 9, PPL: -165.97670
19: bad sentence 9, PPL: -92.59068
20: good sentence 10, PPL: -18.14797
21: bad sentence 10, PPL: -20.80454
22: good sentence 11, PPL: -8.54456
23: bad sentence 11, PPL: -7.86047
24: good sentence 12, PPL: -11.96916
25: bad sentence 12, PPL: -18.19231
26: good sentence 13, PPL: -62.76814
27: bad sentence 13, PPL: -105.28528
28: good sentence 14, PPL: -25.26779
29: bad sentence 14, PPL: -160.09168
30: good sentence 15, PPL: -21.75889
31: bad sentence 15, PPL: -10.54126
32: good sentence 16, PPL: -45.43141
33: bad sentence 16, PPL: -19.94216
34: good sentence 17, PPL: -98.88670
35: bad sentence 17, PPL: -155.97437
36: good sentence 18, PPL: -35.92467
37: bad sentence 18, PPL: -39.77865
38: good sentence 19, PPL: -15.88390
39: bad sentence 19, PPL: -45.16739
40: good sentence 20, PPL: -43.63030
41: bad sentence 20, PPL: -33.35350
42: good sentence 21, PPL: -43.94336
43: bad sentence 21, PPL: -149.86997
44: good sentence 22, PPL: -52.01968
45: bad sentence 22, PPL: -27.78597
46: good sentence 23, PPL: -25.05824
