Classifier-Noun
	cl_simple_noun
Model: nghuyong/ernie-3.0-base-zh, Accuracy: 96.10000, Average Perplexity (Good Sentences): -24.91052, Average Perplexity (Bad Sentences): -115.94850
0: good sentence 0, PPL: -35.15336
1: bad sentence 0, PPL: -277.57569
2: good sentence 1, PPL: -18.10988
3: bad sentence 1, PPL: -63.63478
4: good sentence 2, PPL: -17.90500
5: bad sentence 2, PPL: -352.07530
6: good sentence 3, PPL: -24.70820
7: bad sentence 3, PPL: -143.73171
8: good sentence 4, PPL: -138.86817
9: bad sentence 4, PPL: -207.05626
10: good sentence 5, PPL: -19.02646
11: bad sentence 5, PPL: -18.72194
12: good sentence 6, PPL: -50.74722
13: bad sentence 6, PPL: -242.94560
14: good sentence 7, PPL: -7.01504
15: bad sentence 7, PPL: -6.88999
16: good sentence 8, PPL: -8.64721
17: bad sentence 8, PPL: -17.27011
18: good sentence 9, PPL: -41.84291
19: bad sentence 9, PPL: -379.18353
20: good sentence 10, PPL: -4.00459
21: bad sentence 10, PPL: -26.18780
22: good sentence 11, PPL: -209.69854
23: bad sentence 11, PPL: -497.90344
24: good sentence 12, PPL: -87.96189
25: bad sentence 12, PPL: -721.32640
26: good sentence 13, PPL: -61.69858
27: bad sentence 13, PPL: -216.10884
28: good sentence 14, PPL: -1.91328
29: bad sentence 14, PPL: -10.89352
30: good sentence 15, PPL: -62.06724
31: bad sentence 15, PPL: -727.41144
32: good sentence 16, PPL: -33.91027
33: bad sentence 16, PPL: -269.01182
34: good sentence 17, PPL: -39.59429
35: bad sentence 17, PPL: -457.87076
36: good sentence 18, PPL: -127.51090
37: bad sentence 18, PPL: -126.71330
38: good sentence 19, PPL: -19.29658
39: bad sentence 19, PPL: -37.12415
40: good sentence 20, PPL: -10.83206
41: bad sentence 20, PPL: -133.00112
42: good sentence 21, PPL: -7.02806
43: bad sentence 21, PPL: -42.20942
44: good sentence 22, PPL: -14.00816
45: bad sentence 22, PPL: -55.55609
46: good sentence 23, PPL: -5.02329
47: bad sentence 23, PPL: -24.85100
48: good sentence 24, PPL: -9.74396
49: bad sentence 24, PPL: -10.58195
50: good sentence 25, PPL: -2.55123
51: bad sentence 25, PPL: -15.13988
52: good sentence 26, PPL: -49.66095
53: bad sentence 26, PPL: -236.27158
54: good sentence 27, PPL: -291.03401
55: bad sentence 27, PPL: -395.41091
56: good sentence 28, PPL: -23.14552
57: bad sentence 28, PPL: -35.68601
58: good sentence 29, PPL: -7.39808
59: bad sentence 29, PPL: -40.88579
60: good sentence 30, PPL: -54.75155
61: bad sentence 30, PPL: -258.58074
62: good sentence 31, PPL: -27.44229
63: bad sentence 31, PPL: -3277.21694
64: good sentence 32, PPL: -106.23515
65: bad sentence 32, PPL: -433.65175
66: good sentence 33, PPL: -2.27570
67: bad sentence 33, PPL: -10.97993
68: good sentence 34, PPL: -15.95688
69: bad sentence 34, PPL: -74.36853
70: good sentence 35, PPL: -42.68324
71: bad sentence 35, PPL: -177.29676
72: good sentence 36, PPL: -25.00682
73: bad sentence 36, PPL: -108.00773
74: good sentence 37, PPL: -119.61578
75: bad sentence 37, PPL: -597.20491
76: good sentence 38, PPL: -9.57864
77: bad sentence 38, PPL: -9.57864
78: good sentence 39, PPL: -10.76472
79: bad sentence 39, PPL: -142.06595
80: good sentence 40, PPL: -69.89488
81: bad sentence 40, PPL: -523.23878
82: good sentence 41, PPL: -29.72934
83: bad sentence 41, PPL: -96.38222
84: good sentence 42, PPL: -4.50565
85: bad sentence 42, PPL: -70.57608
86: good sentence 43, PPL: -8.44954
87: bad sentence 43, PPL: -8.93923
88: good sentence 44, PPL: -25.78410
89: bad sentence 44, PPL: -135.66684
