Plural
	baseline_cl_men_female
Model: Qwen/Qwen-14B, Accuracy: 5.90000, Average Perplexity (Good Sentences): -818.00000, Average Perplexity (Bad Sentences): -564.50000
0: good sentence 0, PPL: -400.25000
1: bad sentence 0, PPL: -325.50000
2: good sentence 1, PPL: -881.00000
3: bad sentence 1, PPL: -759.50000
4: good sentence 2, PPL: -341.00000
5: bad sentence 2, PPL: -331.75000
6: good sentence 3, PPL: -2600.00000
7: bad sentence 3, PPL: -1752.00000
8: good sentence 4, PPL: -1685.00000
9: bad sentence 4, PPL: -1228.00000
10: good sentence 5, PPL: -657.50000
11: bad sentence 5, PPL: -490.50000
12: good sentence 6, PPL: -594.00000
13: bad sentence 6, PPL: -494.25000
14: good sentence 7, PPL: -1282.00000
15: bad sentence 7, PPL: -1318.00000
16: good sentence 8, PPL: -751.00000
17: bad sentence 8, PPL: -783.50000
18: good sentence 9, PPL: -469.75000
19: bad sentence 9, PPL: -392.50000
20: good sentence 10, PPL: -847.50000
21: bad sentence 10, PPL: -492.25000
22: good sentence 11, PPL: -3124.00000
23: bad sentence 11, PPL: -1822.00000
24: good sentence 12, PPL: -665.00000
25: bad sentence 12, PPL: -376.00000
26: good sentence 13, PPL: -259.50000
27: bad sentence 13, PPL: -230.75000
28: good sentence 14, PPL: -2082.00000
29: bad sentence 14, PPL: -1110.00000
30: good sentence 15, PPL: -226.25000
31: bad sentence 15, PPL: -215.12500
32: good sentence 16, PPL: -484.75000
33: bad sentence 16, PPL: -486.75000
34: good sentence 17, PPL: -727.50000
35: bad sentence 17, PPL: -700.00000
36: good sentence 18, PPL: -334.50000
37: bad sentence 18, PPL: -235.37500
38: good sentence 19, PPL: -318.00000
39: bad sentence 19, PPL: -220.25000
40: good sentence 20, PPL: -2258.00000
41: bad sentence 20, PPL: -2098.00000
42: good sentence 21, PPL: -1565.00000
43: bad sentence 21, PPL: -1030.00000
44: good sentence 22, PPL: -310.50000
45: bad sentence 22, PPL: -220.25000
46: good sentence 23, PPL: -532.50000
47: bad sentence 23, PPL: -368.75000
48: good sentence 24, PPL: -673.00000
49: bad sentence 24, PPL: -751.00000
50: good sentence 25, PPL: -181.12500
51: bad sentence 25, PPL: -154.37500
52: good sentence 26, PPL: -736.00000
53: bad sentence 26, PPL: -637.00000
54: good sentence 27, PPL: -608.00000
55: bad sentence 27, PPL: -364.50000
56: good sentence 28, PPL: -768.50000
57: bad sentence 28, PPL: -468.00000
58: good sentence 29, PPL: -349.25000
59: bad sentence 29, PPL: -324.25000
60: good sentence 30, PPL: -274.00000
61: bad sentence 30, PPL: -268.75000
62: good sentence 31, PPL: -745.00000
63: bad sentence 31, PPL: -494.25000
64: good sentence 32, PPL: -1092.00000
65: bad sentence 32, PPL: -968.00000
66: good sentence 33, PPL: -1136.00000
67: bad sentence 33, PPL: -850.50000
68: good sentence 34, PPL: -1302.00000
69: bad sentence 34, PPL: -979.00000
70: good sentence 35, PPL: -392.50000
71: bad sentence 35, PPL: -405.00000
72: good sentence 36, PPL: -841.00000
73: bad sentence 36, PPL: -768.50000
74: good sentence 37, PPL: -589.50000
75: bad sentence 37, PPL: -488.50000
76: good sentence 38, PPL: -269.75000
77: bad sentence 38, PPL: -243.75000
78: good sentence 39, PPL: -2530.00000
79: bad sentence 39, PPL: -2294.00000
80: good sentence 40, PPL: -1075.00000
81: bad sentence 40, PPL: -608.00000
82: good sentence 41, PPL: -1338.00000
83: bad sentence 41, PPL: -1110.00000
84: good sentence 42, PPL: -477.25000
85: bad sentence 42, PPL: -380.50000
86: good sentence 43, PPL: -391.00000
87: bad sentence 43, PPL: -416.25000
88: good sentence 44, PPL: -377.50000
89: bad sentence 44, PPL: -349.25000
90: good sentence 45, PPL: -138.37500
91: bad sentence 45, PPL: -114.25000
92: good sentence 46, PPL: -313.00000
93: bad sentence 46, PPL: -286.00000
94: good sentence 47, PPL: -1167.00000
95: bad sentence 47, PPL: -905.50000
96: good sentence 48, PPL: -162.37500
97: bad sentence 48, PPL: -154.87500
98: good sentence 49, PPL: -1228.00000
99: bad sentence 49, PPL: -1030.00000
100: good sentence 50, PPL: -1925.00000
101: bad sentence 50, PPL: -2001.00000
102: good sentence 51, PPL: -5316.00000
103: bad sentence 51, PPL: -3858.00000
104: good sentence 52, PPL: -1880.00000
105: bad sentence 52, PPL: -905.50000
106: good sentence 53, PPL: -580.00000
107: bad sentence 53, PPL: -406.50000
108: good sentence 54, PPL: -391.00000
109: bad sentence 54, PPL: -424.50000
110: good sentence 55, PPL: -777.50000
111: bad sentence 55, PPL: -762.50000
112: good sentence 56, PPL: -615.00000
113: bad sentence 56, PPL: -466.25000
114: good sentence 57, PPL: -1725.00000
115: bad sentence 57, PPL: -1181.00000
116: good sentence 58, PPL: -610.50000
117: bad sentence 58, PPL: -516.00000
118: good sentence 59, PPL: -689.00000
119: bad sentence 59, PPL: -571.00000
120: good sentence 60, PPL: -1408.00000
121: bad sentence 60, PPL: -1084.00000
122: good sentence 61, PPL: -331.75000
123: bad sentence 61, PPL: -267.75000
124: good sentence 62, PPL: -266.75000
125: bad sentence 62, PPL: -221.87500
126: good sentence 63, PPL: -582.50000
127: bad sentence 63, PPL: -494.25000
128: good sentence 64, PPL: -968.00000
129: bad sentence 64, PPL: -637.00000
130: good sentence 65, PPL: -871.00000
131: bad sentence 65, PPL: -594.00000
132: good sentence 66, PPL: -694.50000
133: bad sentence 66, PPL: -790.00000
134: good sentence 67, PPL: -6164.00000
135: bad sentence 67, PPL: -6772.00000
136: good sentence 68, PPL: -411.50000
137: bad sentence 68, PPL: -395.75000
138: good sentence 69, PPL: -1105.00000
139: bad sentence 69, PPL: -751.00000
140: good sentence 70, PPL: -462.50000
141: bad sentence 70, PPL: -389.50000
142: good sentence 71, PPL: -530.50000
143: bad sentence 71, PPL: -328.00000
144: good sentence 72, PPL: -1172.00000
145: bad sentence 72, PPL: -736.00000
146: good sentence 73, PPL: -622.50000
147: bad sentence 73, PPL: -494.25000
148: good sentence 74, PPL: -1055.00000
149: bad sentence 74, PPL: -834.50000
150: good sentence 75, PPL: -647.00000
151: bad sentence 75, PPL: -506.00000
152: good sentence 76, PPL: -432.75000
153: bad sentence 76, PPL: -386.50000
154: good sentence 77, PPL: -217.62500
155: bad sentence 77, PPL: -191.25000
156: good sentence 78, PPL: -1349.00000
157: bad sentence 78, PPL: -1034.00000
158: good sentence 79, PPL: -675.50000
159: bad sentence 79, PPL: -632.00000
160: good sentence 80, PPL: -475.25000
161: bad sentence 80, PPL: -441.25000
162: good sentence 81, PPL: -250.50000
163: bad sentence 81, PPL: -247.62500
164: good sentence 82, PPL: -498.25000
165: bad sentence 82, PPL: -534.50000
166: good sentence 83, PPL: -154.37500
167: bad sentence 83, PPL: -140.50000
168: good sentence 84, PPL: -153.12500
169: bad sentence 84, PPL: -182.50000
170: good sentence 85, PPL: -457.25000
171: bad sentence 85, PPL: -389.50000
172: good sentence 86, PPL: -434.50000
173: bad sentence 86, PPL: -424.50000
174: good sentence 87, PPL: -258.50000
175: bad sentence 87, PPL: -257.50000
176: good sentence 88, PPL: -1499.00000
177: bad sentence 88, PPL: -1022.00000
178: good sentence 89, PPL: -1487.00000
179: bad sentence 89, PPL: -1080.00000
180: good sentence 90, PPL: -424.50000
181: bad sentence 90, PPL: -508.00000
182: good sentence 91, PPL: -790.00000
183: bad sentence 91, PPL: -702.50000
184: good sentence 92, PPL: -1200.00000
185: bad sentence 92, PPL: -964.00000
186: good sentence 93, PPL: -1038.00000
187: bad sentence 93, PPL: -953.00000
188: good sentence 94, PPL: -172.12500
189: bad sentence 94, PPL: -162.37500
190: good sentence 95, PPL: -575.50000
191: bad sentence 95, PPL: -469.75000
192: good sentence 96, PPL: -649.50000
193: bad sentence 96, PPL: -589.50000
194: good sentence 97, PPL: -1167.00000
195: bad sentence 97, PPL: -762.50000
196: good sentence 98, PPL: -526.00000
197: bad sentence 98, PPL: -429.50000
198: good sentence 99, PPL: -652.50000
199: bad sentence 99, PPL: -429.50000
200: good sentence 100, PPL: -161.12500
201: bad sentence 100, PPL: -149.00000
202: good sentence 101, PPL: -166.25000
203: bad sentence 101, PPL: -144.37500
204: good sentence 102, PPL: -553.50000
205: bad sentence 102, PPL: -432.75000
206: good sentence 103, PPL: -3652.00000
207: bad sentence 103, PPL: -2878.00000
208: good sentence 104, PPL: -409.75000
209: bad sentence 104, PPL: -265.50000
210: good sentence 105, PPL: -429.50000
211: bad sentence 105, PPL: -356.00000
212: good sentence 106, PPL: -190.62500
213: bad sentence 106, PPL: -152.50000
214: good sentence 107, PPL: -321.75000
215: bad sentence 107, PPL: -216.75000
216: good sentence 108, PPL: -1534.00000
217: bad sentence 108, PPL: -1267.00000
218: good sentence 109, PPL: -1014.00000
219: bad sentence 109, PPL: -751.00000
220: good sentence 110, PPL: -343.75000
221: bad sentence 110, PPL: -198.12500
222: good sentence 111, PPL: -617.50000
223: bad sentence 111, PPL: -642.00000
224: good sentence 112, PPL: -331.75000
225: bad sentence 112, PPL: -252.50000
226: good sentence 113, PPL: -1038.00000
227: bad sentence 113, PPL: -742.00000
228: good sentence 114, PPL: -828.00000
229: bad sentence 114, PPL: -547.00000
230: good sentence 115, PPL: -578.00000
231: bad sentence 115, PPL: -414.50000
232: good sentence 116, PPL: -736.00000
233: bad sentence 116, PPL: -675.50000
234: good sentence 117, PPL: -665.00000
235: bad sentence 117, PPL: -448.25000
236: good sentence 118, PPL: -571.00000
237: bad sentence 118, PPL: -455.25000
238: good sentence 119, PPL: -352.00000
239: bad sentence 119, PPL: -320.50000
240: good sentence 120, PPL: -898.50000
241: bad sentence 120, PPL: -575.50000
242: good sentence 121, PPL: -874.50000
243: bad sentence 121, PPL: -771.50000
244: good sentence 122, PPL: -1528.00000
245: bad sentence 122, PPL: -1248.00000
246: good sentence 123, PPL: -639.50000
247: bad sentence 123, PPL: -448.25000
248: good sentence 124, PPL: -389.50000
249: bad sentence 124, PPL: -292.75000
250: good sentence 125, PPL: -1397.00000
251: bad sentence 125, PPL: -1312.00000
252: good sentence 126, PPL: -905.50000
253: bad sentence 126, PPL: -547.00000
254: good sentence 127, PPL: -748.00000
255: bad sentence 127, PPL: -545.00000
256: good sentence 128, PPL: -1014.00000
257: bad sentence 128, PPL: -584.50000
258: good sentence 129, PPL: -111.18750
259: bad sentence 129, PPL: -89.31250
260: good sentence 130, PPL: -405.00000
261: bad sentence 130, PPL: -361.75000
262: good sentence 131, PPL: -186.87500
263: bad sentence 131, PPL: -151.37500
264: good sentence 132, PPL: -705.50000
265: bad sentence 132, PPL: -536.50000
266: good sentence 133, PPL: -1354.00000
267: bad sentence 133, PPL: -730.50000
268: good sentence 134, PPL: -808.50000
269: bad sentence 134, PPL: -446.50000
270: good sentence 135, PPL: -652.50000
271: bad sentence 135, PPL: -578.00000
272: good sentence 136, PPL: -774.50000
273: bad sentence 136, PPL: -455.25000
274: good sentence 137, PPL: -448.25000
275: bad sentence 137, PPL: -364.50000
276: good sentence 138, PPL: -662.50000
277: bad sentence 138, PPL: -578.00000
278: good sentence 139, PPL: -260.50000
279: bad sentence 139, PPL: -191.25000
280: good sentence 140, PPL: -1375.00000
281: bad sentence 140, PPL: -1233.00000
282: good sentence 141, PPL: -316.75000
283: bad sentence 141, PPL: -205.25000
284: good sentence 142, PPL: -1476.00000
285: bad sentence 142, PPL: -1097.00000
286: good sentence 143, PPL: -1243.00000
287: bad sentence 143, PPL: -1006.50000
288: good sentence 144, PPL: -667.50000
289: bad sentence 144, PPL: -406.50000
290: good sentence 145, PPL: -438.00000
291: bad sentence 145, PPL: -316.75000
292: good sentence 146, PPL: -657.50000
293: bad sentence 146, PPL: -422.75000
294: good sentence 147, PPL: -665.00000
295: bad sentence 147, PPL: -450.00000
