Classifier-Noun
	cl_adj_comp_noun
Model: nghuyong/ernie-3.0-base-zh, Accuracy: 69.70000, Average Perplexity (Good Sentences): -4.74691, Average Perplexity (Bad Sentences): -6.18053
0: good sentence 0, PPL: -9.10237
1: bad sentence 0, PPL: -15.33957
2: good sentence 1, PPL: -15.52648
3: bad sentence 1, PPL: -9.78016
4: good sentence 2, PPL: -2.01311
5: bad sentence 2, PPL: -2.49499
6: good sentence 3, PPL: -8.43935
7: bad sentence 3, PPL: -7.09680
8: good sentence 4, PPL: -2.85075
9: bad sentence 4, PPL: -7.05723
10: good sentence 5, PPL: -6.70005
11: bad sentence 5, PPL: -3.77208
12: good sentence 6, PPL: -7.32611
13: bad sentence 6, PPL: -6.70965
14: good sentence 7, PPL: -14.41382
15: bad sentence 7, PPL: -12.14486
16: good sentence 8, PPL: -2.60797
17: bad sentence 8, PPL: -4.92641
18: good sentence 9, PPL: -6.27591
19: bad sentence 9, PPL: -5.68767
20: good sentence 10, PPL: -2.58682
21: bad sentence 10, PPL: -4.35190
22: good sentence 11, PPL: -2.39641
23: bad sentence 11, PPL: -4.33932
24: good sentence 12, PPL: -6.43537
25: bad sentence 12, PPL: -2.68940
26: good sentence 13, PPL: -8.00405
27: bad sentence 13, PPL: -3.68907
28: good sentence 14, PPL: -1.60313
29: bad sentence 14, PPL: -7.30903
30: good sentence 15, PPL: -2.99053
31: bad sentence 15, PPL: -4.79138
32: good sentence 16, PPL: -4.74359
33: bad sentence 16, PPL: -4.46964
34: good sentence 17, PPL: -9.47265
35: bad sentence 17, PPL: -13.09150
36: good sentence 18, PPL: -3.46762
37: bad sentence 18, PPL: -6.67426
38: good sentence 19, PPL: -8.53114
39: bad sentence 19, PPL: -6.25500
40: good sentence 20, PPL: -5.83182
41: bad sentence 20, PPL: -8.72312
42: good sentence 21, PPL: -3.60465
43: bad sentence 21, PPL: -4.96478
44: good sentence 22, PPL: -7.11026
45: bad sentence 22, PPL: -7.09610
46: good sentence 23, PPL: -2.84392
