Aspect
	zai_le
Model: 01-ai/Yi-6B, Accuracy: 72.90000, Average Perplexity (Good Sentences): -382.12027, Average Perplexity (Bad Sentences): -660.27075
0: good sentence 0, PPL: -636.54987
1: bad sentence 0, PPL: -576.53253
2: good sentence 1, PPL: -500.08423
3: bad sentence 1, PPL: -1878.43848
4: good sentence 2, PPL: -297.12524
5: bad sentence 2, PPL: -882.32996
6: good sentence 3, PPL: -567.74774
7: bad sentence 3, PPL: -7099.76514
8: good sentence 4, PPL: -499.25888
9: bad sentence 4, PPL: -7316.73633
10: good sentence 5, PPL: -847.82635
11: bad sentence 5, PPL: -1430.34192
12: good sentence 6, PPL: -1016.32239
13: bad sentence 6, PPL: -2576.10278
14: good sentence 7, PPL: -316.07953
15: bad sentence 7, PPL: -316.07953
16: good sentence 8, PPL: -415.54608
17: bad sentence 8, PPL: -1092.57971
18: good sentence 9, PPL: -258.61520
19: bad sentence 9, PPL: -432.72284
20: good sentence 10, PPL: -385.68405
21: bad sentence 10, PPL: -790.62927
22: good sentence 11, PPL: -2239.06738
23: bad sentence 11, PPL: -1124.89819
24: good sentence 12, PPL: -342.93423
25: bad sentence 12, PPL: -566.84857
26: good sentence 13, PPL: -691.18555
27: bad sentence 13, PPL: -692.92065
28: good sentence 14, PPL: -164.23727
29: bad sentence 14, PPL: -1169.54504
30: good sentence 15, PPL: -367.38620
31: bad sentence 15, PPL: -538.41339
32: good sentence 16, PPL: -1216.86194
33: bad sentence 16, PPL: -3725.36279
34: good sentence 17, PPL: -273.58499
35: bad sentence 17, PPL: -926.89563
36: good sentence 18, PPL: -87.59609
37: bad sentence 18, PPL: -83.20267
38: good sentence 19, PPL: -163.56303
39: bad sentence 19, PPL: -165.44113
40: good sentence 20, PPL: -119.90597
41: bad sentence 20, PPL: -148.90326
42: good sentence 21, PPL: -124.41125
43: bad sentence 21, PPL: -326.72888
44: good sentence 22, PPL: -8405.47266
45: bad sentence 22, PPL: -26270.74805
46: good sentence 23, PPL: -661.23242
47: bad sentence 23, PPL: -17334.65234
48: good sentence 24, PPL: -1035.24194
49: bad sentence 24, PPL: -854.33899
50: good sentence 25, PPL: -489.56219
51: bad sentence 25, PPL: -4104.08203
52: good sentence 26, PPL: -148.39180
53: bad sentence 26, PPL: -3345.00977
54: good sentence 27, PPL: -277.37836
55: bad sentence 27, PPL: -815.81323
56: good sentence 28, PPL: -265.35587
57: bad sentence 28, PPL: -316.93073
58: good sentence 29, PPL: -221.16365
59: bad sentence 29, PPL: -3182.59326
60: good sentence 30, PPL: -291.91541
61: bad sentence 30, PPL: -395.19363
62: good sentence 31, PPL: -273.93091
63: bad sentence 31, PPL: -992.31879
64: good sentence 32, PPL: -35.41462
65: bad sentence 32, PPL: -67.83464
66: good sentence 33, PPL: -1717.54602
67: bad sentence 33, PPL: -1455.13037
68: good sentence 34, PPL: -149.68997
69: bad sentence 34, PPL: -254.06789
70: good sentence 35, PPL: -538.18188
71: bad sentence 35, PPL: -7130.25879
72: good sentence 36, PPL: -203.96867
73: bad sentence 36, PPL: -344.79840
74: good sentence 37, PPL: -2121.13086
75: bad sentence 37, PPL: -3029.48999
76: good sentence 38, PPL: -75.39609
77: bad sentence 38, PPL: -101.76764
78: good sentence 39, PPL: -328.97299
79: bad sentence 39, PPL: -508.93112
80: good sentence 40, PPL: -372.57870
81: bad sentence 40, PPL: -853.10596
