verb_complement_duration_1000.csv
Model: nghuyong/ernie-3.0-base-zh, Accuracy: 0.92800, Average Perplexity (Good Sentences): -428.55607, Average Perplexity (Bad Sentences): -1476.42919
0: good sentence 0, PPL: -5148.00544
1: bad sentence 0, PPL: -10179.96156
2: good sentence 1, PPL: -248.64766
3: bad sentence 1, PPL: -2335.16875
4: good sentence 2, PPL: -496.30262
5: bad sentence 2, PPL: -1993.85227
6: good sentence 3, PPL: -1736.35186
7: bad sentence 3, PPL: -45054.95730
8: good sentence 4, PPL: -138.80038
9: bad sentence 4, PPL: -546.29283
10: good sentence 5, PPL: -54.86687
11: bad sentence 5, PPL: -470.37697
12: good sentence 6, PPL: -131.87071
13: bad sentence 6, PPL: -1641.73243
14: good sentence 7, PPL: -1156.07085
15: bad sentence 7, PPL: -16897.04641
16: good sentence 8, PPL: -321.95873
17: bad sentence 8, PPL: -1381.61571
18: good sentence 9, PPL: -229.88059
19: bad sentence 9, PPL: -242.36105
20: good sentence 10, PPL: -195.75207
21: bad sentence 10, PPL: -2567.73434
22: good sentence 11, PPL: -42.31016
23: bad sentence 11, PPL: -69.69323
24: good sentence 12, PPL: -1539.89414
25: bad sentence 12, PPL: -1696.23873
26: good sentence 13, PPL: -203.33140
27: bad sentence 13, PPL: -684.57356
28: good sentence 14, PPL: -126.09219
29: bad sentence 14, PPL: -237.93398
30: good sentence 15, PPL: -780.85284
31: bad sentence 15, PPL: -551.55235
32: good sentence 16, PPL: -472.17634
33: bad sentence 16, PPL: -981.48522
34: good sentence 17, PPL: -268.06211
35: bad sentence 17, PPL: -2083.59857
36: good sentence 18, PPL: -168.01381
37: bad sentence 18, PPL: -892.79875
38: good sentence 19, PPL: -748.26411
39: bad sentence 19, PPL: -14749.78871
40: good sentence 20, PPL: -675.72701
41: bad sentence 20, PPL: -11387.88475
42: good sentence 21, PPL: -2432.75571
43: bad sentence 21, PPL: -814.41964
44: good sentence 22, PPL: -507.72110
45: bad sentence 22, PPL: -988.59729
46: good sentence 23, PPL: -1004.35931
47: bad sentence 23, PPL: -8087.03274
48: good sentence 24, PPL: -222.14406
49: bad sentence 24, PPL: -697.46225
50: good sentence 25, PPL: -526.85882
51: bad sentence 25, PPL: -319.21453
52: good sentence 26, PPL: -693.27891
53: bad sentence 26, PPL: -584.82092
54: good sentence 27, PPL: -62.88370
55: bad sentence 27, PPL: -215.23278
56: good sentence 28, PPL: -455.90196
57: bad sentence 28, PPL: -908.42899
58: good sentence 29, PPL: -1536.62923
59: bad sentence 29, PPL: -11942.68044
60: good sentence 30, PPL: -100.57420
61: bad sentence 30, PPL: -357.65235
62: good sentence 31, PPL: -554.35091
63: bad sentence 31, PPL: -2566.00561
64: good sentence 32, PPL: -370.60549
65: bad sentence 32, PPL: -1281.28590
66: good sentence 33, PPL: -90.71730
67: bad sentence 33, PPL: -619.31240
68: good sentence 34, PPL: -149.85012
69: bad sentence 34, PPL: -251.19137
70: good sentence 35, PPL: -31.79649
71: bad sentence 35, PPL: -89.79045
72: good sentence 36, PPL: -122.17676
73: bad sentence 36, PPL: -652.59931
74: good sentence 37, PPL: -254.85488
75: bad sentence 37, PPL: -23090.21839
76: good sentence 38, PPL: -537.79942
77: bad sentence 38, PPL: -1528.16297
78: good sentence 39, PPL: -67.35489
79: bad sentence 39, PPL: -239.43424
80: good sentence 40, PPL: -116.81719
81: bad sentence 40, PPL: -150.71898
82: good sentence 41, PPL: -215.39114
83: bad sentence 41, PPL: -189.10134
84: good sentence 42, PPL: -976.65703
85: bad sentence 42, PPL: -9833.50143
86: good sentence 43, PPL: -129.80533
87: bad sentence 43, PPL: -17879.43401
88: good sentence 44, PPL: -280.57950
89: bad sentence 44, PPL: -1001.18048
90: good sentence 45, PPL: -95.05835
91: bad sentence 45, PPL: -213.82301
92: good sentence 46, PPL: -221.09842
93: bad sentence 46, PPL: -449.99901
94: good sentence 47, PPL: -1495.98233
95: bad sentence 47, PPL: -2192.96389
96: good sentence 48, PPL: -349.69434
97: bad sentence 48, PPL: -18195.27423
98: good sentence 49, PPL: -566.55703
99: bad sentence 49, PPL: -6327.39431
100: good sentence 50, PPL: -63.45524
101: bad sentence 50, PPL: -494.10209
102: good sentence 51, PPL: -362.36629
103: bad sentence 51, PPL: -4108.54563
104: good sentence 52, PPL: -403.51645
105: bad sentence 52, PPL: -1460.07604
106: good sentence 53, PPL: -107.44567
107: bad sentence 53, PPL: -233.02466
108: good sentence 54, PPL: -2547.92876
109: bad sentence 54, PPL: -3928.90499
110: good sentence 55, PPL: -111.27619
111: bad sentence 55, PPL: -409.54002
112: good sentence 56, PPL: -3604.82081
113: bad sentence 56, PPL: -9383.62998
114: good sentence 57, PPL: -655.40684
115: bad sentence 57, PPL: -3907.48267
116: good sentence 58, PPL: -303.57979
117: bad sentence 58, PPL: -2095.72068
118: good sentence 59, PPL: -464.86243
119: bad sentence 59, PPL: -4025.40140
120: good sentence 60, PPL: -580.66876
121: bad sentence 60, PPL: -5313.43190
122: good sentence 61, PPL: -3893.04525
123: bad sentence 61, PPL: -20474.06933
124: good sentence 62, PPL: -8930.97236
125: bad sentence 62, PPL: -28569.92287
126: good sentence 63, PPL: -361.74790
127: bad sentence 63, PPL: -1407.17564
128: good sentence 64, PPL: -528.30029
129: bad sentence 64, PPL: -3472.70680
130: good sentence 65, PPL: -3415.79184
131: bad sentence 65, PPL: -5850.95210
132: good sentence 66, PPL: -722.42712
133: bad sentence 66, PPL: -10391.60335
134: good sentence 67, PPL: -378.98603
135: bad sentence 67, PPL: -1744.03176
136: good sentence 68, PPL: -169.60906
137: bad sentence 68, PPL: -337.12461
138: good sentence 69, PPL: -1988.30113
139: bad sentence 69, PPL: -5191.67715
140: good sentence 70, PPL: -21.33527
141: bad sentence 70, PPL: -30.43956
142: good sentence 71, PPL: -6041.10996
143: bad sentence 71, PPL: -22894.07811
144: good sentence 72, PPL: -171.13930
145: bad sentence 72, PPL: -339.16170
146: good sentence 73, PPL: -4748.50671
147: bad sentence 73, PPL: -6887.25055
148: good sentence 74, PPL: -161.82071
149: bad sentence 74, PPL: -713.75291
150: good sentence 75, PPL: -498.19410
151: bad sentence 75, PPL: -492.39757
152: good sentence 76, PPL: -3596.87912
153: bad sentence 76, PPL: -12481.57649
154: good sentence 77, PPL: -7633.12430
155: bad sentence 77, PPL: -11131.11904
156: good sentence 78, PPL: -2158.30046
157: bad sentence 78, PPL: -5240.11586
158: good sentence 79, PPL: -90.48676
159: bad sentence 79, PPL: -386.92547
160: good sentence 80, PPL: -1270.16138
161: bad sentence 80, PPL: -721.26267
162: good sentence 81, PPL: -340.45619
163: bad sentence 81, PPL: -682.52477
164: good sentence 82, PPL: -149.05702
165: bad sentence 82, PPL: -336.48204
166: good sentence 83, PPL: -38.53797
167: bad sentence 83, PPL: -108.15805
168: good sentence 84, PPL: -179.74005
169: bad sentence 84, PPL: -1550.12912
170: good sentence 85, PPL: -230.81619
171: bad sentence 85, PPL: -1640.18129
172: good sentence 86, PPL: -180.04552
173: bad sentence 86, PPL: -659.42634
174: good sentence 87, PPL: -3505.89499
175: bad sentence 87, PPL: -12433.40224
176: good sentence 88, PPL: -226.18420
177: bad sentence 88, PPL: -2030.31920
178: good sentence 89, PPL: -355.27280
179: bad sentence 89, PPL: -2468.44083
180: good sentence 90, PPL: -1298.89472
181: bad sentence 90, PPL: -7892.12882
182: good sentence 91, PPL: -300.77569
183: bad sentence 91, PPL: -2237.26225
184: good sentence 92, PPL: -240.47710
185: bad sentence 92, PPL: -444.99789
186: good sentence 93, PPL: -246.89672
187: bad sentence 93, PPL: -1175.61904
188: good sentence 94, PPL: -5509.82473
189: bad sentence 94, PPL: -73903.49796
190: good sentence 95, PPL: -338.28869
191: bad sentence 95, PPL: -1057.73539
192: good sentence 96, PPL: -1447.32812
193: bad sentence 96, PPL: -1876.80288
194: good sentence 97, PPL: -171.11982
195: bad sentence 97, PPL: -658.46296
196: good sentence 98, PPL: -157.28697
197: bad sentence 98, PPL: -456.70172
198: good sentence 99, PPL: -1634.03049
199: bad sentence 99, PPL: -9090.92979
200: good sentence 100, PPL: -63.50245
201: bad sentence 100, PPL: -161.42385
202: good sentence 101, PPL: -1371.22529
203: bad sentence 101, PPL: -7852.58931
204: good sentence 102, PPL: -6473.27228
205: bad sentence 102, PPL: -8972.51993
206: good sentence 103, PPL: -542.37341
207: bad sentence 103, PPL: -926.46901
208: good sentence 104, PPL: -19.71635
209: bad sentence 104, PPL: -91.70828
210: good sentence 105, PPL: -2524.44266
211: bad sentence 105, PPL: -5125.65802
212: good sentence 106, PPL: -17011.31212
213: bad sentence 106, PPL: -19262.79686
214: good sentence 107, PPL: -240.59937
215: bad sentence 107, PPL: -549.76859
216: good sentence 108, PPL: -4035.60671
217: bad sentence 108, PPL: -2711.61649
218: good sentence 109, PPL: -10511.41996
219: bad sentence 109, PPL: -13016.00967
220: good sentence 110, PPL: -80.10580
221: bad sentence 110, PPL: -250.51574
222: good sentence 111, PPL: -179.30236
223: bad sentence 111, PPL: -341.03389
224: good sentence 112, PPL: -1496.36353
225: bad sentence 112, PPL: -22500.13109
226: good sentence 113, PPL: -46.03233
227: bad sentence 113, PPL: -140.55859
228: good sentence 114, PPL: -144.30990
229: bad sentence 114, PPL: -509.81531
230: good sentence 115, PPL: -350.37451
231: bad sentence 115, PPL: -1885.96174
232: good sentence 116, PPL: -176.08861
233: bad sentence 116, PPL: -810.54043
234: good sentence 117, PPL: -160.16973
235: bad sentence 117, PPL: -840.50636
236: good sentence 118, PPL: -1398.42330
237: bad sentence 118, PPL: -1965.02084
238: good sentence 119, PPL: -378.61315
239: bad sentence 119, PPL: -177.07243
240: good sentence 120, PPL: -24.64360
241: bad sentence 120, PPL: -50.05707
242: good sentence 121, PPL: -160.71228
243: bad sentence 121, PPL: -1031.88294
244: good sentence 122, PPL: -107.86753
245: bad sentence 122, PPL: -208.86077
246: good sentence 123, PPL: -301.95166
247: bad sentence 123, PPL: -2138.31734
248: good sentence 124, PPL: -31.46132
249: bad sentence 124, PPL: -167.06067
250: good sentence 125, PPL: -532.93621
251: bad sentence 125, PPL: -1037.64005
252: good sentence 126, PPL: -265.86397
253: bad sentence 126, PPL: -4117.38143
254: good sentence 127, PPL: -182.34600
255: bad sentence 127, PPL: -465.31446
256: good sentence 128, PPL: -41.70437
257: bad sentence 128, PPL: -46.49333
258: good sentence 129, PPL: -80.58672
259: bad sentence 129, PPL: -1009.31065
260: good sentence 130, PPL: -118.55896
261: bad sentence 130, PPL: -707.77762
262: good sentence 131, PPL: -29.42955
263: bad sentence 131, PPL: -43.28205
264: good sentence 132, PPL: -2324.26940
265: bad sentence 132, PPL: -5409.59415
266: good sentence 133, PPL: -57.92607
267: bad sentence 133, PPL: -559.37386
268: good sentence 134, PPL: -736.55416
269: bad sentence 134, PPL: -2671.85662
270: good sentence 135, PPL: -314.27860
271: bad sentence 135, PPL: -754.77983
272: good sentence 136, PPL: -810.49982
273: bad sentence 136, PPL: -1603.58326
274: good sentence 137, PPL: -72.30364
275: bad sentence 137, PPL: -170.34273
276: good sentence 138, PPL: -1816.88994
277: bad sentence 138, PPL: -8816.33284
278: good sentence 139, PPL: -1475.39167
279: bad sentence 139, PPL: -1919.75432
280: good sentence 140, PPL: -406.44025
281: bad sentence 140, PPL: -2506.74556
282: good sentence 141, PPL: -346.07492
283: bad sentence 141, PPL: -756.39067
284: good sentence 142, PPL: -145.64182
285: bad sentence 142, PPL: -442.90601
286: good sentence 143, PPL: -26.72432
287: bad sentence 143, PPL: -45.82220
288: good sentence 144, PPL: -769.49571
289: bad sentence 144, PPL: -11046.02131
290: good sentence 145, PPL: -3549.57224
291: bad sentence 145, PPL: -5977.50914
292: good sentence 146, PPL: -521.96565
293: bad sentence 146, PPL: -539.59477
294: good sentence 147, PPL: -97.37065
295: bad sentence 147, PPL: -444.96841
296: good sentence 148, PPL: -179.61076
297: bad sentence 148, PPL: -472.41198
298: good sentence 149, PPL: -1332.79377
299: bad sentence 149, PPL: -2175.08161
300: good sentence 150, PPL: -176.46433
301: bad sentence 150, PPL: -2594.94218
302: good sentence 151, PPL: -2013.45247
303: bad sentence 151, PPL: -4821.91971
304: good sentence 152, PPL: -35.92767
305: bad sentence 152, PPL: -75.64335
306: good sentence 153, PPL: -176.30867
307: bad sentence 153, PPL: -387.55633
308: good sentence 154, PPL: -5902.26497
309: bad sentence 154, PPL: -10683.47820
310: good sentence 155, PPL: -40.16612
311: bad sentence 155, PPL: -137.03507
312: good sentence 156, PPL: -45.24710
313: bad sentence 156, PPL: -80.68119
314: good sentence 157, PPL: -592.33842
315: bad sentence 157, PPL: -641.79694
316: good sentence 158, PPL: -31.08421
317: bad sentence 158, PPL: -86.46602
318: good sentence 159, PPL: -2191.39180
319: bad sentence 159, PPL: -10740.12596
320: good sentence 160, PPL: -2392.32723
321: bad sentence 160, PPL: -6436.33984
322: good sentence 161, PPL: -133.00782
323: bad sentence 161, PPL: -173.40046
324: good sentence 162, PPL: -324.07764
325: bad sentence 162, PPL: -580.02622
326: good sentence 163, PPL: -339.75287
327: bad sentence 163, PPL: -1472.77067
328: good sentence 164, PPL: -2652.42518
329: bad sentence 164, PPL: -2450.08593
330: good sentence 165, PPL: -83.49255
331: bad sentence 165, PPL: -98.85032
332: good sentence 166, PPL: -55.91340
333: bad sentence 166, PPL: -130.50558
334: good sentence 167, PPL: -331.44816
335: bad sentence 167, PPL: -430.24843
336: good sentence 168, PPL: -140.77999
337: bad sentence 168, PPL: -277.23341
338: good sentence 169, PPL: -63.92569
339: bad sentence 169, PPL: -77.71832
340: good sentence 170, PPL: -330.02805
341: bad sentence 170, PPL: -637.95750
342: good sentence 171, PPL: -950.17185
343: bad sentence 171, PPL: -21766.03736
344: good sentence 172, PPL: -791.84559
345: bad sentence 172, PPL: -8683.91562
