Plural
	baseline_cl_male
Model: nghuyong/ernie-3.0-base-zh, Accuracy: 99.90000, Average Perplexity (Good Sentences): -25.35672, Average Perplexity (Bad Sentences): -93.07479
0: good sentence 0, PPL: -102.73225
1: bad sentence 0, PPL: -1030.01621
2: good sentence 1, PPL: -13.81020
3: bad sentence 1, PPL: -39.37921
4: good sentence 2, PPL: -26.17436
5: bad sentence 2, PPL: -82.92557
6: good sentence 3, PPL: -33.06875
7: bad sentence 3, PPL: -110.24524
8: good sentence 4, PPL: -16.57917
9: bad sentence 4, PPL: -51.14144
10: good sentence 5, PPL: -31.08754
11: bad sentence 5, PPL: -183.32719
12: good sentence 6, PPL: -20.31062
13: bad sentence 6, PPL: -95.59810
14: good sentence 7, PPL: -8.90410
15: bad sentence 7, PPL: -58.35282
16: good sentence 8, PPL: -773.32081
17: bad sentence 8, PPL: -2416.59657
18: good sentence 9, PPL: -75.12166
19: bad sentence 9, PPL: -170.52371
20: good sentence 10, PPL: -46.76953
21: bad sentence 10, PPL: -131.97146
22: good sentence 11, PPL: -14.98737
23: bad sentence 11, PPL: -50.96270
24: good sentence 12, PPL: -19.37617
25: bad sentence 12, PPL: -76.58467
26: good sentence 13, PPL: -23.93538
27: bad sentence 13, PPL: -44.74033
28: good sentence 14, PPL: -56.19198
29: bad sentence 14, PPL: -253.41359
30: good sentence 15, PPL: -12.07484
31: bad sentence 15, PPL: -126.50808
32: good sentence 16, PPL: -20.05414
33: bad sentence 16, PPL: -69.64039
34: good sentence 17, PPL: -15.49469
35: bad sentence 17, PPL: -64.95359
36: good sentence 18, PPL: -205.98048
37: bad sentence 18, PPL: -870.36214
38: good sentence 19, PPL: -88.07812
39: bad sentence 19, PPL: -157.61215
40: good sentence 20, PPL: -283.83234
41: bad sentence 20, PPL: -1533.56606
42: good sentence 21, PPL: -44.67376
43: bad sentence 21, PPL: -113.30553
44: good sentence 22, PPL: -5.22301
45: bad sentence 22, PPL: -17.74466
46: good sentence 23, PPL: -7.57404
47: bad sentence 23, PPL: -28.79405
48: good sentence 24, PPL: -24.00461
49: bad sentence 24, PPL: -59.53556
50: good sentence 25, PPL: -20.41892
51: bad sentence 25, PPL: -50.23113
52: good sentence 26, PPL: -44.84237
53: bad sentence 26, PPL: -203.60783
54: good sentence 27, PPL: -24.40075
55: bad sentence 27, PPL: -124.49670
56: good sentence 28, PPL: -77.12976
57: bad sentence 28, PPL: -478.58387
58: good sentence 29, PPL: -15.89858
59: bad sentence 29, PPL: -46.04219
60: good sentence 30, PPL: -35.78471
61: bad sentence 30, PPL: -107.92113
62: good sentence 31, PPL: -110.82716
63: bad sentence 31, PPL: -403.59185
64: good sentence 32, PPL: -7.43809
65: bad sentence 32, PPL: -25.82724
66: good sentence 33, PPL: -8.26209
67: bad sentence 33, PPL: -20.41900
68: good sentence 34, PPL: -77.81386
69: bad sentence 34, PPL: -243.34542
70: good sentence 35, PPL: -39.60513
71: bad sentence 35, PPL: -80.83686
72: good sentence 36, PPL: -11.94829
73: bad sentence 36, PPL: -28.72175
74: good sentence 37, PPL: -12.59850
75: bad sentence 37, PPL: -120.95902
76: good sentence 38, PPL: -11.89815
77: bad sentence 38, PPL: -43.95658
78: good sentence 39, PPL: -224.47661
79: bad sentence 39, PPL: -608.82963
80: good sentence 40, PPL: -13.14785
81: bad sentence 40, PPL: -36.07495
82: good sentence 41, PPL: -18.77650
83: bad sentence 41, PPL: -55.31214
84: good sentence 42, PPL: -9.63823
85: bad sentence 42, PPL: -30.71341
86: good sentence 43, PPL: -33.66560
87: bad sentence 43, PPL: -130.94833
88: good sentence 44, PPL: -21.30459
89: bad sentence 44, PPL: -72.12475
90: good sentence 45, PPL: -16.77921
91: bad sentence 45, PPL: -63.36629
92: good sentence 46, PPL: -8.32117
93: bad sentence 46, PPL: -24.24847
94: good sentence 47, PPL: -13.79064
95: bad sentence 47, PPL: -66.60739
96: good sentence 48, PPL: -182.06910
97: bad sentence 48, PPL: -1150.92779
98: good sentence 49, PPL: -40.86334
99: bad sentence 49, PPL: -93.50873
100: good sentence 50, PPL: -163.40126
101: bad sentence 50, PPL: -840.56297
102: good sentence 51, PPL: -18.18219
103: bad sentence 51, PPL: -55.74266
104: good sentence 52, PPL: -17.86003
105: bad sentence 52, PPL: -52.87497
106: good sentence 53, PPL: -12.05349
107: bad sentence 53, PPL: -35.54706
108: good sentence 54, PPL: -38.95599
109: bad sentence 54, PPL: -39.94737
110: good sentence 55, PPL: -19.34740
111: bad sentence 55, PPL: -87.08550
112: good sentence 56, PPL: -7.94843
113: bad sentence 56, PPL: -18.88715
114: good sentence 57, PPL: -64.79459
115: bad sentence 57, PPL: -478.94921
116: good sentence 58, PPL: -79.93010
117: bad sentence 58, PPL: -335.14601
118: good sentence 59, PPL: -70.86611
119: bad sentence 59, PPL: -430.35896
120: good sentence 60, PPL: -42.70035
121: bad sentence 60, PPL: -146.12616
122: good sentence 61, PPL: -74.98758
123: bad sentence 61, PPL: -239.29198
124: good sentence 62, PPL: -13.83646
125: bad sentence 62, PPL: -40.40892
126: good sentence 63, PPL: -38.47231
127: bad sentence 63, PPL: -148.99410
128: good sentence 64, PPL: -22.63813
129: bad sentence 64, PPL: -95.95483
130: good sentence 65, PPL: -39.01871
131: bad sentence 65, PPL: -121.58512
132: good sentence 66, PPL: -74.40567
133: bad sentence 66, PPL: -254.92845
134: good sentence 67, PPL: -32.93672
135: bad sentence 67, PPL: -115.33678
136: good sentence 68, PPL: -21.03384
137: bad sentence 68, PPL: -81.03608
138: good sentence 69, PPL: -12.78658
139: bad sentence 69, PPL: -29.94317
140: good sentence 70, PPL: -49.10839
141: bad sentence 70, PPL: -127.71252
142: good sentence 71, PPL: -29.73811
143: bad sentence 71, PPL: -108.97966
144: good sentence 72, PPL: -10.75760
145: bad sentence 72, PPL: -26.82953
146: good sentence 73, PPL: -18.86989
147: bad sentence 73, PPL: -65.01653
148: good sentence 74, PPL: -102.35057
149: bad sentence 74, PPL: -373.17386
150: good sentence 75, PPL: -14.83187
151: bad sentence 75, PPL: -32.08845
152: good sentence 76, PPL: -24.35888
153: bad sentence 76, PPL: -62.44519
154: good sentence 77, PPL: -21.54822
155: bad sentence 77, PPL: -42.52027
156: good sentence 78, PPL: -14.95770
157: bad sentence 78, PPL: -73.32051
158: good sentence 79, PPL: -81.91579
159: bad sentence 79, PPL: -279.74677
160: good sentence 80, PPL: -43.32303
161: bad sentence 80, PPL: -316.38571
162: good sentence 81, PPL: -11.17720
163: bad sentence 81, PPL: -24.64807
164: good sentence 82, PPL: -34.47384
165: bad sentence 82, PPL: -175.27771
166: good sentence 83, PPL: -20.23854
167: bad sentence 83, PPL: -92.24714
168: good sentence 84, PPL: -81.49508
169: bad sentence 84, PPL: -237.54731
170: good sentence 85, PPL: -6.34214
171: bad sentence 85, PPL: -16.68583
172: good sentence 86, PPL: -15.52450
173: bad sentence 86, PPL: -53.26125
174: good sentence 87, PPL: -12.95417
175: bad sentence 87, PPL: -53.06481
176: good sentence 88, PPL: -19.97034
177: bad sentence 88, PPL: -45.52097
178: good sentence 89, PPL: -17.47064
179: bad sentence 89, PPL: -112.81993
180: good sentence 90, PPL: -11.18866
181: bad sentence 90, PPL: -22.76145
182: good sentence 91, PPL: -29.62464
183: bad sentence 91, PPL: -74.25674
184: good sentence 92, PPL: -65.57244
185: bad sentence 92, PPL: -286.39340
186: good sentence 93, PPL: -20.99673
187: bad sentence 93, PPL: -70.48982
188: good sentence 94, PPL: -181.34248
189: bad sentence 94, PPL: -492.80891
190: good sentence 95, PPL: -8.24970
191: bad sentence 95, PPL: -25.76629
192: good sentence 96, PPL: -64.87912
193: bad sentence 96, PPL: -194.38769
194: good sentence 97, PPL: -45.50730
195: bad sentence 97, PPL: -138.18890
196: good sentence 98, PPL: -100.94598
197: bad sentence 98, PPL: -531.32705
198: good sentence 99, PPL: -60.45606
199: bad sentence 99, PPL: -191.04855
200: good sentence 100, PPL: -48.81486
201: bad sentence 100, PPL: -225.44443
202: good sentence 101, PPL: -10.93470
203: bad sentence 101, PPL: -48.56690
204: good sentence 102, PPL: -23.85602
205: bad sentence 102, PPL: -62.13713
206: good sentence 103, PPL: -12.32956
207: bad sentence 103, PPL: -27.39233
208: good sentence 104, PPL: -196.12436
209: bad sentence 104, PPL: -975.35437
210: good sentence 105, PPL: -16.00545
211: bad sentence 105, PPL: -57.98106
212: good sentence 106, PPL: -10.99925
213: bad sentence 106, PPL: -53.01439
214: good sentence 107, PPL: -39.60139
215: bad sentence 107, PPL: -124.25053
216: good sentence 108, PPL: -18.73019
217: bad sentence 108, PPL: -85.48505
218: good sentence 109, PPL: -63.58194
219: bad sentence 109, PPL: -189.18654
220: good sentence 110, PPL: -94.54200
221: bad sentence 110, PPL: -383.05813
222: good sentence 111, PPL: -21.02614
223: bad sentence 111, PPL: -76.15736
224: good sentence 112, PPL: -9.32873
225: bad sentence 112, PPL: -21.77497
226: good sentence 113, PPL: -44.78089
227: bad sentence 113, PPL: -215.27483
228: good sentence 114, PPL: -5.93015
229: bad sentence 114, PPL: -23.68439
230: good sentence 115, PPL: -46.24874
231: bad sentence 115, PPL: -134.29665
232: good sentence 116, PPL: -15.22287
233: bad sentence 116, PPL: -90.15604
234: good sentence 117, PPL: -50.50316
235: bad sentence 117, PPL: -175.56013
236: good sentence 118, PPL: -17.47719
237: bad sentence 118, PPL: -138.19995
238: good sentence 119, PPL: -116.35040
239: bad sentence 119, PPL: -447.87451
240: good sentence 120, PPL: -8.77724
241: bad sentence 120, PPL: -25.00274
242: good sentence 121, PPL: -35.04037
243: bad sentence 121, PPL: -83.62550
244: good sentence 122, PPL: -44.66337
245: bad sentence 122, PPL: -86.90174
246: good sentence 123, PPL: -152.74858
247: bad sentence 123, PPL: -402.73854
248: good sentence 124, PPL: -20.95362
249: bad sentence 124, PPL: -40.50350
250: good sentence 125, PPL: -33.53418
251: bad sentence 125, PPL: -143.56725
252: good sentence 126, PPL: -30.01234
253: bad sentence 126, PPL: -145.11827
254: good sentence 127, PPL: -46.08800
255: bad sentence 127, PPL: -141.23515
256: good sentence 128, PPL: -31.61195
257: bad sentence 128, PPL: -105.27804
258: good sentence 129, PPL: -497.86677
259: bad sentence 129, PPL: -474.50172
260: good sentence 130, PPL: -306.42234
261: bad sentence 130, PPL: -620.54757
262: good sentence 131, PPL: -25.03352
263: bad sentence 131, PPL: -85.66625
264: good sentence 132, PPL: -61.88750
265: bad sentence 132, PPL: -180.66955
266: good sentence 133, PPL: -9.02097
267: bad sentence 133, PPL: -42.12349
268: good sentence 134, PPL: -14.85796
269: bad sentence 134, PPL: -55.22582
270: good sentence 135, PPL: -29.36604
271: bad sentence 135, PPL: -61.71434
272: good sentence 136, PPL: -78.50971
273: bad sentence 136, PPL: -534.82034
274: good sentence 137, PPL: -28.18944
275: bad sentence 137, PPL: -72.06716
276: good sentence 138, PPL: -78.84432
277: bad sentence 138, PPL: -362.53481
278: good sentence 139, PPL: -147.75766
279: bad sentence 139, PPL: -190.40563
280: good sentence 140, PPL: -97.70558
281: bad sentence 140, PPL: -408.39166
282: good sentence 141, PPL: -28.28997
283: bad sentence 141, PPL: -108.58317
284: good sentence 142, PPL: -154.13088
285: bad sentence 142, PPL: -262.94890
286: good sentence 143, PPL: -12.52120
287: bad sentence 143, PPL: -58.89211
288: good sentence 144, PPL: -378.82284
289: bad sentence 144, PPL: -1150.39029
290: good sentence 145, PPL: -46.13776
291: bad sentence 145, PPL: -238.47787
292: good sentence 146, PPL: -7.29223
293: bad sentence 146, PPL: -18.76189
294: good sentence 147, PPL: -20.74568
295: bad sentence 147, PPL: -98.17440
296: good sentence 148, PPL: -21.15301
297: bad sentence 148, PPL: -70.85806
298: good sentence 149, PPL: -40.32271
299: bad sentence 149, PPL: -132.70920
300: good sentence 150, PPL: -30.92762
301: bad sentence 150, PPL: -152.56760
302: good sentence 151, PPL: -105.48023
303: bad sentence 151, PPL: -475.00433
304: good sentence 152, PPL: -49.84426
305: bad sentence 152, PPL: -116.32190
306: good sentence 153, PPL: -7.68207
307: bad sentence 153, PPL: -29.78106
308: good sentence 154, PPL: -129.13542
309: bad sentence 154, PPL: -654.86607
310: good sentence 155, PPL: -11.04929
311: bad sentence 155, PPL: -55.21697
312: good sentence 156, PPL: -14.08492
313: bad sentence 156, PPL: -46.55566
314: good sentence 157, PPL: -40.62338
315: bad sentence 157, PPL: -97.78102
316: good sentence 158, PPL: -139.53287
317: bad sentence 158, PPL: -354.72338
318: good sentence 159, PPL: -28.40059
319: bad sentence 159, PPL: -90.27609
320: good sentence 160, PPL: -50.87337
321: bad sentence 160, PPL: -260.67037
322: good sentence 161, PPL: -34.39572
323: bad sentence 161, PPL: -54.52867
324: good sentence 162, PPL: -4.29628
325: bad sentence 162, PPL: -10.79706
326: good sentence 163, PPL: -16.43389
327: bad sentence 163, PPL: -114.66737
328: good sentence 164, PPL: -74.60776
329: bad sentence 164, PPL: -244.30241
330: good sentence 165, PPL: -26.87300
331: bad sentence 165, PPL: -99.00165
332: good sentence 166, PPL: -22.00931
333: bad sentence 166, PPL: -54.09916
334: good sentence 167, PPL: -40.72568
335: bad sentence 167, PPL: -149.60626
336: good sentence 168, PPL: -10.96234
337: bad sentence 168, PPL: -45.47611
338: good sentence 169, PPL: -33.70943
339: bad sentence 169, PPL: -159.49132
340: good sentence 170, PPL: -11.47975
341: bad sentence 170, PPL: -31.62013
342: good sentence 171, PPL: -62.35045
343: bad sentence 171, PPL: -216.70360
344: good sentence 172, PPL: -20.74612
345: bad sentence 172, PPL: -64.20387
346: good sentence 173, PPL: -37.61570
347: bad sentence 173, PPL: -110.46242
348: good sentence 174, PPL: -87.18313
349: bad sentence 174, PPL: -294.72884
350: good sentence 175, PPL: -8.69441
351: bad sentence 175, PPL: -19.40875
352: good sentence 176, PPL: -69.39854
353: bad sentence 176, PPL: -241.74561
354: good sentence 177, PPL: -21.57729
355: bad sentence 177, PPL: -104.58287
356: good sentence 178, PPL: -59.71675
357: bad sentence 178, PPL: -184.42577
358: good sentence 179, PPL: -32.23492
359: bad sentence 179, PPL: -254.63345
360: good sentence 180, PPL: -181.79639
361: bad sentence 180, PPL: -552.85886
362: good sentence 181, PPL: -6.18492
363: bad sentence 181, PPL: -15.09457
364: good sentence 182, PPL: -8.82812
365: bad sentence 182, PPL: -20.53135
366: good sentence 183, PPL: -8.97317
367: bad sentence 183, PPL: -37.18643
368: good sentence 184, PPL: -15.86403
369: bad sentence 184, PPL: -40.82229
370: good sentence 185, PPL: -74.70971
371: bad sentence 185, PPL: -486.63100
372: good sentence 186, PPL: -44.32745
373: bad sentence 186, PPL: -241.30254
374: good sentence 187, PPL: -79.36936
375: bad sentence 187, PPL: -507.89742
376: good sentence 188, PPL: -28.17911
377: bad sentence 188, PPL: -60.78246
378: good sentence 189, PPL: -89.77051
379: bad sentence 189, PPL: -359.44976
380: good sentence 190, PPL: -21.86773
381: bad sentence 190, PPL: -54.81838
382: good sentence 191, PPL: -40.29549
383: bad sentence 191, PPL: -104.34910
384: good sentence 192, PPL: -83.91449
385: bad sentence 192, PPL: -348.88630
386: good sentence 193, PPL: -63.41039
387: bad sentence 193, PPL: -142.99956
388: good sentence 194, PPL: -48.75582
389: bad sentence 194, PPL: -249.40734
390: good sentence 195, PPL: -61.56290
391: bad sentence 195, PPL: -310.15437
392: good sentence 196, PPL: -6.71702
393: bad sentence 196, PPL: -22.67216
394: good sentence 197, PPL: -6.31209
395: bad sentence 197, PPL: -28.66016
396: good sentence 198, PPL: -18.06851
397: bad sentence 198, PPL: -247.03061
398: good sentence 199, PPL: -28.22683
399: bad sentence 199, PPL: -232.74796
400: good sentence 200, PPL: -31.49930
401: bad sentence 200, PPL: -183.02854
402: good sentence 201, PPL: -15.82531
403: bad sentence 201, PPL: -34.56085
404: good sentence 202, PPL: -17.34784
405: bad sentence 202, PPL: -134.59955
406: good sentence 203, PPL: -8.30048
407: bad sentence 203, PPL: -35.93743
408: good sentence 204, PPL: -50.64548
409: bad sentence 204, PPL: -252.91861
410: good sentence 205, PPL: -332.65037
411: bad sentence 205, PPL: -1759.27761
412: good sentence 206, PPL: -3.06663
413: bad sentence 206, PPL: -10.58629
414: good sentence 207, PPL: -50.37407
415: bad sentence 207, PPL: -153.02895
416: good sentence 208, PPL: -41.65841
417: bad sentence 208, PPL: -289.94603
418: good sentence 209, PPL: -25.84976
419: bad sentence 209, PPL: -79.54360
420: good sentence 210, PPL: -46.98462
421: bad sentence 210, PPL: -252.55433
422: good sentence 211, PPL: -16.93289
423: bad sentence 211, PPL: -101.18261
424: good sentence 212, PPL: -16.07762
425: bad sentence 212, PPL: -37.54346
426: good sentence 213, PPL: -17.04272
427: bad sentence 213, PPL: -75.55804
428: good sentence 214, PPL: -10.94834
429: bad sentence 214, PPL: -52.42419
430: good sentence 215, PPL: -12.14419
431: bad sentence 215, PPL: -38.30357
432: good sentence 216, PPL: -21.04538
433: bad sentence 216, PPL: -57.28281
434: good sentence 217, PPL: -34.83645
435: bad sentence 217, PPL: -166.11038
436: good sentence 218, PPL: -67.23556
437: bad sentence 218, PPL: -305.02987
438: good sentence 219, PPL: -28.37546
439: bad sentence 219, PPL: -72.02933
440: good sentence 220, PPL: -91.35714
441: bad sentence 220, PPL: -371.91398
442: good sentence 221, PPL: -105.59297
443: bad sentence 221, PPL: -152.53983
444: good sentence 222, PPL: -6.79949
445: bad sentence 222, PPL: -21.05319
446: good sentence 223, PPL: -11.81392
