Aspect
	zai_no_le
Model: TsinghuaAI/CPM-Generate, Accuracy: 0.80000, Average Perplexity (Good Sentences): -12127.68164, Average Perplexity (Bad Sentences): -7693.89307
0: good sentence 0, PPL: -15678.41016
1: bad sentence 0, PPL: -9863.22559
2: good sentence 1, PPL: -1136.06738
3: bad sentence 1, PPL: -1005.58411
4: good sentence 2, PPL: -5130.81250
5: bad sentence 2, PPL: -3575.18872
6: good sentence 3, PPL: -15992.10742
7: bad sentence 3, PPL: -12436.10254
8: good sentence 4, PPL: -25451.26562
9: bad sentence 4, PPL: -16574.36328
10: good sentence 5, PPL: -12404.46484
11: bad sentence 5, PPL: -8610.92676
12: good sentence 6, PPL: -24390.98242
13: bad sentence 6, PPL: -13646.86328
14: good sentence 7, PPL: -9042.35156
15: bad sentence 7, PPL: -5440.56299
16: good sentence 8, PPL: -16314.81836
17: bad sentence 8, PPL: -10269.61816
18: good sentence 9, PPL: -11815.73926
19: bad sentence 9, PPL: -8934.37207
20: good sentence 10, PPL: -9983.05957
21: bad sentence 10, PPL: -6203.64307
22: good sentence 11, PPL: -16064.39258
23: bad sentence 11, PPL: -14243.01758
24: good sentence 12, PPL: -12037.16113
25: bad sentence 12, PPL: -8502.87500
26: good sentence 13, PPL: -13419.79395
27: bad sentence 13, PPL: -8597.60840
28: good sentence 14, PPL: -7096.03516
29: bad sentence 14, PPL: -6173.16113
30: good sentence 15, PPL: -21145.70898
31: bad sentence 15, PPL: -12018.05176
32: good sentence 16, PPL: -18589.75977
33: bad sentence 16, PPL: -11526.70508
34: good sentence 17, PPL: -5461.43506
35: bad sentence 17, PPL: -3112.82935
36: good sentence 18, PPL: -19220.38281
37: bad sentence 18, PPL: -11513.92773
38: good sentence 19, PPL: -60959.52344
39: bad sentence 19, PPL: -35251.33594
40: good sentence 20, PPL: -13555.71582
41: bad sentence 20, PPL: -8086.80273
42: good sentence 21, PPL: -35397.00000
43: bad sentence 21, PPL: -19639.69922
