Classifier-Noun
	cl_comp_noun
Model: google-bert/bert-base-chinese, Accuracy: 69.80000, Average Perplexity (Good Sentences): -4.40031, Average Perplexity (Bad Sentences): -6.43879
0: good sentence 0, PPL: -9.33620
1: bad sentence 0, PPL: -14.99854
2: good sentence 1, PPL: -3.44205
3: bad sentence 1, PPL: -5.96657
4: good sentence 2, PPL: -2.07323
5: bad sentence 2, PPL: -2.47145
6: good sentence 3, PPL: -6.08763
7: bad sentence 3, PPL: -5.09416
8: good sentence 4, PPL: -4.13486
9: bad sentence 4, PPL: -9.82349
10: good sentence 5, PPL: -2.27334
11: bad sentence 5, PPL: -3.92728
12: good sentence 6, PPL: -5.40872
13: bad sentence 6, PPL: -6.80746
14: good sentence 7, PPL: -12.82632
15: bad sentence 7, PPL: -17.64260
16: good sentence 8, PPL: -2.14728
17: bad sentence 8, PPL: -4.67004
18: good sentence 9, PPL: -8.29511
19: bad sentence 9, PPL: -12.57628
20: good sentence 10, PPL: -1.84724
21: bad sentence 10, PPL: -4.62530
22: good sentence 11, PPL: -5.73486
23: bad sentence 11, PPL: -6.50481
24: good sentence 12, PPL: -2.02513
25: bad sentence 12, PPL: -2.87192
26: good sentence 13, PPL: -3.64292
27: bad sentence 13, PPL: -7.95151
28: good sentence 14, PPL: -1.80299
29: bad sentence 14, PPL: -6.63608
30: good sentence 15, PPL: -2.56233
31: bad sentence 15, PPL: -4.63060
32: good sentence 16, PPL: -5.22415
33: bad sentence 16, PPL: -3.67364
34: good sentence 17, PPL: -6.36501
35: bad sentence 17, PPL: -7.72162
36: good sentence 18, PPL: -3.13464
37: bad sentence 18, PPL: -6.98066
38: good sentence 19, PPL: -8.71565
39: bad sentence 19, PPL: -4.54290
40: good sentence 20, PPL: -6.64355
41: bad sentence 20, PPL: -9.27207
42: good sentence 21, PPL: -10.10967
43: bad sentence 21, PPL: -10.68273
44: good sentence 22, PPL: -22.36199
45: bad sentence 22, PPL: -14.19868
46: good sentence 23, PPL: -4.10141
47: bad sentence 23, PPL: -7.53007
48: good sentence 24, PPL: -11.44120
49: bad sentence 24, PPL: -3.55652
50: good sentence 25, PPL: -5.07502
51: bad sentence 25, PPL: -4.69499
52: good sentence 26, PPL: -2.58145
53: bad sentence 26, PPL: -7.26423
54: good sentence 27, PPL: -2.32230
55: bad sentence 27, PPL: -12.19099
56: good sentence 28, PPL: -3.36500
57: bad sentence 28, PPL: -6.04799
58: good sentence 29, PPL: -4.90562
59: bad sentence 29, PPL: -6.81848
60: good sentence 30, PPL: -1.76236
61: bad sentence 30, PPL: -3.30533
62: good sentence 31, PPL: -1.96410
63: bad sentence 31, PPL: -6.48455
64: good sentence 32, PPL: -1.91545
65: bad sentence 32, PPL: -3.16114
66: good sentence 33, PPL: -4.13207
67: bad sentence 33, PPL: -3.30000
68: good sentence 34, PPL: -3.46330
69: bad sentence 34, PPL: -7.71190
70: good sentence 35, PPL: -4.95907
71: bad sentence 35, PPL: -4.10839
72: good sentence 36, PPL: -2.56371
73: bad sentence 36, PPL: -2.29391
74: good sentence 37, PPL: -9.45352
75: bad sentence 37, PPL: -9.62250
76: good sentence 38, PPL: -51.23311
77: bad sentence 38, PPL: -76.18699
78: good sentence 39, PPL: -1.67017
79: bad sentence 39, PPL: -4.05977
80: good sentence 40, PPL: -1.86613
81: bad sentence 40, PPL: -6.11729
82: good sentence 41, PPL: -11.70338
83: bad sentence 41, PPL: -85.35877
84: good sentence 42, PPL: -1.55079
85: bad sentence 42, PPL: -6.79405
86: good sentence 43, PPL: -6.14921
87: bad sentence 43, PPL: -2.20816
88: good sentence 44, PPL: -5.58932
89: bad sentence 44, PPL: -2.97562
90: good sentence 45, PPL: -5.24384
91: bad sentence 45, PPL: -11.34488
92: good sentence 46, PPL: -1.88487
93: bad sentence 46, PPL: -4.78399
94: good sentence 47, PPL: -7.68957
95: bad sentence 47, PPL: -9.12257
96: good sentence 48, PPL: -3.63897
97: bad sentence 48, PPL: -7.40934
98: good sentence 49, PPL: -11.18491
99: bad sentence 49, PPL: -2.11471
100: good sentence 50, PPL: -7.31807
101: bad sentence 50, PPL: -8.96635
102: good sentence 51, PPL: -3.86309
103: bad sentence 51, PPL: -6.49165
104: good sentence 52, PPL: -1.71749
105: bad sentence 52, PPL: -12.10953
106: good sentence 53, PPL: -13.72678
107: bad sentence 53, PPL: -21.91145
108: good sentence 54, PPL: -24.24363
109: bad sentence 54, PPL: -26.52112
110: good sentence 55, PPL: -2.58587
111: bad sentence 55, PPL: -5.96865
112: good sentence 56, PPL: -5.22172
113: bad sentence 56, PPL: -5.24667
114: good sentence 57, PPL: -6.73517
115: bad sentence 57, PPL: -7.09909
116: good sentence 58, PPL: -2.88805
117: bad sentence 58, PPL: -12.71277
118: good sentence 59, PPL: -1.56570
119: bad sentence 59, PPL: -7.69394
120: good sentence 60, PPL: -12.94389
121: bad sentence 60, PPL: -10.67446
122: good sentence 61, PPL: -2.47714
123: bad sentence 61, PPL: -7.31068
124: good sentence 62, PPL: -2.12767
125: bad sentence 62, PPL: -7.08074
126: good sentence 63, PPL: -13.80550
127: bad sentence 63, PPL: -9.28921
128: good sentence 64, PPL: -1.86279
129: bad sentence 64, PPL: -7.73061
130: good sentence 65, PPL: -5.74211
131: bad sentence 65, PPL: -6.66515
132: good sentence 66, PPL: -7.24806
133: bad sentence 66, PPL: -6.34256
134: good sentence 67, PPL: -4.34115
135: bad sentence 67, PPL: -2.86000
136: good sentence 68, PPL: -3.82427
137: bad sentence 68, PPL: -9.50287
138: good sentence 69, PPL: -4.96603
139: bad sentence 69, PPL: -5.86306
140: good sentence 70, PPL: -8.88162
141: bad sentence 70, PPL: -5.70943
142: good sentence 71, PPL: -4.82965
143: bad sentence 71, PPL: -3.50661
144: good sentence 72, PPL: -1.68762
145: bad sentence 72, PPL: -3.89076
146: good sentence 73, PPL: -2.02513
147: bad sentence 73, PPL: -3.74494
148: good sentence 74, PPL: -2.73787
149: bad sentence 74, PPL: -3.59453
150: good sentence 75, PPL: -4.40602
151: bad sentence 75, PPL: -17.17184
152: good sentence 76, PPL: -3.58164
153: bad sentence 76, PPL: -4.67055
154: good sentence 77, PPL: -3.03360
155: bad sentence 77, PPL: -10.99619
156: good sentence 78, PPL: -4.49473
157: bad sentence 78, PPL: -7.14222
158: good sentence 79, PPL: -22.88640
159: bad sentence 79, PPL: -22.59049
160: good sentence 80, PPL: -2.32230
161: bad sentence 80, PPL: -2.62408
162: good sentence 81, PPL: -3.15816
163: bad sentence 81, PPL: -8.62077
164: good sentence 82, PPL: -3.62844
165: bad sentence 82, PPL: -11.16821
166: good sentence 83, PPL: -13.58918
167: bad sentence 83, PPL: -3.50650
168: good sentence 84, PPL: -3.16955
169: bad sentence 84, PPL: -12.83083
170: good sentence 85, PPL: -10.05196
171: bad sentence 85, PPL: -5.14028
