classifier_1000.csv
Model: google-bert/bert-base-chinese, Accuracy: 0.95600, Average Perplexity (Good Sentences): -37.11415, Average Perplexity (Bad Sentences): -103.53640
0: good sentence 0, PPL: -12.12443
1: bad sentence 0, PPL: -22.63793
2: good sentence 1, PPL: -8.01827
3: bad sentence 1, PPL: -12.49274
4: good sentence 2, PPL: -88.66263
5: bad sentence 2, PPL: -200.99692
6: good sentence 3, PPL: -34.01715
7: bad sentence 3, PPL: -129.12640
8: good sentence 4, PPL: -20.17677
9: bad sentence 4, PPL: -50.12154
10: good sentence 5, PPL: -19.65577
11: bad sentence 5, PPL: -43.11905
12: good sentence 6, PPL: -13.80299
13: bad sentence 6, PPL: -27.93835
14: good sentence 7, PPL: -8.93877
15: bad sentence 7, PPL: -18.54153
16: good sentence 8, PPL: -53.41638
17: bad sentence 8, PPL: -176.29856
18: good sentence 9, PPL: -58.43879
19: bad sentence 9, PPL: -61.62999
20: good sentence 10, PPL: -172.83895
21: bad sentence 10, PPL: -225.41013
22: good sentence 11, PPL: -24.02039
23: bad sentence 11, PPL: -40.45680
24: good sentence 12, PPL: -42.64070
25: bad sentence 12, PPL: -182.19681
26: good sentence 13, PPL: -10.48051
27: bad sentence 13, PPL: -53.10237
28: good sentence 14, PPL: -238.58728
29: bad sentence 14, PPL: -1637.55642
30: good sentence 15, PPL: -142.44589
31: bad sentence 15, PPL: -90.11057
32: good sentence 16, PPL: -31.24569
33: bad sentence 16, PPL: -89.54005
34: good sentence 17, PPL: -114.05004
35: bad sentence 17, PPL: -88.79329
36: good sentence 18, PPL: -9.92289
37: bad sentence 18, PPL: -42.90087
38: good sentence 19, PPL: -31.89338
39: bad sentence 19, PPL: -47.98671
40: good sentence 20, PPL: -9.53865
41: bad sentence 20, PPL: -22.52390
42: good sentence 21, PPL: -6.83027
43: bad sentence 21, PPL: -16.94370
44: good sentence 22, PPL: -13.95454
45: bad sentence 22, PPL: -25.04663
46: good sentence 23, PPL: -96.78354
47: bad sentence 23, PPL: -130.74645
48: good sentence 24, PPL: -45.97502
49: bad sentence 24, PPL: -81.65537
50: good sentence 25, PPL: -8.47984
51: bad sentence 25, PPL: -32.14455
52: good sentence 26, PPL: -113.49035
53: bad sentence 26, PPL: -452.52570
54: good sentence 27, PPL: -21.90940
55: bad sentence 27, PPL: -104.99503
56: good sentence 28, PPL: -125.25795
57: bad sentence 28, PPL: -169.61340
58: good sentence 29, PPL: -168.11416
59: bad sentence 29, PPL: -440.83517
60: good sentence 30, PPL: -49.17559
61: bad sentence 30, PPL: -378.36624
62: good sentence 31, PPL: -151.96991
63: bad sentence 31, PPL: -536.51882
64: good sentence 32, PPL: -89.68297
65: bad sentence 32, PPL: -1540.39541
66: good sentence 33, PPL: -87.49427
67: bad sentence 33, PPL: -602.10619
