Classifier-Noun
	cl_adj_simple_noun
Model: nghuyong/ernie-3.0-base-zh, Accuracy: 93.10000, Average Perplexity (Good Sentences): -8.72986, Average Perplexity (Bad Sentences): -16.14022
0: good sentence 0, PPL: -9.01133
1: bad sentence 0, PPL: -22.78009
2: good sentence 1, PPL: -10.68012
3: bad sentence 1, PPL: -13.12081
4: good sentence 2, PPL: -30.12136
5: bad sentence 2, PPL: -49.98336
6: good sentence 3, PPL: -8.44971
7: bad sentence 3, PPL: -16.80049
8: good sentence 4, PPL: -20.15625
9: bad sentence 4, PPL: -31.60083
10: good sentence 5, PPL: -3.94506
11: bad sentence 5, PPL: -6.80861
12: good sentence 6, PPL: -20.53745
13: bad sentence 6, PPL: -41.04665
14: good sentence 7, PPL: -3.50294
15: bad sentence 7, PPL: -2.92618
16: good sentence 8, PPL: -3.61382
17: bad sentence 8, PPL: -3.73752
18: good sentence 9, PPL: -10.15187
19: bad sentence 9, PPL: -18.73387
20: good sentence 10, PPL: -6.45446
21: bad sentence 10, PPL: -14.33563
22: good sentence 11, PPL: -17.64926
23: bad sentence 11, PPL: -14.80329
24: good sentence 12, PPL: -14.35372
25: bad sentence 12, PPL: -19.00940
26: good sentence 13, PPL: -16.12788
27: bad sentence 13, PPL: -24.62668
28: good sentence 14, PPL: -2.96161
29: bad sentence 14, PPL: -5.78962
30: good sentence 15, PPL: -8.58969
31: bad sentence 15, PPL: -20.40706
32: good sentence 16, PPL: -8.36278
33: bad sentence 16, PPL: -17.29725
34: good sentence 17, PPL: -10.21384
35: bad sentence 17, PPL: -29.89094
36: good sentence 18, PPL: -23.31961
37: bad sentence 18, PPL: -26.18899
38: good sentence 19, PPL: -4.77334
39: bad sentence 19, PPL: -6.40970
40: good sentence 20, PPL: -3.34867
41: bad sentence 20, PPL: -11.09857
42: good sentence 21, PPL: -4.25313
43: bad sentence 21, PPL: -7.76289
44: good sentence 22, PPL: -5.67676
45: bad sentence 22, PPL: -9.88554
46: good sentence 23, PPL: -3.62430
47: bad sentence 23, PPL: -11.35242
48: good sentence 24, PPL: -4.47552
49: bad sentence 24, PPL: -5.56529
50: good sentence 25, PPL: -2.80825
51: bad sentence 25, PPL: -13.71005
52: good sentence 26, PPL: -79.48201
53: bad sentence 26, PPL: -55.25871
54: good sentence 27, PPL: -25.21489
55: bad sentence 27, PPL: -18.71824
56: good sentence 28, PPL: -4.73915
57: bad sentence 28, PPL: -6.65639
58: good sentence 29, PPL: -2.34777
59: bad sentence 29, PPL: -5.45727
60: good sentence 30, PPL: -9.65983
61: bad sentence 30, PPL: -15.67152
62: good sentence 31, PPL: -10.83579
63: bad sentence 31, PPL: -16.53157
64: good sentence 32, PPL: -19.76749
65: bad sentence 32, PPL: -71.81640
66: good sentence 33, PPL: -4.45259
67: bad sentence 33, PPL: -8.41833
68: good sentence 34, PPL: -8.67188
69: bad sentence 34, PPL: -14.25005
70: good sentence 35, PPL: -15.31785
71: bad sentence 35, PPL: -19.57365
72: good sentence 36, PPL: -19.68410
73: bad sentence 36, PPL: -21.85058
