Classifier-Noun
	cl_adj_comp_noun
Model: TsinghuaAI/CPM-Generate, Accuracy: 55.60000, Average Perplexity (Good Sentences): -15826.79004, Average Perplexity (Bad Sentences): -16409.28711
0: good sentence 0, PPL: -15866.40039
1: bad sentence 0, PPL: -28125.51367
2: good sentence 1, PPL: -22287.14648
3: bad sentence 1, PPL: -15597.41504
4: good sentence 2, PPL: -9332.66895
5: bad sentence 2, PPL: -10145.96777
6: good sentence 3, PPL: -22008.59570
7: bad sentence 3, PPL: -18862.45508
8: good sentence 4, PPL: -13673.46582
9: bad sentence 4, PPL: -14526.54004
10: good sentence 5, PPL: -23623.87305
11: bad sentence 5, PPL: -16526.53906
12: good sentence 6, PPL: -13520.21191
13: bad sentence 6, PPL: -14149.38477
14: good sentence 7, PPL: -13695.65234
15: bad sentence 7, PPL: -13779.65625
16: good sentence 8, PPL: -10267.96387
17: bad sentence 8, PPL: -18252.53711
18: good sentence 9, PPL: -10588.61133
19: bad sentence 9, PPL: -19252.90820
20: good sentence 10, PPL: -16710.39648
21: bad sentence 10, PPL: -18397.78320
22: good sentence 11, PPL: -14589.50293
23: bad sentence 11, PPL: -15202.25488
24: good sentence 12, PPL: -29436.49219
25: bad sentence 12, PPL: -21295.32422
26: good sentence 13, PPL: -21989.58984
27: bad sentence 13, PPL: -16140.28418
28: good sentence 14, PPL: -18551.45117
29: bad sentence 14, PPL: -25724.91406
30: good sentence 15, PPL: -16330.85254
31: bad sentence 15, PPL: -17158.07422
32: good sentence 16, PPL: -13910.38477
33: bad sentence 16, PPL: -11005.89844
34: good sentence 17, PPL: -9775.08887
35: bad sentence 17, PPL: -8173.25195
36: good sentence 18, PPL: -11409.44043
37: bad sentence 18, PPL: -10030.74805
38: good sentence 19, PPL: -11416.00391
39: bad sentence 19, PPL: -11706.51562
40: good sentence 20, PPL: -13119.74316
41: bad sentence 20, PPL: -22134.97656
42: good sentence 21, PPL: -14877.12695
43: bad sentence 21, PPL: -12917.24023
44: good sentence 22, PPL: -8672.29102
45: bad sentence 22, PPL: -9271.56445
46: good sentence 23, PPL: -11500.78027
47: bad sentence 23, PPL: -14900.98145
48: good sentence 24, PPL: -9349.71094
49: bad sentence 24, PPL: -8449.08008
50: good sentence 25, PPL: -13455.85645
51: bad sentence 25, PPL: -21603.54688
52: good sentence 26, PPL: -23578.04883
53: bad sentence 26, PPL: -16766.26758
54: good sentence 27, PPL: -15313.75977
55: bad sentence 27, PPL: -17028.31641
56: good sentence 28, PPL: -27530.01172
57: bad sentence 28, PPL: -33436.58984
58: good sentence 29, PPL: -12591.20703
59: bad sentence 29, PPL: -18844.88867
60: good sentence 30, PPL: -26857.14062
61: bad sentence 30, PPL: -29430.68164
62: good sentence 31, PPL: -19751.74023
63: bad sentence 31, PPL: -25643.15234
64: good sentence 32, PPL: -13170.69043
65: bad sentence 32, PPL: -16563.93359
66: good sentence 33, PPL: -11911.69434
67: bad sentence 33, PPL: -11254.67578
68: good sentence 34, PPL: -14630.54980
69: bad sentence 34, PPL: -14629.04297
70: good sentence 35, PPL: -19311.60742
71: bad sentence 35, PPL: -14965.86621
72: good sentence 36, PPL: -12441.90332
73: bad sentence 36, PPL: -14580.00293
74: good sentence 37, PPL: -12248.96289
75: bad sentence 37, PPL: -14770.47656
76: good sentence 38, PPL: -16435.33008
77: bad sentence 38, PPL: -14820.52539
78: good sentence 39, PPL: -16703.68750
79: bad sentence 39, PPL: -18144.65625
80: good sentence 40, PPL: -17206.80664
81: bad sentence 40, PPL: -19363.89062
82: good sentence 41, PPL: -9955.01270
83: bad sentence 41, PPL: -10941.48535
84: good sentence 42, PPL: -18635.11133
85: bad sentence 42, PPL: -26791.26758
86: good sentence 43, PPL: -27936.62305
87: bad sentence 43, PPL: -20462.27344
88: good sentence 44, PPL: -6769.55371
89: bad sentence 44, PPL: -7165.61035
90: good sentence 45, PPL: -10145.78320
91: bad sentence 45, PPL: -10160.30762
92: good sentence 46, PPL: -11543.83301
93: bad sentence 46, PPL: -13157.54688
94: good sentence 47, PPL: -12960.23047
95: bad sentence 47, PPL: -12103.69531
96: good sentence 48, PPL: -17260.51758
97: bad sentence 48, PPL: -15741.03516
98: good sentence 49, PPL: -18562.83203
99: bad sentence 49, PPL: -16939.58789
100: good sentence 50, PPL: -23172.33594
101: bad sentence 50, PPL: -7640.98145
102: good sentence 51, PPL: -15824.33008
103: bad sentence 51, PPL: -14894.10547
104: good sentence 52, PPL: -14787.92578
105: bad sentence 52, PPL: -12502.55273
106: good sentence 53, PPL: -18338.08398
107: bad sentence 53, PPL: -15664.48047
108: good sentence 54, PPL: -16177.87012
109: bad sentence 54, PPL: -13006.66309
110: good sentence 55, PPL: -15453.98633
111: bad sentence 55, PPL: -14982.63184
112: good sentence 56, PPL: -13388.02832
113: bad sentence 56, PPL: -14654.59668
114: good sentence 57, PPL: -5925.29053
115: bad sentence 57, PPL: -6044.96924
116: good sentence 58, PPL: -14798.57812
117: bad sentence 58, PPL: -26744.65234
118: good sentence 59, PPL: -11905.91309
119: bad sentence 59, PPL: -20685.40039
120: good sentence 60, PPL: -29981.62695
121: bad sentence 60, PPL: -19690.69141
122: good sentence 61, PPL: -12928.33203
123: bad sentence 61, PPL: -12000.25293
124: good sentence 62, PPL: -24325.73047
125: bad sentence 62, PPL: -32676.92383
126: good sentence 63, PPL: -15920.26758
127: bad sentence 63, PPL: -13413.16699
128: good sentence 64, PPL: -13568.64941
129: bad sentence 64, PPL: -24285.28125
130: good sentence 65, PPL: -14126.55762
131: bad sentence 65, PPL: -15006.85547
132: good sentence 66, PPL: -20917.35938
133: bad sentence 66, PPL: -27829.96680
134: good sentence 67, PPL: -20239.89648
135: bad sentence 67, PPL: -19376.72852
136: good sentence 68, PPL: -22429.47461
137: bad sentence 68, PPL: -16985.80469
138: good sentence 69, PPL: -8210.55664
139: bad sentence 69, PPL: -9077.89746
140: good sentence 70, PPL: -32683.90625
