verb_complement_direction_1000.csv
Model: google-bert/bert-base-chinese, Accuracy: 0.93000, Average Perplexity (Good Sentences): -65.67444, Average Perplexity (Bad Sentences): -215.46198
0: good sentence 0, PPL: -15.39414
1: bad sentence 0, PPL: -134.15182
2: good sentence 1, PPL: -62.73929
3: bad sentence 1, PPL: -1725.71587
4: good sentence 2, PPL: -47.07589
5: bad sentence 2, PPL: -21.39734
6: good sentence 3, PPL: -301.77143
7: bad sentence 3, PPL: -580.41418
8: good sentence 4, PPL: -87.47621
9: bad sentence 4, PPL: -686.50320
10: good sentence 5, PPL: -20.17609
11: bad sentence 5, PPL: -63.35508
12: good sentence 6, PPL: -109.84208
13: bad sentence 6, PPL: -406.46061
14: good sentence 7, PPL: -84.58903
15: bad sentence 7, PPL: -141.85029
16: good sentence 8, PPL: -305.00359
17: bad sentence 8, PPL: -748.29010
18: good sentence 9, PPL: -36.50045
19: bad sentence 9, PPL: -102.52104
20: good sentence 10, PPL: -22.76447
21: bad sentence 10, PPL: -236.63842
22: good sentence 11, PPL: -27.94216
23: bad sentence 11, PPL: -185.44810
24: good sentence 12, PPL: -48.35960
25: bad sentence 12, PPL: -150.12095
26: good sentence 13, PPL: -152.50809
27: bad sentence 13, PPL: -339.29554
28: good sentence 14, PPL: -6.94705
29: bad sentence 14, PPL: -7.39782
30: good sentence 15, PPL: -489.33857
31: bad sentence 15, PPL: -935.47596
32: good sentence 16, PPL: -400.49159
33: bad sentence 16, PPL: -465.95316
34: good sentence 17, PPL: -44.15851
35: bad sentence 17, PPL: -126.61157
36: good sentence 18, PPL: -161.12152
37: bad sentence 18, PPL: -248.39915
38: good sentence 19, PPL: -21.57399
39: bad sentence 19, PPL: -28.49815
40: good sentence 20, PPL: -101.98964
41: bad sentence 20, PPL: -215.91700
42: good sentence 21, PPL: -112.05372
43: bad sentence 21, PPL: -1003.47453
44: good sentence 22, PPL: -18.14280
45: bad sentence 22, PPL: -59.89031
46: good sentence 23, PPL: -95.01349
47: bad sentence 23, PPL: -1467.38026
48: good sentence 24, PPL: -190.85693
49: bad sentence 24, PPL: -199.13311
50: good sentence 25, PPL: -19.41657
51: bad sentence 25, PPL: -609.47382
52: good sentence 26, PPL: -59.87861
53: bad sentence 26, PPL: -169.63814
54: good sentence 27, PPL: -13.89314
55: bad sentence 27, PPL: -208.42407
56: good sentence 28, PPL: -1430.57896
57: bad sentence 28, PPL: -12107.38476
58: good sentence 29, PPL: -17.67926
59: bad sentence 29, PPL: -215.61990
60: good sentence 30, PPL: -10.75658
61: bad sentence 30, PPL: -39.09188
62: good sentence 31, PPL: -49.81855
63: bad sentence 31, PPL: -33.77241
64: good sentence 32, PPL: -91.53606
65: bad sentence 32, PPL: -80.56610
66: good sentence 33, PPL: -33.63222
67: bad sentence 33, PPL: -381.66529
68: good sentence 34, PPL: -48.99777
69: bad sentence 34, PPL: -165.67207
70: good sentence 35, PPL: -24.69593
71: bad sentence 35, PPL: -201.14933
72: good sentence 36, PPL: -24.58111
73: bad sentence 36, PPL: -55.21889
74: good sentence 37, PPL: -128.84883
75: bad sentence 37, PPL: -172.19294
76: good sentence 38, PPL: -489.89043
77: bad sentence 38, PPL: -1393.40421
78: good sentence 39, PPL: -25.15226
79: bad sentence 39, PPL: -50.72290
80: good sentence 40, PPL: -54.82356
81: bad sentence 40, PPL: -222.26348
82: good sentence 41, PPL: -90.14919
83: bad sentence 41, PPL: -291.82876
84: good sentence 42, PPL: -139.66322
85: bad sentence 42, PPL: -771.60509
86: good sentence 43, PPL: -52.36040
87: bad sentence 43, PPL: -339.03197
88: good sentence 44, PPL: -130.67486
89: bad sentence 44, PPL: -194.03131
90: good sentence 45, PPL: -92.73319
91: bad sentence 45, PPL: -182.40026
92: good sentence 46, PPL: -129.57577
93: bad sentence 46, PPL: -209.08803
94: good sentence 47, PPL: -347.83140
