AlternativeQuestion
	haishi_ma
AlternativeQuestion
	haishi_ma
Model: imone/pangu_2_6B, Accuracy: 10.00000, Average Perplexity (Good Sentences): -2983.43237, Average Perplexity (Bad Sentences): -2431.05737
0: good sentence 0, PPL: -1020.11389
1: bad sentence 0, PPL: -1086.43225
2: good sentence 1, PPL: -12129.54395
3: bad sentence 1, PPL: -8276.45215
4: good sentence 2, PPL: -5346.08496
5: bad sentence 2, PPL: -4807.78662
6: good sentence 3, PPL: -1881.67737
7: bad sentence 3, PPL: -1226.99255
8: good sentence 4, PPL: -12045.91113
9: bad sentence 4, PPL: -9386.17090
10: good sentence 5, PPL: -945.18738
11: bad sentence 5, PPL: -708.72699
12: good sentence 6, PPL: -6023.21729
13: bad sentence 6, PPL: -4941.56738
14: good sentence 7, PPL: -1652.16370
15: bad sentence 7, PPL: -1909.05969
16: good sentence 8, PPL: -2153.55396
17: bad sentence 8, PPL: -1916.27661
18: good sentence 9, PPL: -9573.53223
19: bad sentence 9, PPL: -6302.96533
20: good sentence 10, PPL: -1969.43250
21: bad sentence 10, PPL: -1612.43750
22: good sentence 11, PPL: -1211.81616
23: bad sentence 11, PPL: -1081.99951
24: good sentence 12, PPL: -11440.47266
25: bad sentence 12, PPL: -8852.59375
26: good sentence 13, PPL: -4656.18848
27: bad sentence 13, PPL: -3406.43311
28: good sentence 14, PPL: -7548.83594
29: bad sentence 14, PPL: -5755.95117
30: good sentence 15, PPL: -10601.36230
31: bad sentence 15, PPL: -9204.31836
32: good sentence 16, PPL: -14068.19727
33: bad sentence 16, PPL: -9476.50098
34: good sentence 17, PPL: -1037.07092
35: bad sentence 17, PPL: -943.33905
36: good sentence 18, PPL: -1599.65295
37: bad sentence 18, PPL: -1555.03992
38: good sentence 19, PPL: -6489.31445
39: bad sentence 19, PPL: -4157.61475
40: good sentence 20, PPL: -1155.57166
41: bad sentence 20, PPL: -1106.26611
42: good sentence 21, PPL: -5214.22607
43: bad sentence 21, PPL: -4553.59229
44: good sentence 22, PPL: -3538.75684
45: bad sentence 22, PPL: -3218.81006
46: good sentence 23, PPL: -863.12299
47: bad sentence 23, PPL: -761.54138
48: good sentence 24, PPL: -1255.70178
49: bad sentence 24, PPL: -1078.85901
