Anaphor
	pp_male
Model: google-bert/bert-base-chinese, Accuracy: 76.00000, Average Perplexity (Good Sentences): -4.49991, Average Perplexity (Bad Sentences): -4.69297
0: good sentence 0, PPL: -3.23829
1: bad sentence 0, PPL: -3.38597
2: good sentence 1, PPL: -5.22264
3: bad sentence 1, PPL: -5.09828
4: good sentence 2, PPL: -8.69197
5: bad sentence 2, PPL: -9.62299
6: good sentence 3, PPL: -4.38241
7: bad sentence 3, PPL: -4.50971
8: good sentence 4, PPL: -27.21972
9: bad sentence 4, PPL: -25.73077
10: good sentence 5, PPL: -3.75927
11: bad sentence 5, PPL: -4.13641
12: good sentence 6, PPL: -8.41081
13: bad sentence 6, PPL: -8.83096
14: good sentence 7, PPL: -4.77378
15: bad sentence 7, PPL: -5.23337
16: good sentence 8, PPL: -4.63233
17: bad sentence 8, PPL: -4.67321
18: good sentence 9, PPL: -3.83096
19: bad sentence 9, PPL: -3.82903
20: good sentence 10, PPL: -1.58590
21: bad sentence 10, PPL: -1.60557
22: good sentence 11, PPL: -4.49816
23: bad sentence 11, PPL: -4.71456
24: good sentence 12, PPL: -6.70834
25: bad sentence 12, PPL: -7.17884
26: good sentence 13, PPL: -10.55789
27: bad sentence 13, PPL: -11.62177
28: good sentence 14, PPL: -12.64341
29: bad sentence 14, PPL: -12.52397
30: good sentence 15, PPL: -2.31353
31: bad sentence 15, PPL: -2.12506
32: good sentence 16, PPL: -4.09483
33: bad sentence 16, PPL: -4.14484
34: good sentence 17, PPL: -4.96312
35: bad sentence 17, PPL: -5.29531
36: good sentence 18, PPL: -3.97446
37: bad sentence 18, PPL: -4.33245
38: good sentence 19, PPL: -3.49147
39: bad sentence 19, PPL: -3.31173
40: good sentence 20, PPL: -1.36156
41: bad sentence 20, PPL: -1.51672
42: good sentence 21, PPL: -9.78930
43: bad sentence 21, PPL: -10.97243
44: good sentence 22, PPL: -3.92892
45: bad sentence 22, PPL: -4.03412
46: good sentence 23, PPL: -10.09614
47: bad sentence 23, PPL: -9.52464
48: good sentence 24, PPL: -4.45356
49: bad sentence 24, PPL: -4.82223
