Anaphor
	baseline_male
Model: nghuyong/ernie-3.0-base-zh, Accuracy: 30.40000, Average Perplexity (Good Sentences): -115.49211, Average Perplexity (Bad Sentences): -102.17742
0: good sentence 0, PPL: -84.48710
1: bad sentence 0, PPL: -63.85342
2: good sentence 1, PPL: -57.74692
3: bad sentence 1, PPL: -33.59009
4: good sentence 2, PPL: -87.22061
5: bad sentence 2, PPL: -77.05144
6: good sentence 3, PPL: -261.34218
7: bad sentence 3, PPL: -164.01381
8: good sentence 4, PPL: -321.63857
9: bad sentence 4, PPL: -187.64660
10: good sentence 5, PPL: -85.16224
11: bad sentence 5, PPL: -45.43335
12: good sentence 6, PPL: -9.63970
13: bad sentence 6, PPL: -9.57603
14: good sentence 7, PPL: -38.81871
15: bad sentence 7, PPL: -42.28925
16: good sentence 8, PPL: -847.68338
17: bad sentence 8, PPL: -824.61965
18: good sentence 9, PPL: -34.41975
19: bad sentence 9, PPL: -28.09466
20: good sentence 10, PPL: -176.98917
21: bad sentence 10, PPL: -194.86421
22: good sentence 11, PPL: -58.59230
23: bad sentence 11, PPL: -70.96735
24: good sentence 12, PPL: -286.45757
25: bad sentence 12, PPL: -349.10612
26: good sentence 13, PPL: -357.09512
27: bad sentence 13, PPL: -267.16239
28: good sentence 14, PPL: -231.94455
29: bad sentence 14, PPL: -175.97020
30: good sentence 15, PPL: -24.21317
31: bad sentence 15, PPL: -18.40479
32: good sentence 16, PPL: -20.72970
33: bad sentence 16, PPL: -16.32101
34: good sentence 17, PPL: -517.54224
35: bad sentence 17, PPL: -341.11304
36: good sentence 18, PPL: -63.45125
37: bad sentence 18, PPL: -61.02180
38: good sentence 19, PPL: -167.03935
39: bad sentence 19, PPL: -182.05341
40: good sentence 20, PPL: -20.72020
41: bad sentence 20, PPL: -17.81168
42: good sentence 21, PPL: -460.97758
43: bad sentence 21, PPL: -426.12716
44: good sentence 22, PPL: -16.42831
45: bad sentence 22, PPL: -12.89871
46: good sentence 23, PPL: -318.11031
47: bad sentence 23, PPL: -358.98442
48: good sentence 24, PPL: -78.20929
49: bad sentence 24, PPL: -64.82642
50: good sentence 25, PPL: -800.31899
51: bad sentence 25, PPL: -930.84538
52: good sentence 26, PPL: -286.54270
53: bad sentence 26, PPL: -184.30883
54: good sentence 27, PPL: -1754.88876
55: bad sentence 27, PPL: -1045.81275
56: good sentence 28, PPL: -218.05662
57: bad sentence 28, PPL: -169.74491
58: good sentence 29, PPL: -49.40410
59: bad sentence 29, PPL: -60.92407
60: good sentence 30, PPL: -107.42857
61: bad sentence 30, PPL: -104.39846
62: good sentence 31, PPL: -156.76969
63: bad sentence 31, PPL: -213.39137
64: good sentence 32, PPL: -332.27717
65: bad sentence 32, PPL: -321.16407
66: good sentence 33, PPL: -136.84145
67: bad sentence 33, PPL: -92.15449
68: good sentence 34, PPL: -37.44651
69: bad sentence 34, PPL: -36.88717
70: good sentence 35, PPL: -68.59739
71: bad sentence 35, PPL: -71.70095
72: good sentence 36, PPL: -101.45138
73: bad sentence 36, PPL: -51.71320
74: good sentence 37, PPL: -1911.57065
75: bad sentence 37, PPL: -1508.95192
76: good sentence 38, PPL: -917.39916
77: bad sentence 38, PPL: -1073.07234
78: good sentence 39, PPL: -9.74006
79: bad sentence 39, PPL: -7.24061
80: good sentence 40, PPL: -355.30802
81: bad sentence 40, PPL: -286.94962
82: good sentence 41, PPL: -185.06390
83: bad sentence 41, PPL: -137.00547
84: good sentence 42, PPL: -14.53345
85: bad sentence 42, PPL: -13.77746
86: good sentence 43, PPL: -63.14342
87: bad sentence 43, PPL: -68.48889
88: good sentence 44, PPL: -179.91600
89: bad sentence 44, PPL: -203.77403
90: good sentence 45, PPL: -354.66639
91: bad sentence 45, PPL: -228.24050
92: good sentence 46, PPL: -48.63265
93: bad sentence 46, PPL: -54.35599
94: good sentence 47, PPL: -83.12424
95: bad sentence 47, PPL: -97.21892
96: good sentence 48, PPL: -65.03783
97: bad sentence 48, PPL: -54.82562
98: good sentence 49, PPL: -44.94042
99: bad sentence 49, PPL: -42.74477
100: good sentence 50, PPL: -40.80259
101: bad sentence 50, PPL: -30.91902
102: good sentence 51, PPL: -31.10731
103: bad sentence 51, PPL: -31.17725
104: good sentence 52, PPL: -24.06493
105: bad sentence 52, PPL: -26.82095
106: good sentence 53, PPL: -50.93438
107: bad sentence 53, PPL: -34.68177
108: good sentence 54, PPL: -351.75137
109: bad sentence 54, PPL: -244.39396
110: good sentence 55, PPL: -67.15123
111: bad sentence 55, PPL: -54.13670
112: good sentence 56, PPL: -94.51426
113: bad sentence 56, PPL: -58.47935
114: good sentence 57, PPL: -595.94195
115: bad sentence 57, PPL: -392.35949
116: good sentence 58, PPL: -60.10368
117: bad sentence 58, PPL: -37.92984
118: good sentence 59, PPL: -378.78810
119: bad sentence 59, PPL: -302.63320
120: good sentence 60, PPL: -28.42166
121: bad sentence 60, PPL: -23.59346
122: good sentence 61, PPL: -103.45135
123: bad sentence 61, PPL: -96.00206
124: good sentence 62, PPL: -91.53474
125: bad sentence 62, PPL: -117.57296
126: good sentence 63, PPL: -932.33773
127: bad sentence 63, PPL: -677.24099
128: good sentence 64, PPL: -63.88064
129: bad sentence 64, PPL: -39.83876
130: good sentence 65, PPL: -81.23349
131: bad sentence 65, PPL: -55.07120
132: good sentence 66, PPL: -134.04156
133: bad sentence 66, PPL: -156.70657
134: good sentence 67, PPL: -137.12290
135: bad sentence 67, PPL: -146.06229
136: good sentence 68, PPL: -111.41012
137: bad sentence 68, PPL: -119.27908
138: good sentence 69, PPL: -55.62844
139: bad sentence 69, PPL: -87.45051
140: good sentence 70, PPL: -28.34733
141: bad sentence 70, PPL: -15.74345
142: good sentence 71, PPL: -600.13418
143: bad sentence 71, PPL: -302.28070
144: good sentence 72, PPL: -32.81006
145: bad sentence 72, PPL: -20.12311
146: good sentence 73, PPL: -93.71639
147: bad sentence 73, PPL: -85.27653
148: good sentence 74, PPL: -33.76969
149: bad sentence 74, PPL: -30.22968
150: good sentence 75, PPL: -18.04138
151: bad sentence 75, PPL: -15.25866
152: good sentence 76, PPL: -51.03850
153: bad sentence 76, PPL: -53.10103
154: good sentence 77, PPL: -123.94945
155: bad sentence 77, PPL: -108.55319
156: good sentence 78, PPL: -18.04529
157: bad sentence 78, PPL: -16.45181
158: good sentence 79, PPL: -42.10706
159: bad sentence 79, PPL: -31.43752
160: good sentence 80, PPL: -20.16375
161: bad sentence 80, PPL: -17.17598
162: good sentence 81, PPL: -855.53580
163: bad sentence 81, PPL: -444.73750
164: good sentence 82, PPL: -41.19821
165: bad sentence 82, PPL: -29.96743
166: good sentence 83, PPL: -45.87770
167: bad sentence 83, PPL: -39.56171
168: good sentence 84, PPL: -449.58807
169: bad sentence 84, PPL: -267.00220
170: good sentence 85, PPL: -21.86291
171: bad sentence 85, PPL: -19.36965
172: good sentence 86, PPL: -17.11519
173: bad sentence 86, PPL: -14.24035
174: good sentence 87, PPL: -86.99046
175: bad sentence 87, PPL: -85.48316
176: good sentence 88, PPL: -28.52468
