Aspect
	temporal_le
Model: google-bert/bert-base-chinese, Accuracy: 65.20000, Average Perplexity (Good Sentences): -10.35713, Average Perplexity (Bad Sentences): -13.43260
0: good sentence 0, PPL: -2.78978
1: bad sentence 0, PPL: -3.60284
2: good sentence 1, PPL: -3.39566
3: bad sentence 1, PPL: -5.87725
4: good sentence 2, PPL: -2.47869
5: bad sentence 2, PPL: -13.79585
6: good sentence 3, PPL: -16.86096
7: bad sentence 3, PPL: -8.86262
8: good sentence 4, PPL: -6.89484
9: bad sentence 4, PPL: -20.68072
10: good sentence 5, PPL: -10.23487
11: bad sentence 5, PPL: -10.26365
12: good sentence 6, PPL: -18.87412
13: bad sentence 6, PPL: -8.56421
14: good sentence 7, PPL: -6.24515
15: bad sentence 7, PPL: -7.10916
16: good sentence 8, PPL: -11.52824
17: bad sentence 8, PPL: -11.18252
18: good sentence 9, PPL: -4.39606
19: bad sentence 9, PPL: -7.67206
20: good sentence 10, PPL: -10.63524
21: bad sentence 10, PPL: -9.24684
22: good sentence 11, PPL: -3.16396
23: bad sentence 11, PPL: -4.94256
24: good sentence 12, PPL: -2.95404
25: bad sentence 12, PPL: -4.30329
26: good sentence 13, PPL: -5.18707
27: bad sentence 13, PPL: -9.37198
28: good sentence 14, PPL: -4.14713
29: bad sentence 14, PPL: -6.01592
30: good sentence 15, PPL: -45.20509
31: bad sentence 15, PPL: -60.04588
32: good sentence 16, PPL: -2.67638
33: bad sentence 16, PPL: -9.52112
34: good sentence 17, PPL: -5.77558
35: bad sentence 17, PPL: -8.25745
36: good sentence 18, PPL: -2.45702
37: bad sentence 18, PPL: -6.67378
38: good sentence 19, PPL: -3.94248
39: bad sentence 19, PPL: -4.44000
40: good sentence 20, PPL: -41.15876
41: bad sentence 20, PPL: -30.36382
42: good sentence 21, PPL: -13.80549
43: bad sentence 21, PPL: -33.31944
44: good sentence 22, PPL: -5.78359
45: bad sentence 22, PPL: -10.53504
46: good sentence 23, PPL: -59.79748
47: bad sentence 23, PPL: -55.44443
48: good sentence 24, PPL: -4.34023
49: bad sentence 24, PPL: -17.19271
50: good sentence 25, PPL: -14.46713
51: bad sentence 25, PPL: -11.38478
52: good sentence 26, PPL: -5.46238
53: bad sentence 26, PPL: -11.16395
54: good sentence 27, PPL: -38.74310
55: bad sentence 27, PPL: -229.41143
56: good sentence 28, PPL: -31.39365
57: bad sentence 28, PPL: -25.43315
58: good sentence 29, PPL: -3.34833
59: bad sentence 29, PPL: -5.97089
60: good sentence 30, PPL: -5.70565
61: bad sentence 30, PPL: -9.73981
62: good sentence 31, PPL: -5.27766
63: bad sentence 31, PPL: -2.93597
64: good sentence 32, PPL: -2.45854
65: bad sentence 32, PPL: -4.05937
66: good sentence 33, PPL: -4.64752
67: bad sentence 33, PPL: -3.28480
68: good sentence 34, PPL: -95.52356
69: bad sentence 34, PPL: -48.39394
70: good sentence 35, PPL: -32.39573
