Classifier-Noun
	cl_simple_noun
Model: 01-ai/Yi-6B, Accuracy: 94.70000, Average Perplexity (Good Sentences): -183.68031, Average Perplexity (Bad Sentences): -889.54321
0: good sentence 0, PPL: -335.97641
1: bad sentence 0, PPL: -2139.63037
2: good sentence 1, PPL: -352.51837
3: bad sentence 1, PPL: -638.59924
4: good sentence 2, PPL: -185.66476
5: bad sentence 2, PPL: -3977.79395
6: good sentence 3, PPL: -302.31720
7: bad sentence 3, PPL: -1075.32141
8: good sentence 4, PPL: -1628.55542
9: bad sentence 4, PPL: -4912.05078
10: good sentence 5, PPL: -181.33792
11: bad sentence 5, PPL: -256.63214
12: good sentence 6, PPL: -113.99995
13: bad sentence 6, PPL: -2581.91577
14: good sentence 7, PPL: -113.53947
15: bad sentence 7, PPL: -237.80823
16: good sentence 8, PPL: -55.13849
17: bad sentence 8, PPL: -49.27974
18: good sentence 9, PPL: -1136.28577
19: bad sentence 9, PPL: -1715.16199
20: good sentence 10, PPL: -78.60979
21: bad sentence 10, PPL: -172.82530
22: good sentence 11, PPL: -893.69916
23: bad sentence 11, PPL: -8378.19824
24: good sentence 12, PPL: -113.12093
25: bad sentence 12, PPL: -976.62787
26: good sentence 13, PPL: -85.99613
27: bad sentence 13, PPL: -761.55188
28: good sentence 14, PPL: -598.46649
29: bad sentence 14, PPL: -4311.83838
30: good sentence 15, PPL: -62.36283
31: bad sentence 15, PPL: -4050.20337
32: good sentence 16, PPL: -2227.56421
33: bad sentence 16, PPL: -8295.52734
34: good sentence 17, PPL: -665.03662
35: bad sentence 17, PPL: -1886.54688
36: good sentence 18, PPL: -67.75661
37: bad sentence 18, PPL: -723.08246
38: good sentence 19, PPL: -430.85583
39: bad sentence 19, PPL: -1817.70862
40: good sentence 20, PPL: -112.87976
41: bad sentence 20, PPL: -2878.88940
42: good sentence 21, PPL: -203.33476
43: bad sentence 21, PPL: -1694.21484
44: good sentence 22, PPL: -91.13131
45: bad sentence 22, PPL: -218.93480
46: good sentence 23, PPL: -121.57083
47: bad sentence 23, PPL: -974.34534
48: good sentence 24, PPL: -111.97686
49: bad sentence 24, PPL: -355.03647
50: good sentence 25, PPL: -73.58038
51: bad sentence 25, PPL: -766.44666
52: good sentence 26, PPL: -954.65503
53: bad sentence 26, PPL: -3290.83936
54: good sentence 27, PPL: -18881.46094
55: bad sentence 27, PPL: -5539.64746
56: good sentence 28, PPL: -187.90073
57: bad sentence 28, PPL: -105.88535
58: good sentence 29, PPL: -352.44040
59: bad sentence 29, PPL: -3059.65161
60: good sentence 30, PPL: -863.70886
61: bad sentence 30, PPL: -3639.92896
62: good sentence 31, PPL: -197.92337
63: bad sentence 31, PPL: -551.59613
64: good sentence 32, PPL: -206.84433
65: bad sentence 32, PPL: -946.58240
66: good sentence 33, PPL: -75.77022
67: bad sentence 33, PPL: -394.38452
68: good sentence 34, PPL: -37.36084
69: bad sentence 34, PPL: -132.26463
70: good sentence 35, PPL: -2949.17798
