Aspect
	zai_guo
Model: google-bert/bert-base-chinese, Accuracy: 97.90000, Average Perplexity (Good Sentences): -8.09662, Average Perplexity (Bad Sentences): -21.12896
0: good sentence 0, PPL: -12.16650
1: bad sentence 0, PPL: -13.70978
2: good sentence 1, PPL: -7.48269
3: bad sentence 1, PPL: -15.53194
4: good sentence 2, PPL: -24.74638
5: bad sentence 2, PPL: -156.51329
6: good sentence 3, PPL: -15.58929
7: bad sentence 3, PPL: -18.18066
8: good sentence 4, PPL: -2.97255
9: bad sentence 4, PPL: -11.24238
10: good sentence 5, PPL: -4.10822
11: bad sentence 5, PPL: -6.24015
12: good sentence 6, PPL: -1.77448
13: bad sentence 6, PPL: -8.48901
14: good sentence 7, PPL: -1.97600
15: bad sentence 7, PPL: -7.36247
16: good sentence 8, PPL: -10.11214
17: bad sentence 8, PPL: -15.80523
18: good sentence 9, PPL: -8.03352
19: bad sentence 9, PPL: -15.98437
20: good sentence 10, PPL: -45.56228
21: bad sentence 10, PPL: -89.85645
22: good sentence 11, PPL: -4.44047
23: bad sentence 11, PPL: -8.43145
24: good sentence 12, PPL: -6.34030
25: bad sentence 12, PPL: -17.84990
26: good sentence 13, PPL: -4.32745
27: bad sentence 13, PPL: -10.68322
28: good sentence 14, PPL: -3.81961
29: bad sentence 14, PPL: -29.54389
30: good sentence 15, PPL: -2.22678
31: bad sentence 15, PPL: -5.85410
32: good sentence 16, PPL: -2.53465
33: bad sentence 16, PPL: -6.48716
34: good sentence 17, PPL: -4.65466
35: bad sentence 17, PPL: -42.35705
36: good sentence 18, PPL: -26.42943
37: bad sentence 18, PPL: -35.95968
38: good sentence 19, PPL: -79.56219
39: bad sentence 19, PPL: -121.39465
40: good sentence 20, PPL: -10.99414
41: bad sentence 20, PPL: -20.22877
42: good sentence 21, PPL: -32.53884
43: bad sentence 21, PPL: -53.45220
44: good sentence 22, PPL: -2.91752
45: bad sentence 22, PPL: -4.71126
46: good sentence 23, PPL: -2.37649
47: bad sentence 23, PPL: -5.39896
48: good sentence 24, PPL: -1.47943
49: bad sentence 24, PPL: -3.64566
50: good sentence 25, PPL: -2.49999
51: bad sentence 25, PPL: -5.96977
52: good sentence 26, PPL: -5.26625
53: bad sentence 26, PPL: -9.10306
54: good sentence 27, PPL: -2.19114
55: bad sentence 27, PPL: -2.95792
56: good sentence 28, PPL: -4.53177
57: bad sentence 28, PPL: -21.85359
58: good sentence 29, PPL: -2.28938
59: bad sentence 29, PPL: -4.73580
60: good sentence 30, PPL: -5.24422
61: bad sentence 30, PPL: -23.47256
62: good sentence 31, PPL: -4.69599
63: bad sentence 31, PPL: -8.90930
64: good sentence 32, PPL: -3.50577
65: bad sentence 32, PPL: -10.35846
66: good sentence 33, PPL: -10.02489
67: bad sentence 33, PPL: -17.34216
68: good sentence 34, PPL: -4.43403
69: bad sentence 34, PPL: -12.65654
70: good sentence 35, PPL: -1.76224
71: bad sentence 35, PPL: -4.02369
72: good sentence 36, PPL: -16.42881
73: bad sentence 36, PPL: -19.53629
74: good sentence 37, PPL: -4.69993
75: bad sentence 37, PPL: -10.55178
76: good sentence 38, PPL: -10.38402
77: bad sentence 38, PPL: -17.44457
78: good sentence 39, PPL: -12.65504
79: bad sentence 39, PPL: -25.04357
80: good sentence 40, PPL: -18.74576
81: bad sentence 40, PPL: -23.88502
82: good sentence 41, PPL: -2.50614
83: bad sentence 41, PPL: -5.17907
84: good sentence 42, PPL: -3.18313
85: bad sentence 42, PPL: -4.59000
86: good sentence 43, PPL: -7.65633
87: bad sentence 43, PPL: -15.39406
88: good sentence 44, PPL: -21.53006
89: bad sentence 44, PPL: -25.00899
90: good sentence 45, PPL: -4.44247
91: bad sentence 45, PPL: -12.44313
92: good sentence 46, PPL: -13.51664
93: bad sentence 46, PPL: -36.58858
94: good sentence 47, PPL: -1.39430
95: bad sentence 47, PPL: -6.43673
96: good sentence 48, PPL: -32.87692
97: bad sentence 48, PPL: -60.26251
98: good sentence 49, PPL: -10.06738
99: bad sentence 49, PPL: -19.04177
100: good sentence 50, PPL: -22.16895
101: bad sentence 50, PPL: -47.13317
102: good sentence 51, PPL: -2.74805
103: bad sentence 51, PPL: -6.55051
104: good sentence 52, PPL: -61.23084
105: bad sentence 52, PPL: -87.81053
106: good sentence 53, PPL: -2.93438
107: bad sentence 53, PPL: -5.39614
108: good sentence 54, PPL: -6.17259
109: bad sentence 54, PPL: -12.95089
110: good sentence 55, PPL: -31.17217
111: bad sentence 55, PPL: -92.96368
112: good sentence 56, PPL: -2.18449
113: bad sentence 56, PPL: -7.53021
114: good sentence 57, PPL: -3.86707
115: bad sentence 57, PPL: -12.49417
116: good sentence 58, PPL: -7.74561
117: bad sentence 58, PPL: -22.43483
118: good sentence 59, PPL: -1.70843
119: bad sentence 59, PPL: -3.38972
120: good sentence 60, PPL: -8.42152
121: bad sentence 60, PPL: -18.33466
122: good sentence 61, PPL: -3.11761
123: bad sentence 61, PPL: -11.51249
124: good sentence 62, PPL: -2.96477
125: bad sentence 62, PPL: -16.95230
126: good sentence 63, PPL: -13.50485
127: bad sentence 63, PPL: -28.12142
128: good sentence 64, PPL: -3.35898
129: bad sentence 64, PPL: -8.65499
130: good sentence 65, PPL: -7.05665
131: bad sentence 65, PPL: -10.24565
132: good sentence 66, PPL: -2.63227
133: bad sentence 66, PPL: -11.39484
134: good sentence 67, PPL: -6.51466
135: bad sentence 67, PPL: -17.28609
136: good sentence 68, PPL: -29.34655
137: bad sentence 68, PPL: -83.05661
138: good sentence 69, PPL: -7.69111
139: bad sentence 69, PPL: -26.92378
140: good sentence 70, PPL: -14.65547
141: bad sentence 70, PPL: -54.93910
142: good sentence 71, PPL: -3.85188
143: bad sentence 71, PPL: -19.03313
144: good sentence 72, PPL: -7.93639
145: bad sentence 72, PPL: -22.76873
146: good sentence 73, PPL: -11.77579
147: bad sentence 73, PPL: -54.26084
148: good sentence 74, PPL: -5.63372
149: bad sentence 74, PPL: -9.55626
150: good sentence 75, PPL: -25.13462
