WhFronting
	bare_wh
Model: google-bert/bert-base-chinese, Accuracy: 100.00000, Average Perplexity (Good Sentences): -7.13533, Average Perplexity (Bad Sentences): -19.56717
0: good sentence 0, PPL: -4.86518
1: bad sentence 0, PPL: -9.91126
2: good sentence 1, PPL: -15.55896
3: bad sentence 1, PPL: -33.62852
4: good sentence 2, PPL: -7.01053
5: bad sentence 2, PPL: -16.45586
6: good sentence 3, PPL: -5.32833
7: bad sentence 3, PPL: -14.78720
8: good sentence 4, PPL: -12.79119
9: bad sentence 4, PPL: -26.98865
10: good sentence 5, PPL: -3.61871
11: bad sentence 5, PPL: -8.82597
12: good sentence 6, PPL: -12.02214
13: bad sentence 6, PPL: -28.36954
14: good sentence 7, PPL: -7.52270
15: bad sentence 7, PPL: -36.08007
16: good sentence 8, PPL: -6.75007
17: bad sentence 8, PPL: -27.78770
18: good sentence 9, PPL: -8.95776
19: bad sentence 9, PPL: -31.24530
20: good sentence 10, PPL: -4.93004
21: bad sentence 10, PPL: -10.80587
22: good sentence 11, PPL: -6.52613
23: bad sentence 11, PPL: -25.97776
24: good sentence 12, PPL: -49.68043
25: bad sentence 12, PPL: -92.43823
26: good sentence 13, PPL: -3.25142
27: bad sentence 13, PPL: -13.13134
28: good sentence 14, PPL: -4.07391
29: bad sentence 14, PPL: -7.84213
30: good sentence 15, PPL: -13.29940
31: bad sentence 15, PPL: -24.77301
32: good sentence 16, PPL: -5.19722
33: bad sentence 16, PPL: -25.09112
34: good sentence 17, PPL: -6.64044
35: bad sentence 17, PPL: -31.37483
36: good sentence 18, PPL: -5.19567
37: bad sentence 18, PPL: -13.14524
38: good sentence 19, PPL: -5.65143
39: bad sentence 19, PPL: -19.42080
40: good sentence 20, PPL: -4.63326
41: bad sentence 20, PPL: -11.97771
42: good sentence 21, PPL: -3.37228
43: bad sentence 21, PPL: -11.44290
44: good sentence 22, PPL: -8.75116
45: bad sentence 22, PPL: -33.83202
46: good sentence 23, PPL: -3.54225
47: bad sentence 23, PPL: -10.60852
48: good sentence 24, PPL: -5.05706
49: bad sentence 24, PPL: -8.38816
50: good sentence 25, PPL: -3.57907
51: bad sentence 25, PPL: -19.75835
52: good sentence 26, PPL: -4.98734
53: bad sentence 26, PPL: -21.35920
54: good sentence 27, PPL: -3.70390
55: bad sentence 27, PPL: -10.74737
56: good sentence 28, PPL: -13.76847
57: bad sentence 28, PPL: -55.68986
58: good sentence 29, PPL: -10.07888
59: bad sentence 29, PPL: -20.47438
60: good sentence 30, PPL: -38.47627
61: bad sentence 30, PPL: -157.11731
62: good sentence 31, PPL: -3.44249
63: bad sentence 31, PPL: -8.78474
64: good sentence 32, PPL: -8.40125
65: bad sentence 32, PPL: -20.75287
66: good sentence 33, PPL: -7.43695
67: bad sentence 33, PPL: -15.64232
68: good sentence 34, PPL: -4.67525
69: bad sentence 34, PPL: -12.84778
70: good sentence 35, PPL: -12.85550
71: bad sentence 35, PPL: -29.74062
72: good sentence 36, PPL: -5.82213
73: bad sentence 36, PPL: -15.37493
74: good sentence 37, PPL: -9.74131
75: bad sentence 37, PPL: -48.61043
76: good sentence 38, PPL: -5.18259
77: bad sentence 38, PPL: -14.21254
78: good sentence 39, PPL: -11.14375
79: bad sentence 39, PPL: -31.86461
80: good sentence 40, PPL: -12.68072
81: bad sentence 40, PPL: -30.80625
82: good sentence 41, PPL: -4.48016
83: bad sentence 41, PPL: -9.02121
84: good sentence 42, PPL: -4.66756
85: bad sentence 42, PPL: -14.70797
86: good sentence 43, PPL: -4.38038
87: bad sentence 43, PPL: -20.24841
88: good sentence 44, PPL: -18.48015
89: bad sentence 44, PPL: -32.48570
90: good sentence 45, PPL: -26.00383
91: bad sentence 45, PPL: -32.43043
92: good sentence 46, PPL: -8.66755
93: bad sentence 46, PPL: -19.78236
94: good sentence 47, PPL: -8.66417
95: bad sentence 47, PPL: -22.36705
96: good sentence 48, PPL: -4.36756
97: bad sentence 48, PPL: -12.36822
98: good sentence 49, PPL: -9.38121
99: bad sentence 49, PPL: -17.33539
100: good sentence 50, PPL: -7.68088
101: bad sentence 50, PPL: -24.50015
102: good sentence 51, PPL: -3.29227
103: bad sentence 51, PPL: -11.02331
104: good sentence 52, PPL: -30.75389
105: bad sentence 52, PPL: -84.59413
106: good sentence 53, PPL: -5.15903
107: bad sentence 53, PPL: -9.97400
108: good sentence 54, PPL: -5.49044
109: bad sentence 54, PPL: -15.70631
110: good sentence 55, PPL: -5.07439
111: bad sentence 55, PPL: -12.37291
112: good sentence 56, PPL: -10.50320
113: bad sentence 56, PPL: -24.34688
114: good sentence 57, PPL: -3.95593
115: bad sentence 57, PPL: -13.53306
116: good sentence 58, PPL: -4.35805
117: bad sentence 58, PPL: -9.05555
118: good sentence 59, PPL: -6.44311
119: bad sentence 59, PPL: -9.70604
120: good sentence 60, PPL: -6.28092
121: bad sentence 60, PPL: -13.30830
122: good sentence 61, PPL: -5.25589
123: bad sentence 61, PPL: -10.67664
124: good sentence 62, PPL: -9.67024
125: bad sentence 62, PPL: -28.69749
126: good sentence 63, PPL: -3.57782
127: bad sentence 63, PPL: -14.52892
128: good sentence 64, PPL: -38.21776
129: bad sentence 64, PPL: -110.77896
130: good sentence 65, PPL: -3.41451
131: bad sentence 65, PPL: -16.10764
132: good sentence 66, PPL: -7.25217
133: bad sentence 66, PPL: -33.77516
134: good sentence 67, PPL: -12.93525
135: bad sentence 67, PPL: -36.62316
136: good sentence 68, PPL: -7.15934
137: bad sentence 68, PPL: -21.57944
138: good sentence 69, PPL: -3.64878
139: bad sentence 69, PPL: -8.61787
140: good sentence 70, PPL: -8.46761
141: bad sentence 70, PPL: -24.98894
142: good sentence 71, PPL: -20.31415
143: bad sentence 71, PPL: -51.19702
144: good sentence 72, PPL: -14.41224
145: bad sentence 72, PPL: -24.03149
146: good sentence 73, PPL: -3.22125
147: bad sentence 73, PPL: -9.58841
148: good sentence 74, PPL: -8.27560
149: bad sentence 74, PPL: -27.66382
150: good sentence 75, PPL: -5.14274
151: bad sentence 75, PPL: -14.22147
152: good sentence 76, PPL: -7.88943
153: bad sentence 76, PPL: -15.70884
154: good sentence 77, PPL: -9.85397
155: bad sentence 77, PPL: -35.69298
156: good sentence 78, PPL: -18.04949
157: bad sentence 78, PPL: -83.99488
158: good sentence 79, PPL: -7.98933
159: bad sentence 79, PPL: -29.96664
160: good sentence 80, PPL: -7.10408
161: bad sentence 80, PPL: -24.41459
162: good sentence 81, PPL: -11.61522
163: bad sentence 81, PPL: -33.19327
164: good sentence 82, PPL: -4.39559
165: bad sentence 82, PPL: -21.44675
166: good sentence 83, PPL: -7.20227
167: bad sentence 83, PPL: -19.09735
168: good sentence 84, PPL: -7.99487
169: bad sentence 84, PPL: -28.30615
170: good sentence 85, PPL: -6.73573
171: bad sentence 85, PPL: -16.43638
172: good sentence 86, PPL: -5.97403
173: bad sentence 86, PPL: -18.57965
174: good sentence 87, PPL: -7.13214
175: bad sentence 87, PPL: -11.80315
176: good sentence 88, PPL: -9.78297
177: bad sentence 88, PPL: -37.08248
178: good sentence 89, PPL: -5.51543
179: bad sentence 89, PPL: -14.85892
180: good sentence 90, PPL: -2.95227
181: bad sentence 90, PPL: -9.07625
182: good sentence 91, PPL: -67.73633
183: bad sentence 91, PPL: -120.35682
184: good sentence 92, PPL: -9.89486
185: bad sentence 92, PPL: -19.24703
186: good sentence 93, PPL: -14.61277
187: bad sentence 93, PPL: -30.99777
188: good sentence 94, PPL: -3.36413
189: bad sentence 94, PPL: -7.10575
190: good sentence 95, PPL: -13.10345
191: bad sentence 95, PPL: -45.73546
192: good sentence 96, PPL: -13.52981
193: bad sentence 96, PPL: -48.83897
194: good sentence 97, PPL: -13.67117
195: bad sentence 97, PPL: -46.23627
196: good sentence 98, PPL: -4.02066
197: bad sentence 98, PPL: -11.53902
198: good sentence 99, PPL: -4.68775
199: bad sentence 99, PPL: -23.58188
200: good sentence 100, PPL: -12.69338
201: bad sentence 100, PPL: -44.77808
202: good sentence 101, PPL: -4.88459
203: bad sentence 101, PPL: -15.21540
204: good sentence 102, PPL: -15.31742
205: bad sentence 102, PPL: -27.35553
206: good sentence 103, PPL: -21.13637
207: bad sentence 103, PPL: -44.25777
208: good sentence 104, PPL: -6.82087
209: bad sentence 104, PPL: -21.81305
210: good sentence 105, PPL: -5.60427
211: bad sentence 105, PPL: -15.54182
212: good sentence 106, PPL: -3.02583
213: bad sentence 106, PPL: -8.00060
214: good sentence 107, PPL: -4.61226
215: bad sentence 107, PPL: -12.35154
216: good sentence 108, PPL: -14.07762
217: bad sentence 108, PPL: -30.26484
218: good sentence 109, PPL: -7.88946
219: bad sentence 109, PPL: -17.20676
220: good sentence 110, PPL: -12.49967
221: bad sentence 110, PPL: -30.41594
222: good sentence 111, PPL: -6.57744
223: bad sentence 111, PPL: -21.14866
224: good sentence 112, PPL: -5.91740
225: bad sentence 112, PPL: -26.23687
226: good sentence 113, PPL: -5.13442
227: bad sentence 113, PPL: -15.24426
228: good sentence 114, PPL: -4.73205
229: bad sentence 114, PPL: -9.68764
230: good sentence 115, PPL: -5.07442
231: bad sentence 115, PPL: -13.90687
232: good sentence 116, PPL: -14.37644
233: bad sentence 116, PPL: -58.69178
234: good sentence 117, PPL: -6.21852
235: bad sentence 117, PPL: -22.35207
236: good sentence 118, PPL: -14.22246
237: bad sentence 118, PPL: -65.50693
238: good sentence 119, PPL: -11.35688
239: bad sentence 119, PPL: -25.88248
240: good sentence 120, PPL: -5.01335
241: bad sentence 120, PPL: -16.60289
242: good sentence 121, PPL: -5.52951
243: bad sentence 121, PPL: -16.26934
244: good sentence 122, PPL: -10.63223
245: bad sentence 122, PPL: -36.72549
246: good sentence 123, PPL: -3.48845
247: bad sentence 123, PPL: -9.45648
248: good sentence 124, PPL: -5.96597
249: bad sentence 124, PPL: -11.81710
250: good sentence 125, PPL: -11.94653
251: bad sentence 125, PPL: -37.52556
252: good sentence 126, PPL: -3.84957
253: bad sentence 126, PPL: -13.33916
254: good sentence 127, PPL: -8.76262
255: bad sentence 127, PPL: -24.90906
256: good sentence 128, PPL: -5.63581
257: bad sentence 128, PPL: -31.85319
258: good sentence 129, PPL: -10.26516
259: bad sentence 129, PPL: -11.18047
260: good sentence 130, PPL: -6.19824
261: bad sentence 130, PPL: -12.12620
262: good sentence 131, PPL: -6.88646
263: bad sentence 131, PPL: -11.67669
