Plural
	cl_self_female
Model: Qwen/Qwen-14B, Accuracy: 74.80000, Average Perplexity (Good Sentences): -389.50000, Average Perplexity (Bad Sentences): -459.00000
0: good sentence 0, PPL: -486.75000
1: bad sentence 0, PPL: -551.50000
2: good sentence 1, PPL: -132.00000
3: bad sentence 1, PPL: -156.12500
4: good sentence 2, PPL: -500.00000
5: bad sentence 2, PPL: -589.50000
6: good sentence 3, PPL: -518.00000
7: bad sentence 3, PPL: -545.00000
8: good sentence 4, PPL: -97.31250
9: bad sentence 4, PPL: -132.50000
10: good sentence 5, PPL: -149.62500
11: bad sentence 5, PPL: -171.50000
12: good sentence 6, PPL: -272.00000
13: bad sentence 6, PPL: -486.75000
14: good sentence 7, PPL: -268.75000
15: bad sentence 7, PPL: -324.25000
16: good sentence 8, PPL: -1493.00000
17: bad sentence 8, PPL: -1621.00000
18: good sentence 9, PPL: -580.00000
19: bad sentence 9, PPL: -634.50000
20: good sentence 10, PPL: -543.00000
21: bad sentence 10, PPL: -655.00000
22: good sentence 11, PPL: -106.87500
23: bad sentence 11, PPL: -99.62500
24: good sentence 12, PPL: -314.25000
25: bad sentence 12, PPL: -341.00000
26: good sentence 13, PPL: -462.50000
27: bad sentence 13, PPL: -500.00000
28: good sentence 14, PPL: -2404.00000
29: bad sentence 14, PPL: -2368.00000
30: good sentence 15, PPL: -183.25000
31: bad sentence 15, PPL: -220.25000
32: good sentence 16, PPL: -414.50000
33: bad sentence 16, PPL: -337.00000
34: good sentence 17, PPL: -307.00000
35: bad sentence 17, PPL: -471.75000
36: good sentence 18, PPL: -768.50000
37: bad sentence 18, PPL: -831.00000
38: good sentence 19, PPL: -232.62500
39: bad sentence 19, PPL: -314.25000
40: good sentence 20, PPL: -649.50000
41: bad sentence 20, PPL: -831.00000
42: good sentence 21, PPL: -634.50000
43: bad sentence 21, PPL: -569.00000
44: good sentence 22, PPL: -462.50000
45: bad sentence 22, PPL: -385.00000
46: good sentence 23, PPL: -321.75000
47: bad sentence 23, PPL: -377.50000
48: good sentence 24, PPL: -673.00000
49: bad sentence 24, PPL: -762.50000
50: good sentence 25, PPL: -132.00000
51: bad sentence 25, PPL: -150.12500
52: good sentence 26, PPL: -335.75000
53: bad sentence 26, PPL: -422.75000
54: good sentence 27, PPL: -172.87500
55: bad sentence 27, PPL: -207.62500
56: good sentence 28, PPL: -818.00000
57: bad sentence 28, PPL: -834.50000
58: good sentence 29, PPL: -655.00000
59: bad sentence 29, PPL: -713.50000
60: good sentence 30, PPL: -492.25000
61: bad sentence 30, PPL: -466.25000
62: good sentence 31, PPL: -705.50000
63: bad sentence 31, PPL: -888.00000
64: good sentence 32, PPL: -553.50000
65: bad sentence 32, PPL: -662.50000
66: good sentence 33, PPL: -176.25000
67: bad sentence 33, PPL: -237.12500
68: good sentence 34, PPL: -434.50000
69: bad sentence 34, PPL: -589.50000
70: good sentence 35, PPL: -484.75000
71: bad sentence 35, PPL: -637.00000
72: good sentence 36, PPL: -227.25000
73: bad sentence 36, PPL: -395.75000
74: good sentence 37, PPL: -406.50000
75: bad sentence 37, PPL: -414.50000
76: good sentence 38, PPL: -189.12500
77: bad sentence 38, PPL: -221.87500
78: good sentence 39, PPL: -808.50000
79: bad sentence 39, PPL: -934.50000
80: good sentence 40, PPL: -155.50000
81: bad sentence 40, PPL: -189.87500
82: good sentence 41, PPL: -512.00000
83: bad sentence 41, PPL: -484.75000
84: good sentence 42, PPL: -490.50000
85: bad sentence 42, PPL: -697.00000
86: good sentence 43, PPL: -426.00000
87: bad sentence 43, PPL: -522.00000
88: good sentence 44, PPL: -358.75000
89: bad sentence 44, PPL: -409.75000
90: good sentence 45, PPL: -290.50000
91: bad sentence 45, PPL: -341.00000
92: good sentence 46, PPL: -188.37500
93: bad sentence 46, PPL: -251.50000
94: good sentence 47, PPL: -409.75000
95: bad sentence 47, PPL: -571.00000
96: good sentence 48, PPL: -1302.00000
97: bad sentence 48, PPL: -1476.00000
98: good sentence 49, PPL: -356.00000
99: bad sentence 49, PPL: -443.00000
100: good sentence 50, PPL: -756.50000
101: bad sentence 50, PPL: -956.50000
102: good sentence 51, PPL: -545.00000
103: bad sentence 51, PPL: -1167.00000
104: good sentence 52, PPL: -376.00000
105: bad sentence 52, PPL: -477.25000
106: good sentence 53, PPL: -349.25000
107: bad sentence 53, PPL: -432.75000
108: good sentence 54, PPL: -206.87500
109: bad sentence 54, PPL: -243.75000
110: good sentence 55, PPL: -1034.00000
111: bad sentence 55, PPL: -787.00000
112: good sentence 56, PPL: -218.50000
113: bad sentence 56, PPL: -216.00000
114: good sentence 57, PPL: -1204.00000
115: bad sentence 57, PPL: -1030.00000
116: good sentence 58, PPL: -462.50000
117: bad sentence 58, PPL: -370.25000
118: good sentence 59, PPL: -277.25000
119: bad sentence 59, PPL: -314.25000
120: good sentence 60, PPL: -176.25000
121: bad sentence 60, PPL: -174.87500
122: good sentence 61, PPL: -547.00000
123: bad sentence 61, PPL: -697.00000
124: good sentence 62, PPL: -953.00000
125: bad sentence 62, PPL: -821.50000
126: good sentence 63, PPL: -545.00000
127: bad sentence 63, PPL: -580.00000
128: good sentence 64, PPL: -536.50000
129: bad sentence 64, PPL: -756.50000
130: good sentence 65, PPL: -655.00000
131: bad sentence 65, PPL: -711.00000
132: good sentence 66, PPL: -320.50000
133: bad sentence 66, PPL: -333.25000
134: good sentence 67, PPL: -349.25000
135: bad sentence 67, PPL: -401.75000
136: good sentence 68, PPL: -217.62500
137: bad sentence 68, PPL: -259.50000
138: good sentence 69, PPL: -289.50000
139: bad sentence 69, PPL: -324.25000
140: good sentence 70, PPL: -158.00000
141: bad sentence 70, PPL: -186.87500
142: good sentence 71, PPL: -209.25000
143: bad sentence 71, PPL: -181.87500
144: good sentence 72, PPL: -136.25000
145: bad sentence 72, PPL: -163.62500
146: good sentence 73, PPL: -221.87500
147: bad sentence 73, PPL: -273.00000
148: good sentence 74, PPL: -481.00000
149: bad sentence 74, PPL: -473.50000
150: good sentence 75, PPL: -187.62500
151: bad sentence 75, PPL: -297.50000
152: good sentence 76, PPL: -132.50000
153: bad sentence 76, PPL: -166.25000
154: good sentence 77, PPL: -613.00000
155: bad sentence 77, PPL: -541.00000
156: good sentence 78, PPL: -510.00000
157: bad sentence 78, PPL: -543.00000
158: good sentence 79, PPL: -188.37500
159: bad sentence 79, PPL: -222.75000
160: good sentence 80, PPL: -448.25000
161: bad sentence 80, PPL: -422.75000
162: good sentence 81, PPL: -353.25000
163: bad sentence 81, PPL: -413.00000
164: good sentence 82, PPL: -354.75000
165: bad sentence 82, PPL: -342.50000
166: good sentence 83, PPL: -258.50000
167: bad sentence 83, PPL: -349.25000
168: good sentence 84, PPL: -6020.00000
169: bad sentence 84, PPL: -4652.00000
170: good sentence 85, PPL: -821.50000
171: bad sentence 85, PPL: -881.00000
172: good sentence 86, PPL: -297.50000
173: bad sentence 86, PPL: -455.25000
174: good sentence 87, PPL: -122.56250
175: bad sentence 87, PPL: -127.93750
176: good sentence 88, PPL: -307.00000
177: bad sentence 88, PPL: -315.50000
178: good sentence 89, PPL: -308.00000
179: bad sentence 89, PPL: -424.50000
180: good sentence 90, PPL: -406.50000
181: bad sentence 90, PPL: -460.75000
182: good sentence 91, PPL: -283.75000
183: bad sentence 91, PPL: -311.75000
184: good sentence 92, PPL: -422.75000
185: bad sentence 92, PPL: -466.25000
186: good sentence 93, PPL: -416.25000
187: bad sentence 93, PPL: -380.50000
188: good sentence 94, PPL: -1408.00000
189: bad sentence 94, PPL: -1262.00000
190: good sentence 95, PPL: -639.50000
191: bad sentence 95, PPL: -613.00000
192: good sentence 96, PPL: -549.50000
193: bad sentence 96, PPL: -580.00000
194: good sentence 97, PPL: -569.00000
195: bad sentence 97, PPL: -771.50000
196: good sentence 98, PPL: -380.50000
197: bad sentence 98, PPL: -303.25000
198: good sentence 99, PPL: -1297.00000
199: bad sentence 99, PPL: -1200.00000
200: good sentence 100, PPL: -459.00000
201: bad sentence 100, PPL: -441.25000
202: good sentence 101, PPL: -273.00000
203: bad sentence 101, PPL: -326.75000
204: good sentence 102, PPL: -272.00000
205: bad sentence 102, PPL: -313.00000
206: good sentence 103, PPL: -334.50000
207: bad sentence 103, PPL: -392.50000
208: good sentence 104, PPL: -730.50000
209: bad sentence 104, PPL: -968.00000
210: good sentence 105, PPL: -261.50000
211: bad sentence 105, PPL: -350.50000
212: good sentence 106, PPL: -80.37500
213: bad sentence 106, PPL: -86.93750
214: good sentence 107, PPL: -225.37500
215: bad sentence 107, PPL: -307.00000
216: good sentence 108, PPL: -1815.00000
217: bad sentence 108, PPL: -1589.00000
218: good sentence 109, PPL: -350.50000
219: bad sentence 109, PPL: -457.25000
220: good sentence 110, PPL: -261.50000
221: bad sentence 110, PPL: -286.00000
222: good sentence 111, PPL: -1140.00000
223: bad sentence 111, PPL: -938.00000
224: good sentence 112, PPL: -172.87500
225: bad sentence 112, PPL: -227.25000
226: good sentence 113, PPL: -272.00000
227: bad sentence 113, PPL: -331.75000
228: good sentence 114, PPL: -920.00000
229: bad sentence 114, PPL: -934.50000
230: good sentence 115, PPL: -1097.00000
231: bad sentence 115, PPL: -1262.00000
232: good sentence 116, PPL: -168.12500
233: bad sentence 116, PPL: -197.37500
234: good sentence 117, PPL: -429.50000
235: bad sentence 117, PPL: -591.50000
236: good sentence 118, PPL: -627.50000
237: bad sentence 118, PPL: -608.00000
238: good sentence 119, PPL: -1084.00000
239: bad sentence 119, PPL: -888.00000
240: good sentence 120, PPL: -164.25000
241: bad sentence 120, PPL: -217.62500
242: good sentence 121, PPL: -321.75000
243: bad sentence 121, PPL: -405.00000
244: good sentence 122, PPL: -1282.00000
245: bad sentence 122, PPL: -1131.00000
246: good sentence 123, PPL: -196.62500
247: bad sentence 123, PPL: -243.75000
248: good sentence 124, PPL: -309.25000
249: bad sentence 124, PPL: -377.50000
250: good sentence 125, PPL: -200.50000
251: bad sentence 125, PPL: -240.87500
252: good sentence 126, PPL: -1344.00000
253: bad sentence 126, PPL: -1154.00000
254: good sentence 127, PPL: -888.00000
255: bad sentence 127, PPL: -912.50000
256: good sentence 128, PPL: -733.50000
257: bad sentence 128, PPL: -888.00000
258: good sentence 129, PPL: -575.50000
259: bad sentence 129, PPL: -603.50000
260: good sentence 130, PPL: -545.00000
261: bad sentence 130, PPL: -667.50000
262: good sentence 131, PPL: -143.25000
263: bad sentence 131, PPL: -163.62500
264: good sentence 132, PPL: -443.00000
265: bad sentence 132, PPL: -434.50000
266: good sentence 133, PPL: -432.75000
267: bad sentence 133, PPL: -363.00000
268: good sentence 134, PPL: -148.37500
269: bad sentence 134, PPL: -233.50000
270: good sentence 135, PPL: -1181.00000
271: bad sentence 135, PPL: -1123.00000
272: good sentence 136, PPL: -223.62500
273: bad sentence 136, PPL: -264.50000
274: good sentence 137, PPL: -170.87500
275: bad sentence 137, PPL: -194.37500
276: good sentence 138, PPL: -1010.50000
277: bad sentence 138, PPL: -956.50000
278: good sentence 139, PPL: -629.50000
279: bad sentence 139, PPL: -634.50000
280: good sentence 140, PPL: -3174.00000
281: bad sentence 140, PPL: -3326.00000
282: good sentence 141, PPL: -385.00000
283: bad sentence 141, PPL: -532.50000
284: good sentence 142, PPL: -850.50000
285: bad sentence 142, PPL: -964.00000
286: good sentence 143, PPL: -968.00000
287: bad sentence 143, PPL: -1059.00000
288: good sentence 144, PPL: -1430.00000
289: bad sentence 144, PPL: -1419.00000
290: good sentence 145, PPL: -303.25000
291: bad sentence 145, PPL: -366.00000
292: good sentence 146, PPL: -363.00000
293: bad sentence 146, PPL: -468.00000
294: good sentence 147, PPL: -196.62500
295: bad sentence 147, PPL: -166.87500
296: good sentence 148, PPL: -443.00000
297: bad sentence 148, PPL: -508.00000
298: good sentence 149, PPL: -275.00000
299: bad sentence 149, PPL: -278.25000
300: good sentence 150, PPL: -283.75000
301: bad sentence 150, PPL: -421.25000
302: good sentence 151, PPL: -441.25000
303: bad sentence 151, PPL: -426.00000
304: good sentence 152, PPL: -697.00000
305: bad sentence 152, PPL: -742.00000
306: good sentence 153, PPL: -330.50000
307: bad sentence 153, PPL: -421.25000
308: good sentence 154, PPL: -753.50000
309: bad sentence 154, PPL: -1105.00000
310: good sentence 155, PPL: -222.75000
311: bad sentence 155, PPL: -242.75000
312: good sentence 156, PPL: -222.75000
313: bad sentence 156, PPL: -229.87500
314: good sentence 157, PPL: -164.25000
315: bad sentence 157, PPL: -164.87500
316: good sentence 158, PPL: -1233.00000
317: bad sentence 158, PPL: -864.00000
318: good sentence 159, PPL: -439.75000
319: bad sentence 159, PPL: -745.00000
320: good sentence 160, PPL: -700.00000
321: bad sentence 160, PPL: -949.00000
322: good sentence 161, PPL: -673.00000
323: bad sentence 161, PPL: -473.50000
324: good sentence 162, PPL: -949.00000
325: bad sentence 162, PPL: -945.50000
326: good sentence 163, PPL: -238.12500
327: bad sentence 163, PPL: -343.75000
328: good sentence 164, PPL: -1002.50000
329: bad sentence 164, PPL: -960.00000
330: good sentence 165, PPL: -207.62500
331: bad sentence 165, PPL: -243.75000
332: good sentence 166, PPL: -578.00000
333: bad sentence 166, PPL: -617.50000
334: good sentence 167, PPL: -253.50000
335: bad sentence 167, PPL: -370.25000
336: good sentence 168, PPL: -409.75000
337: bad sentence 168, PPL: -551.50000
338: good sentence 169, PPL: -787.00000
339: bad sentence 169, PPL: -702.50000
340: good sentence 170, PPL: -148.37500
341: bad sentence 170, PPL: -197.37500
342: good sentence 171, PPL: -321.75000
343: bad sentence 171, PPL: -376.00000
344: good sentence 172, PPL: -252.50000
345: bad sentence 172, PPL: -307.00000
346: good sentence 173, PPL: -356.00000
347: bad sentence 173, PPL: -438.00000
348: good sentence 174, PPL: -1038.00000
349: bad sentence 174, PPL: -968.00000
350: good sentence 175, PPL: -479.00000
351: bad sentence 175, PPL: -627.50000
352: good sentence 176, PPL: -285.00000
353: bad sentence 176, PPL: -352.00000
354: good sentence 177, PPL: -171.50000
355: bad sentence 177, PPL: -211.75000
356: good sentence 178, PPL: -681.00000
357: bad sentence 178, PPL: -615.00000
358: good sentence 179, PPL: -555.50000
359: bad sentence 179, PPL: -686.50000
360: good sentence 180, PPL: -1038.00000
361: bad sentence 180, PPL: -1055.00000
362: good sentence 181, PPL: -146.62500
363: bad sentence 181, PPL: -233.50000
364: good sentence 182, PPL: -273.00000
365: bad sentence 182, PPL: -385.00000
366: good sentence 183, PPL: -352.00000
367: bad sentence 183, PPL: -335.75000
368: good sentence 184, PPL: -129.50000
369: bad sentence 184, PPL: -148.37500
370: good sentence 185, PPL: -373.00000
371: bad sentence 185, PPL: -443.00000
372: good sentence 186, PPL: -675.50000
373: bad sentence 186, PPL: -498.25000
374: good sentence 187, PPL: -1287.00000
375: bad sentence 187, PPL: -1223.00000
376: good sentence 188, PPL: -316.75000
377: bad sentence 188, PPL: -353.25000
378: good sentence 189, PPL: -150.75000
379: bad sentence 189, PPL: -138.87500
380: good sentence 190, PPL: -569.00000
381: bad sentence 190, PPL: -582.50000
382: good sentence 191, PPL: -665.00000
383: bad sentence 191, PPL: -812.00000
384: good sentence 192, PPL: -569.00000
385: bad sentence 192, PPL: -652.50000
386: good sentence 193, PPL: -864.00000
387: bad sentence 193, PPL: -783.50000
388: good sentence 194, PPL: -518.00000
389: bad sentence 194, PPL: -670.50000
390: good sentence 195, PPL: -389.50000
391: bad sentence 195, PPL: -411.50000
392: good sentence 196, PPL: -240.87500
393: bad sentence 196, PPL: -242.75000
394: good sentence 197, PPL: -92.87500
395: bad sentence 197, PPL: -122.56250
396: good sentence 198, PPL: -264.50000
397: bad sentence 198, PPL: -282.75000
398: good sentence 199, PPL: -299.75000
399: bad sentence 199, PPL: -389.50000
400: good sentence 200, PPL: -406.50000
401: bad sentence 200, PPL: -339.75000
402: good sentence 201, PPL: -325.50000
403: bad sentence 201, PPL: -349.25000
404: good sentence 202, PPL: -691.50000
405: bad sentence 202, PPL: -617.50000
406: good sentence 203, PPL: -136.75000
407: bad sentence 203, PPL: -209.25000
408: good sentence 204, PPL: -1277.00000
409: bad sentence 204, PPL: -1214.00000
410: good sentence 205, PPL: -1397.00000
411: bad sentence 205, PPL: -1565.00000
412: good sentence 206, PPL: -551.50000
413: bad sentence 206, PPL: -627.50000
414: good sentence 207, PPL: -221.00000
415: bad sentence 207, PPL: -266.75000
416: good sentence 208, PPL: -1080.00000
417: bad sentence 208, PPL: -1287.00000
418: good sentence 209, PPL: -506.00000
