AlternativeQuestion
	haishi_ma
Model: 01-ai/Yi-6B, Accuracy: 6.50000, Average Perplexity (Good Sentences): -1078.09644, Average Perplexity (Bad Sentences): -714.57104
0: good sentence 0, PPL: -462.32083
1: bad sentence 0, PPL: -379.85074
2: good sentence 1, PPL: -1170.52368
3: bad sentence 1, PPL: -621.06995
4: good sentence 2, PPL: -143.76152
5: bad sentence 2, PPL: -134.77419
6: good sentence 3, PPL: -1241.27124
7: bad sentence 3, PPL: -810.23456
8: good sentence 4, PPL: -3191.90039
9: bad sentence 4, PPL: -1914.08936
10: good sentence 5, PPL: -349.69202
11: bad sentence 5, PPL: -354.75519
12: good sentence 6, PPL: -1427.30469
13: bad sentence 6, PPL: -1185.76807
14: good sentence 7, PPL: -1144.63159
15: bad sentence 7, PPL: -1039.86926
16: good sentence 8, PPL: -484.30872
17: bad sentence 8, PPL: -321.71832
18: good sentence 9, PPL: -276.68036
19: bad sentence 9, PPL: -304.45493
20: good sentence 10, PPL: -82.01833
21: bad sentence 10, PPL: -74.94645
22: good sentence 11, PPL: -96.10855
23: bad sentence 11, PPL: -102.66338
24: good sentence 12, PPL: -4924.43848
25: bad sentence 12, PPL: -2354.29395
26: good sentence 13, PPL: -1898.58179
27: bad sentence 13, PPL: -1467.06067
28: good sentence 14, PPL: -4295.58105
29: bad sentence 14, PPL: -2825.84106
30: good sentence 15, PPL: -10025.73633
31: bad sentence 15, PPL: -3388.79321
32: good sentence 16, PPL: -7796.04150
33: bad sentence 16, PPL: -3806.87207
34: good sentence 17, PPL: -272.94846
35: bad sentence 17, PPL: -244.48749
36: good sentence 18, PPL: -90.13606
37: bad sentence 18, PPL: -82.45368
38: good sentence 19, PPL: -3706.10669
39: bad sentence 19, PPL: -1837.57654
40: good sentence 20, PPL: -635.88458
41: bad sentence 20, PPL: -514.25275
42: good sentence 21, PPL: -578.40881
43: bad sentence 21, PPL: -554.74030
44: good sentence 22, PPL: -816.94177
45: bad sentence 22, PPL: -656.32159
46: good sentence 23, PPL: -346.58722
47: bad sentence 23, PPL: -295.07150
48: good sentence 24, PPL: -644.94519
49: bad sentence 24, PPL: -400.66644
