Classifier-Noun
	dem_cl_swap
Model: TsinghuaAI/CPM-Generate, Accuracy: 52.50000, Average Perplexity (Good Sentences): -16250.48438, Average Perplexity (Bad Sentences): -16321.82227
0: good sentence 0, PPL: -3022.35059
1: bad sentence 0, PPL: -2710.46313
2: good sentence 1, PPL: -13421.49609
3: bad sentence 1, PPL: -10283.19238
4: good sentence 2, PPL: -16839.74023
5: bad sentence 2, PPL: -22476.99023
6: good sentence 3, PPL: -8974.72070
7: bad sentence 3, PPL: -11784.03906
8: good sentence 4, PPL: -7884.18652
9: bad sentence 4, PPL: -13163.44629
10: good sentence 5, PPL: -18024.32617
11: bad sentence 5, PPL: -10147.81543
12: good sentence 6, PPL: -3702.39404
13: bad sentence 6, PPL: -19186.19141
14: good sentence 7, PPL: -25593.67773
15: bad sentence 7, PPL: -50716.73047
16: good sentence 8, PPL: -58489.44922
17: bad sentence 8, PPL: -33536.76953
18: good sentence 9, PPL: -20289.73828
19: bad sentence 9, PPL: -25592.31055
20: good sentence 10, PPL: -9219.05078
21: bad sentence 10, PPL: -7750.62842
22: good sentence 11, PPL: -11391.11035
23: bad sentence 11, PPL: -14531.95703
24: good sentence 12, PPL: -40137.64844
25: bad sentence 12, PPL: -15426.68652
26: good sentence 13, PPL: -5895.35547
27: bad sentence 13, PPL: -10067.30859
28: good sentence 14, PPL: -19475.23242
29: bad sentence 14, PPL: -19995.66406
30: good sentence 15, PPL: -8749.02344
31: bad sentence 15, PPL: -4683.75635
32: good sentence 16, PPL: -23115.19336
33: bad sentence 16, PPL: -33452.25000
34: good sentence 17, PPL: -37161.77734
35: bad sentence 17, PPL: -59140.25391
36: good sentence 18, PPL: -47150.63281
37: bad sentence 18, PPL: -44268.58203
38: good sentence 19, PPL: -696.14099
39: bad sentence 19, PPL: -1209.35645
40: good sentence 20, PPL: -13799.77734
41: bad sentence 20, PPL: -10371.38770
42: good sentence 21, PPL: -67937.06250
43: bad sentence 21, PPL: -46192.86328
44: good sentence 22, PPL: -17357.71289
45: bad sentence 22, PPL: -26083.39062
46: good sentence 23, PPL: -9814.55566
47: bad sentence 23, PPL: -17876.35352
48: good sentence 24, PPL: -21531.72070
49: bad sentence 24, PPL: -23198.62695
50: good sentence 25, PPL: -36961.26562
51: bad sentence 25, PPL: -43132.71875
52: good sentence 26, PPL: -9914.93457
53: bad sentence 26, PPL: -5429.62646
54: good sentence 27, PPL: -14166.27637
55: bad sentence 27, PPL: -17230.25586
56: good sentence 28, PPL: -32356.58984
57: bad sentence 28, PPL: -7389.18750
58: good sentence 29, PPL: -8613.25879
59: bad sentence 29, PPL: -10769.23340
60: good sentence 30, PPL: -9998.68555
61: bad sentence 30, PPL: -5652.64697
62: good sentence 31, PPL: -8306.95898
63: bad sentence 31, PPL: -12020.64160
64: good sentence 32, PPL: -46629.09375
65: bad sentence 32, PPL: -49886.26953
66: good sentence 33, PPL: -764.32697
67: bad sentence 33, PPL: -3922.26514
68: good sentence 34, PPL: -11423.49609
69: bad sentence 34, PPL: -11392.69629
70: good sentence 35, PPL: -7422.96191
71: bad sentence 35, PPL: -5277.24951
72: good sentence 36, PPL: -43614.52344
73: bad sentence 36, PPL: -9248.22461
74: good sentence 37, PPL: -11720.18848
75: bad sentence 37, PPL: -22771.60938
76: good sentence 38, PPL: -7211.89990
77: bad sentence 38, PPL: -3756.05298
78: good sentence 39, PPL: -49817.23828
79: bad sentence 39, PPL: -44522.69531
80: good sentence 40, PPL: -24647.33008
81: bad sentence 40, PPL: -6040.01367
82: good sentence 41, PPL: -5938.46631
83: bad sentence 41, PPL: -9562.08203
84: good sentence 42, PPL: -19344.86133
85: bad sentence 42, PPL: -41280.32812
86: good sentence 43, PPL: -6313.84863
87: bad sentence 43, PPL: -9881.92285
88: good sentence 44, PPL: -31402.38281
89: bad sentence 44, PPL: -13401.49219
90: good sentence 45, PPL: -25420.48438
91: bad sentence 45, PPL: -22078.09766
92: good sentence 46, PPL: -28533.03125
93: bad sentence 46, PPL: -21763.20703
94: good sentence 47, PPL: -2343.12231
95: bad sentence 47, PPL: -2588.53345
96: good sentence 48, PPL: -80637.10156
97: bad sentence 48, PPL: -61379.47656
98: good sentence 49, PPL: -31007.33398
99: bad sentence 49, PPL: -37133.82422
100: good sentence 50, PPL: -9175.09961
101: bad sentence 50, PPL: -24242.51953
102: good sentence 51, PPL: -21150.95312
103: bad sentence 51, PPL: -35250.93359
104: good sentence 52, PPL: -24686.40625
105: bad sentence 52, PPL: -19941.48438
106: good sentence 53, PPL: -56694.73047
107: bad sentence 53, PPL: -17715.16016
108: good sentence 54, PPL: -5914.30420
109: bad sentence 54, PPL: -5582.87158
110: good sentence 55, PPL: -33829.11719
111: bad sentence 55, PPL: -14798.47852
112: good sentence 56, PPL: -8540.15234
113: bad sentence 56, PPL: -9496.43164
114: good sentence 57, PPL: -66133.64844
115: bad sentence 57, PPL: -45186.75391
116: good sentence 58, PPL: -6975.70215
117: bad sentence 58, PPL: -4385.77148
118: good sentence 59, PPL: -15781.33398
119: bad sentence 59, PPL: -31294.33789
120: good sentence 60, PPL: -13569.41309
121: bad sentence 60, PPL: -12317.69043
122: good sentence 61, PPL: -74339.60938
123: bad sentence 61, PPL: -40598.26953
124: good sentence 62, PPL: -25883.61719
125: bad sentence 62, PPL: -13976.52637
126: good sentence 63, PPL: -22489.23438
127: bad sentence 63, PPL: -10129.37695
128: good sentence 64, PPL: -48056.94141
129: bad sentence 64, PPL: -46249.81250
