Classifier-Noun
	cl_simple_noun
Model: imone/pangu_2_6B, Accuracy: 85.00000, Average Perplexity (Good Sentences): -1518.46057, Average Perplexity (Bad Sentences): -4396.43311
0: good sentence 0, PPL: -3622.70361
1: bad sentence 0, PPL: -10642.91602
2: good sentence 1, PPL: -7936.72217
3: bad sentence 1, PPL: -17920.40820
4: good sentence 2, PPL: -1182.46838
5: bad sentence 2, PPL: -2952.82935
6: good sentence 3, PPL: -331.96320
7: bad sentence 3, PPL: -1139.96960
8: good sentence 4, PPL: -2537.39429
9: bad sentence 4, PPL: -3070.63086
10: good sentence 5, PPL: -4256.21387
11: bad sentence 5, PPL: -5167.28271
12: good sentence 6, PPL: -467.42068
13: bad sentence 6, PPL: -2330.72559
14: good sentence 7, PPL: -749.05872
15: bad sentence 7, PPL: -4878.01514
16: good sentence 8, PPL: -1634.43372
17: bad sentence 8, PPL: -1820.23438
18: good sentence 9, PPL: -7533.78369
19: bad sentence 9, PPL: -21432.25781
20: good sentence 10, PPL: -992.38226
21: bad sentence 10, PPL: -7719.74170
22: good sentence 11, PPL: -3515.38940
23: bad sentence 11, PPL: -76820.55469
24: good sentence 12, PPL: -2658.68066
25: bad sentence 12, PPL: -29171.03320
26: good sentence 13, PPL: -10238.00391
27: bad sentence 13, PPL: -4960.84180
28: good sentence 14, PPL: -7642.60693
29: bad sentence 14, PPL: -12103.37207
30: good sentence 15, PPL: -1611.89478
31: bad sentence 15, PPL: -27281.19727
32: good sentence 16, PPL: -4427.80176
33: bad sentence 16, PPL: -2085.29468
34: good sentence 17, PPL: -12662.39746
35: bad sentence 17, PPL: -9116.74805
36: good sentence 18, PPL: -14620.91113
37: bad sentence 18, PPL: -15645.96777
38: good sentence 19, PPL: -33044.39453
39: bad sentence 19, PPL: -31397.38281
40: good sentence 20, PPL: -7761.56104
41: bad sentence 20, PPL: -13072.40918
42: good sentence 21, PPL: -87.41417
43: bad sentence 21, PPL: -6996.11475
44: good sentence 22, PPL: -1747.27747
45: bad sentence 22, PPL: -2022.02747
46: good sentence 23, PPL: -135.59665
47: bad sentence 23, PPL: -474.94699
48: good sentence 24, PPL: -4025.65796
49: bad sentence 24, PPL: -9936.21484
50: good sentence 25, PPL: -577.78448
51: bad sentence 25, PPL: -3868.49976
52: good sentence 26, PPL: -3934.35059
53: bad sentence 26, PPL: -3498.49976
54: good sentence 27, PPL: -6229.67041
55: bad sentence 27, PPL: -17521.13086
56: good sentence 28, PPL: -1143.97351
57: bad sentence 28, PPL: -1913.70166
58: good sentence 29, PPL: -10519.46289
59: bad sentence 29, PPL: -29384.96680
60: good sentence 30, PPL: -16167.01270
61: bad sentence 30, PPL: -29650.42188
62: good sentence 31, PPL: -3386.40576
63: bad sentence 31, PPL: -10055.55371
64: good sentence 32, PPL: -851.81940
65: bad sentence 32, PPL: -2307.02563
66: good sentence 33, PPL: -489.07242
67: bad sentence 33, PPL: -867.14136
68: good sentence 34, PPL: -164.24448
69: bad sentence 34, PPL: -551.82581
70: good sentence 35, PPL: -2912.09595
