passive_formal_1000.csv
Model: google-bert/bert-base-chinese, Accuracy: 0.67700, Average Perplexity (Good Sentences): -92.92579, Average Perplexity (Bad Sentences): -159.05983
0: good sentence 0, PPL: -144.61553
1: bad sentence 0, PPL: -156.58751
2: good sentence 1, PPL: -19.60817
3: bad sentence 1, PPL: -34.26616
4: good sentence 2, PPL: -43.87755
5: bad sentence 2, PPL: -401.23052
6: good sentence 3, PPL: -112.65284
7: bad sentence 3, PPL: -28.03172
8: good sentence 4, PPL: -21.11346
9: bad sentence 4, PPL: -110.73262
10: good sentence 5, PPL: -2109.68187
11: bad sentence 5, PPL: -92.10660
12: good sentence 6, PPL: -152.30970
13: bad sentence 6, PPL: -2411.69070
14: good sentence 7, PPL: -99.77501
15: bad sentence 7, PPL: -576.62687
16: good sentence 8, PPL: -71.20549
17: bad sentence 8, PPL: -99.26222
18: good sentence 9, PPL: -128.86815
19: bad sentence 9, PPL: -118.40272
20: good sentence 10, PPL: -22.46300
21: bad sentence 10, PPL: -17.82036
22: good sentence 11, PPL: -57.01339
23: bad sentence 11, PPL: -40.05289
24: good sentence 12, PPL: -19.68572
25: bad sentence 12, PPL: -97.52149
26: good sentence 13, PPL: -53.12626
27: bad sentence 13, PPL: -51.46628
28: good sentence 14, PPL: -9.62072
29: bad sentence 14, PPL: -43.24942
30: good sentence 15, PPL: -142.01280
31: bad sentence 15, PPL: -150.27700
32: good sentence 16, PPL: -3445.77604
33: bad sentence 16, PPL: -2059.95924
34: good sentence 17, PPL: -124.17787
35: bad sentence 17, PPL: -140.21789
36: good sentence 18, PPL: -153.27303
37: bad sentence 18, PPL: -1458.05417
38: good sentence 19, PPL: -5394.58473
39: bad sentence 19, PPL: -2981.75680
40: good sentence 20, PPL: -70.12734
41: bad sentence 20, PPL: -673.86027
42: good sentence 21, PPL: -106.43197
43: bad sentence 21, PPL: -95.46600
44: good sentence 22, PPL: -96.23697
45: bad sentence 22, PPL: -258.58939
46: good sentence 23, PPL: -43.84016
47: bad sentence 23, PPL: -18.33801
48: good sentence 24, PPL: -10108.61917
49: bad sentence 24, PPL: -12918.40293
50: good sentence 25, PPL: -25.82931
51: bad sentence 25, PPL: -51.70947
52: good sentence 26, PPL: -111.63812
53: bad sentence 26, PPL: -113.38361
54: good sentence 27, PPL: -43.68076
55: bad sentence 27, PPL: -89.09096
56: good sentence 28, PPL: -546.21574
57: bad sentence 28, PPL: -2874.74967
58: good sentence 29, PPL: -325.48357
59: bad sentence 29, PPL: -1065.51531
60: good sentence 30, PPL: -194.90785
61: bad sentence 30, PPL: -113.33711
62: good sentence 31, PPL: -148.48974
63: bad sentence 31, PPL: -241.26272
64: good sentence 32, PPL: -347.92841
65: bad sentence 32, PPL: -395.31897
66: good sentence 33, PPL: -21.16697
67: bad sentence 33, PPL: -22.73403
68: good sentence 34, PPL: -263.30526
69: bad sentence 34, PPL: -23.66325
70: good sentence 35, PPL: -123.33642
71: bad sentence 35, PPL: -6.09161
72: good sentence 36, PPL: -80.36259
73: bad sentence 36, PPL: -114.19016
74: good sentence 37, PPL: -663.49179
75: bad sentence 37, PPL: -518.85321
76: good sentence 38, PPL: -76.20731
77: bad sentence 38, PPL: -91.48845
78: good sentence 39, PPL: -96.75338
79: bad sentence 39, PPL: -68.22326
80: good sentence 40, PPL: -7.16365
81: bad sentence 40, PPL: -228.43387
82: good sentence 41, PPL: -743.00334
83: bad sentence 41, PPL: -160.45865
84: good sentence 42, PPL: -83.55497
85: bad sentence 42, PPL: -91.31291
86: good sentence 43, PPL: -135.78381
87: bad sentence 43, PPL: -173.59842
88: good sentence 44, PPL: -7.75953
89: bad sentence 44, PPL: -15.07455
90: good sentence 45, PPL: -50.61586
91: bad sentence 45, PPL: -60.04856
92: good sentence 46, PPL: -11.20665
93: bad sentence 46, PPL: -29.15961
94: good sentence 47, PPL: -85.59541
