Plural
	baseline_men_male
Model: google-bert/bert-base-chinese, Accuracy: 99.70000, Average Perplexity (Good Sentences): -7.08010, Average Perplexity (Bad Sentences): -12.84314
0: good sentence 0, PPL: -9.35535
1: bad sentence 0, PPL: -59.61809
2: good sentence 1, PPL: -26.62469
3: bad sentence 1, PPL: -112.05698
4: good sentence 2, PPL: -6.97413
5: bad sentence 2, PPL: -12.17481
6: good sentence 3, PPL: -16.55635
7: bad sentence 3, PPL: -36.71065
8: good sentence 4, PPL: -2.33536
9: bad sentence 4, PPL: -3.31065
10: good sentence 5, PPL: -4.75425
11: bad sentence 5, PPL: -5.73898
12: good sentence 6, PPL: -4.00713
13: bad sentence 6, PPL: -5.44444
14: good sentence 7, PPL: -12.02091
15: bad sentence 7, PPL: -23.02128
16: good sentence 8, PPL: -5.46699
17: bad sentence 8, PPL: -9.41194
18: good sentence 9, PPL: -7.72396
19: bad sentence 9, PPL: -13.40570
20: good sentence 10, PPL: -11.95367
21: bad sentence 10, PPL: -15.14581
22: good sentence 11, PPL: -4.04101
23: bad sentence 11, PPL: -6.06087
24: good sentence 12, PPL: -8.65969
25: bad sentence 12, PPL: -18.90771
26: good sentence 13, PPL: -8.84865
27: bad sentence 13, PPL: -17.58178
28: good sentence 14, PPL: -17.37770
29: bad sentence 14, PPL: -66.31499
30: good sentence 15, PPL: -7.35704
31: bad sentence 15, PPL: -10.02692
32: good sentence 16, PPL: -2.06546
33: bad sentence 16, PPL: -2.36102
34: good sentence 17, PPL: -4.09563
35: bad sentence 17, PPL: -5.83390
36: good sentence 18, PPL: -4.54808
37: bad sentence 18, PPL: -5.13713
38: good sentence 19, PPL: -3.85777
39: bad sentence 19, PPL: -6.14007
40: good sentence 20, PPL: -2.62455
41: bad sentence 20, PPL: -4.89621
42: good sentence 21, PPL: -14.22926
43: bad sentence 21, PPL: -35.12426
44: good sentence 22, PPL: -3.32706
45: bad sentence 22, PPL: -4.42202
46: good sentence 23, PPL: -27.70724
47: bad sentence 23, PPL: -84.53845
48: good sentence 24, PPL: -2.59629
49: bad sentence 24, PPL: -5.63530
50: good sentence 25, PPL: -6.42688
51: bad sentence 25, PPL: -25.45738
52: good sentence 26, PPL: -3.82326
53: bad sentence 26, PPL: -5.20325
54: good sentence 27, PPL: -8.27017
55: bad sentence 27, PPL: -16.25063
56: good sentence 28, PPL: -2.99164
57: bad sentence 28, PPL: -3.99560
58: good sentence 29, PPL: -33.08304
59: bad sentence 29, PPL: -61.27367
60: good sentence 30, PPL: -12.54801
61: bad sentence 30, PPL: -27.74932
62: good sentence 31, PPL: -8.50881
63: bad sentence 31, PPL: -27.83438
64: good sentence 32, PPL: -8.50071
65: bad sentence 32, PPL: -12.88325
66: good sentence 33, PPL: -2.69649
67: bad sentence 33, PPL: -3.47003
68: good sentence 34, PPL: -8.34516
69: bad sentence 34, PPL: -12.17486
70: good sentence 35, PPL: -1.89031
71: bad sentence 35, PPL: -2.95002
72: good sentence 36, PPL: -6.49638
73: bad sentence 36, PPL: -9.35516
74: good sentence 37, PPL: -3.10162
75: bad sentence 37, PPL: -4.71678
76: good sentence 38, PPL: -4.27007
77: bad sentence 38, PPL: -10.34244
78: good sentence 39, PPL: -4.01066
79: bad sentence 39, PPL: -5.94865
80: good sentence 40, PPL: -2.84170
81: bad sentence 40, PPL: -3.04220
82: good sentence 41, PPL: -10.78146
83: bad sentence 41, PPL: -24.47216
84: good sentence 42, PPL: -3.57329
85: bad sentence 42, PPL: -4.73357
86: good sentence 43, PPL: -2.33238
87: bad sentence 43, PPL: -3.32483
88: good sentence 44, PPL: -11.29854
89: bad sentence 44, PPL: -14.40240
90: good sentence 45, PPL: -10.10143
91: bad sentence 45, PPL: -27.79405
92: good sentence 46, PPL: -21.67868
93: bad sentence 46, PPL: -87.14750
94: good sentence 47, PPL: -2.07850
95: bad sentence 47, PPL: -2.63830
96: good sentence 48, PPL: -9.32494
97: bad sentence 48, PPL: -11.92714
98: good sentence 49, PPL: -43.40996
99: bad sentence 49, PPL: -77.18101
100: good sentence 50, PPL: -21.75980
101: bad sentence 50, PPL: -45.34517
102: good sentence 51, PPL: -3.43829
103: bad sentence 51, PPL: -5.35654
104: good sentence 52, PPL: -8.33883
105: bad sentence 52, PPL: -15.97119
106: good sentence 53, PPL: -19.10004
107: bad sentence 53, PPL: -39.08686
108: good sentence 54, PPL: -28.17447
109: bad sentence 54, PPL: -56.79085
110: good sentence 55, PPL: -9.59230
111: bad sentence 55, PPL: -20.97612
112: good sentence 56, PPL: -3.82044
113: bad sentence 56, PPL: -5.18071
114: good sentence 57, PPL: -11.95434
115: bad sentence 57, PPL: -28.99324
116: good sentence 58, PPL: -11.41186
117: bad sentence 58, PPL: -23.96503
118: good sentence 59, PPL: -2.56786
119: bad sentence 59, PPL: -3.02439
120: good sentence 60, PPL: -21.68785
121: bad sentence 60, PPL: -34.92962
122: good sentence 61, PPL: -5.82616
123: bad sentence 61, PPL: -12.61327
124: good sentence 62, PPL: -2.37241
125: bad sentence 62, PPL: -3.63369
126: good sentence 63, PPL: -5.56474
127: bad sentence 63, PPL: -8.65186
128: good sentence 64, PPL: -2.54116
129: bad sentence 64, PPL: -3.50454
130: good sentence 65, PPL: -7.29576
131: bad sentence 65, PPL: -13.30483
132: good sentence 66, PPL: -2.51053
133: bad sentence 66, PPL: -3.04541
134: good sentence 67, PPL: -4.90576
135: bad sentence 67, PPL: -9.87351
136: good sentence 68, PPL: -5.50381
137: bad sentence 68, PPL: -15.67814
138: good sentence 69, PPL: -3.92676
139: bad sentence 69, PPL: -10.33467
140: good sentence 70, PPL: -16.99505
141: bad sentence 70, PPL: -41.34995
142: good sentence 71, PPL: -3.15859
143: bad sentence 71, PPL: -4.41786
144: good sentence 72, PPL: -13.01892
145: bad sentence 72, PPL: -24.16447
146: good sentence 73, PPL: -22.97967
147: bad sentence 73, PPL: -68.71561
148: good sentence 74, PPL: -3.05116
149: bad sentence 74, PPL: -5.78779
150: good sentence 75, PPL: -7.47577
151: bad sentence 75, PPL: -9.90868
152: good sentence 76, PPL: -4.23226
153: bad sentence 76, PPL: -6.65976
154: good sentence 77, PPL: -3.22204
155: bad sentence 77, PPL: -5.59467
156: good sentence 78, PPL: -2.62012
157: bad sentence 78, PPL: -4.78093
158: good sentence 79, PPL: -7.17098
159: bad sentence 79, PPL: -14.18124
160: good sentence 80, PPL: -27.77376
161: bad sentence 80, PPL: -49.45951
162: good sentence 81, PPL: -10.29954
163: bad sentence 81, PPL: -32.80438
164: good sentence 82, PPL: -2.10599
165: bad sentence 82, PPL: -3.64701
166: good sentence 83, PPL: -16.31493
167: bad sentence 83, PPL: -23.50521
168: good sentence 84, PPL: -9.27153
169: bad sentence 84, PPL: -39.85888
170: good sentence 85, PPL: -11.07432
171: bad sentence 85, PPL: -32.53612
172: good sentence 86, PPL: -7.06663
173: bad sentence 86, PPL: -12.00891
174: good sentence 87, PPL: -2.92113
175: bad sentence 87, PPL: -3.98309
176: good sentence 88, PPL: -2.83647
177: bad sentence 88, PPL: -6.31036
178: good sentence 89, PPL: -2.67392
179: bad sentence 89, PPL: -4.49243
180: good sentence 90, PPL: -3.01872
181: bad sentence 90, PPL: -4.31009
182: good sentence 91, PPL: -15.02440
183: bad sentence 91, PPL: -38.20109
184: good sentence 92, PPL: -8.14763
185: bad sentence 92, PPL: -12.82497
186: good sentence 93, PPL: -4.17611
187: bad sentence 93, PPL: -5.25931
188: good sentence 94, PPL: -4.52429
189: bad sentence 94, PPL: -6.14988
190: good sentence 95, PPL: -10.75367
191: bad sentence 95, PPL: -39.14723
192: good sentence 96, PPL: -11.41293
193: bad sentence 96, PPL: -16.29676
194: good sentence 97, PPL: -12.83146
195: bad sentence 97, PPL: -26.81800
196: good sentence 98, PPL: -4.91284
197: bad sentence 98, PPL: -7.46712
198: good sentence 99, PPL: -26.05287
199: bad sentence 99, PPL: -65.95137
200: good sentence 100, PPL: -6.21538
201: bad sentence 100, PPL: -11.55820
202: good sentence 101, PPL: -4.76662
203: bad sentence 101, PPL: -12.46863
204: good sentence 102, PPL: -9.98367
205: bad sentence 102, PPL: -14.03919
206: good sentence 103, PPL: -2.51746
207: bad sentence 103, PPL: -3.82411
208: good sentence 104, PPL: -3.36424
209: bad sentence 104, PPL: -4.70709
210: good sentence 105, PPL: -6.96004
211: bad sentence 105, PPL: -9.66417
212: good sentence 106, PPL: -6.24420
213: bad sentence 106, PPL: -9.02081
214: good sentence 107, PPL: -8.29811
215: bad sentence 107, PPL: -17.49842
216: good sentence 108, PPL: -10.51063
217: bad sentence 108, PPL: -15.30942
218: good sentence 109, PPL: -2.90129
219: bad sentence 109, PPL: -5.13615
220: good sentence 110, PPL: -4.47745
221: bad sentence 110, PPL: -7.92736
222: good sentence 111, PPL: -3.25907
223: bad sentence 111, PPL: -5.09101
224: good sentence 112, PPL: -8.75972
225: bad sentence 112, PPL: -12.01752
226: good sentence 113, PPL: -8.75523
227: bad sentence 113, PPL: -19.78970
228: good sentence 114, PPL: -8.08202
229: bad sentence 114, PPL: -19.01926
230: good sentence 115, PPL: -3.36046
231: bad sentence 115, PPL: -6.48526
232: good sentence 116, PPL: -68.58762
233: bad sentence 116, PPL: -99.43908
234: good sentence 117, PPL: -26.06306
235: bad sentence 117, PPL: -79.68253
236: good sentence 118, PPL: -170.07731
237: bad sentence 118, PPL: -459.97495
238: good sentence 119, PPL: -4.23535
239: bad sentence 119, PPL: -6.74258
240: good sentence 120, PPL: -12.80940
241: bad sentence 120, PPL: -58.22083
242: good sentence 121, PPL: -2.29230
243: bad sentence 121, PPL: -2.66668
244: good sentence 122, PPL: -34.53416
245: bad sentence 122, PPL: -51.35710
246: good sentence 123, PPL: -3.76314
247: bad sentence 123, PPL: -5.66644
248: good sentence 124, PPL: -5.91493
249: bad sentence 124, PPL: -11.53210
250: good sentence 125, PPL: -14.21684
251: bad sentence 125, PPL: -40.56167
252: good sentence 126, PPL: -5.99490
253: bad sentence 126, PPL: -12.61252
254: good sentence 127, PPL: -2.92331
255: bad sentence 127, PPL: -4.22275
256: good sentence 128, PPL: -4.65836
257: bad sentence 128, PPL: -8.35230
258: good sentence 129, PPL: -23.87925
259: bad sentence 129, PPL: -46.20281
260: good sentence 130, PPL: -2.56269
261: bad sentence 130, PPL: -3.16024
262: good sentence 131, PPL: -18.98108
263: bad sentence 131, PPL: -36.75861
264: good sentence 132, PPL: -14.56468
265: bad sentence 132, PPL: -41.47591
266: good sentence 133, PPL: -7.63075
267: bad sentence 133, PPL: -10.44625
268: good sentence 134, PPL: -2.29665
269: bad sentence 134, PPL: -3.46058
270: good sentence 135, PPL: -3.43581
271: bad sentence 135, PPL: -4.10395
272: good sentence 136, PPL: -7.23456
273: bad sentence 136, PPL: -11.58503
274: good sentence 137, PPL: -8.52050
275: bad sentence 137, PPL: -16.02514
276: good sentence 138, PPL: -6.88020
277: bad sentence 138, PPL: -13.35286
278: good sentence 139, PPL: -9.30364
279: bad sentence 139, PPL: -14.61164
280: good sentence 140, PPL: -8.60699
281: bad sentence 140, PPL: -19.21379
282: good sentence 141, PPL: -2.99596
283: bad sentence 141, PPL: -4.26800
284: good sentence 142, PPL: -2.22127
285: bad sentence 142, PPL: -2.84688
286: good sentence 143, PPL: -9.65815
287: bad sentence 143, PPL: -14.15823
288: good sentence 144, PPL: -7.35893
289: bad sentence 144, PPL: -13.07936
