Aspect
	temporal_le
Model: imone/pangu_2_6B, Accuracy: 73.90000, Average Perplexity (Good Sentences): -5266.62598, Average Perplexity (Bad Sentences): -8612.76562
0: good sentence 0, PPL: -23274.43750
1: bad sentence 0, PPL: -33853.99609
2: good sentence 1, PPL: -635.74243
3: bad sentence 1, PPL: -3425.87915
4: good sentence 2, PPL: -320.10638
5: bad sentence 2, PPL: -1993.93835
6: good sentence 3, PPL: -3943.88501
7: bad sentence 3, PPL: -2490.02441
8: good sentence 4, PPL: -11799.45703
9: bad sentence 4, PPL: -18478.96875
10: good sentence 5, PPL: -3925.78662
11: bad sentence 5, PPL: -5466.57324
12: good sentence 6, PPL: -4640.91602
13: bad sentence 6, PPL: -5243.24268
14: good sentence 7, PPL: -3065.53369
15: bad sentence 7, PPL: -11737.13379
16: good sentence 8, PPL: -2101.26294
17: bad sentence 8, PPL: -1900.13513
18: good sentence 9, PPL: -4674.36719
19: bad sentence 9, PPL: -13314.00293
20: good sentence 10, PPL: -8739.25000
21: bad sentence 10, PPL: -9182.39160
22: good sentence 11, PPL: -13576.83105
23: bad sentence 11, PPL: -7687.88574
24: good sentence 12, PPL: -19634.09961
25: bad sentence 12, PPL: -21068.23047
26: good sentence 13, PPL: -6382.08154
27: bad sentence 13, PPL: -36701.72656
28: good sentence 14, PPL: -4470.66113
29: bad sentence 14, PPL: -28258.22461
30: good sentence 15, PPL: -2778.40991
31: bad sentence 15, PPL: -5753.64062
32: good sentence 16, PPL: -1548.40283
33: bad sentence 16, PPL: -9849.28613
34: good sentence 17, PPL: -4473.71924
35: bad sentence 17, PPL: -20337.08398
36: good sentence 18, PPL: -437.70026
37: bad sentence 18, PPL: -2840.06421
38: good sentence 19, PPL: -4262.11230
39: bad sentence 19, PPL: -7651.77344
40: good sentence 20, PPL: -5321.47559
41: bad sentence 20, PPL: -10184.94824
42: good sentence 21, PPL: -7370.59961
43: bad sentence 21, PPL: -6432.86035
44: good sentence 22, PPL: -3265.40747
45: bad sentence 22, PPL: -13706.02637
46: good sentence 23, PPL: -4618.24902
47: bad sentence 23, PPL: -8949.37109
48: good sentence 24, PPL: -2970.97778
49: bad sentence 24, PPL: -9746.08398
50: good sentence 25, PPL: -7360.56885
51: bad sentence 25, PPL: -7487.82666
52: good sentence 26, PPL: -2892.51880
53: bad sentence 26, PPL: -5120.40039
54: good sentence 27, PPL: -2156.24927
55: bad sentence 27, PPL: -5574.83252
56: good sentence 28, PPL: -3688.31860
57: bad sentence 28, PPL: -5271.94287
58: good sentence 29, PPL: -1044.96265
59: bad sentence 29, PPL: -2984.90088
60: good sentence 30, PPL: -12920.78906
61: bad sentence 30, PPL: -20209.42188
62: good sentence 31, PPL: -5643.77539
63: bad sentence 31, PPL: -51030.09766
64: good sentence 32, PPL: -8089.09375
65: bad sentence 32, PPL: -21985.91992
66: good sentence 33, PPL: -10192.26562
67: bad sentence 33, PPL: -11702.57617
68: good sentence 34, PPL: -2862.77051
69: bad sentence 34, PPL: -3041.02515
70: good sentence 35, PPL: -1298.31592
71: bad sentence 35, PPL: -6499.60156
72: good sentence 36, PPL: -5631.58691
73: bad sentence 36, PPL: -7967.86182
74: good sentence 37, PPL: -6350.17090
75: bad sentence 37, PPL: -10296.18457
76: good sentence 38, PPL: -9508.12207
77: bad sentence 38, PPL: -7399.29932
78: good sentence 39, PPL: -4575.00830
79: bad sentence 39, PPL: -8500.29688
80: good sentence 40, PPL: -2038.70483
81: bad sentence 40, PPL: -6203.29443
82: good sentence 41, PPL: -2413.28101
83: bad sentence 41, PPL: -12065.79102
84: good sentence 42, PPL: -33363.32812
85: bad sentence 42, PPL: -44942.55859
86: good sentence 43, PPL: -9013.40527
87: bad sentence 43, PPL: -5312.74854
88: good sentence 44, PPL: -2456.07593
89: bad sentence 44, PPL: -3487.97241
90: good sentence 45, PPL: -2622.80542
91: bad sentence 45, PPL: -10658.53809
92: good sentence 46, PPL: -7803.27197
93: bad sentence 46, PPL: -8203.10547
94: good sentence 47, PPL: -765.88660
95: bad sentence 47, PPL: -1149.68372
96: good sentence 48, PPL: -1762.64062
97: bad sentence 48, PPL: -2691.88086
98: good sentence 49, PPL: -2463.00244
99: bad sentence 49, PPL: -2872.60913
100: good sentence 50, PPL: -22666.74414
101: bad sentence 50, PPL: -48121.10156
102: good sentence 51, PPL: -2477.66650
103: bad sentence 51, PPL: -1218.19385
104: good sentence 52, PPL: -8807.94336
105: bad sentence 52, PPL: -5961.71387
106: good sentence 53, PPL: -2990.21167
107: bad sentence 53, PPL: -8989.49707
108: good sentence 54, PPL: -889.57544
109: bad sentence 54, PPL: -1900.62537
110: good sentence 55, PPL: -3542.96777
111: bad sentence 55, PPL: -9301.12695
112: good sentence 56, PPL: -2495.25562
113: bad sentence 56, PPL: -1685.88770
114: good sentence 57, PPL: -3676.21729
115: bad sentence 57, PPL: -22620.33789
116: good sentence 58, PPL: -22236.36523
117: bad sentence 58, PPL: -27731.85742
118: good sentence 59, PPL: -545.87665
119: bad sentence 59, PPL: -6689.84375
120: good sentence 60, PPL: -5200.11279
121: bad sentence 60, PPL: -7497.75195
122: good sentence 61, PPL: -4781.65430
123: bad sentence 61, PPL: -3467.76025
124: good sentence 62, PPL: -42601.75781
125: bad sentence 62, PPL: -30959.20117
126: good sentence 63, PPL: -5259.81982
127: bad sentence 63, PPL: -5533.09521
128: good sentence 64, PPL: -1643.63733
129: bad sentence 64, PPL: -4948.59424
130: good sentence 65, PPL: -41707.22656
131: bad sentence 65, PPL: -56263.66797
132: good sentence 66, PPL: -2628.69238
133: bad sentence 66, PPL: -2464.73535
134: good sentence 67, PPL: -3184.09619
135: bad sentence 67, PPL: -6000.39307
136: good sentence 68, PPL: -3117.19312
137: bad sentence 68, PPL: -2650.28394
138: good sentence 69, PPL: -16156.22363
139: bad sentence 69, PPL: -14006.32129
140: good sentence 70, PPL: -1373.04846
141: bad sentence 70, PPL: -2719.46704
142: good sentence 71, PPL: -2387.83081
143: bad sentence 71, PPL: -3640.00537
144: good sentence 72, PPL: -20961.13281
145: bad sentence 72, PPL: -31031.11523
146: good sentence 73, PPL: -6247.19141
147: bad sentence 73, PPL: -10075.17383
148: good sentence 74, PPL: -37696.76953
149: bad sentence 74, PPL: -57839.94922
150: good sentence 75, PPL: -6533.16602
151: bad sentence 75, PPL: -18465.94922
152: good sentence 76, PPL: -8950.71973
153: bad sentence 76, PPL: -7296.77295
154: good sentence 77, PPL: -3751.54590
155: bad sentence 77, PPL: -12189.89258
156: good sentence 78, PPL: -2981.40161
157: bad sentence 78, PPL: -3356.65771
158: good sentence 79, PPL: -1605.22717
159: bad sentence 79, PPL: -5345.85059
160: good sentence 80, PPL: -19309.59961
161: bad sentence 80, PPL: -19029.82227
162: good sentence 81, PPL: -8762.85938
163: bad sentence 81, PPL: -19552.14453
164: good sentence 82, PPL: -8851.84180
165: bad sentence 82, PPL: -8027.16943
166: good sentence 83, PPL: -11384.53906
167: bad sentence 83, PPL: -39707.84375
168: good sentence 84, PPL: -4820.77051
169: bad sentence 84, PPL: -2540.24414
170: good sentence 85, PPL: -11525.44141
171: bad sentence 85, PPL: -21521.43555
172: good sentence 86, PPL: -6528.79395
173: bad sentence 86, PPL: -15934.07520
174: good sentence 87, PPL: -4847.66211
175: bad sentence 87, PPL: -40488.65234
176: good sentence 88, PPL: -4563.91357
177: bad sentence 88, PPL: -2950.48022
178: good sentence 89, PPL: -5909.96289
179: bad sentence 89, PPL: -4437.76172
180: good sentence 90, PPL: -6371.76709
181: bad sentence 90, PPL: -8781.61523
182: good sentence 91, PPL: -2357.16064
183: bad sentence 91, PPL: -17840.85938
184: good sentence 92, PPL: -3383.51978
