WhFronting
	mod_wh
Model: google-bert/bert-base-chinese, Accuracy: 99.50000, Average Perplexity (Good Sentences): -5.81894, Average Perplexity (Bad Sentences): -14.07196
0: good sentence 0, PPL: -3.21642
1: bad sentence 0, PPL: -10.85955
2: good sentence 1, PPL: -9.47547
3: bad sentence 1, PPL: -13.12253
4: good sentence 2, PPL: -3.60418
5: bad sentence 2, PPL: -8.72194
6: good sentence 3, PPL: -3.31472
7: bad sentence 3, PPL: -9.89373
8: good sentence 4, PPL: -10.73584
9: bad sentence 4, PPL: -13.23561
10: good sentence 5, PPL: -5.77744
11: bad sentence 5, PPL: -11.14459
12: good sentence 6, PPL: -9.03375
13: bad sentence 6, PPL: -18.88922
14: good sentence 7, PPL: -5.04339
15: bad sentence 7, PPL: -29.63310
16: good sentence 8, PPL: -39.64527
17: bad sentence 8, PPL: -88.37146
18: good sentence 9, PPL: -14.57386
19: bad sentence 9, PPL: -46.43048
20: good sentence 10, PPL: -3.83822
21: bad sentence 10, PPL: -4.93716
22: good sentence 11, PPL: -4.87563
23: bad sentence 11, PPL: -27.21229
24: good sentence 12, PPL: -21.16379
25: bad sentence 12, PPL: -60.12771
26: good sentence 13, PPL: -2.76185
27: bad sentence 13, PPL: -8.96740
28: good sentence 14, PPL: -4.97011
29: bad sentence 14, PPL: -9.95570
30: good sentence 15, PPL: -4.38576
31: bad sentence 15, PPL: -12.82707
32: good sentence 16, PPL: -4.20321
33: bad sentence 16, PPL: -21.22214
34: good sentence 17, PPL: -9.49931
35: bad sentence 17, PPL: -24.75796
36: good sentence 18, PPL: -3.65385
37: bad sentence 18, PPL: -6.37898
38: good sentence 19, PPL: -5.38704
39: bad sentence 19, PPL: -17.36363
40: good sentence 20, PPL: -5.04081
41: bad sentence 20, PPL: -7.09411
42: good sentence 21, PPL: -4.63561
43: bad sentence 21, PPL: -7.72565
44: good sentence 22, PPL: -7.23269
45: bad sentence 22, PPL: -35.06427
46: good sentence 23, PPL: -2.34838
47: bad sentence 23, PPL: -6.69290
48: good sentence 24, PPL: -4.96003
49: bad sentence 24, PPL: -6.31257
50: good sentence 25, PPL: -7.39560
51: bad sentence 25, PPL: -20.24068
52: good sentence 26, PPL: -11.57616
53: bad sentence 26, PPL: -54.11495
54: good sentence 27, PPL: -3.17538
55: bad sentence 27, PPL: -7.44544
56: good sentence 28, PPL: -15.50945
57: bad sentence 28, PPL: -31.26035
58: good sentence 29, PPL: -5.71992
59: bad sentence 29, PPL: -13.15963
60: good sentence 30, PPL: -45.06286
61: bad sentence 30, PPL: -77.85143
62: good sentence 31, PPL: -2.67344
63: bad sentence 31, PPL: -6.23742
64: good sentence 32, PPL: -7.53354
65: bad sentence 32, PPL: -13.13735
66: good sentence 33, PPL: -7.35543
67: bad sentence 33, PPL: -20.41265
68: good sentence 34, PPL: -2.79552
69: bad sentence 34, PPL: -4.92336
70: good sentence 35, PPL: -4.29074
71: bad sentence 35, PPL: -11.85512
72: good sentence 36, PPL: -3.63781
73: bad sentence 36, PPL: -5.10786
