anaphor_agreement_gender_1000.csv
Model: nghuyong/ernie-3.0-base-zh, Accuracy: 0.85600, Average Perplexity (Good Sentences): -205.48243, Average Perplexity (Bad Sentences): -310.00638
0: good sentence 0, PPL: -1295.23562
1: bad sentence 0, PPL: -3521.69118
2: good sentence 1, PPL: -136.00255
3: bad sentence 1, PPL: -188.74241
4: good sentence 2, PPL: -502.70391
5: bad sentence 2, PPL: -454.99156
6: good sentence 3, PPL: -11.98197
7: bad sentence 3, PPL: -12.73806
8: good sentence 4, PPL: -200.96846
9: bad sentence 4, PPL: -246.29988
10: good sentence 5, PPL: -178.91597
11: bad sentence 5, PPL: -602.66060
12: good sentence 6, PPL: -166.19636
13: bad sentence 6, PPL: -264.39697
14: good sentence 7, PPL: -381.28056
15: bad sentence 7, PPL: -438.99638
16: good sentence 8, PPL: -1010.28062
17: bad sentence 8, PPL: -1707.21897
18: good sentence 9, PPL: -438.82336
19: bad sentence 9, PPL: -552.71074
20: good sentence 10, PPL: -226.42354
21: bad sentence 10, PPL: -286.82247
22: good sentence 11, PPL: -24.05948
23: bad sentence 11, PPL: -26.04333
24: good sentence 12, PPL: -181.25434
25: bad sentence 12, PPL: -679.51631
26: good sentence 13, PPL: -39.35006
27: bad sentence 13, PPL: -46.09996
28: good sentence 14, PPL: -278.82667
29: bad sentence 14, PPL: -556.36263
30: good sentence 15, PPL: -993.51522
31: bad sentence 15, PPL: -949.11963
32: good sentence 16, PPL: -318.33771
33: bad sentence 16, PPL: -400.26571
34: good sentence 17, PPL: -608.26608
35: bad sentence 17, PPL: -1125.20968
36: good sentence 18, PPL: -55.71966
37: bad sentence 18, PPL: -309.63839
38: good sentence 19, PPL: -23.54610
39: bad sentence 19, PPL: -53.27697
40: good sentence 20, PPL: -200.67584
41: bad sentence 20, PPL: -235.94240
42: good sentence 21, PPL: -131.52610
43: bad sentence 21, PPL: -152.59677
44: good sentence 22, PPL: -99.03656
45: bad sentence 22, PPL: -143.45697
46: good sentence 23, PPL: -4939.76457
47: bad sentence 23, PPL: -3923.94117
48: good sentence 24, PPL: -102.28461
49: bad sentence 24, PPL: -202.85041
50: good sentence 25, PPL: -602.70963
51: bad sentence 25, PPL: -833.51444
52: good sentence 26, PPL: -164.60035
53: bad sentence 26, PPL: -188.91811
54: good sentence 27, PPL: -1393.09455
55: bad sentence 27, PPL: -1898.80310
56: good sentence 28, PPL: -26.78460
57: bad sentence 28, PPL: -54.34606
58: good sentence 29, PPL: -289.58180
59: bad sentence 29, PPL: -623.96905
60: good sentence 30, PPL: -64.31056
61: bad sentence 30, PPL: -98.25496
62: good sentence 31, PPL: -342.72411
63: bad sentence 31, PPL: -544.26840
64: good sentence 32, PPL: -134.18926
65: bad sentence 32, PPL: -240.03255
66: good sentence 33, PPL: -236.09681
67: bad sentence 33, PPL: -467.85284
68: good sentence 34, PPL: -404.62499
69: bad sentence 34, PPL: -846.75575
70: good sentence 35, PPL: -135.67417
71: bad sentence 35, PPL: -170.82009
72: good sentence 36, PPL: -67.74464
73: bad sentence 36, PPL: -258.76017
74: good sentence 37, PPL: -62.68936
75: bad sentence 37, PPL: -133.39638
76: good sentence 38, PPL: -237.33820
77: bad sentence 38, PPL: -280.68219
78: good sentence 39, PPL: -345.50412
79: bad sentence 39, PPL: -562.76211
80: good sentence 40, PPL: -180.55639
81: bad sentence 40, PPL: -282.15569
82: good sentence 41, PPL: -31.13995
83: bad sentence 41, PPL: -35.11615
84: good sentence 42, PPL: -280.17272
85: bad sentence 42, PPL: -698.02946
86: good sentence 43, PPL: -623.95481
87: bad sentence 43, PPL: -581.28907
88: good sentence 44, PPL: -241.43869
89: bad sentence 44, PPL: -231.44094
90: good sentence 45, PPL: -70.37637
91: bad sentence 45, PPL: -237.56438
92: good sentence 46, PPL: -57.89937
93: bad sentence 46, PPL: -210.31670
94: good sentence 47, PPL: -671.79763
95: bad sentence 47, PPL: -694.46611
96: good sentence 48, PPL: -632.93625
97: bad sentence 48, PPL: -946.52451
98: good sentence 49, PPL: -659.95004
99: bad sentence 49, PPL: -584.22843
100: good sentence 50, PPL: -213.39581
101: bad sentence 50, PPL: -425.58030
102: good sentence 51, PPL: -25.22772
103: bad sentence 51, PPL: -28.85026
104: good sentence 52, PPL: -59.20398
105: bad sentence 52, PPL: -99.83886
106: good sentence 53, PPL: -246.96772
107: bad sentence 53, PPL: -273.94905
108: good sentence 54, PPL: -122.99517
109: bad sentence 54, PPL: -318.75873
110: good sentence 55, PPL: -834.81682
111: bad sentence 55, PPL: -900.33049
112: good sentence 56, PPL: -326.34876
113: bad sentence 56, PPL: -306.24502
114: good sentence 57, PPL: -72.15608
115: bad sentence 57, PPL: -186.07988
116: good sentence 58, PPL: -285.35830
117: bad sentence 58, PPL: -492.43122
118: good sentence 59, PPL: -553.67802
119: bad sentence 59, PPL: -749.11810
120: good sentence 60, PPL: -118.11936
121: bad sentence 60, PPL: -88.74451
122: good sentence 61, PPL: -66.70406
123: bad sentence 61, PPL: -53.55394
124: good sentence 62, PPL: -108.27787
125: bad sentence 62, PPL: -144.58824
126: good sentence 63, PPL: -124.50608
