Aspect
	zai_le
Model: imone/pangu_2_6B, Accuracy: 51.40000, Average Perplexity (Good Sentences): -1820.55994, Average Perplexity (Bad Sentences): -1809.53796
0: good sentence 0, PPL: -2392.90039
1: bad sentence 0, PPL: -2707.31006
2: good sentence 1, PPL: -1966.70349
3: bad sentence 1, PPL: -1254.64062
4: good sentence 2, PPL: -288.51492
5: bad sentence 2, PPL: -297.85239
6: good sentence 3, PPL: -2457.69604
7: bad sentence 3, PPL: -1961.70483
8: good sentence 4, PPL: -1169.49048
9: bad sentence 4, PPL: -960.60266
10: good sentence 5, PPL: -1843.69922
11: bad sentence 5, PPL: -1687.83008
12: good sentence 6, PPL: -3394.54761
13: bad sentence 6, PPL: -3850.97510
14: good sentence 7, PPL: -443.12741
15: bad sentence 7, PPL: -443.12741
16: good sentence 8, PPL: -296.94141
17: bad sentence 8, PPL: -288.53210
18: good sentence 9, PPL: -3020.51514
19: bad sentence 9, PPL: -2884.59351
20: good sentence 10, PPL: -2012.79639
21: bad sentence 10, PPL: -2159.41943
22: good sentence 11, PPL: -3650.36475
23: bad sentence 11, PPL: -2226.69775
24: good sentence 12, PPL: -4071.31714
25: bad sentence 12, PPL: -4282.54541
26: good sentence 13, PPL: -7093.86328
27: bad sentence 13, PPL: -7846.68115
28: good sentence 14, PPL: -305.81009
29: bad sentence 14, PPL: -372.46201
30: good sentence 15, PPL: -1416.45471
31: bad sentence 15, PPL: -2128.95679
32: good sentence 16, PPL: -1895.73486
33: bad sentence 16, PPL: -2054.63184
34: good sentence 17, PPL: -1869.28418
35: bad sentence 17, PPL: -2416.18286
36: good sentence 18, PPL: -6985.83447
37: bad sentence 18, PPL: -6147.68701
38: good sentence 19, PPL: -102.80313
39: bad sentence 19, PPL: -129.46948
40: good sentence 20, PPL: -132.92674
41: bad sentence 20, PPL: -234.26218
42: good sentence 21, PPL: -673.71613
43: bad sentence 21, PPL: -376.11124
44: good sentence 22, PPL: -873.28882
45: bad sentence 22, PPL: -783.38684
46: good sentence 23, PPL: -600.57880
47: bad sentence 23, PPL: -489.73029
48: good sentence 24, PPL: -579.15625
49: bad sentence 24, PPL: -575.16455
50: good sentence 25, PPL: -579.15125
51: bad sentence 25, PPL: -548.28149
52: good sentence 26, PPL: -490.39932
53: bad sentence 26, PPL: -544.74292
54: good sentence 27, PPL: -516.27313
55: bad sentence 27, PPL: -620.21674
56: good sentence 28, PPL: -495.23755
57: bad sentence 28, PPL: -722.28607
58: good sentence 29, PPL: -827.46008
59: bad sentence 29, PPL: -730.62738
60: good sentence 30, PPL: -10017.22070
61: bad sentence 30, PPL: -8040.15527
62: good sentence 31, PPL: -486.23163
63: bad sentence 31, PPL: -490.26279
64: good sentence 32, PPL: -9359.33789
65: bad sentence 32, PPL: -9463.00879
66: good sentence 33, PPL: -4818.50879
67: bad sentence 33, PPL: -2498.58936
68: good sentence 34, PPL: -865.42303
69: bad sentence 34, PPL: -909.12134
70: good sentence 35, PPL: -733.37994
71: bad sentence 35, PPL: -800.53845
72: good sentence 36, PPL: -3434.82349
73: bad sentence 36, PPL: -3840.57715
