Classifier-Noun
	cl_adj_simple_noun
Model: TsinghuaAI/CPM-Generate, Accuracy: 58.90000, Average Perplexity (Good Sentences): -14218.54785, Average Perplexity (Bad Sentences): -14830.60742
0: good sentence 0, PPL: -24527.18164
1: bad sentence 0, PPL: -29955.16406
2: good sentence 1, PPL: -19478.35156
3: bad sentence 1, PPL: -25305.08398
4: good sentence 2, PPL: -11420.18555
5: bad sentence 2, PPL: -7924.55322
6: good sentence 3, PPL: -12864.92969
7: bad sentence 3, PPL: -12921.44238
8: good sentence 4, PPL: -7519.00488
9: bad sentence 4, PPL: -9889.69238
10: good sentence 5, PPL: -17470.16016
11: bad sentence 5, PPL: -30311.70508
12: good sentence 6, PPL: -6766.11377
13: bad sentence 6, PPL: -7845.40918
14: good sentence 7, PPL: -27203.15234
15: bad sentence 7, PPL: -18107.36914
16: good sentence 8, PPL: -16173.64355
17: bad sentence 8, PPL: -15159.22754
18: good sentence 9, PPL: -17042.74219
19: bad sentence 9, PPL: -21991.58203
20: good sentence 10, PPL: -10070.21777
21: bad sentence 10, PPL: -7621.73096
22: good sentence 11, PPL: -15060.24707
23: bad sentence 11, PPL: -17606.60938
24: good sentence 12, PPL: -11282.33594
25: bad sentence 12, PPL: -13966.30762
26: good sentence 13, PPL: -14668.71875
27: bad sentence 13, PPL: -14553.42773
28: good sentence 14, PPL: -23655.38867
29: bad sentence 14, PPL: -26317.16406
30: good sentence 15, PPL: -33246.82422
31: bad sentence 15, PPL: -37185.77734
32: good sentence 16, PPL: -30270.91406
33: bad sentence 16, PPL: -11998.37598
34: good sentence 17, PPL: -18561.48438
35: bad sentence 17, PPL: -14236.56738
36: good sentence 18, PPL: -26709.86133
37: bad sentence 18, PPL: -18386.20508
38: good sentence 19, PPL: -58776.24219
39: bad sentence 19, PPL: -47943.41406
40: good sentence 20, PPL: -13419.94824
41: bad sentence 20, PPL: -16618.83984
42: good sentence 21, PPL: -10106.11328
43: bad sentence 21, PPL: -11422.81055
44: good sentence 22, PPL: -11156.42383
45: bad sentence 22, PPL: -8600.35547
46: good sentence 23, PPL: -2740.33740
47: bad sentence 23, PPL: -2965.16528
48: good sentence 24, PPL: -18540.71680
49: bad sentence 24, PPL: -24915.33008
50: good sentence 25, PPL: -21241.57227
51: bad sentence 25, PPL: -11157.69141
52: good sentence 26, PPL: -5958.32666
53: bad sentence 26, PPL: -5555.28076
54: good sentence 27, PPL: -24173.53711
55: bad sentence 27, PPL: -38874.62891
56: good sentence 28, PPL: -6104.47168
57: bad sentence 28, PPL: -7262.09619
58: good sentence 29, PPL: -33614.83594
59: bad sentence 29, PPL: -40061.62500
60: good sentence 30, PPL: -29085.00195
61: bad sentence 30, PPL: -26311.66797
62: good sentence 31, PPL: -22774.06250
63: bad sentence 31, PPL: -17742.10938
64: good sentence 32, PPL: -10659.02539
65: bad sentence 32, PPL: -15234.75000
66: good sentence 33, PPL: -12671.68750
67: bad sentence 33, PPL: -9567.41699
68: good sentence 34, PPL: -11609.76660
69: bad sentence 34, PPL: -11787.32129
70: good sentence 35, PPL: -23365.41992
71: bad sentence 35, PPL: -22473.83984
72: good sentence 36, PPL: -12438.79492
73: bad sentence 36, PPL: -11058.62109
74: good sentence 37, PPL: -7139.94141
75: bad sentence 37, PPL: -7373.70020
76: good sentence 38, PPL: -23150.93164
77: bad sentence 38, PPL: -23150.93164
78: good sentence 39, PPL: -31297.32227
79: bad sentence 39, PPL: -34588.90625
80: good sentence 40, PPL: -24066.32031
81: bad sentence 40, PPL: -27581.62305
82: good sentence 41, PPL: -16343.83105
83: bad sentence 41, PPL: -21059.63477
84: good sentence 42, PPL: -31922.12500
85: bad sentence 42, PPL: -45610.04688
86: good sentence 43, PPL: -26533.43945
87: bad sentence 43, PPL: -28821.11719
88: good sentence 44, PPL: -24121.49219
89: bad sentence 44, PPL: -34524.83984
90: good sentence 45, PPL: -11438.04980
91: bad sentence 45, PPL: -12905.02637
92: good sentence 46, PPL: -22248.45508
93: bad sentence 46, PPL: -36202.18750
94: good sentence 47, PPL: -27218.04883
95: bad sentence 47, PPL: -23421.57422
96: good sentence 48, PPL: -16748.11328
97: bad sentence 48, PPL: -13536.00195
98: good sentence 49, PPL: -9322.67090
99: bad sentence 49, PPL: -7801.09961
100: good sentence 50, PPL: -12608.17383
101: bad sentence 50, PPL: -13895.99902
102: good sentence 51, PPL: -13537.64160
103: bad sentence 51, PPL: -12384.60742
104: good sentence 52, PPL: -22445.93164
105: bad sentence 52, PPL: -13746.35840
106: good sentence 53, PPL: -36310.23828
107: bad sentence 53, PPL: -21693.87109
108: good sentence 54, PPL: -10452.12402
109: bad sentence 54, PPL: -15863.97949
110: good sentence 55, PPL: -6865.62891
111: bad sentence 55, PPL: -6823.67578
112: good sentence 56, PPL: -20132.70508
113: bad sentence 56, PPL: -7209.28662
114: good sentence 57, PPL: -37378.91406
115: bad sentence 57, PPL: -17198.09570
116: good sentence 58, PPL: -12784.02539
117: bad sentence 58, PPL: -13453.77734
118: good sentence 59, PPL: -19424.29688
119: bad sentence 59, PPL: -19927.16992
120: good sentence 60, PPL: -27539.04297
121: bad sentence 60, PPL: -26963.33594
122: good sentence 61, PPL: -37511.29297
123: bad sentence 61, PPL: -37860.99219
124: good sentence 62, PPL: -24072.56641
125: bad sentence 62, PPL: -19572.91016
126: good sentence 63, PPL: -17094.62109
127: bad sentence 63, PPL: -12649.25391
128: good sentence 64, PPL: -17779.42383
129: bad sentence 64, PPL: -17770.16992
130: good sentence 65, PPL: -7547.85010
131: bad sentence 65, PPL: -7136.06787
132: good sentence 66, PPL: -34112.98047
133: bad sentence 66, PPL: -38591.86328
134: good sentence 67, PPL: -2094.08618
135: bad sentence 67, PPL: -2480.37134
136: good sentence 68, PPL: -6897.00391
137: bad sentence 68, PPL: -7780.80811
138: good sentence 69, PPL: -4710.54834
139: bad sentence 69, PPL: -5096.61133
140: good sentence 70, PPL: -21676.68555
141: bad sentence 70, PPL: -22460.72656
142: good sentence 71, PPL: -21586.80273
143: bad sentence 71, PPL: -30167.36719
144: good sentence 72, PPL: -28359.16602
145: bad sentence 72, PPL: -36543.75781
146: good sentence 73, PPL: -10093.39941
147: bad sentence 73, PPL: -13002.94238
148: good sentence 74, PPL: -19815.96484
149: bad sentence 74, PPL: -21788.87500
150: good sentence 75, PPL: -29085.30859
151: bad sentence 75, PPL: -32634.88086
152: good sentence 76, PPL: -35098.10156
153: bad sentence 76, PPL: -37252.64844
154: good sentence 77, PPL: -5335.90771
155: bad sentence 77, PPL: -12414.84473
156: good sentence 78, PPL: -22731.10156
157: bad sentence 78, PPL: -14765.98438
158: good sentence 79, PPL: -11128.64746
159: bad sentence 79, PPL: -10854.66992
160: good sentence 80, PPL: -20947.10352
161: bad sentence 80, PPL: -25328.04297
162: good sentence 81, PPL: -7113.59082
163: bad sentence 81, PPL: -7545.98584
164: good sentence 82, PPL: -7205.45166
165: bad sentence 82, PPL: -5183.25928
166: good sentence 83, PPL: -8506.71094
167: bad sentence 83, PPL: -10278.05469
168: good sentence 84, PPL: -15117.70703
169: bad sentence 84, PPL: -16842.31055
170: good sentence 85, PPL: -18864.66797
171: bad sentence 85, PPL: -19062.48047
172: good sentence 86, PPL: -6600.16797
173: bad sentence 86, PPL: -7243.06152
174: good sentence 87, PPL: -9435.64062
175: bad sentence 87, PPL: -10197.37988
176: good sentence 88, PPL: -12809.11719
177: bad sentence 88, PPL: -9584.82422
178: good sentence 89, PPL: -28686.80469
179: bad sentence 89, PPL: -12793.97754
180: good sentence 90, PPL: -12380.19043
181: bad sentence 90, PPL: -13275.69922
182: good sentence 91, PPL: -11778.04980
183: bad sentence 91, PPL: -12942.60449
184: good sentence 92, PPL: -13160.64648
185: bad sentence 92, PPL: -10794.72461
186: good sentence 93, PPL: -15679.81543
187: bad sentence 93, PPL: -22165.52148
188: good sentence 94, PPL: -8747.78809
189: bad sentence 94, PPL: -10028.69043
190: good sentence 95, PPL: -18815.36719
191: bad sentence 95, PPL: -16746.93164
192: good sentence 96, PPL: -21861.18359
193: bad sentence 96, PPL: -18727.62891
194: good sentence 97, PPL: -7064.84570
195: bad sentence 97, PPL: -6027.36621
196: good sentence 98, PPL: -17637.69922
197: bad sentence 98, PPL: -19035.33984
198: good sentence 99, PPL: -10093.39941
199: bad sentence 99, PPL: -12408.60547
200: good sentence 100, PPL: -13772.36523
201: bad sentence 100, PPL: -19429.52148
202: good sentence 101, PPL: -12510.87793
203: bad sentence 101, PPL: -21661.04297
204: good sentence 102, PPL: -6875.52881
205: bad sentence 102, PPL: -18864.45117
206: good sentence 103, PPL: -12069.96777
207: bad sentence 103, PPL: -15879.25098
208: good sentence 104, PPL: -28207.73828
209: bad sentence 104, PPL: -41907.53516
210: good sentence 105, PPL: -13210.25293
211: bad sentence 105, PPL: -9672.01074
212: good sentence 106, PPL: -14413.74121
213: bad sentence 106, PPL: -17217.80469
214: good sentence 107, PPL: -10387.73047
215: bad sentence 107, PPL: -11412.22656
216: good sentence 108, PPL: -6378.32129
217: bad sentence 108, PPL: -5271.45020
218: good sentence 109, PPL: -9490.70020
219: bad sentence 109, PPL: -15734.70117
220: good sentence 110, PPL: -4704.12451
221: bad sentence 110, PPL: -5809.85400
222: good sentence 111, PPL: -14809.39258
223: bad sentence 111, PPL: -15181.04492
224: good sentence 112, PPL: -28125.21875
225: bad sentence 112, PPL: -29738.15430
226: good sentence 113, PPL: -14838.76953
227: bad sentence 113, PPL: -9535.51855
228: good sentence 114, PPL: -5665.49707
229: bad sentence 114, PPL: -8267.64844
230: good sentence 115, PPL: -16902.11914
231: bad sentence 115, PPL: -22667.82422
232: good sentence 116, PPL: -30117.37891
233: bad sentence 116, PPL: -10671.50488
234: good sentence 117, PPL: -16661.95703
235: bad sentence 117, PPL: -16641.23242
236: good sentence 118, PPL: -38834.94531
237: bad sentence 118, PPL: -35347.04297
238: good sentence 119, PPL: -24750.64062
239: bad sentence 119, PPL: -20434.95117
240: good sentence 120, PPL: -19679.57812
241: bad sentence 120, PPL: -17630.50195
242: good sentence 121, PPL: -12591.79492
243: bad sentence 121, PPL: -11767.36230
244: good sentence 122, PPL: -23508.51367
245: bad sentence 122, PPL: -35451.66406
246: good sentence 123, PPL: -24156.82812
247: bad sentence 123, PPL: -58869.87109
248: good sentence 124, PPL: -15104.27539
249: bad sentence 124, PPL: -15524.84668
250: good sentence 125, PPL: -18409.82227
251: bad sentence 125, PPL: -23859.29883
252: good sentence 126, PPL: -16238.30859
253: bad sentence 126, PPL: -15020.57227
254: good sentence 127, PPL: -10373.37695
255: bad sentence 127, PPL: -8220.19336
256: good sentence 128, PPL: -12227.08008
257: bad sentence 128, PPL: -9346.39453
258: good sentence 129, PPL: -50014.88672
259: bad sentence 129, PPL: -37602.26953
260: good sentence 130, PPL: -11645.28418
261: bad sentence 130, PPL: -17033.23633
262: good sentence 131, PPL: -13744.44336
263: bad sentence 131, PPL: -13558.96094
264: good sentence 132, PPL: -11220.99023
265: bad sentence 132, PPL: -13953.10059
266: good sentence 133, PPL: -16675.11914
267: bad sentence 133, PPL: -17014.56641
268: good sentence 134, PPL: -11149.29883
269: bad sentence 134, PPL: -13151.07422
270: good sentence 135, PPL: -8802.92285
271: bad sentence 135, PPL: -10467.37598
272: good sentence 136, PPL: -9992.39355
273: bad sentence 136, PPL: -8909.52539
274: good sentence 137, PPL: -15263.96680
275: bad sentence 137, PPL: -12823.93066
276: good sentence 138, PPL: -12013.44434
277: bad sentence 138, PPL: -16707.03516
278: good sentence 139, PPL: -10773.05566
279: bad sentence 139, PPL: -10563.93945
280: good sentence 140, PPL: -22635.96094
281: bad sentence 140, PPL: -20060.10742
282: good sentence 141, PPL: -7592.77734
283: bad sentence 141, PPL: -7997.65918
284: good sentence 142, PPL: -8852.94727
285: bad sentence 142, PPL: -7246.58496
286: good sentence 143, PPL: -12271.45898
287: bad sentence 143, PPL: -8679.22461
288: good sentence 144, PPL: -8828.41309
289: bad sentence 144, PPL: -7575.29590
290: good sentence 145, PPL: -36919.44922
291: bad sentence 145, PPL: -40045.04688
292: good sentence 146, PPL: -19115.16406
293: bad sentence 146, PPL: -13210.87012
294: good sentence 147, PPL: -16250.22070
295: bad sentence 147, PPL: -29479.58789
296: good sentence 148, PPL: -21717.84180
297: bad sentence 148, PPL: -26658.27930
298: good sentence 149, PPL: -49901.59375
299: bad sentence 149, PPL: -59566.02734
300: good sentence 150, PPL: -22983.89648
301: bad sentence 150, PPL: -24116.82227
302: good sentence 151, PPL: -30541.31250
303: bad sentence 151, PPL: -29975.82227
304: good sentence 152, PPL: -11947.06348
305: bad sentence 152, PPL: -21128.33398
306: good sentence 153, PPL: -17804.51953
307: bad sentence 153, PPL: -18658.74414
308: good sentence 154, PPL: -29392.31055
309: bad sentence 154, PPL: -40029.23438
310: good sentence 155, PPL: -31236.28320
311: bad sentence 155, PPL: -22344.33398
312: good sentence 156, PPL: -17552.84180
313: bad sentence 156, PPL: -9307.08984
314: good sentence 157, PPL: -11381.56543
315: bad sentence 157, PPL: -10622.07812
316: good sentence 158, PPL: -5968.85986
317: bad sentence 158, PPL: -5599.72705
318: good sentence 159, PPL: -14847.78613
319: bad sentence 159, PPL: -17199.21094
320: good sentence 160, PPL: -11502.09570
321: bad sentence 160, PPL: -10527.31152
322: good sentence 161, PPL: -5693.92871
323: bad sentence 161, PPL: -3749.65723
324: good sentence 162, PPL: -18426.00000
325: bad sentence 162, PPL: -17927.87695
326: good sentence 163, PPL: -35029.88281
327: bad sentence 163, PPL: -38837.46484
328: good sentence 164, PPL: -36320.55859
329: bad sentence 164, PPL: -26113.33203
330: good sentence 165, PPL: -14958.36035
331: bad sentence 165, PPL: -11240.98730
332: good sentence 166, PPL: -15970.75391
333: bad sentence 166, PPL: -13578.96680
334: good sentence 167, PPL: -11025.40723
335: bad sentence 167, PPL: -12573.60254
336: good sentence 168, PPL: -17718.08398
337: bad sentence 168, PPL: -26808.80078
338: good sentence 169, PPL: -16650.20117
339: bad sentence 169, PPL: -16516.91211
340: good sentence 170, PPL: -27646.06445
341: bad sentence 170, PPL: -21086.56445
342: good sentence 171, PPL: -9196.47461
343: bad sentence 171, PPL: -12910.58887
344: good sentence 172, PPL: -11925.48145
345: bad sentence 172, PPL: -9525.33789
346: good sentence 173, PPL: -20852.58789
347: bad sentence 173, PPL: -27737.67578
348: good sentence 174, PPL: -14112.62207
349: bad sentence 174, PPL: -12931.46387
350: good sentence 175, PPL: -13711.30859
351: bad sentence 175, PPL: -15087.34473
352: good sentence 176, PPL: -16635.51953
353: bad sentence 176, PPL: -15475.60742
354: good sentence 177, PPL: -8949.67871
355: bad sentence 177, PPL: -12663.45996
356: good sentence 178, PPL: -17764.08594
357: bad sentence 178, PPL: -18278.89258
358: good sentence 179, PPL: -13879.16602
359: bad sentence 179, PPL: -17755.78711
360: good sentence 180, PPL: -10020.29688
361: bad sentence 180, PPL: -9691.72363
362: good sentence 181, PPL: -4043.28369
363: bad sentence 181, PPL: -3369.48340
364: good sentence 182, PPL: -14157.24121
365: bad sentence 182, PPL: -12002.49609
366: good sentence 183, PPL: -16386.20312
367: bad sentence 183, PPL: -19463.21875
368: good sentence 184, PPL: -19011.10352
369: bad sentence 184, PPL: -26958.65625
370: good sentence 185, PPL: -21993.21680
371: bad sentence 185, PPL: -23040.23438
372: good sentence 186, PPL: -13242.75879
373: bad sentence 186, PPL: -15167.71680
374: good sentence 187, PPL: -5620.67871
375: bad sentence 187, PPL: -6978.76953
376: good sentence 188, PPL: -12768.74707
377: bad sentence 188, PPL: -16508.02930
378: good sentence 189, PPL: -23787.68555
379: bad sentence 189, PPL: -22308.68945
380: good sentence 190, PPL: -14960.48633
381: bad sentence 190, PPL: -20851.75195
382: good sentence 191, PPL: -12074.84961
383: bad sentence 191, PPL: -13456.01074
384: good sentence 192, PPL: -6519.46143
385: bad sentence 192, PPL: -8626.88965
386: good sentence 193, PPL: -15318.24414
387: bad sentence 193, PPL: -16021.18750
388: good sentence 194, PPL: -16042.94336
389: bad sentence 194, PPL: -9923.40137
390: good sentence 195, PPL: -23108.60352
391: bad sentence 195, PPL: -4806.59424
392: good sentence 196, PPL: -10432.66406
393: bad sentence 196, PPL: -11955.07617
394: good sentence 197, PPL: -8777.07812
395: bad sentence 197, PPL: -3051.89966
396: good sentence 198, PPL: -11266.61719
397: bad sentence 198, PPL: -17737.05078
398: good sentence 199, PPL: -16343.83105
399: bad sentence 199, PPL: -17475.14258
400: good sentence 200, PPL: -8970.48535
401: bad sentence 200, PPL: -8545.85547
402: good sentence 201, PPL: -22981.90234
403: bad sentence 201, PPL: -23476.94336
404: good sentence 202, PPL: -11359.81250
405: bad sentence 202, PPL: -11843.52637
406: good sentence 203, PPL: -7121.08496
407: bad sentence 203, PPL: -11510.39258
408: good sentence 204, PPL: -34640.99609
409: bad sentence 204, PPL: -20079.26758
410: good sentence 205, PPL: -20025.45312
411: bad sentence 205, PPL: -14797.22266
412: good sentence 206, PPL: -13080.05371
413: bad sentence 206, PPL: -14761.45020
414: good sentence 207, PPL: -6058.80908
415: bad sentence 207, PPL: -7622.69775
416: good sentence 208, PPL: -12566.75781
417: bad sentence 208, PPL: -11441.85742
418: good sentence 209, PPL: -11560.45703
419: bad sentence 209, PPL: -15701.21289
