Classifier-Noun
	cl_adj_comp_noun_v2
Model: baichuan-inc/Baichuan-7B, Accuracy: 71.90000, Average Perplexity (Good Sentences): -128.54657, Average Perplexity (Bad Sentences): -174.28996
0: good sentence 0, PPL: -60.17636
1: bad sentence 0, PPL: -115.75285
2: good sentence 1, PPL: -117.52826
3: bad sentence 1, PPL: -154.08247
4: good sentence 2, PPL: -108.12161
5: bad sentence 2, PPL: -178.74399
6: good sentence 3, PPL: -114.70542
7: bad sentence 3, PPL: -182.14508
8: good sentence 4, PPL: -151.19125
9: bad sentence 4, PPL: -218.94890
10: good sentence 5, PPL: -154.49019
11: bad sentence 5, PPL: -182.28055
12: good sentence 6, PPL: -77.92979
13: bad sentence 6, PPL: -130.16278
14: good sentence 7, PPL: -126.02018
15: bad sentence 7, PPL: -128.25630
16: good sentence 8, PPL: -113.72024
17: bad sentence 8, PPL: -105.51797
18: good sentence 9, PPL: -78.28712
19: bad sentence 9, PPL: -143.88229
20: good sentence 10, PPL: -49.15145
21: bad sentence 10, PPL: -67.26959
22: good sentence 11, PPL: -177.86842
23: bad sentence 11, PPL: -224.83519
24: good sentence 12, PPL: -76.00573
25: bad sentence 12, PPL: -163.28430
26: good sentence 13, PPL: -201.70354
27: bad sentence 13, PPL: -277.37384
28: good sentence 14, PPL: -89.01070
29: bad sentence 14, PPL: -149.51799
30: good sentence 15, PPL: -85.90900
31: bad sentence 15, PPL: -282.57413
32: good sentence 16, PPL: -57.66447
33: bad sentence 16, PPL: -161.50954
34: good sentence 17, PPL: -65.12926
35: bad sentence 17, PPL: -95.08443
36: good sentence 18, PPL: -59.67573
37: bad sentence 18, PPL: -168.72227
38: good sentence 19, PPL: -62.13258
39: bad sentence 19, PPL: -205.13631
40: good sentence 20, PPL: -99.48032
41: bad sentence 20, PPL: -179.48097
42: good sentence 21, PPL: -165.28697
43: bad sentence 21, PPL: -242.56822
44: good sentence 22, PPL: -99.63522
45: bad sentence 22, PPL: -125.63271
46: good sentence 23, PPL: -71.93446
47: bad sentence 23, PPL: -123.86036
48: good sentence 24, PPL: -73.61383
49: bad sentence 24, PPL: -136.94435
50: good sentence 25, PPL: -73.55643
51: bad sentence 25, PPL: -164.36395
52: good sentence 26, PPL: -163.00198
53: bad sentence 26, PPL: -242.80809
54: good sentence 27, PPL: -35.41782
55: bad sentence 27, PPL: -108.12327
56: good sentence 28, PPL: -278.86115
57: bad sentence 28, PPL: -243.53419
58: good sentence 29, PPL: -105.42352
59: bad sentence 29, PPL: -174.21277
60: good sentence 30, PPL: -175.98961
61: bad sentence 30, PPL: -292.81754
62: good sentence 31, PPL: -52.09476
63: bad sentence 31, PPL: -49.35995
64: good sentence 32, PPL: -198.76114
65: bad sentence 32, PPL: -173.48302
66: good sentence 33, PPL: -38.87628
67: bad sentence 33, PPL: -90.91724
68: good sentence 34, PPL: -101.06599
69: bad sentence 34, PPL: -119.10898
70: good sentence 35, PPL: -91.73423
71: bad sentence 35, PPL: -159.24434
72: good sentence 36, PPL: -92.97025
73: bad sentence 36, PPL: -163.25356
74: good sentence 37, PPL: -121.42205
75: bad sentence 37, PPL: -187.91264
76: good sentence 38, PPL: -60.35355
77: bad sentence 38, PPL: -146.18246
78: good sentence 39, PPL: -81.52673
79: bad sentence 39, PPL: -76.46685
80: good sentence 40, PPL: -78.77493
