Plural
	baseline_cl_men_male
Model: google-bert/bert-base-chinese, Accuracy: 100.00000, Average Perplexity (Good Sentences): -7.62410, Average Perplexity (Bad Sentences): -13.31791
0: good sentence 0, PPL: -3.26290
1: bad sentence 0, PPL: -4.64825
2: good sentence 1, PPL: -6.35292
3: bad sentence 1, PPL: -14.15162
4: good sentence 2, PPL: -9.30661
5: bad sentence 2, PPL: -14.02212
6: good sentence 3, PPL: -150.65628
7: bad sentence 3, PPL: -264.77498
8: good sentence 4, PPL: -12.74622
9: bad sentence 4, PPL: -19.33680
10: good sentence 5, PPL: -4.13767
11: bad sentence 5, PPL: -5.81987
12: good sentence 6, PPL: -47.67237
13: bad sentence 6, PPL: -90.14897
14: good sentence 7, PPL: -30.33014
15: bad sentence 7, PPL: -86.79123
16: good sentence 8, PPL: -28.43705
17: bad sentence 8, PPL: -66.65772
18: good sentence 9, PPL: -41.26368
19: bad sentence 9, PPL: -80.48585
20: good sentence 10, PPL: -16.55294
21: bad sentence 10, PPL: -27.29679
22: good sentence 11, PPL: -101.91407
23: bad sentence 11, PPL: -184.77525
24: good sentence 12, PPL: -4.35266
25: bad sentence 12, PPL: -6.75534
26: good sentence 13, PPL: -11.62538
27: bad sentence 13, PPL: -18.21041
28: good sentence 14, PPL: -95.78790
29: bad sentence 14, PPL: -234.26554
30: good sentence 15, PPL: -14.95438
31: bad sentence 15, PPL: -25.11913
32: good sentence 16, PPL: -5.51711
33: bad sentence 16, PPL: -8.16671
34: good sentence 17, PPL: -2.83025
35: bad sentence 17, PPL: -6.13876
36: good sentence 18, PPL: -2.88997
37: bad sentence 18, PPL: -4.26465
38: good sentence 19, PPL: -4.67871
39: bad sentence 19, PPL: -7.43200
40: good sentence 20, PPL: -20.47866
41: bad sentence 20, PPL: -35.32378
42: good sentence 21, PPL: -16.50316
43: bad sentence 21, PPL: -62.48342
44: good sentence 22, PPL: -14.55976
45: bad sentence 22, PPL: -31.41340
46: good sentence 23, PPL: -3.32091
47: bad sentence 23, PPL: -6.90663
48: good sentence 24, PPL: -3.38468
49: bad sentence 24, PPL: -4.19462
