RelativeClause
	rc_resumptive_pronoun
Model: nghuyong/ernie-3.0-base-zh, Accuracy: 54.80000, Average Perplexity (Good Sentences): -16.83459, Average Perplexity (Bad Sentences): -17.23447
0: good sentence 0, PPL: -13.99051
1: bad sentence 0, PPL: -11.65574
2: good sentence 1, PPL: -14.08399
3: bad sentence 1, PPL: -11.80985
4: good sentence 2, PPL: -22.54472
5: bad sentence 2, PPL: -21.94475
6: good sentence 3, PPL: -40.16283
7: bad sentence 3, PPL: -55.00165
8: good sentence 4, PPL: -104.19422
9: bad sentence 4, PPL: -67.71192
10: good sentence 5, PPL: -10.35923
11: bad sentence 5, PPL: -7.39440
12: good sentence 6, PPL: -28.84105
13: bad sentence 6, PPL: -26.29450
14: good sentence 7, PPL: -12.15205
15: bad sentence 7, PPL: -13.11852
16: good sentence 8, PPL: -12.60675
17: bad sentence 8, PPL: -9.05690
18: good sentence 9, PPL: -44.98507
19: bad sentence 9, PPL: -51.00835
20: good sentence 10, PPL: -18.39858
21: bad sentence 10, PPL: -16.62304
22: good sentence 11, PPL: -20.26714
23: bad sentence 11, PPL: -23.54664
24: good sentence 12, PPL: -22.27653
25: bad sentence 12, PPL: -16.74835
26: good sentence 13, PPL: -10.24165
27: bad sentence 13, PPL: -11.01267
28: good sentence 14, PPL: -11.28885
29: bad sentence 14, PPL: -10.84528
30: good sentence 15, PPL: -15.90186
31: bad sentence 15, PPL: -14.02625
32: good sentence 16, PPL: -9.15747
33: bad sentence 16, PPL: -11.27924
34: good sentence 17, PPL: -6.73320
35: bad sentence 17, PPL: -9.17835
36: good sentence 18, PPL: -9.77623
37: bad sentence 18, PPL: -12.89511
38: good sentence 19, PPL: -23.86525
39: bad sentence 19, PPL: -29.09056
40: good sentence 20, PPL: -7.78447
41: bad sentence 20, PPL: -6.48745
42: good sentence 21, PPL: -13.44476
43: bad sentence 21, PPL: -20.66035
44: good sentence 22, PPL: -21.44873
45: bad sentence 22, PPL: -14.92807
46: good sentence 23, PPL: -17.28661
47: bad sentence 23, PPL: -10.97966
48: good sentence 24, PPL: -20.11776
49: bad sentence 24, PPL: -18.02769
50: good sentence 25, PPL: -14.70341
51: bad sentence 25, PPL: -18.53786
52: good sentence 26, PPL: -16.11620
53: bad sentence 26, PPL: -20.24357
54: good sentence 27, PPL: -41.60981
55: bad sentence 27, PPL: -35.99138
56: good sentence 28, PPL: -29.48565
57: bad sentence 28, PPL: -30.05413
58: good sentence 29, PPL: -25.67564
59: bad sentence 29, PPL: -23.39672
60: good sentence 30, PPL: -5.15634
61: bad sentence 30, PPL: -5.19358
62: good sentence 31, PPL: -15.06048
63: bad sentence 31, PPL: -15.72484
64: good sentence 32, PPL: -18.26787
65: bad sentence 32, PPL: -17.49842
66: good sentence 33, PPL: -20.86199
67: bad sentence 33, PPL: -26.07729
68: good sentence 34, PPL: -28.66751
69: bad sentence 34, PPL: -28.43958
70: good sentence 35, PPL: -8.02336
71: bad sentence 35, PPL: -8.73931
72: good sentence 36, PPL: -3.37838
73: bad sentence 36, PPL: -4.38585
74: good sentence 37, PPL: -9.43509
75: bad sentence 37, PPL: -12.10329
76: good sentence 38, PPL: -9.73249
77: bad sentence 38, PPL: -10.81611
78: good sentence 39, PPL: -35.69371
79: bad sentence 39, PPL: -28.00282
80: good sentence 40, PPL: -6.07594
81: bad sentence 40, PPL: -5.46086
82: good sentence 41, PPL: -14.51240
83: bad sentence 41, PPL: -15.89504
84: good sentence 42, PPL: -7.27391
