Aspect
	temporal_le
Model: baichuan-inc/Baichuan-7B, Accuracy: 64.80000, Average Perplexity (Good Sentences): -700.07001, Average Perplexity (Bad Sentences): -836.74457
0: good sentence 0, PPL: -849.77838
1: bad sentence 0, PPL: -981.52148
2: good sentence 1, PPL: -1238.21155
3: bad sentence 1, PPL: -4729.82812
4: good sentence 2, PPL: -489.11139
5: bad sentence 2, PPL: -244.77899
6: good sentence 3, PPL: -1201.32141
7: bad sentence 3, PPL: -700.69153
8: good sentence 4, PPL: -742.45868
9: bad sentence 4, PPL: -351.11307
10: good sentence 5, PPL: -739.60217
11: bad sentence 5, PPL: -404.99774
12: good sentence 6, PPL: -2498.84424
13: bad sentence 6, PPL: -5306.37891
14: good sentence 7, PPL: -1445.41699
15: bad sentence 7, PPL: -2272.95508
16: good sentence 8, PPL: -1115.69397
17: bad sentence 8, PPL: -2580.60132
18: good sentence 9, PPL: -96.55619
19: bad sentence 9, PPL: -152.73445
20: good sentence 10, PPL: -730.69287
21: bad sentence 10, PPL: -636.31470
22: good sentence 11, PPL: -1359.49548
23: bad sentence 11, PPL: -2107.96582
24: good sentence 12, PPL: -87.17677
25: bad sentence 12, PPL: -101.00447
26: good sentence 13, PPL: -364.53882
27: bad sentence 13, PPL: -244.40894
28: good sentence 14, PPL: -978.84845
29: bad sentence 14, PPL: -1328.22961
30: good sentence 15, PPL: -606.53387
31: bad sentence 15, PPL: -1498.99048
32: good sentence 16, PPL: -121.41025
33: bad sentence 16, PPL: -77.35874
34: good sentence 17, PPL: -1251.86780
35: bad sentence 17, PPL: -2885.67212
36: good sentence 18, PPL: -146.45850
37: bad sentence 18, PPL: -325.48099
38: good sentence 19, PPL: -1581.76672
39: bad sentence 19, PPL: -1431.32312
40: good sentence 20, PPL: -1026.15906
41: bad sentence 20, PPL: -2673.62256
42: good sentence 21, PPL: -304.56616
43: bad sentence 21, PPL: -189.04071
44: good sentence 22, PPL: -854.15240
45: bad sentence 22, PPL: -1211.91785
46: good sentence 23, PPL: -3009.47119
47: bad sentence 23, PPL: -3723.02930
48: good sentence 24, PPL: -710.81989
49: bad sentence 24, PPL: -354.66150
50: good sentence 25, PPL: -300.23599
51: bad sentence 25, PPL: -337.44745
52: good sentence 26, PPL: -268.64874
53: bad sentence 26, PPL: -334.34100
54: good sentence 27, PPL: -808.88971
55: bad sentence 27, PPL: -533.23090
56: good sentence 28, PPL: -437.64917
57: bad sentence 28, PPL: -326.27441
58: good sentence 29, PPL: -1408.78455
59: bad sentence 29, PPL: -3384.52344
60: good sentence 30, PPL: -2860.53271
61: bad sentence 30, PPL: -3567.83862
62: good sentence 31, PPL: -1023.26001
63: bad sentence 31, PPL: -1587.58813
64: good sentence 32, PPL: -843.52850
65: bad sentence 32, PPL: -1688.20044
66: good sentence 33, PPL: -1185.37292
67: bad sentence 33, PPL: -1065.15613
68: good sentence 34, PPL: -788.60132
69: bad sentence 34, PPL: -1857.67053
70: good sentence 35, PPL: -467.95682
71: bad sentence 35, PPL: -512.68384
72: good sentence 36, PPL: -1810.67639
