Anaphor
	baseline_female
Model: nghuyong/ernie-3.0-base-zh, Accuracy: 92.90000, Average Perplexity (Good Sentences): -76.41018, Average Perplexity (Bad Sentences): -108.50741
0: good sentence 0, PPL: -45.03359
1: bad sentence 0, PPL: -57.29632
2: good sentence 1, PPL: -21.74915
3: bad sentence 1, PPL: -34.08890
4: good sentence 2, PPL: -90.16697
5: bad sentence 2, PPL: -94.28966
6: good sentence 3, PPL: -187.35642
7: bad sentence 3, PPL: -225.08825
8: good sentence 4, PPL: -166.48428
9: bad sentence 4, PPL: -366.96788
10: good sentence 5, PPL: -51.82528
11: bad sentence 5, PPL: -59.09605
12: good sentence 6, PPL: -12.59903
13: bad sentence 6, PPL: -10.64037
14: good sentence 7, PPL: -35.19059
15: bad sentence 7, PPL: -35.24083
16: good sentence 8, PPL: -473.02304
17: bad sentence 8, PPL: -857.36466
18: good sentence 9, PPL: -21.79818
19: bad sentence 9, PPL: -38.48239
20: good sentence 10, PPL: -176.63145
21: bad sentence 10, PPL: -214.52320
22: good sentence 11, PPL: -28.70579
23: bad sentence 11, PPL: -59.95027
24: good sentence 12, PPL: -120.86289
25: bad sentence 12, PPL: -232.37402
26: good sentence 13, PPL: -333.87871
27: bad sentence 13, PPL: -339.27132
28: good sentence 14, PPL: -176.77964
29: bad sentence 14, PPL: -309.08629
30: good sentence 15, PPL: -13.45923
31: bad sentence 15, PPL: -16.28617
32: good sentence 16, PPL: -11.08513
33: bad sentence 16, PPL: -17.49601
34: good sentence 17, PPL: -338.32186
35: bad sentence 17, PPL: -535.73219
36: good sentence 18, PPL: -43.35709
37: bad sentence 18, PPL: -58.87866
38: good sentence 19, PPL: -82.46687
39: bad sentence 19, PPL: -129.13061
40: good sentence 20, PPL: -11.76279
41: bad sentence 20, PPL: -19.90265
42: good sentence 21, PPL: -269.17374
43: bad sentence 21, PPL: -371.54398
44: good sentence 22, PPL: -11.72092
45: bad sentence 22, PPL: -17.89540
46: good sentence 23, PPL: -271.96593
