anaphor_agreement_gender_1000.csv
Model: google-bert/bert-base-chinese, Accuracy: 0.86200, Average Perplexity (Good Sentences): -20.25828, Average Perplexity (Bad Sentences): -39.19710
0: good sentence 0, PPL: -11.48404
1: bad sentence 0, PPL: -59.88023
2: good sentence 1, PPL: -35.83933
3: bad sentence 1, PPL: -131.74767
4: good sentence 2, PPL: -9.76959
5: bad sentence 2, PPL: -8.55860
6: good sentence 3, PPL: -8.22642
7: bad sentence 3, PPL: -11.77763
8: good sentence 4, PPL: -27.44993
9: bad sentence 4, PPL: -46.46714
10: good sentence 5, PPL: -8.15731
11: bad sentence 5, PPL: -52.24572
12: good sentence 6, PPL: -14.03144
13: bad sentence 6, PPL: -42.21021
14: good sentence 7, PPL: -19.30440
15: bad sentence 7, PPL: -24.54519
16: good sentence 8, PPL: -16.90257
17: bad sentence 8, PPL: -66.05743
18: good sentence 9, PPL: -29.68033
19: bad sentence 9, PPL: -77.68341
20: good sentence 10, PPL: -18.93966
21: bad sentence 10, PPL: -31.63222
22: good sentence 11, PPL: -8.36112
23: bad sentence 11, PPL: -7.64690
24: good sentence 12, PPL: -35.66314
25: bad sentence 12, PPL: -62.12376
26: good sentence 13, PPL: -6.17352
27: bad sentence 13, PPL: -6.97840
28: good sentence 14, PPL: -34.82093
29: bad sentence 14, PPL: -51.11842
30: good sentence 15, PPL: -30.78890
31: bad sentence 15, PPL: -83.89848
32: good sentence 16, PPL: -60.57864
33: bad sentence 16, PPL: -41.51077
34: good sentence 17, PPL: -88.67102
35: bad sentence 17, PPL: -328.82560
36: good sentence 18, PPL: -23.66790
37: bad sentence 18, PPL: -135.81238
38: good sentence 19, PPL: -8.62140
39: bad sentence 19, PPL: -20.76633
40: good sentence 20, PPL: -10.95733
41: bad sentence 20, PPL: -12.43960
42: good sentence 21, PPL: -18.94763
43: bad sentence 21, PPL: -37.65968
44: good sentence 22, PPL: -10.60134
45: bad sentence 22, PPL: -18.10746
46: good sentence 23, PPL: -27.89216
47: bad sentence 23, PPL: -29.07044
48: good sentence 24, PPL: -24.46367
49: bad sentence 24, PPL: -43.94928
50: good sentence 25, PPL: -167.11133
51: bad sentence 25, PPL: -235.41263
52: good sentence 26, PPL: -23.66815
53: bad sentence 26, PPL: -40.66001
54: good sentence 27, PPL: -10.66435
55: bad sentence 27, PPL: -107.42231
56: good sentence 28, PPL: -6.08535
57: bad sentence 28, PPL: -14.72014
58: good sentence 29, PPL: -69.40989
59: bad sentence 29, PPL: -178.77245
60: good sentence 30, PPL: -9.25299
61: bad sentence 30, PPL: -19.44106
62: good sentence 31, PPL: -13.13601
63: bad sentence 31, PPL: -38.47121
64: good sentence 32, PPL: -10.09898
65: bad sentence 32, PPL: -32.67422
66: good sentence 33, PPL: -26.56481
67: bad sentence 33, PPL: -56.86001
68: good sentence 34, PPL: -3.85131
69: bad sentence 34, PPL: -12.29698
70: good sentence 35, PPL: -19.40779
71: bad sentence 35, PPL: -32.38896
72: good sentence 36, PPL: -35.44154
73: bad sentence 36, PPL: -129.43856
74: good sentence 37, PPL: -7.04598
75: bad sentence 37, PPL: -19.76096
76: good sentence 38, PPL: -12.64678
77: bad sentence 38, PPL: -18.76544
78: good sentence 39, PPL: -13.97791
79: bad sentence 39, PPL: -58.70441
80: good sentence 40, PPL: -33.59868
81: bad sentence 40, PPL: -93.89071
82: good sentence 41, PPL: -6.28036
83: bad sentence 41, PPL: -7.46521
84: good sentence 42, PPL: -61.67410
85: bad sentence 42, PPL: -107.49064
86: good sentence 43, PPL: -12.61115
87: bad sentence 43, PPL: -24.19493
88: good sentence 44, PPL: -48.77136
89: bad sentence 44, PPL: -33.02792
90: good sentence 45, PPL: -14.02373
91: bad sentence 45, PPL: -80.58769
92: good sentence 46, PPL: -8.83093
93: bad sentence 46, PPL: -30.66936
94: good sentence 47, PPL: -72.49429
95: bad sentence 47, PPL: -53.02289
96: good sentence 48, PPL: -15.45226
97: bad sentence 48, PPL: -58.10844
