Anaphor
	baseline_male
Model: THUDM/chatglm3-6b, Accuracy: 64.50000, Average Perplexity (Good Sentences): -inf, Average Perplexity (Bad Sentences): -inf
0: good sentence 0, PPL: -35744.00000
1: bad sentence 0, PPL: -28720.00000
2: good sentence 1, PPL: -inf
3: bad sentence 1, PPL: -inf
4: good sentence 2, PPL: -20528.00000
5: bad sentence 2, PPL: -17568.00000
6: good sentence 3, PPL: -21520.00000
7: bad sentence 3, PPL: -29632.00000
8: good sentence 4, PPL: -inf
9: bad sentence 4, PPL: -inf
10: good sentence 5, PPL: -inf
11: bad sentence 5, PPL: -35744.00000
12: good sentence 6, PPL: -48480.00000
13: bad sentence 6, PPL: -64736.00000
14: good sentence 7, PPL: -43456.00000
15: bad sentence 7, PPL: -inf
16: good sentence 8, PPL: -50016.00000
17: bad sentence 8, PPL: -33056.00000
18: good sentence 9, PPL: -inf
19: bad sentence 9, PPL: -29872.00000
20: good sentence 10, PPL: -inf
21: bad sentence 10, PPL: -inf
22: good sentence 11, PPL: -53664.00000
23: bad sentence 11, PPL: -40512.00000
24: good sentence 12, PPL: -inf
25: bad sentence 12, PPL: -56672.00000
26: good sentence 13, PPL: -inf
27: bad sentence 13, PPL: -inf
28: good sentence 14, PPL: -inf
29: bad sentence 14, PPL: -inf
30: good sentence 15, PPL: -40832.00000
31: bad sentence 15, PPL: -38048.00000
32: good sentence 16, PPL: -46272.00000
33: bad sentence 16, PPL: -34368.00000
34: good sentence 17, PPL: -7496.00000
35: bad sentence 17, PPL: -13256.00000
36: good sentence 18, PPL: -36320.00000
37: bad sentence 18, PPL: -53248.00000
38: good sentence 19, PPL: -22368.00000
39: bad sentence 19, PPL: -55808.00000
40: good sentence 20, PPL: -inf
41: bad sentence 20, PPL: -30816.00000
42: good sentence 21, PPL: -inf
43: bad sentence 21, PPL: -61760.00000
44: good sentence 22, PPL: -46624.00000
45: bad sentence 22, PPL: -35200.00000
46: good sentence 23, PPL: -inf
47: bad sentence 23, PPL: -inf
48: good sentence 24, PPL: -inf
49: bad sentence 24, PPL: -inf
50: good sentence 25, PPL: -45536.00000
51: bad sentence 25, PPL: -inf
52: good sentence 26, PPL: -inf
53: bad sentence 26, PPL: -inf
54: good sentence 27, PPL: -27200.00000
55: bad sentence 27, PPL: -28288.00000
56: good sentence 28, PPL: -inf
57: bad sentence 28, PPL: -inf
58: good sentence 29, PPL: -inf
59: bad sentence 29, PPL: -64224.00000
60: good sentence 30, PPL: -inf
61: bad sentence 30, PPL: -inf
62: good sentence 31, PPL: -inf
63: bad sentence 31, PPL: -inf
64: good sentence 32, PPL: -29632.00000
65: bad sentence 32, PPL: -14448.00000
66: good sentence 33, PPL: -58944.00000
67: bad sentence 33, PPL: -inf
68: good sentence 34, PPL: -inf
69: bad sentence 34, PPL: -inf
70: good sentence 35, PPL: -31792.00000
71: bad sentence 35, PPL: -28960.00000
72: good sentence 36, PPL: -63744.00000
73: bad sentence 36, PPL: -inf
74: good sentence 37, PPL: -inf
