verb_complement_res_verb_1000.csv
Model: google-bert/bert-base-chinese, Accuracy: 0.96200, Average Perplexity (Good Sentences): -151.26001, Average Perplexity (Bad Sentences): -880.47273
0: good sentence 0, PPL: -319.12451
1: bad sentence 0, PPL: -27353.61424
2: good sentence 1, PPL: -244.89905
3: bad sentence 1, PPL: -557.53045
4: good sentence 2, PPL: -864.02483
5: bad sentence 2, PPL: -2702.86108
6: good sentence 3, PPL: -33.74054
7: bad sentence 3, PPL: -131.09072
8: good sentence 4, PPL: -81.30909
9: bad sentence 4, PPL: -190.98795
10: good sentence 5, PPL: -295.66298
11: bad sentence 5, PPL: -6451.64758
12: good sentence 6, PPL: -57.58701
13: bad sentence 6, PPL: -3032.60191
14: good sentence 7, PPL: -1709.89743
15: bad sentence 7, PPL: -20093.88644
16: good sentence 8, PPL: -1609.27704
17: bad sentence 8, PPL: -2394.06644
18: good sentence 9, PPL: -211.65874
19: bad sentence 9, PPL: -222.88374
20: good sentence 10, PPL: -5.73297
21: bad sentence 10, PPL: -79.29757
22: good sentence 11, PPL: -1063.67522
23: bad sentence 11, PPL: -6671.48025
24: good sentence 12, PPL: -259.59817
25: bad sentence 12, PPL: -3732.93137
26: good sentence 13, PPL: -125.91489
27: bad sentence 13, PPL: -12830.04719
28: good sentence 14, PPL: -36.02458
29: bad sentence 14, PPL: -443.46661
30: good sentence 15, PPL: -34.11618
31: bad sentence 15, PPL: -467.36147
32: good sentence 16, PPL: -302.55978
33: bad sentence 16, PPL: -2775.72205
34: good sentence 17, PPL: -37.99945
35: bad sentence 17, PPL: -155.07792
36: good sentence 18, PPL: -121.93718
37: bad sentence 18, PPL: -22781.41980
38: good sentence 19, PPL: -97.39746
39: bad sentence 19, PPL: -536.28336
40: good sentence 20, PPL: -31.79927
41: bad sentence 20, PPL: -46.97938
42: good sentence 21, PPL: -919.74981
43: bad sentence 21, PPL: -554826.46882
44: good sentence 22, PPL: -72.36346
45: bad sentence 22, PPL: -223.09653
46: good sentence 23, PPL: -492.36479
47: bad sentence 23, PPL: -24457.46911
48: good sentence 24, PPL: -194.49785
49: bad sentence 24, PPL: -526.44864
50: good sentence 25, PPL: -123.95656
51: bad sentence 25, PPL: -445.06074
52: good sentence 26, PPL: -93.60278
53: bad sentence 26, PPL: -394.10405
54: good sentence 27, PPL: -202.88696
55: bad sentence 27, PPL: -358.97146
56: good sentence 28, PPL: -9.13919
57: bad sentence 28, PPL: -18.76021
58: good sentence 29, PPL: -10.94627
59: bad sentence 29, PPL: -525.59501
60: good sentence 30, PPL: -607.47181
61: bad sentence 30, PPL: -1922.58495
62: good sentence 31, PPL: -271.56994
63: bad sentence 31, PPL: -1274.44797
64: good sentence 32, PPL: -20.79952
65: bad sentence 32, PPL: -64.41585
66: good sentence 33, PPL: -51.39255
67: bad sentence 33, PPL: -99.55569
68: good sentence 34, PPL: -15.81397
69: bad sentence 34, PPL: -163.05069
70: good sentence 35, PPL: -855.08184
71: bad sentence 35, PPL: -1737.05423
72: good sentence 36, PPL: -20.88618
73: bad sentence 36, PPL: -369.70890
74: good sentence 37, PPL: -73.37885
75: bad sentence 37, PPL: -318.31418
76: good sentence 38, PPL: -33.31303
77: bad sentence 38, PPL: -274.70920
78: good sentence 39, PPL: -710.06019
79: bad sentence 39, PPL: -20852.44384
80: good sentence 40, PPL: -1275.90437
81: bad sentence 40, PPL: -6755.48599
82: good sentence 41, PPL: -450.23921
83: bad sentence 41, PPL: -687.88488
84: good sentence 42, PPL: -649.22711
85: bad sentence 42, PPL: -4369.89970
86: good sentence 43, PPL: -270.37229
87: bad sentence 43, PPL: -2276.06599
88: good sentence 44, PPL: -42.11597
89: bad sentence 44, PPL: -236.06012
90: good sentence 45, PPL: -385.55878
91: bad sentence 45, PPL: -904.49678
92: good sentence 46, PPL: -27.21620
93: bad sentence 46, PPL: -69.99885
94: good sentence 47, PPL: -62.41489
95: bad sentence 47, PPL: -388.63261
96: good sentence 48, PPL: -393.51595
97: bad sentence 48, PPL: -8628.57167
98: good sentence 49, PPL: -859.00589
99: bad sentence 49, PPL: -869.00116
100: good sentence 50, PPL: -100.15380
101: bad sentence 50, PPL: -679.44929
102: good sentence 51, PPL: -36.47048
103: bad sentence 51, PPL: -979.85102
104: good sentence 52, PPL: -198.03649
105: bad sentence 52, PPL: -6241.51514
106: good sentence 53, PPL: -651.30712
107: bad sentence 53, PPL: -585.69280
108: good sentence 54, PPL: -5.10181
109: bad sentence 54, PPL: -77.55075
110: good sentence 55, PPL: -16.90218
111: bad sentence 55, PPL: -76.74968
112: good sentence 56, PPL: -5.73297
113: bad sentence 56, PPL: -23.12807
114: good sentence 57, PPL: -628.90072
115: bad sentence 57, PPL: -1882.78264
116: good sentence 58, PPL: -73.54710
117: bad sentence 58, PPL: -248.48116
118: good sentence 59, PPL: -403.35458
119: bad sentence 59, PPL: -1871.92790
120: good sentence 60, PPL: -503.09160
121: bad sentence 60, PPL: -1439.96944
122: good sentence 61, PPL: -755.35371
123: bad sentence 61, PPL: -1836.78568
124: good sentence 62, PPL: -14.91987
125: bad sentence 62, PPL: -152.37641
126: good sentence 63, PPL: -16.86546
127: bad sentence 63, PPL: -64.89432
128: good sentence 64, PPL: -148.04599
129: bad sentence 64, PPL: -1349.04044
130: good sentence 65, PPL: -149.83484
131: bad sentence 65, PPL: -1102.40639
132: good sentence 66, PPL: -101.43140
133: bad sentence 66, PPL: -1097.66954
134: good sentence 67, PPL: -31.79927
135: bad sentence 67, PPL: -134.71952
136: good sentence 68, PPL: -288.58801
137: bad sentence 68, PPL: -1039.24223
138: good sentence 69, PPL: -279.48709
139: bad sentence 69, PPL: -1695.27765
140: good sentence 70, PPL: -1445.56468
141: bad sentence 70, PPL: -950.18990
142: good sentence 71, PPL: -55.91652
143: bad sentence 71, PPL: -65.19371
144: good sentence 72, PPL: -13.13446
145: bad sentence 72, PPL: -257.17554
146: good sentence 73, PPL: -711.64081
147: bad sentence 73, PPL: -5082.60383
148: good sentence 74, PPL: -551.67694
149: bad sentence 74, PPL: -7470.30756
150: good sentence 75, PPL: -577.88024
151: bad sentence 75, PPL: -631.41741
152: good sentence 76, PPL: -320.86289
153: bad sentence 76, PPL: -624.40976
154: good sentence 77, PPL: -225.62172
155: bad sentence 77, PPL: -6212.11715
156: good sentence 78, PPL: -1854.71138
157: bad sentence 78, PPL: -26274.13552
158: good sentence 79, PPL: -2373.74451
159: bad sentence 79, PPL: -6008.79734
160: good sentence 80, PPL: -45.71475
161: bad sentence 80, PPL: -355.94244
162: good sentence 81, PPL: -46.68919
163: bad sentence 81, PPL: -187.97763
164: good sentence 82, PPL: -107.70905
165: bad sentence 82, PPL: -685.31203
166: good sentence 83, PPL: -158.38379
167: bad sentence 83, PPL: -581.49650
168: good sentence 84, PPL: -385.53432
169: bad sentence 84, PPL: -2030.79475
170: good sentence 85, PPL: -1438.24097
171: bad sentence 85, PPL: -12239.12143
172: good sentence 86, PPL: -13.84814
173: bad sentence 86, PPL: -24.15531
174: good sentence 87, PPL: -22.46118
175: bad sentence 87, PPL: -40.22154
176: good sentence 88, PPL: -34.29876
177: bad sentence 88, PPL: -31.89474
178: good sentence 89, PPL: -44.98887
179: bad sentence 89, PPL: -85.94292
180: good sentence 90, PPL: -707.49999
181: bad sentence 90, PPL: -5025.06421
182: good sentence 91, PPL: -112.46508
183: bad sentence 91, PPL: -285.76813
184: good sentence 92, PPL: -1379.14437
185: bad sentence 92, PPL: -2750.20434
186: good sentence 93, PPL: -37.41344
187: bad sentence 93, PPL: -518.34231
188: good sentence 94, PPL: -67.62732
189: bad sentence 94, PPL: -2350.00828
190: good sentence 95, PPL: -276.37586
191: bad sentence 95, PPL: -1209.88501
192: good sentence 96, PPL: -25.72005
193: bad sentence 96, PPL: -69.33606
194: good sentence 97, PPL: -255.14938
195: bad sentence 97, PPL: -35156.59959
196: good sentence 98, PPL: -41.02770
197: bad sentence 98, PPL: -85.09533
198: good sentence 99, PPL: -19.55430
199: bad sentence 99, PPL: -69.66779
200: good sentence 100, PPL: -161.32180
201: bad sentence 100, PPL: -344.58316
202: good sentence 101, PPL: -618.50747
203: bad sentence 101, PPL: -2594.83287
204: good sentence 102, PPL: -29.43792
205: bad sentence 102, PPL: -22128.13279
206: good sentence 103, PPL: -69.59795
207: bad sentence 103, PPL: -274.38405
208: good sentence 104, PPL: -21.41952
209: bad sentence 104, PPL: -382.97605
210: good sentence 105, PPL: -165.61443
211: bad sentence 105, PPL: -4671.96401
212: good sentence 106, PPL: -17.21552
213: bad sentence 106, PPL: -318.30385
214: good sentence 107, PPL: -31.96629
215: bad sentence 107, PPL: -167.95872
216: good sentence 108, PPL: -147.87118
217: bad sentence 108, PPL: -943.89409
218: good sentence 109, PPL: -125.91489
219: bad sentence 109, PPL: -3520.08220
220: good sentence 110, PPL: -703.77722
221: bad sentence 110, PPL: -3388.02432
222: good sentence 111, PPL: -29.62959
223: bad sentence 111, PPL: -62.91940
224: good sentence 112, PPL: -58.26315
225: bad sentence 112, PPL: -149.76701
226: good sentence 113, PPL: -157.47332
227: bad sentence 113, PPL: -838.23140
228: good sentence 114, PPL: -9.74551
229: bad sentence 114, PPL: -49.77843
230: good sentence 115, PPL: -41.27766
231: bad sentence 115, PPL: -1205.32468
232: good sentence 116, PPL: -115.13230
233: bad sentence 116, PPL: -331.76252
234: good sentence 117, PPL: -44.35577
235: bad sentence 117, PPL: -114.56739
236: good sentence 118, PPL: -76.68736
237: bad sentence 118, PPL: -91.27614
238: good sentence 119, PPL: -211.56511
239: bad sentence 119, PPL: -495.45678
240: good sentence 120, PPL: -120.21793
241: bad sentence 120, PPL: -234.35160
242: good sentence 121, PPL: -282.40363
243: bad sentence 121, PPL: -48579.20660
244: good sentence 122, PPL: -47.51860
245: bad sentence 122, PPL: -80.85410
246: good sentence 123, PPL: -42.75098
247: bad sentence 123, PPL: -150.69931
248: good sentence 124, PPL: -210.69912
249: bad sentence 124, PPL: -392.83399
250: good sentence 125, PPL: -350.50071
251: bad sentence 125, PPL: -3680.85868
252: good sentence 126, PPL: -105.53041
