Anaphor
	self_male
Model: google-bert/bert-base-chinese, Accuracy: 88.40000, Average Perplexity (Good Sentences): -5.43344, Average Perplexity (Bad Sentences): -6.40225
0: good sentence 0, PPL: -5.48429
1: bad sentence 0, PPL: -7.41710
2: good sentence 1, PPL: -2.32089
3: bad sentence 1, PPL: -2.73521
4: good sentence 2, PPL: -2.78181
5: bad sentence 2, PPL: -3.11447
6: good sentence 3, PPL: -9.72310
7: bad sentence 3, PPL: -8.38662
8: good sentence 4, PPL: -7.20353
9: bad sentence 4, PPL: -6.92963
10: good sentence 5, PPL: -3.76121
11: bad sentence 5, PPL: -4.35952
12: good sentence 6, PPL: -1.65811
13: bad sentence 6, PPL: -1.98092
14: good sentence 7, PPL: -2.72153
15: bad sentence 7, PPL: -3.33843
16: good sentence 8, PPL: -28.90675
17: bad sentence 8, PPL: -29.35691
18: good sentence 9, PPL: -2.17227
19: bad sentence 9, PPL: -2.85155
20: good sentence 10, PPL: -17.00434
21: bad sentence 10, PPL: -18.59595
22: good sentence 11, PPL: -2.76578
23: bad sentence 11, PPL: -3.27246
24: good sentence 12, PPL: -6.12378
25: bad sentence 12, PPL: -7.24426
26: good sentence 13, PPL: -11.08082
27: bad sentence 13, PPL: -11.83720
28: good sentence 14, PPL: -4.99862
29: bad sentence 14, PPL: -5.49742
30: good sentence 15, PPL: -1.99775
31: bad sentence 15, PPL: -2.16143
32: good sentence 16, PPL: -1.95131
33: bad sentence 16, PPL: -2.28956
34: good sentence 17, PPL: -22.97257
35: bad sentence 17, PPL: -19.40092
36: good sentence 18, PPL: -1.91740
37: bad sentence 18, PPL: -2.35624
38: good sentence 19, PPL: -2.09539
39: bad sentence 19, PPL: -2.67686
40: good sentence 20, PPL: -1.73328
41: bad sentence 20, PPL: -2.31367
42: good sentence 21, PPL: -6.94918
43: bad sentence 21, PPL: -9.07816
44: good sentence 22, PPL: -1.47661
45: bad sentence 22, PPL: -1.71876
46: good sentence 23, PPL: -9.24943
47: bad sentence 23, PPL: -14.37062
48: good sentence 24, PPL: -4.97821
49: bad sentence 24, PPL: -6.27430
50: good sentence 25, PPL: -3.00102
51: bad sentence 25, PPL: -4.05467
52: good sentence 26, PPL: -10.18318
53: bad sentence 26, PPL: -12.87030
54: good sentence 27, PPL: -7.81012
55: bad sentence 27, PPL: -8.28985
56: good sentence 28, PPL: -4.55112
57: bad sentence 28, PPL: -4.93016
58: good sentence 29, PPL: -6.04285
59: bad sentence 29, PPL: -7.83452
60: good sentence 30, PPL: -1.69232
61: bad sentence 30, PPL: -2.11311
62: good sentence 31, PPL: -3.73116
63: bad sentence 31, PPL: -5.02028
64: good sentence 32, PPL: -7.60498
65: bad sentence 32, PPL: -9.04586
66: good sentence 33, PPL: -3.76884
67: bad sentence 33, PPL: -4.61687
68: good sentence 34, PPL: -7.60341
