classifier_clause_1000.csv
Model: google-bert/bert-base-chinese, Accuracy: 0.90000, Average Perplexity (Good Sentences): -24.36695, Average Perplexity (Bad Sentences): -39.53797
0: good sentence 0, PPL: -179.20961
1: bad sentence 0, PPL: -242.14698
2: good sentence 1, PPL: -22.54482
3: bad sentence 1, PPL: -45.16537
4: good sentence 2, PPL: -20.29527
5: bad sentence 2, PPL: -36.98619
6: good sentence 3, PPL: -4.80334
7: bad sentence 3, PPL: -7.55216
8: good sentence 4, PPL: -36.27218
9: bad sentence 4, PPL: -43.94311
10: good sentence 5, PPL: -24.15208
11: bad sentence 5, PPL: -37.83846
12: good sentence 6, PPL: -19.90900
13: bad sentence 6, PPL: -20.72380
14: good sentence 7, PPL: -14.37759
15: bad sentence 7, PPL: -29.12665
16: good sentence 8, PPL: -8.32605
17: bad sentence 8, PPL: -12.82201
18: good sentence 9, PPL: -22.91715
19: bad sentence 9, PPL: -46.47246
20: good sentence 10, PPL: -24.97495
21: bad sentence 10, PPL: -41.09513
22: good sentence 11, PPL: -10.01470
23: bad sentence 11, PPL: -10.83853
24: good sentence 12, PPL: -8.36483
25: bad sentence 12, PPL: -9.44447
26: good sentence 13, PPL: -7.72162
27: bad sentence 13, PPL: -12.99817
28: good sentence 14, PPL: -10.22553
29: bad sentence 14, PPL: -16.63305
30: good sentence 15, PPL: -17.73512
31: bad sentence 15, PPL: -27.36508
32: good sentence 16, PPL: -17.72654
33: bad sentence 16, PPL: -31.64175
34: good sentence 17, PPL: -85.87640
35: bad sentence 17, PPL: -174.40405
36: good sentence 18, PPL: -6.20807
37: bad sentence 18, PPL: -9.84183
38: good sentence 19, PPL: -14.93037
39: bad sentence 19, PPL: -21.22080
40: good sentence 20, PPL: -10.90653
41: bad sentence 20, PPL: -36.66634
42: good sentence 21, PPL: -7.94113
43: bad sentence 21, PPL: -12.65329
44: good sentence 22, PPL: -27.28234
45: bad sentence 22, PPL: -30.86786
46: good sentence 23, PPL: -18.73088
47: bad sentence 23, PPL: -32.08693
48: good sentence 24, PPL: -29.71327
49: bad sentence 24, PPL: -40.10667
50: good sentence 25, PPL: -13.64436
51: bad sentence 25, PPL: -29.87653
52: good sentence 26, PPL: -31.70518
53: bad sentence 26, PPL: -65.05254
54: good sentence 27, PPL: -16.06993
55: bad sentence 27, PPL: -20.22557
56: good sentence 28, PPL: -8.77321
57: bad sentence 28, PPL: -12.88779
58: good sentence 29, PPL: -18.37954
59: bad sentence 29, PPL: -33.15577
60: good sentence 30, PPL: -22.06767
61: bad sentence 30, PPL: -31.66419
62: good sentence 31, PPL: -44.42485
63: bad sentence 31, PPL: -89.74020
64: good sentence 32, PPL: -114.08063
65: bad sentence 32, PPL: -92.43436
66: good sentence 33, PPL: -11.30341
67: bad sentence 33, PPL: -18.25335
68: good sentence 34, PPL: -6.30586
69: bad sentence 34, PPL: -14.35310
70: good sentence 35, PPL: -118.85177
71: bad sentence 35, PPL: -324.74595
72: good sentence 36, PPL: -31.15879
73: bad sentence 36, PPL: -135.10585
74: good sentence 37, PPL: -19.80204
75: bad sentence 37, PPL: -27.06351
76: good sentence 38, PPL: -118.90054
77: bad sentence 38, PPL: -218.61755
78: good sentence 39, PPL: -13.12625
79: bad sentence 39, PPL: -16.27147
80: good sentence 40, PPL: -22.72248
81: bad sentence 40, PPL: -34.56453
82: good sentence 41, PPL: -31.50687
83: bad sentence 41, PPL: -59.16884
84: good sentence 42, PPL: -11.43225
85: bad sentence 42, PPL: -35.84708
86: good sentence 43, PPL: -25.92879
87: bad sentence 43, PPL: -28.31526
88: good sentence 44, PPL: -19.86777
89: bad sentence 44, PPL: -36.61051
90: good sentence 45, PPL: -45.71183
91: bad sentence 45, PPL: -60.93291
92: good sentence 46, PPL: -10.94126
93: bad sentence 46, PPL: -13.60984
94: good sentence 47, PPL: -8.55726
95: bad sentence 47, PPL: -12.63457
96: good sentence 48, PPL: -13.56150
97: bad sentence 48, PPL: -21.92967
98: good sentence 49, PPL: -6.28958
99: bad sentence 49, PPL: -10.55026
100: good sentence 50, PPL: -10.38712
101: bad sentence 50, PPL: -23.06440
102: good sentence 51, PPL: -31.14193
103: bad sentence 51, PPL: -22.00856
104: good sentence 52, PPL: -26.15764
105: bad sentence 52, PPL: -23.01337
106: good sentence 53, PPL: -22.90553
107: bad sentence 53, PPL: -45.75257
108: good sentence 54, PPL: -14.65097
109: bad sentence 54, PPL: -39.22380
110: good sentence 55, PPL: -36.76949
111: bad sentence 55, PPL: -84.98251
112: good sentence 56, PPL: -24.71249
113: bad sentence 56, PPL: -56.89768
114: good sentence 57, PPL: -4.69062
115: bad sentence 57, PPL: -11.27522
116: good sentence 58, PPL: -30.11164
117: bad sentence 58, PPL: -23.92326
118: good sentence 59, PPL: -84.66824
119: bad sentence 59, PPL: -110.99631
120: good sentence 60, PPL: -55.17165
121: bad sentence 60, PPL: -81.97518
122: good sentence 61, PPL: -22.43033
123: bad sentence 61, PPL: -31.61546
124: good sentence 62, PPL: -20.52756
125: bad sentence 62, PPL: -30.42322
126: good sentence 63, PPL: -7.32226
127: bad sentence 63, PPL: -11.93823
128: good sentence 64, PPL: -79.24832
129: bad sentence 64, PPL: -109.08060
130: good sentence 65, PPL: -184.71622
131: bad sentence 65, PPL: -833.62948
132: good sentence 66, PPL: -12.25477
133: bad sentence 66, PPL: -17.28457
134: good sentence 67, PPL: -11.14159
135: bad sentence 67, PPL: -14.24271
136: good sentence 68, PPL: -99.13831
137: bad sentence 68, PPL: -84.63137
138: good sentence 69, PPL: -57.31897
139: bad sentence 69, PPL: -69.75813
140: good sentence 70, PPL: -14.84891
141: bad sentence 70, PPL: -50.86963
142: good sentence 71, PPL: -15.05870
143: bad sentence 71, PPL: -18.85328
144: good sentence 72, PPL: -40.34384
145: bad sentence 72, PPL: -99.27052
146: good sentence 73, PPL: -75.18086
147: bad sentence 73, PPL: -60.32210
148: good sentence 74, PPL: -23.53725
149: bad sentence 74, PPL: -24.31582
150: good sentence 75, PPL: -13.04845
151: bad sentence 75, PPL: -21.53018
152: good sentence 76, PPL: -115.74174
153: bad sentence 76, PPL: -144.93075
154: good sentence 77, PPL: -42.20009
155: bad sentence 77, PPL: -41.99538
156: good sentence 78, PPL: -17.16130
157: bad sentence 78, PPL: -36.25766
158: good sentence 79, PPL: -71.61473
159: bad sentence 79, PPL: -113.94249
160: good sentence 80, PPL: -21.02767
161: bad sentence 80, PPL: -44.07012
162: good sentence 81, PPL: -13.63207
163: bad sentence 81, PPL: -22.70516
164: good sentence 82, PPL: -15.61101
165: bad sentence 82, PPL: -66.40036
166: good sentence 83, PPL: -7.89608
167: bad sentence 83, PPL: -12.92653
168: good sentence 84, PPL: -8.64593
169: bad sentence 84, PPL: -17.73707
170: good sentence 85, PPL: -13.99662
171: bad sentence 85, PPL: -23.55328
172: good sentence 86, PPL: -4.56012
173: bad sentence 86, PPL: -7.40610
174: good sentence 87, PPL: -67.84210
175: bad sentence 87, PPL: -139.25437
176: good sentence 88, PPL: -5.08589
177: bad sentence 88, PPL: -10.51408
178: good sentence 89, PPL: -19.45329
179: bad sentence 89, PPL: -35.42877
180: good sentence 90, PPL: -34.55836
181: bad sentence 90, PPL: -61.44898
182: good sentence 91, PPL: -37.32273
183: bad sentence 91, PPL: -61.28758
184: good sentence 92, PPL: -12.31759
185: bad sentence 92, PPL: -27.41536
186: good sentence 93, PPL: -8.18692
187: bad sentence 93, PPL: -10.42801
188: good sentence 94, PPL: -9.31376
189: bad sentence 94, PPL: -15.96540
190: good sentence 95, PPL: -28.00812
191: bad sentence 95, PPL: -38.41254
192: good sentence 96, PPL: -90.89612
193: bad sentence 96, PPL: -105.59725
194: good sentence 97, PPL: -11.07235
195: bad sentence 97, PPL: -21.28144
196: good sentence 98, PPL: -11.23504
197: bad sentence 98, PPL: -15.95557
198: good sentence 99, PPL: -8.10573
199: bad sentence 99, PPL: -12.61325
200: good sentence 100, PPL: -17.61880
201: bad sentence 100, PPL: -30.27533
202: good sentence 101, PPL: -11.93887
203: bad sentence 101, PPL: -20.48087
204: good sentence 102, PPL: -14.17061
205: bad sentence 102, PPL: -26.01105
206: good sentence 103, PPL: -26.34572
207: bad sentence 103, PPL: -23.89379
208: good sentence 104, PPL: -8.35174
209: bad sentence 104, PPL: -11.79342
210: good sentence 105, PPL: -19.43762
