verb_complement_duration_1000.csv
Model: google-bert/bert-base-chinese, Accuracy: 0.90200, Average Perplexity (Good Sentences): -53.72071, Average Perplexity (Bad Sentences): -182.56968
0: good sentence 0, PPL: -1100.97660
1: bad sentence 0, PPL: -22557.42784
2: good sentence 1, PPL: -59.19486
3: bad sentence 1, PPL: -239.30444
4: good sentence 2, PPL: -264.66417
5: bad sentence 2, PPL: -535.70327
6: good sentence 3, PPL: -707.46702
7: bad sentence 3, PPL: -4624.61763
8: good sentence 4, PPL: -9.27731
9: bad sentence 4, PPL: -10.24877
10: good sentence 5, PPL: -8.85523
11: bad sentence 5, PPL: -64.89225
12: good sentence 6, PPL: -29.72372
13: bad sentence 6, PPL: -235.76719
14: good sentence 7, PPL: -147.31512
15: bad sentence 7, PPL: -3816.17069
16: good sentence 8, PPL: -81.88425
17: bad sentence 8, PPL: -34.12172
18: good sentence 9, PPL: -146.29299
19: bad sentence 9, PPL: -214.20175
20: good sentence 10, PPL: -41.19858
21: bad sentence 10, PPL: -282.22010
22: good sentence 11, PPL: -27.31602
23: bad sentence 11, PPL: -87.24097
24: good sentence 12, PPL: -227.93611
25: bad sentence 12, PPL: -233.92669
26: good sentence 13, PPL: -119.74258
27: bad sentence 13, PPL: -69.04655
28: good sentence 14, PPL: -30.82768
29: bad sentence 14, PPL: -22.73560
30: good sentence 15, PPL: -150.37407
31: bad sentence 15, PPL: -580.23741
32: good sentence 16, PPL: -53.22261
33: bad sentence 16, PPL: -56.34216
34: good sentence 17, PPL: -28.82071
35: bad sentence 17, PPL: -251.62072
36: good sentence 18, PPL: -77.92729
37: bad sentence 18, PPL: -216.89680
38: good sentence 19, PPL: -26.88002
39: bad sentence 19, PPL: -405.60863
40: good sentence 20, PPL: -114.16612
41: bad sentence 20, PPL: -3019.69501
42: good sentence 21, PPL: -352.31198
43: bad sentence 21, PPL: -506.09315
44: good sentence 22, PPL: -42.41799
45: bad sentence 22, PPL: -149.91997
46: good sentence 23, PPL: -727.03407
47: bad sentence 23, PPL: -3908.89235
48: good sentence 24, PPL: -72.42374
49: bad sentence 24, PPL: -116.46398
50: good sentence 25, PPL: -129.19876
51: bad sentence 25, PPL: -157.72929
52: good sentence 26, PPL: -55.67847
53: bad sentence 26, PPL: -213.98227
54: good sentence 27, PPL: -58.10393
