Aspect
	temporal_le
Model: TsinghuaAI/CPM-Generate, Accuracy: 78.80000, Average Perplexity (Good Sentences): -19173.24219, Average Perplexity (Bad Sentences): -24117.23633
0: good sentence 0, PPL: -42935.96875
1: bad sentence 0, PPL: -49862.05469
2: good sentence 1, PPL: -9504.84863
3: bad sentence 1, PPL: -13257.27734
4: good sentence 2, PPL: -5736.80273
5: bad sentence 2, PPL: -7560.74561
6: good sentence 3, PPL: -18911.37500
7: bad sentence 3, PPL: -20055.90039
8: good sentence 4, PPL: -29889.24414
9: bad sentence 4, PPL: -52140.49609
10: good sentence 5, PPL: -9946.05469
11: bad sentence 5, PPL: -10206.59375
12: good sentence 6, PPL: -14530.05859
13: bad sentence 6, PPL: -24520.44531
14: good sentence 7, PPL: -21730.52148
15: bad sentence 7, PPL: -32405.07227
16: good sentence 8, PPL: -5881.58545
17: bad sentence 8, PPL: -13089.66211
18: good sentence 9, PPL: -25832.34766
19: bad sentence 9, PPL: -31449.16406
20: good sentence 10, PPL: -38814.69141
21: bad sentence 10, PPL: -69120.40625
22: good sentence 11, PPL: -99202.27344
23: bad sentence 11, PPL: -79344.78906
24: good sentence 12, PPL: -114060.64062
25: bad sentence 12, PPL: -128569.39062
26: good sentence 13, PPL: -15940.83887
27: bad sentence 13, PPL: -19994.78711
28: good sentence 14, PPL: -30721.64062
29: bad sentence 14, PPL: -43802.18359
30: good sentence 15, PPL: -3005.25513
31: bad sentence 15, PPL: -4134.28369
32: good sentence 16, PPL: -33419.59766
33: bad sentence 16, PPL: -35371.69141
34: good sentence 17, PPL: -8058.84814
35: bad sentence 17, PPL: -18054.24414
36: good sentence 18, PPL: -22496.05469
37: bad sentence 18, PPL: -31797.85547
38: good sentence 19, PPL: -68430.86719
39: bad sentence 19, PPL: -60213.01953
40: good sentence 20, PPL: -25855.19727
41: bad sentence 20, PPL: -38004.49609
42: good sentence 21, PPL: -19049.28711
43: bad sentence 21, PPL: -20550.16016
44: good sentence 22, PPL: -18226.91406
45: bad sentence 22, PPL: -27381.15625
46: good sentence 23, PPL: -17575.07031
47: bad sentence 23, PPL: -25589.45703
48: good sentence 24, PPL: -22598.12891
49: bad sentence 24, PPL: -30671.78711
50: good sentence 25, PPL: -16134.37402
51: bad sentence 25, PPL: -30158.93945
52: good sentence 26, PPL: -23801.48438
53: bad sentence 26, PPL: -22101.33203
54: good sentence 27, PPL: -18620.57812
55: bad sentence 27, PPL: -26082.76953
56: good sentence 28, PPL: -22814.32227
57: bad sentence 28, PPL: -32009.92383
58: good sentence 29, PPL: -5314.10156
59: bad sentence 29, PPL: -6703.12061
60: good sentence 30, PPL: -18731.30859
61: bad sentence 30, PPL: -22618.35156
62: good sentence 31, PPL: -20476.54492
63: bad sentence 31, PPL: -52328.04688
64: good sentence 32, PPL: -63090.12500
65: bad sentence 32, PPL: -92594.64062
66: good sentence 33, PPL: -11650.53906
67: bad sentence 33, PPL: -13659.75488
68: good sentence 34, PPL: -17597.22461
69: bad sentence 34, PPL: -27314.02539
70: good sentence 35, PPL: -11707.54297
71: bad sentence 35, PPL: -14298.62793
72: good sentence 36, PPL: -47979.50000
73: bad sentence 36, PPL: -64926.10938
74: good sentence 37, PPL: -21751.35938
75: bad sentence 37, PPL: -20070.34570
76: good sentence 38, PPL: -41350.34766
77: bad sentence 38, PPL: -44951.69141
78: good sentence 39, PPL: -12834.90527
79: bad sentence 39, PPL: -29773.40039
80: good sentence 40, PPL: -19154.45312
81: bad sentence 40, PPL: -29335.04492
82: good sentence 41, PPL: -3119.56934
83: bad sentence 41, PPL: -4385.77979
84: good sentence 42, PPL: -14230.36328
85: bad sentence 42, PPL: -16004.14453
86: good sentence 43, PPL: -28839.40234
87: bad sentence 43, PPL: -21746.31836
88: good sentence 44, PPL: -9321.65723
89: bad sentence 44, PPL: -8408.03809
90: good sentence 45, PPL: -24440.11328
91: bad sentence 45, PPL: -29066.78320
92: good sentence 46, PPL: -23975.78711
93: bad sentence 46, PPL: -29450.41992
94: good sentence 47, PPL: -5646.75293
95: bad sentence 47, PPL: -6250.14697
96: good sentence 48, PPL: -6835.66699
97: bad sentence 48, PPL: -14165.46582
98: good sentence 49, PPL: -18077.89844
99: bad sentence 49, PPL: -17966.66211
100: good sentence 50, PPL: -70454.91406
101: bad sentence 50, PPL: -103787.15625
102: good sentence 51, PPL: -10910.67383
103: bad sentence 51, PPL: -9676.47559
104: good sentence 52, PPL: -23082.21680
105: bad sentence 52, PPL: -17906.62109
106: good sentence 53, PPL: -34467.19922
107: bad sentence 53, PPL: -41075.30469
108: good sentence 54, PPL: -8008.30566
109: bad sentence 54, PPL: -7700.19043
110: good sentence 55, PPL: -13710.99512
111: bad sentence 55, PPL: -25477.88086
112: good sentence 56, PPL: -8340.74512
113: bad sentence 56, PPL: -10611.04297
114: good sentence 57, PPL: -14846.62598
115: bad sentence 57, PPL: -20057.27734
116: good sentence 58, PPL: -37658.35938
117: bad sentence 58, PPL: -30524.36719
118: good sentence 59, PPL: -21588.01758
119: bad sentence 59, PPL: -30875.25781
120: good sentence 60, PPL: -23877.25977
121: bad sentence 60, PPL: -29017.37305
122: good sentence 61, PPL: -20898.97656
123: bad sentence 61, PPL: -18099.01367
124: good sentence 62, PPL: -63225.16406
125: bad sentence 62, PPL: -50616.22656
126: good sentence 63, PPL: -16697.39844
127: bad sentence 63, PPL: -19926.37109
128: good sentence 64, PPL: -12069.43945
129: bad sentence 64, PPL: -14885.88281
130: good sentence 65, PPL: -12861.04102
131: bad sentence 65, PPL: -15680.23438
132: good sentence 66, PPL: -4955.78711
133: bad sentence 66, PPL: -8640.30176
134: good sentence 67, PPL: -29344.95117
135: bad sentence 67, PPL: -40509.00781
136: good sentence 68, PPL: -13706.79785
137: bad sentence 68, PPL: -29498.76562
138: good sentence 69, PPL: -26986.20508
139: bad sentence 69, PPL: -30942.49414
140: good sentence 70, PPL: -20589.94336
