Aspect
	zai_le
Model: TsinghuaAI/CPM-Generate, Accuracy: 68.00000, Average Perplexity (Good Sentences): -6200.88135, Average Perplexity (Bad Sentences): -6530.79932
0: good sentence 0, PPL: -10218.23145
1: bad sentence 0, PPL: -10435.99805
2: good sentence 1, PPL: -6188.62842
3: bad sentence 1, PPL: -6950.99219
4: good sentence 2, PPL: -1376.03467
5: bad sentence 2, PPL: -1853.50049
6: good sentence 3, PPL: -6250.54639
7: bad sentence 3, PPL: -5708.38037
8: good sentence 4, PPL: -1043.88293
9: bad sentence 4, PPL: -1138.36877
10: good sentence 5, PPL: -8678.67871
11: bad sentence 5, PPL: -9085.20703
12: good sentence 6, PPL: -25268.30664
13: bad sentence 6, PPL: -27021.84766
14: good sentence 7, PPL: -5000.80908
15: bad sentence 7, PPL: -5000.80908
16: good sentence 8, PPL: -3231.86426
17: bad sentence 8, PPL: -2824.62207
18: good sentence 9, PPL: -15271.78613
19: bad sentence 9, PPL: -18040.35352
20: good sentence 10, PPL: -5996.57129
21: bad sentence 10, PPL: -6898.81299
22: good sentence 11, PPL: -7395.60254
23: bad sentence 11, PPL: -8696.31738
24: good sentence 12, PPL: -3488.15527
25: bad sentence 12, PPL: -3847.13525
26: good sentence 13, PPL: -16656.87305
27: bad sentence 13, PPL: -16865.26172
28: good sentence 14, PPL: -2786.13916
29: bad sentence 14, PPL: -2263.76538
30: good sentence 15, PPL: -8362.55273
31: bad sentence 15, PPL: -10229.39551
32: good sentence 16, PPL: -7599.50049
33: bad sentence 16, PPL: -6916.49463
34: good sentence 17, PPL: -12134.94727
35: bad sentence 17, PPL: -14467.42285
36: good sentence 18, PPL: -16614.84570
37: bad sentence 18, PPL: -19402.63477
38: good sentence 19, PPL: -1420.58008
39: bad sentence 19, PPL: -2135.28052
40: good sentence 20, PPL: -2910.11084
41: bad sentence 20, PPL: -2803.50537
42: good sentence 21, PPL: -2708.47754
43: bad sentence 21, PPL: -1067.57251
44: good sentence 22, PPL: -4005.25488
45: bad sentence 22, PPL: -5947.33594
46: good sentence 23, PPL: -2700.51270
47: bad sentence 23, PPL: -3117.12769
48: good sentence 24, PPL: -4834.68408
49: bad sentence 24, PPL: -5178.46143
50: good sentence 25, PPL: -8145.27051
51: bad sentence 25, PPL: -7968.66699
52: good sentence 26, PPL: -3383.94897
53: bad sentence 26, PPL: -2771.35083
54: good sentence 27, PPL: -2236.57471
55: bad sentence 27, PPL: -2668.84985
56: good sentence 28, PPL: -7578.07080
57: bad sentence 28, PPL: -8139.14404
58: good sentence 29, PPL: -3864.93042
59: bad sentence 29, PPL: -3430.78369
60: good sentence 30, PPL: -9870.87500
61: bad sentence 30, PPL: -7225.08936
62: good sentence 31, PPL: -2421.37524
63: bad sentence 31, PPL: -2553.80518
64: good sentence 32, PPL: -29022.49414
65: bad sentence 32, PPL: -22146.33594
66: good sentence 33, PPL: -3770.67456
67: bad sentence 33, PPL: -5819.96338
68: good sentence 34, PPL: -3177.16187
69: bad sentence 34, PPL: -4471.60352
70: good sentence 35, PPL: -5224.69922
71: bad sentence 35, PPL: -5919.33203
72: good sentence 36, PPL: -5896.63184
73: bad sentence 36, PPL: -6419.31055
74: good sentence 37, PPL: -5433.66650
75: bad sentence 37, PPL: -4900.26465
76: good sentence 38, PPL: -3395.62915
77: bad sentence 38, PPL: -3425.60498
78: good sentence 39, PPL: -23561.00977
79: bad sentence 39, PPL: -28195.33789
80: good sentence 40, PPL: -6377.73730
81: bad sentence 40, PPL: -5744.92236
82: good sentence 41, PPL: -6644.28760
83: bad sentence 41, PPL: -7973.25146
84: good sentence 42, PPL: -3292.96484
85: bad sentence 42, PPL: -4240.17432
86: good sentence 43, PPL: -1432.11035
87: bad sentence 43, PPL: -1267.74890
88: good sentence 44, PPL: -4627.31299
89: bad sentence 44, PPL: -4482.59326
90: good sentence 45, PPL: -3704.48828
91: bad sentence 45, PPL: -4112.18848
92: good sentence 46, PPL: -1850.98242
93: bad sentence 46, PPL: -2352.81812
94: good sentence 47, PPL: -39087.79297
95: bad sentence 47, PPL: -34506.23828
96: good sentence 48, PPL: -3210.20776
97: bad sentence 48, PPL: -3699.51733
98: good sentence 49, PPL: -1575.25378
99: bad sentence 49, PPL: -1931.27039
100: good sentence 50, PPL: -3333.67554
101: bad sentence 50, PPL: -3187.67529
102: good sentence 51, PPL: -4519.75488
103: bad sentence 51, PPL: -4006.02271
104: good sentence 52, PPL: -3092.09448
105: bad sentence 52, PPL: -3763.47510
106: good sentence 53, PPL: -4375.91553
107: bad sentence 53, PPL: -2986.21362
108: good sentence 54, PPL: -13913.72852
