Classifier-Noun
	cl_adj_comp_noun
Model: 01-ai/Yi-6B, Accuracy: 64.40000, Average Perplexity (Good Sentences): -615.85840, Average Perplexity (Bad Sentences): -742.39148
0: good sentence 0, PPL: -720.17651
1: bad sentence 0, PPL: -1049.63696
2: good sentence 1, PPL: -2480.24121
3: bad sentence 1, PPL: -940.92889
4: good sentence 2, PPL: -372.62900
5: bad sentence 2, PPL: -435.32678
6: good sentence 3, PPL: -1132.65161
7: bad sentence 3, PPL: -1316.92468
8: good sentence 4, PPL: -537.60657
9: bad sentence 4, PPL: -664.71490
10: good sentence 5, PPL: -644.54700
11: bad sentence 5, PPL: -545.26422
12: good sentence 6, PPL: -978.77985
13: bad sentence 6, PPL: -949.56433
14: good sentence 7, PPL: -1330.92285
15: bad sentence 7, PPL: -1799.64917
16: good sentence 8, PPL: -229.71690
17: bad sentence 8, PPL: -468.65173
18: good sentence 9, PPL: -335.52924
19: bad sentence 9, PPL: -395.48788
20: good sentence 10, PPL: -308.54486
21: bad sentence 10, PPL: -760.34253
22: good sentence 11, PPL: -427.20880
23: bad sentence 11, PPL: -621.93652
24: good sentence 12, PPL: -893.33356
25: bad sentence 12, PPL: -657.97388
26: good sentence 13, PPL: -731.71234
27: bad sentence 13, PPL: -483.90198
28: good sentence 14, PPL: -211.37129
29: bad sentence 14, PPL: -647.69763
30: good sentence 15, PPL: -427.85303
31: bad sentence 15, PPL: -445.74973
32: good sentence 16, PPL: -292.19031
33: bad sentence 16, PPL: -367.34644
34: good sentence 17, PPL: -249.66943
35: bad sentence 17, PPL: -287.44547
36: good sentence 18, PPL: -273.90427
37: bad sentence 18, PPL: -445.66772
38: good sentence 19, PPL: -1327.90161
39: bad sentence 19, PPL: -740.41241
40: good sentence 20, PPL: -600.66962
41: bad sentence 20, PPL: -589.46490
42: good sentence 21, PPL: -890.82422
43: bad sentence 21, PPL: -880.77167
44: good sentence 22, PPL: -1516.51843
45: bad sentence 22, PPL: -1069.36548
46: good sentence 23, PPL: -432.80438
47: bad sentence 23, PPL: -936.47205
48: good sentence 24, PPL: -1397.75732
49: bad sentence 24, PPL: -529.44135
50: good sentence 25, PPL: -1247.20251
51: bad sentence 25, PPL: -506.04852
52: good sentence 26, PPL: -3057.23633
