verb_complement_res_verb_1000.csv
Model: imone/pangu_2_6B, Accuracy: 0.90100, Average Perplexity (Good Sentences): -4392.71582, Average Perplexity (Bad Sentences): -8509.73730
0: good sentence 0, PPL: -2586.41357
1: bad sentence 0, PPL: -5214.77832
2: good sentence 1, PPL: -3425.88257
3: bad sentence 1, PPL: -4948.79736
4: good sentence 2, PPL: -6647.36768
5: bad sentence 2, PPL: -42109.73047
6: good sentence 3, PPL: -880.86493
7: bad sentence 3, PPL: -1059.06604
8: good sentence 4, PPL: -21101.14844
9: bad sentence 4, PPL: -41183.99219
10: good sentence 5, PPL: -6204.75537
11: bad sentence 5, PPL: -15966.06348
12: good sentence 6, PPL: -6516.65137
13: bad sentence 6, PPL: -13490.76855
14: good sentence 7, PPL: -3395.81689
15: bad sentence 7, PPL: -12826.05859
16: good sentence 8, PPL: -12644.20020
17: bad sentence 8, PPL: -6016.29395
18: good sentence 9, PPL: -4915.13916
19: bad sentence 9, PPL: -11335.48438
20: good sentence 10, PPL: -8004.54150
21: bad sentence 10, PPL: -9190.86230
22: good sentence 11, PPL: -9319.26660
23: bad sentence 11, PPL: -13070.47656
24: good sentence 12, PPL: -14451.31543
25: bad sentence 12, PPL: -33308.35938
26: good sentence 13, PPL: -2233.13574
27: bad sentence 13, PPL: -2734.47266
28: good sentence 14, PPL: -5142.34424
29: bad sentence 14, PPL: -6290.42139
30: good sentence 15, PPL: -2271.61035
31: bad sentence 15, PPL: -3559.10449
32: good sentence 16, PPL: -17541.94727
33: bad sentence 16, PPL: -17903.13867
34: good sentence 17, PPL: -3660.97363
35: bad sentence 17, PPL: -11615.72559
36: good sentence 18, PPL: -1681.22266
37: bad sentence 18, PPL: -13537.02246
38: good sentence 19, PPL: -1213.39111
39: bad sentence 19, PPL: -1696.62720
40: good sentence 20, PPL: -4616.76465
41: bad sentence 20, PPL: -10912.88965
42: good sentence 21, PPL: -2533.63403
43: bad sentence 21, PPL: -6825.45947
44: good sentence 22, PPL: -2744.73535
45: bad sentence 22, PPL: -3718.52637
46: good sentence 23, PPL: -2561.82935
47: bad sentence 23, PPL: -13318.86621
48: good sentence 24, PPL: -13566.98145
49: bad sentence 24, PPL: -7197.71826
50: good sentence 25, PPL: -5354.83105
51: bad sentence 25, PPL: -8034.75146
52: good sentence 26, PPL: -2487.27393
53: bad sentence 26, PPL: -2562.86304
54: good sentence 27, PPL: -7386.42529
55: bad sentence 27, PPL: -26913.34375
56: good sentence 28, PPL: -2846.83398
57: bad sentence 28, PPL: -3907.46191
58: good sentence 29, PPL: -869.83319
59: bad sentence 29, PPL: -11779.08398
60: good sentence 30, PPL: -7202.55908
61: bad sentence 30, PPL: -9308.70508
62: good sentence 31, PPL: -10865.13086
63: bad sentence 31, PPL: -16666.96289
64: good sentence 32, PPL: -3523.58911
65: bad sentence 32, PPL: -6012.78906
66: good sentence 33, PPL: -1133.98584
67: bad sentence 33, PPL: -3218.90210
68: good sentence 34, PPL: -4734.77490
69: bad sentence 34, PPL: -14459.24316
70: good sentence 35, PPL: -13596.40918
71: bad sentence 35, PPL: -12918.79199
72: good sentence 36, PPL: -1661.91406
73: bad sentence 36, PPL: -1669.86621
74: good sentence 37, PPL: -4147.89600
75: bad sentence 37, PPL: -7370.39600
76: good sentence 38, PPL: -8208.67773
77: bad sentence 38, PPL: -24087.74609
78: good sentence 39, PPL: -5999.26025
79: bad sentence 39, PPL: -7306.07520
80: good sentence 40, PPL: -6161.29199
81: bad sentence 40, PPL: -10811.36230
82: good sentence 41, PPL: -4894.25391
83: bad sentence 41, PPL: -8476.52051
84: good sentence 42, PPL: -12563.65430
85: bad sentence 42, PPL: -11142.10254
86: good sentence 43, PPL: -7034.61816
87: bad sentence 43, PPL: -20858.09766
88: good sentence 44, PPL: -10502.89355
89: bad sentence 44, PPL: -10953.89844
90: good sentence 45, PPL: -2004.33740
91: bad sentence 45, PPL: -3524.34204
92: good sentence 46, PPL: -1760.51807
93: bad sentence 46, PPL: -7290.18555
94: good sentence 47, PPL: -1369.66370
95: bad sentence 47, PPL: -3823.41943
96: good sentence 48, PPL: -592.50671
97: bad sentence 48, PPL: -6286.97852
98: good sentence 49, PPL: -13067.23633
99: bad sentence 49, PPL: -27972.74805
100: good sentence 50, PPL: -8828.65723
101: bad sentence 50, PPL: -12426.99707
102: good sentence 51, PPL: -1992.50586
103: bad sentence 51, PPL: -7398.34033
104: good sentence 52, PPL: -2513.17285
105: bad sentence 52, PPL: -8084.37402
106: good sentence 53, PPL: -6792.34912
107: bad sentence 53, PPL: -8782.38672
108: good sentence 54, PPL: -1899.48193
109: bad sentence 54, PPL: -2088.44995
110: good sentence 55, PPL: -20144.68945
111: bad sentence 55, PPL: -25479.92383
112: good sentence 56, PPL: -8004.54150
113: bad sentence 56, PPL: -32891.97266
114: good sentence 57, PPL: -5407.24121
115: bad sentence 57, PPL: -11331.23730
116: good sentence 58, PPL: -2929.21045
117: bad sentence 58, PPL: -18219.16406
118: good sentence 59, PPL: -8659.16699
119: bad sentence 59, PPL: -14524.35059
120: good sentence 60, PPL: -5072.21240
121: bad sentence 60, PPL: -8057.18018
122: good sentence 61, PPL: -4348.97754
123: bad sentence 61, PPL: -10481.34082
124: good sentence 62, PPL: -3610.29077
125: bad sentence 62, PPL: -13032.38965
126: good sentence 63, PPL: -1924.63916
127: bad sentence 63, PPL: -2311.37158
128: good sentence 64, PPL: -1102.55493
129: bad sentence 64, PPL: -2408.12891
130: good sentence 65, PPL: -5203.65479
131: bad sentence 65, PPL: -127805.94531
132: good sentence 66, PPL: -8417.18359
133: bad sentence 66, PPL: -11048.57520
134: good sentence 67, PPL: -4616.76465
135: bad sentence 67, PPL: -9712.32910
136: good sentence 68, PPL: -6763.53955
137: bad sentence 68, PPL: -8476.14062
138: good sentence 69, PPL: -7225.00000
139: bad sentence 69, PPL: -4831.23193
140: good sentence 70, PPL: -3131.80591
141: bad sentence 70, PPL: -6024.27979
142: good sentence 71, PPL: -23697.45508
143: bad sentence 71, PPL: -27378.36328
144: good sentence 72, PPL: -3259.73853
145: bad sentence 72, PPL: -3367.13867
146: good sentence 73, PPL: -6833.70508
147: bad sentence 73, PPL: -4239.57227
148: good sentence 74, PPL: -4126.44873
149: bad sentence 74, PPL: -11167.65527
150: good sentence 75, PPL: -4326.93555
151: bad sentence 75, PPL: -10569.81543
152: good sentence 76, PPL: -6237.20850
153: bad sentence 76, PPL: -12836.59473
154: good sentence 77, PPL: -3257.69043
155: bad sentence 77, PPL: -5469.15430
156: good sentence 78, PPL: -6029.46436
157: bad sentence 78, PPL: -11122.59961
158: good sentence 79, PPL: -20161.17969
159: bad sentence 79, PPL: -21645.74219
160: good sentence 80, PPL: -2689.61768
161: bad sentence 80, PPL: -3170.66016
162: good sentence 81, PPL: -2709.83887
163: bad sentence 81, PPL: -4981.25098
164: good sentence 82, PPL: -6485.72607
165: bad sentence 82, PPL: -4301.79199
166: good sentence 83, PPL: -528.55701
167: bad sentence 83, PPL: -1583.10681
168: good sentence 84, PPL: -2781.89917
169: bad sentence 84, PPL: -5958.67871
170: good sentence 85, PPL: -5422.74902
171: bad sentence 85, PPL: -8141.28662
172: good sentence 86, PPL: -1493.20068
173: bad sentence 86, PPL: -1518.45044
174: good sentence 87, PPL: -762.18402
175: bad sentence 87, PPL: -385.43936
176: good sentence 88, PPL: -2917.00464
177: bad sentence 88, PPL: -5597.62891
178: good sentence 89, PPL: -12507.72852
179: bad sentence 89, PPL: -11749.24121
180: good sentence 90, PPL: -2059.84570
181: bad sentence 90, PPL: -3477.93140
182: good sentence 91, PPL: -2657.41724
183: bad sentence 91, PPL: -3730.40405
184: good sentence 92, PPL: -6364.70410
185: bad sentence 92, PPL: -10525.62500
186: good sentence 93, PPL: -16519.36914
187: bad sentence 93, PPL: -50350.37109
188: good sentence 94, PPL: -2039.64111
189: bad sentence 94, PPL: -8032.10107
190: good sentence 95, PPL: -5126.73340
191: bad sentence 95, PPL: -5033.14746
192: good sentence 96, PPL: -11563.66699
193: bad sentence 96, PPL: -42198.05078
194: good sentence 97, PPL: -13703.12500
195: bad sentence 97, PPL: -17379.31250
196: good sentence 98, PPL: -4586.54980
197: bad sentence 98, PPL: -3779.58521
198: good sentence 99, PPL: -4440.16602
199: bad sentence 99, PPL: -9848.05566
200: good sentence 100, PPL: -14858.70801
201: bad sentence 100, PPL: -11468.68848
202: good sentence 101, PPL: -2351.34229
203: bad sentence 101, PPL: -7324.87012
204: good sentence 102, PPL: -675.59869
205: bad sentence 102, PPL: -2070.76929
206: good sentence 103, PPL: -5232.12842
207: bad sentence 103, PPL: -8685.11133
