Plural
	baseline_cl_female
Model: google-bert/bert-base-chinese, Accuracy: 99.40000, Average Perplexity (Good Sentences): -5.80739, Average Perplexity (Bad Sentences): -9.52725
0: good sentence 0, PPL: -18.33803
1: bad sentence 0, PPL: -64.27420
2: good sentence 1, PPL: -3.52304
3: bad sentence 1, PPL: -4.14848
4: good sentence 2, PPL: -8.11857
5: bad sentence 2, PPL: -17.59534
6: good sentence 3, PPL: -22.84104
7: bad sentence 3, PPL: -43.91832
8: good sentence 4, PPL: -2.21017
9: bad sentence 4, PPL: -3.13531
10: good sentence 5, PPL: -4.71282
11: bad sentence 5, PPL: -5.75779
12: good sentence 6, PPL: -3.34793
13: bad sentence 6, PPL: -5.69441
14: good sentence 7, PPL: -3.85321
15: bad sentence 7, PPL: -5.02304
16: good sentence 8, PPL: -25.60396
17: bad sentence 8, PPL: -54.96562
18: good sentence 9, PPL: -17.74580
19: bad sentence 9, PPL: -32.24733
20: good sentence 10, PPL: -10.09164
21: bad sentence 10, PPL: -14.50724
22: good sentence 11, PPL: -2.37544
23: bad sentence 11, PPL: -3.60911
24: good sentence 12, PPL: -4.70366
25: bad sentence 12, PPL: -6.82342
26: good sentence 13, PPL: -13.91912
27: bad sentence 13, PPL: -34.71595
28: good sentence 14, PPL: -12.59470
29: bad sentence 14, PPL: -25.65970
30: good sentence 15, PPL: -4.17280
31: bad sentence 15, PPL: -5.33050
32: good sentence 16, PPL: -5.34598
33: bad sentence 16, PPL: -8.84900
34: good sentence 17, PPL: -8.26356
35: bad sentence 17, PPL: -11.29950
36: good sentence 18, PPL: -29.96030
37: bad sentence 18, PPL: -37.71697
38: good sentence 19, PPL: -7.40107
39: bad sentence 19, PPL: -11.37311
40: good sentence 20, PPL: -12.81399
41: bad sentence 20, PPL: -50.61134
42: good sentence 21, PPL: -9.23428
43: bad sentence 21, PPL: -10.16510
44: good sentence 22, PPL: -5.24324
45: bad sentence 22, PPL: -10.99733
46: good sentence 23, PPL: -3.41368
47: bad sentence 23, PPL: -4.24607
48: good sentence 24, PPL: -8.18183
49: bad sentence 24, PPL: -21.28927
50: good sentence 25, PPL: -7.44643
51: bad sentence 25, PPL: -10.39157
52: good sentence 26, PPL: -4.71431
53: bad sentence 26, PPL: -8.71080
54: good sentence 27, PPL: -6.59432
55: bad sentence 27, PPL: -18.09073
56: good sentence 28, PPL: -9.54376
57: bad sentence 28, PPL: -15.03079
58: good sentence 29, PPL: -8.42998
