verb_complement_res_verb_1000.csv
Model: nghuyong/ernie-3.0-base-zh, Accuracy: 0.92800, Average Perplexity (Good Sentences): -1348.29748, Average Perplexity (Bad Sentences): -3876.72129
0: good sentence 0, PPL: -354.85246
1: bad sentence 0, PPL: -2480.08106
2: good sentence 1, PPL: -1006.98277
3: bad sentence 1, PPL: -1951.83387
4: good sentence 2, PPL: -1140.34733
5: bad sentence 2, PPL: -7193.16905
6: good sentence 3, PPL: -697.97905
7: bad sentence 3, PPL: -703.25197
8: good sentence 4, PPL: -5760.38959
9: bad sentence 4, PPL: -25894.56099
10: good sentence 5, PPL: -3508.99043
11: bad sentence 5, PPL: -5684.66435
12: good sentence 6, PPL: -325.38193
13: bad sentence 6, PPL: -343.89262
14: good sentence 7, PPL: -15164.60871
15: bad sentence 7, PPL: -17090.16043
16: good sentence 8, PPL: -657.18810
17: bad sentence 8, PPL: -1783.80274
18: good sentence 9, PPL: -1097.00249
19: bad sentence 9, PPL: -1650.29806
20: good sentence 10, PPL: -733.02489
21: bad sentence 10, PPL: -1270.13497
22: good sentence 11, PPL: -2363.37747
23: bad sentence 11, PPL: -36139.49769
24: good sentence 12, PPL: -1228.32273
25: bad sentence 12, PPL: -10854.70977
26: good sentence 13, PPL: -2867.70801
27: bad sentence 13, PPL: -7568.92498
28: good sentence 14, PPL: -1380.35268
29: bad sentence 14, PPL: -1965.43098
30: good sentence 15, PPL: -6218.06575
31: bad sentence 15, PPL: -20497.16089
32: good sentence 16, PPL: -2818.27865
33: bad sentence 16, PPL: -27313.87566
34: good sentence 17, PPL: -164.24233
35: bad sentence 17, PPL: -307.11804
36: good sentence 18, PPL: -834.46807
37: bad sentence 18, PPL: -5264.48927
38: good sentence 19, PPL: -482.44267
39: bad sentence 19, PPL: -3752.23667
40: good sentence 20, PPL: -662.09505
41: bad sentence 20, PPL: -1047.55750
42: good sentence 21, PPL: -1741.54228
43: bad sentence 21, PPL: -7300.07984
44: good sentence 22, PPL: -1398.68145
45: bad sentence 22, PPL: -10197.94661
46: good sentence 23, PPL: -1348.01816
47: bad sentence 23, PPL: -29315.44500
48: good sentence 24, PPL: -1157.17026
49: bad sentence 24, PPL: -1259.16222
50: good sentence 25, PPL: -767.33778
51: bad sentence 25, PPL: -1707.30625
52: good sentence 26, PPL: -202.41894
53: bad sentence 26, PPL: -391.30308
54: good sentence 27, PPL: -967.72332
55: bad sentence 27, PPL: -4813.72177
56: good sentence 28, PPL: -42.20546
57: bad sentence 28, PPL: -62.89434
58: good sentence 29, PPL: -168.89256
59: bad sentence 29, PPL: -1677.72122
60: good sentence 30, PPL: -1877.57305
61: bad sentence 30, PPL: -11990.30322
62: good sentence 31, PPL: -5041.09152
63: bad sentence 31, PPL: -8268.64757
64: good sentence 32, PPL: -624.92622
65: bad sentence 32, PPL: -420.80541
66: good sentence 33, PPL: -217.59286
67: bad sentence 33, PPL: -140.85543
68: good sentence 34, PPL: -138.22930
69: bad sentence 34, PPL: -666.71390
70: good sentence 35, PPL: -6752.25285
71: bad sentence 35, PPL: -18296.71888
72: good sentence 36, PPL: -154.86909
73: bad sentence 36, PPL: -1084.96451
74: good sentence 37, PPL: -102.13903
75: bad sentence 37, PPL: -262.11597
76: good sentence 38, PPL: -976.92421
77: bad sentence 38, PPL: -7301.50055
78: good sentence 39, PPL: -2879.61368
79: bad sentence 39, PPL: -18167.29380
80: good sentence 40, PPL: -2335.85296
81: bad sentence 40, PPL: -8117.13554
82: good sentence 41, PPL: -699.60480
83: bad sentence 41, PPL: -2667.80575
84: good sentence 42, PPL: -2177.84726
85: bad sentence 42, PPL: -2820.67542
